Orthogroup	Chlor_AMIV_KF938901.1	Chlor_IIV22_HF920633.1	Daphi_LS484712.1	Decap_MF599468.1	Irido_IIV31_HF920637.1	Irido_IIV6_AF303741.1	Lymph_LCD4_MN803438.1	Lymph_LDV1_L63545.1	MCV_ML1_SDDV_MN562489.1	MCV_ML1_SDDV_MT521409.1	MCV_ML1_SDDV_NC_027778.1	MCV_ML1_SDDV_OM037668.1	MCV_MP1_BCFI_MN432490.1	MCV_MP1_BCFI_MT926123.1	MCV_MP1_GSPI_KT804738.1	MCV_MP1_ISKNV_AF371960.1	MCV_MP1_ISKNV_MK689685.1	MCV_MP1_LBUSV_OP009387.1	MCV_MP1_LYCI_AY779031.1	MCV_MP1_LYCI_MW139932.1	MCV_MP1_LYCI_OL774653.1	MCV_MP1_LYCI_OL774654.1	MCV_MP1_LYCI_OL774655.1	MCV_MP1_OSGI_AY894343.1	MCV_MP1_PI_MK098185.1	MCV_MP1_PI_MK098186.1	MCV_MP1_PI_MK098187.1	MCV_MP1_RBIV_AY532606.1	MCV_MP1_RBIV_KC244182.1	MCV_MP1_RSIV_BD143114.1	MCV_MP1_RSIV_MK689686.1	MCV_MP1_RSIV_MT798582.1	MCV_MP1_RSIV_OK042108.1	MCV_MP1_RSIV_OK042109.1	MCV_MP1_RSIV_ON740976.1	MCV_MP1_RSIV_ON743042.1	MCV_MP1_SKIV_MT986830.1	MCV_MP1_SKIV_ON075463.1	MCV_MP1_TRBIV_GQ273492.1	MCV_Unclassified_MG570131.1	MCV_Unclassified_MG570132.1	MCV_Unclassified_OQ475017.1	MCV_Unlassified_OL310752.1	Rana_FV3_NC_005946.1	Rana_SGIV_AY521625.1
OG0000803						Irido_IIV6_AF303741.1_00037																																							
OG0000804						Irido_IIV6_AF303741.1_00038																																							
OG0000805						Irido_IIV6_AF303741.1_00039																																							
OG0000806						Irido_IIV6_AF303741.1_00041																																							
OG0000807						Irido_IIV6_AF303741.1_00054																																							
OG0000808						Irido_IIV6_AF303741.1_00057																																							
OG0000809						Irido_IIV6_AF303741.1_00058																																							
OG0000810						Irido_IIV6_AF303741.1_00059																																							
OG0000811						Irido_IIV6_AF303741.1_00071																																							
OG0000812						Irido_IIV6_AF303741.1_00073																																							
OG0000813						Irido_IIV6_AF303741.1_00075																																							
OG0000814						Irido_IIV6_AF303741.1_00082																																							
OG0000815						Irido_IIV6_AF303741.1_00084																																							
OG0000816						Irido_IIV6_AF303741.1_00103																																							
OG0000817						Irido_IIV6_AF303741.1_00108																																							
OG0000818						Irido_IIV6_AF303741.1_00110																																							
OG0000819						Irido_IIV6_AF303741.1_00114																																							
OG0000820						Irido_IIV6_AF303741.1_00123																																							
OG0000821						Irido_IIV6_AF303741.1_00127																																							
OG0000822						Irido_IIV6_AF303741.1_00128																																							
OG0000823						Irido_IIV6_AF303741.1_00133																																							
OG0000824						Irido_IIV6_AF303741.1_00134																																							
OG0000825						Irido_IIV6_AF303741.1_00138																																							
OG0000826						Irido_IIV6_AF303741.1_00144																																							
OG0000827						Irido_IIV6_AF303741.1_00153																																							
OG0000828						Irido_IIV6_AF303741.1_00164																																							
OG0000829						Irido_IIV6_AF303741.1_00171																																							
OG0000830						Irido_IIV6_AF303741.1_00188																																							
OG0000831						Irido_IIV6_AF303741.1_00191																																							
OG0000832						Irido_IIV6_AF303741.1_00194																																							
OG0000833							Lymph_LCD4_MN803438.1_00009																																						
OG0000834							Lymph_LCD4_MN803438.1_00014																																						
OG0000835							Lymph_LCD4_MN803438.1_00018																																						
OG0000836							Lymph_LCD4_MN803438.1_00020																																						
OG0000837							Lymph_LCD4_MN803438.1_00029																																						
OG0000838							Lymph_LCD4_MN803438.1_00036																																						
OG0000839							Lymph_LCD4_MN803438.1_00041																																						
OG0000840							Lymph_LCD4_MN803438.1_00048																																						
OG0000841							Lymph_LCD4_MN803438.1_00052																																						
OG0000842							Lymph_LCD4_MN803438.1_00055																																						
OG0000843							Lymph_LCD4_MN803438.1_00065																																						
OG0000844							Lymph_LCD4_MN803438.1_00066																																						
OG0000845							Lymph_LCD4_MN803438.1_00069																																						
OG0000846							Lymph_LCD4_MN803438.1_00080																																						
OG0000847							Lymph_LCD4_MN803438.1_00084																																						
OG0000848							Lymph_LCD4_MN803438.1_00093																																						
OG0000849							Lymph_LCD4_MN803438.1_00098																																						
OG0000850							Lymph_LCD4_MN803438.1_00100																																						
OG0000851							Lymph_LCD4_MN803438.1_00108																																						
OG0000852							Lymph_LCD4_MN803438.1_00111																																						
OG0000853							Lymph_LCD4_MN803438.1_00116																																						
OG0000854							Lymph_LCD4_MN803438.1_00117																																						
OG0000855							Lymph_LCD4_MN803438.1_00118																																						
OG0000856							Lymph_LCD4_MN803438.1_00123																																						
OG0000857							Lymph_LCD4_MN803438.1_00127																																						
OG0000858							Lymph_LCD4_MN803438.1_00138																																						
OG0000859							Lymph_LCD4_MN803438.1_00143																																						
OG0000860								Lymph_LDV1_L63545.1_00011																																					
OG0000861								Lymph_LDV1_L63545.1_00027																																					
OG0000862								Lymph_LDV1_L63545.1_00029																																					
OG0000863								Lymph_LDV1_L63545.1_00033																																					
OG0000864								Lymph_LDV1_L63545.1_00040																																					
OG0000865								Lymph_LDV1_L63545.1_00063																																					
OG0000866								Lymph_LDV1_L63545.1_00064																																					
OG0000867								Lymph_LDV1_L63545.1_00081																																					
OG0000868								Lymph_LDV1_L63545.1_00083																																					
OG0000869										MCV_ML1_SDDV_MT521409.1_00021																																			
OG0000870											MCV_ML1_SDDV_NC_027778.1_00051																																		
OG0000871											MCV_ML1_SDDV_NC_027778.1_00110																																		
OG0000872																		MCV_MP1_LBUSV_OP009387.1_00059																											
OG0000873																			MCV_MP1_LYCI_AY779031.1_00030																										
OG0000874																			MCV_MP1_LYCI_AY779031.1_00078																										
OG0000875																			MCV_MP1_LYCI_AY779031.1_00108																										
OG0000876																			MCV_MP1_LYCI_AY779031.1_00109																										
OG0000877																												MCV_MP1_RBIV_AY532606.1_00041																	
OG0000878																												MCV_MP1_RBIV_AY532606.1_00044																	
OG0000879																												MCV_MP1_RBIV_AY532606.1_00092																	
OG0000880																																MCV_MP1_RSIV_MT798582.1_00001													
OG0000881																																					MCV_MP1_SKIV_MT986830.1_00026								
OG0000882																																							MCV_MP1_TRBIV_GQ273492.1_00010						
OG0000883																																							MCV_MP1_TRBIV_GQ273492.1_00069						
OG0000884																																								MCV_Unclassified_MG570131.1_00022					
OG0000885																																								MCV_Unclassified_MG570131.1_00028					
OG0000886																																											MCV_Unlassified_OL310752.1_00009		
OG0000887																																											MCV_Unlassified_OL310752.1_00032		
OG0000888																																												Rana_FV3_NC_005946.1_00008	
OG0000889																																												Rana_FV3_NC_005946.1_00009	
OG0000890																																												Rana_FV3_NC_005946.1_00019	
OG0000891																																												Rana_FV3_NC_005946.1_00027	
OG0000892																																												Rana_FV3_NC_005946.1_00030	
OG0000893																																												Rana_FV3_NC_005946.1_00031	
OG0000894																																												Rana_FV3_NC_005946.1_00032	
OG0000895																																												Rana_FV3_NC_005946.1_00036	
OG0000896																																												Rana_FV3_NC_005946.1_00037	
OG0000897																																												Rana_FV3_NC_005946.1_00040	
OG0000898																																												Rana_FV3_NC_005946.1_00041	
OG0000899																																												Rana_FV3_NC_005946.1_00043	
OG0000900																																												Rana_FV3_NC_005946.1_00045	
OG0000901																																												Rana_FV3_NC_005946.1_00046	
OG0000902																																												Rana_FV3_NC_005946.1_00048	
OG0000903																																												Rana_FV3_NC_005946.1_00050	
OG0000904																																												Rana_FV3_NC_005946.1_00055	
OG0000905																																												Rana_FV3_NC_005946.1_00065	
OG0000906																																												Rana_FV3_NC_005946.1_00066	
OG0000907																																												Rana_FV3_NC_005946.1_00068	
OG0000908																																												Rana_FV3_NC_005946.1_00070	
OG0000909																																												Rana_FV3_NC_005946.1_00071	
OG0000910																																												Rana_FV3_NC_005946.1_00074	
OG0000911																																												Rana_FV3_NC_005946.1_00078	
OG0000912																																												Rana_FV3_NC_005946.1_00093	
OG0000913																																												Rana_FV3_NC_005946.1_00097	
OG0000914																																													Rana_SGIV_AY521625.1_00001
OG0000915																																													Rana_SGIV_AY521625.1_00006
OG0000916																																													Rana_SGIV_AY521625.1_00007
OG0000917																																													Rana_SGIV_AY521625.1_00009
OG0000918																																													Rana_SGIV_AY521625.1_00012
OG0000919																																													Rana_SGIV_AY521625.1_00017
OG0000920																																													Rana_SGIV_AY521625.1_00019
OG0000921																																													Rana_SGIV_AY521625.1_00021
OG0000922																																													Rana_SGIV_AY521625.1_00024
OG0000923																																													Rana_SGIV_AY521625.1_00028
OG0000924																																													Rana_SGIV_AY521625.1_00031
OG0000925																																													Rana_SGIV_AY521625.1_00034
OG0000926																																													Rana_SGIV_AY521625.1_00037
OG0000927																																													Rana_SGIV_AY521625.1_00038
OG0000928																																													Rana_SGIV_AY521625.1_00040
OG0000929																																													Rana_SGIV_AY521625.1_00041
OG0000930																																													Rana_SGIV_AY521625.1_00045
OG0000931																																													Rana_SGIV_AY521625.1_00049
OG0000932																																													Rana_SGIV_AY521625.1_00050
OG0000933																																													Rana_SGIV_AY521625.1_00058
OG0000934																																													Rana_SGIV_AY521625.1_00067
OG0000935																																													Rana_SGIV_AY521625.1_00071
OG0000936																																													Rana_SGIV_AY521625.1_00083
OG0000937																																													Rana_SGIV_AY521625.1_00084
OG0000938																																													Rana_SGIV_AY521625.1_00087
OG0000939																																													Rana_SGIV_AY521625.1_00092
