HOG	OG	Gene Tree Parent Clade	AF303741	AF371960	AY521625	AY894343	BD143114	GQ273492	HF920633	HF920637	KC244182	KF938901	KT804738	KX643370	LS484712	MF599468	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MN562489	MN803438	MT521409	MT798582	MT926123	MT986830	MW139932	NC_005946	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON740976	ON743042	OP009387	OQ475017
N33.HOG0000013	OG0000013	n0	AF303741.1_00137 hypothetical protein						HF920633.1_00163 hypothetical protein	HF920637.1_00197 HF920637.1 - hypothetical protein translation		KF938901.1_00012 hypothetical protein			LS484712.1_00192 hypothetical protein	MF599468.1_00106 MF599468.1 - hypothetical protein translation																											
N33.HOG0000014	OG0000014	n0	AF303741.1_00149 hypothetical protein						HF920633.1_00091 hypothetical protein	HF920637.1_00172 HF920637.1 - hypothetical protein translation		KF938901.1_00053 hypothetical protein			LS484712.1_00050 hypothetical protein	MF599468.1_00174 MF599468.1 - hypothetical protein translation																											
N33.HOG0000015	OG0000015	n0	AF303741.1_00156 hypothetical protein						HF920633.1_00080 hypothetical protein	HF920637.1_00031 HF920637.1 - hypothetical protein translation		KF938901.1_00047 hypothetical protein			LS484712.1_00188 hypothetical protein	MF599468.1_00090 MF599468.1 - hypothetical protein translation																											
N33.HOG0000016	OG0000016	n0	AF303741.1_00158 hypothetical protein						HF920633.1_00097 hypothetical protein	HF920637.1_00041 HF920637.1 - hypothetical protein translation		KF938901.1_00124 hypothetical protein			LS484712.1_00096 hypothetical protein	MF599468.1_00116 MF599468.1 - hypothetical protein translation																											
N33.HOG0000017	OG0000017	n0	AF303741.1_00189 DNA-directed RNA polymerase subunit 2						HF920633.1_00175 DNA-directed RNA polymerase subunit 2	HF920637.1_00213 HF920637.1 - DNA-directed RNA polymerase subunit 2 translation		KF938901.1_00023 DNA-directed RNA polymerase subunit 2			LS484712.1_00194 DNA-directed RNA polymerase subunit 2	MF599468.1_00071 MF599468.1 - DNA-directed RNA polymerase subunit 2 translation																											
N33.HOG0000018	OG0000018	n0	AF303741.1_00062 hypothetical protein						HF920633.1_00094 hypothetical protein	HF920637.1_00079 HF920637.1 - hypothetical protein translation		KF938901.1_00046 hypothetical protein				MF599468.1_00046 MF599468.1 - hypothetical protein translation																											
N33.HOG0000019	OG0000019	n0	AF303741.1_00080 hypothetical protein						HF920633.1_00079 hypothetical protein	HF920637.1_00025 HF920637.1 - hypothetical protein translation		KF938901.1_00043 hypothetical protein				MF599468.1_00092 MF599468.1 - hypothetical protein translation																											
N33.HOG0000020	OG0000020	n0	AF303741.1_00129 hypothetical protein						HF920633.1_00085 hypothetical protein	HF920637.1_00221 HF920637.1 - hypothetical protein translation		KF938901.1_00125 hypothetical protein				MF599468.1_00154 MF599468.1 - hypothetical protein translation																											
N33.HOG0000021	OG0000021	n0	AF303741.1_00168 Ribonucleoside-diphosphate reductase small chain						HF920633.1_00062 Ribonucleoside-diphosphate reductase small chain	HF920637.1_00061 HF920637.1 - Ribonucleoside-diphosphate reductase small chain translation		KF938901.1_00094 Ribonucleoside-diphosphate reductase small chain			LS484712.1_00149 Ribonucleoside-diphosphate reductase small chain																												
N33.HOG0000022	OG0000022	n0	AF303741.1_00154 FAD-linked sulfhydryl oxidase						HF920633.1_00017 hypothetical protein	HF920637.1_00033 HF920637.1 - FAD-linked sulfhydryl oxidase translation					LS484712.1_00117 hypothetical protein																												
N33.HOG0000023	OG0000023	n0	AF303741.1_00132 hypothetical protein						HF920633.1_00025 hypothetical protein	HF920637.1_00121 HF920637.1 - hypothetical protein translation		KF938901.1_00072 hypothetical protein			LS484712.1_00040 hypothetical protein	MF599468.1_00010 MF599468.1 - hypothetical protein translation																											
N33.HOG0000024	OG0000026	n0	AF303741.1_00051 Dual specificity protein phosphatase H1						HF920633.1_00047 hypothetical protein	HF920637.1_00156 HF920637.1 - hypothetical protein translation		KF938901.1_00093 hypothetical protein																															
N33.HOG0000025	OG0000064	n0	AF303741.1_00065 hypothetical protein, AF303741.1_00005 hypothetical protein, AF303741.1_00173 hypothetical protein, AF303741.1_00095 hypothetical protein, AF303741.1_00066 hypothetical protein, AF303741.1_00007 hypothetical protein, AF303741.1_00094 hypothetical protein, AF303741.1_00109 hypothetical protein						HF920633.1_00040 hypothetical protein, HF920633.1_00117 hypothetical protein, HF920633.1_00143 hypothetical protein, HF920633.1_00057 hypothetical protein, HF920633.1_00107 hypothetical protein, HF920633.1_00172 hypothetical protein, HF920633.1_00170 hypothetical protein	HF920637.1_00158 HF920637.1 - hypothetical protein translation, HF920637.1_00208 HF920637.1 - hypothetical protein translation, HF920637.1_00130 HF920637.1 - hypothetical protein translation, HF920637.1_00102 HF920637.1 - hypothetical protein translation, HF920637.1_00206 HF920637.1 - hypothetical protein translation, HF920637.1_00184 HF920637.1 - hypothetical protein translation, HF920637.1_00034 HF920637.1 - hypothetical protein translation, HF920637.1_00096 HF920637.1 - hypothetical protein translation		KF938901.1_00085 hypothetical protein, KF938901.1_00140 hypothetical protein				MF599468.1_00102 MF599468.1 - hypothetical protein translation, MF599468.1_00100 MF599468.1 - hypothetical protein translation, MF599468.1_00099 MF599468.1 - hypothetical protein translation, MF599468.1_00114 MF599468.1 - hypothetical protein translation																											
N33.HOG0000026	OG0000066	n0														MF599468.1_00131 MF599468.1 - hypothetical protein translation																											
N33.HOG0000027	OG0000114	n1	AF303741.1_00106 hypothetical protein							HF920637.1_00018 HF920637.1 - hypothetical protein translation						MF599468.1_00036 MF599468.1 - hypothetical protein translation																											
N33.HOG0000028	OG0000114	n9	AF303741.1_00170 hypothetical protein						HF920633.1_00086 hypothetical protein	HF920637.1_00138 HF920637.1 - hypothetical protein translation						MF599468.1_00096 MF599468.1 - hypothetical protein translation																											
N33.HOG0000029	OG0000121	n0	AF303741.1_00178 hypothetical protein, AF303741.1_00121 hypothetical protein, AF303741.1_00195 hypothetical protein						HF920633.1_00147 hypothetical protein, HF920633.1_00130 hypothetical protein, HF920633.1_00174 hypothetical protein, HF920633.1_00007 hypothetical protein	HF920637.1_00198 HF920637.1 - hypothetical protein translation, HF920637.1_00147 HF920637.1 - hypothetical protein translation, HF920637.1_00218 HF920637.1 - hypothetical protein translation, HF920637.1_00029 HF920637.1 - hypothetical protein translation		KF938901.1_00020 hypothetical protein, KF938901.1_00049 hypothetical protein, KF938901.1_00115 hypothetical protein, KF938901.1_00091 hypothetical protein			LS484712.1_00198 hypothetical protein																												
N33.HOG0000030	OG0000122	n0							HF920633.1_00116 hypothetical protein	HF920637.1_00183 HF920637.1 - hypothetical protein translation						MF599468.1_00103 MF599468.1 - hypothetical protein translation, MF599468.1_00091 MF599468.1 - hypothetical protein translation, MF599468.1_00128 MF599468.1 - hypothetical protein translation, MF599468.1_00038 MF599468.1 - hypothetical protein translation, MF599468.1_00070 MF599468.1 - hypothetical protein translation, MF599468.1_00145 MF599468.1 - hypothetical protein translation, MF599468.1_00023 MF599468.1 - hypothetical protein translation, MF599468.1_00024 MF599468.1 - hypothetical protein translation, MF599468.1_00054 MF599468.1 - hypothetical protein translation, MF599468.1_00104 MF599468.1 - hypothetical protein translation, MF599468.1_00029 MF599468.1 - hypothetical protein translation, MF599468.1_00101 MF599468.1 - hypothetical protein translation, MF599468.1_00055 MF599468.1 - hypothetical protein translation																											
N33.HOG0000031	OG0000123	n0	AF303741.1_00088 hypothetical protein						HF920633.1_00081 hypothetical protein, HF920633.1_00059 hypothetical protein, HF920633.1_00119 hypothetical protein			KF938901.1_00135 hypothetical protein, KF938901.1_00151 hypothetical protein, KF938901.1_00001 hypothetical protein, KF938901.1_00158 hypothetical protein, KF938901.1_00084 hypothetical protein, KF938901.1_00030 hypothetical protein, KF938901.1_00119 hypothetical protein, KF938901.1_00127 hypothetical protein																															
N33.HOG0000032	OG0000127	n0													LS484712.1_00002 hypothetical protein																												
N33.HOG0000033	OG0000128	n0													LS484712.1_00025 hypothetical protein, LS484712.1_00026 hypothetical protein, LS484712.1_00027 hypothetical protein, LS484712.1_00031 hypothetical protein, LS484712.1_00032 hypothetical protein, LS484712.1_00028 hypothetical protein, LS484712.1_00030 hypothetical protein, LS484712.1_00034 hypothetical protein, LS484712.1_00252 hypothetical protein, LS484712.1_00253 hypothetical protein, LS484712.1_00254 hypothetical protein																												
N33.HOG0000034	OG0000129	n0	AF303741.1_00130 hypothetical protein, AF303741.1_00089 hypothetical protein						HF920633.1_00004 hypothetical protein	HF920637.1_00058 HF920637.1 - hypothetical protein translation, HF920637.1_00199 HF920637.1 - hypothetical protein translation, HF920637.1_00201 HF920637.1 - hypothetical protein translation, HF920637.1_00093 HF920637.1 - hypothetical protein translation, HF920637.1_00094 HF920637.1 - hypothetical protein translation, HF920637.1_00057 HF920637.1 - hypothetical protein translation, HF920637.1_00216 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000035	OG0000130	n0	AF303741.1_00126 hypothetical protein						HF920633.1_00135 hypothetical protein	HF920637.1_00219 HF920637.1 - hypothetical protein translation		KF938901.1_00086 hypothetical protein			LS484712.1_00057 hypothetical protein	MF599468.1_00002 MF599468.1 - hypothetical protein translation																											
N33.HOG0000036	OG0000132	n0													LS484712.1_00072 hypothetical protein, LS484712.1_00255 hypothetical protein, LS484712.1_00069 hypothetical protein, LS484712.1_00070 hypothetical protein, LS484712.1_00068 hypothetical protein, LS484712.1_00065 hypothetical protein, LS484712.1_00064 hypothetical protein, LS484712.1_00010 hypothetical protein, LS484712.1_00008 hypothetical protein, LS484712.1_00009 hypothetical protein																												
N33.HOG0000037	OG0000133	n0	AF303741.1_00031 hypothetical protein						HF920633.1_00132 hypothetical protein	HF920637.1_00105 HF920637.1 - Ribonucleoside-diphosphate reductase large subunit translation		KF938901.1_00048 Ribonucleoside-diphosphate reductase large subunit			LS484712.1_00251 Ribonucleoside-diphosphate reductase large subunit																												
N33.HOG0000038	OG0000134	n0	AF303741.1_00100 hypothetical protein, AF303741.1_00162 hypothetical protein						HF920633.1_00053 hypothetical protein	HF920637.1_00181 HF920637.1 - hypothetical protein translation		KF938901.1_00065 hypothetical protein			LS484712.1_00063 hypothetical protein	MF599468.1_00051 MF599468.1 - hypothetical protein translation																											
N33.HOG0000039	OG0000135	n0	AF303741.1_00101 Thymidylate synthase						HF920633.1_00156 Thymidylate synthase	HF920637.1_00123 HF920637.1 - Thymidylate synthase translation		KF938901.1_00108 Thymidylate synthase																															
N33.HOG0000040	OG0000136	n0														MF599468.1_00032 MF599468.1 - hypothetical protein translation, MF599468.1_00069 MF599468.1 - hypothetical protein translation, MF599468.1_00068 MF599468.1 - hypothetical protein translation, MF599468.1_00111 MF599468.1 - hypothetical protein translation, MF599468.1_00109 MF599468.1 - hypothetical protein translation, MF599468.1_00110 MF599468.1 - hypothetical protein translation, MF599468.1_00136 MF599468.1 - hypothetical protein translation, MF599468.1_00137 MF599468.1 - hypothetical protein translation, MF599468.1_00138 MF599468.1 - hypothetical protein translation																											
N33.HOG0000041	OG0000138	n0	AF303741.1_00072 hypothetical protein						HF920633.1_00026 hypothetical protein	HF920637.1_00060 HF920637.1 - putative helicase D10 translation		KF938901.1_00069 hypothetical protein			LS484712.1_00133 hypothetical protein	MF599468.1_00161 MF599468.1 - hypothetical protein translation																											
N33.HOG0000042	OG0000139	n0	AF303741.1_00157 hypothetical protein						HF920633.1_00064 hypothetical protein	HF920637.1_00014 HF920637.1 - hypothetical protein translation		KF938901.1_00007 hypothetical protein			LS484712.1_00197 hypothetical protein	MF599468.1_00027 MF599468.1 - hypothetical protein translation																											
N33.HOG0000043	OG0000140	n0	AF303741.1_00185 hypothetical protein						HF920633.1_00104 hypothetical protein, HF920633.1_00092 hypothetical protein, HF920633.1_00153 hypothetical protein, HF920633.1_00014 hypothetical protein, HF920633.1_00027 hypothetical protein	HF920637.1_00169 HF920637.1 - hypothetical protein translation, HF920637.1_00084 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000044	OG0000143	n0													LS484712.1_00088 hypothetical protein, LS484712.1_00083 hypothetical protein, LS484712.1_00084 hypothetical protein, LS484712.1_00082 hypothetical protein, LS484712.1_00092 hypothetical protein, LS484712.1_00086 hypothetical protein, LS484712.1_00087 hypothetical protein, LS484712.1_00085 hypothetical protein																												
N33.HOG0000045	OG0000144	n0	AF303741.1_00070 hypothetical protein, AF303741.1_00099 hypothetical protein						HF920633.1_00129 hypothetical protein, HF920633.1_00099 hypothetical protein, HF920633.1_00019 hypothetical protein, HF920633.1_00100 hypothetical protein	HF920637.1_00151 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000046	OG0000145	n0	AF303741.1_00145 hypothetical protein, AF303741.1_00090 hypothetical protein						HF920633.1_00088 hypothetical protein	HF920637.1_00011 HF920637.1 - hypothetical protein translation, HF920637.1_00180 HF920637.1 - hypothetical protein translation		KF938901.1_00112 hypothetical protein			LS484712.1_00211 hypothetical protein																												
N33.HOG0000047	OG0000146	n0	AF303741.1_00183 hypothetical protein						HF920633.1_00036 hypothetical protein	HF920637.1_00168 HF920637.1 - hypothetical protein translation		KF938901.1_00106 hypothetical protein				MF599468.1_00074 MF599468.1 - hypothetical protein translation																											
N33.HOG0000048	OG0000147	n0	AF303741.1_00192 hypothetical protein						HF920633.1_00106 hypothetical protein	HF920637.1_00150 HF920637.1 - hypothetical protein translation		KF938901.1_00118 Deoxyuridine				MF599468.1_00142 MF599468.1 - Deoxyuridine																											
N33.HOG0000049	OG0000150	n0							HF920633.1_00024 hypothetical protein			KF938901.1_00027 hypothetical protein				MF599468.1_00060 MF599468.1 - hypothetical protein translation																											
N33.HOG0000050	OG0000153	n0								HF920637.1_00072 HF920637.1 - hypothetical protein translation						MF599468.1_00156 MF599468.1 - hypothetical protein translation, MF599468.1_00066 MF599468.1 - hypothetical protein translation																											
N33.HOG0000051	OG0000154	n0														MF599468.1_00047 MF599468.1 - hypothetical protein translation, MF599468.1_00049 MF599468.1 - hypothetical protein translation, MF599468.1_00119 MF599468.1 - hypothetical protein translation, MF599468.1_00118 MF599468.1 - hypothetical protein translation, MF599468.1_00159 MF599468.1 - hypothetical protein translation, MF599468.1_00157 MF599468.1 - hypothetical protein translation, MF599468.1_00158 MF599468.1 - hypothetical protein translation																											
N33.HOG0000052	OG0000155	n0	AF303741.1_00147 hypothetical protein, AF303741.1_00049 hypothetical protein, AF303741.1_00078 hypothetical protein, AF303741.1_00083 hypothetical protein						HF920633.1_00030 hypothetical protein	HF920637.1_00116 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000053	OG0000156	n0	AF303741.1_00056 hypothetical protein						HF920633.1_00134 hypothetical protein	HF920637.1_00056 HF920637.1 - hypothetical protein translation		KF938901.1_00102 hypothetical protein			LS484712.1_00116 hypothetical protein	MF599468.1_00141 MF599468.1 - hypothetical protein translation																											
N33.HOG0000054	OG0000157	n0	AF303741.1_00068 hypothetical protein, AF303741.1_00067 hypothetical protein						HF920633.1_00039 hypothetical protein	HF920637.1_00140 HF920637.1 - hypothetical protein translation		KF938901.1_00075 hypothetical protein			LS484712.1_00113 hypothetical protein																												
N33.HOG0000055	OG0000158	n0	AF303741.1_00076 hypothetical protein						HF920633.1_00105 hypothetical protein	HF920637.1_00095 HF920637.1 - hypothetical protein translation		KF938901.1_00117 hypothetical protein			LS484712.1_00140 hypothetical protein	MF599468.1_00004 MF599468.1 - hypothetical protein translation																											
N33.HOG0000056	OG0000159	n0	AF303741.1_00087 hypothetical protein						HF920633.1_00082 hypothetical protein	HF920637.1_00049 HF920637.1 - hypothetical protein translation		KF938901.1_00103 hypothetical protein			LS484712.1_00195 hypothetical protein	MF599468.1_00162 MF599468.1 - hypothetical protein translation																											
N33.HOG0000057	OG0000160	n0	AF303741.1_00091 DNA ligase						HF920633.1_00169 DNA ligase	HF920637.1_00120 HF920637.1 - DNA ligase translation		KF938901.1_00128 DNA ligase			LS484712.1_00212 hypothetical protein	MF599468.1_00067 MF599468.1 - DNA ligase translation																											
N33.HOG0000058	OG0000161	n0	AF303741.1_00096 hypothetical protein						HF920633.1_00177 hypothetical protein	HF920637.1_00045 HF920637.1 - hypothetical protein translation		KF938901.1_00121 hypothetical protein			LS484712.1_00112 hypothetical protein	MF599468.1_00105 MF599468.1 - hypothetical protein translation																											
N33.HOG0000059	OG0000162	n0	AF303741.1_00105 hypothetical protein						HF920633.1_00144 hypothetical protein			KF938901.1_00101 hypothetical protein				MF599468.1_00081 MF599468.1 - hypothetical protein translation																											
N33.HOG0000060	OG0000163	n0	AF303741.1_00169 hypothetical protein						HF920633.1_00145 hypothetical protein	HF920637.1_00148 HF920637.1 - hypothetical protein translation, HF920637.1_00077 HF920637.1 - hypothetical protein translation		KF938901.1_00104 hypothetical protein				MF599468.1_00045 MF599468.1 - hypothetical protein translation																											
N33.HOG0000061	OG0000164	n0	AF303741.1_00179 hypothetical protein						HF920633.1_00046 hypothetical protein	HF920637.1_00067 HF920637.1 - hypothetical protein translation		KF938901.1_00150 hypothetical protein			LS484712.1_00184 hypothetical protein	MF599468.1_00155 MF599468.1 - hypothetical protein translation																											
N33.HOG0000062	OG0000165	n0	AF303741.1_00181 hypothetical protein						HF920633.1_00161 hypothetical protein, HF920633.1_00031 hypothetical protein	HF920637.1_00069 HF920637.1 - hypothetical protein translation		KF938901.1_00006 hypothetical protein, KF938901.1_00105 hypothetical protein																															
N33.HOG0000063	OG0000166	n0	AF303741.1_00182 hypothetical protein						HF920633.1_00096 hypothetical protein	HF920637.1_00071 HF920637.1 - hypothetical protein translation, HF920637.1_00162 HF920637.1 - hypothetical protein translation		KF938901.1_00153 hypothetical protein, KF938901.1_00066 hypothetical protein																															
N33.HOG0000064	OG0000167	n0							HF920633.1_00171 hypothetical protein			KF938901.1_00017 hypothetical protein																															
N33.HOG0000065	OG0000168	n0														MF599468.1_00089 MF599468.1 - hypothetical protein translation, MF599468.1_00108 MF599468.1 - hypothetical protein translation																											
N33.HOG0000066	OG0000169	n0							HF920633.1_00034 hypothetical protein			KF938901.1_00009 hypothetical protein																															
N33.HOG0000067	OG0000170	n0													LS484712.1_00268 hypothetical protein, LS484712.1_00269 hypothetical protein, LS484712.1_00270 hypothetical protein, LS484712.1_00225 hypothetical protein, LS484712.1_00089 hypothetical protein, LS484712.1_00090 hypothetical protein																												
N33.HOG0000068	OG0000172	n0	AF303741.1_00142 hypothetical protein, AF303741.1_00141 hypothetical protein, AF303741.1_00001 hypothetical protein							HF920637.1_00122 HF920637.1 - hypothetical protein translation, HF920637.1_00062 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000069	OG0000173	n0	AF303741.1_00003 hypothetical protein						HF920633.1_00128 hypothetical protein	HF920637.1_00020 HF920637.1 - hypothetical protein translation		KF938901.1_00116 hypothetical protein				MF599468.1_00129 MF599468.1 - hypothetical protein translation																											
N33.HOG0000070	OG0000174	n0	AF303741.1_00004 hypothetical protein						HF920633.1_00110 hypothetical protein	HF920637.1_00139 HF920637.1 - hypothetical protein translation		KF938901.1_00133 hypothetical protein				MF599468.1_00022 MF599468.1 - hypothetical protein translation																											
N33.HOG0000071	OG0000175	n0	AF303741.1_00009 hypothetical protein							HF920637.1_00013 HF920637.1 - hypothetical protein translation																																	
N33.HOG0000072	OG0000176	n0	AF303741.1_00015 DNA topoisomerase 2						HF920633.1_00149 DNA topoisomerase 2	HF920637.1_00100 HF920637.1 - DNA topoisomerase 2 translation		KF938901.1_00141 DNA topoisomerase 2				MF599468.1_00079 MF599468.1 - hypothetical protein translation																											
N33.HOG0000073	OG0000177	n0	AF303741.1_00017 hypothetical protein						HF920633.1_00165 hypothetical protein	HF920637.1_00212 HF920637.1 - hypothetical protein translation		KF938901.1_00014 hypothetical protein				MF599468.1_00037 MF599468.1 - hypothetical protein translation																											
N33.HOG0000074	OG0000178	n0	AF303741.1_00085 hypothetical protein						HF920633.1_00103 hypothetical protein	HF920637.1_00047 HF920637.1 - hypothetical protein translation		KF938901.1_00100 hypothetical protein				MF599468.1_00025 MF599468.1 - hypothetical protein translation																											
N33.HOG0000075	OG0000179	n0	AF303741.1_00086 hypothetical protein						HF920633.1_00020 hypothetical protein, HF920633.1_00021 hypothetical protein	HF920637.1_00048 HF920637.1 - hypothetical protein translation		KF938901.1_00099 hypothetical protein																															
N33.HOG0000076	OG0000180	n0	AF303741.1_00104 hypothetical protein						HF920633.1_00032 hypothetical protein			KF938901.1_00073 hypothetical protein				MF599468.1_00052 MF599468.1 - hypothetical protein translation, MF599468.1_00061 MF599468.1 - hypothetical protein translation																											
N33.HOG0000077	OG0000181	n0	AF303741.1_00112 hypothetical protein						HF920633.1_00022 hypothetical protein	HF920637.1_00085 HF920637.1 - hypothetical protein translation		KF938901.1_00152 hypothetical protein				MF599468.1_00043 MF599468.1 - hypothetical protein translation																											
N33.HOG0000078	OG0000182	n0	AF303741.1_00117 hypothetical protein													MF599468.1_00098 MF599468.1 - Thymidylate kinase translation																											
N33.HOG0000079	OG0000183	n0	AF303741.1_00122 hypothetical protein						HF920633.1_00131 hypothetical protein	HF920637.1_00019 HF920637.1 - hypothetical protein translation		KF938901.1_00063 hypothetical protein			LS484712.1_00196 hypothetical protein																												
N33.HOG0000080	OG0000184	n0	AF303741.1_00136 hypothetical protein						HF920633.1_00120 hypothetical protein	HF920637.1_00193 HF920637.1 - hypothetical protein translation		KF938901.1_00134 hypothetical protein				MF599468.1_00015 MF599468.1 - hypothetical protein translation																											
N33.HOG0000081	OG0000185	n0	AF303741.1_00146 hypothetical protein						HF920633.1_00146 hypothetical protein	HF920637.1_00043 HF920637.1 - hypothetical protein translation		KF938901.1_00139 hypothetical protein			LS484712.1_00224 hypothetical protein																												
N33.HOG0000082	OG0000186	n0	AF303741.1_00148 hypothetical protein						HF920633.1_00056 hypothetical protein	HF920637.1_00160 HF920637.1 - hypothetical protein translation		KF938901.1_00070 hypothetical protein				MF599468.1_00172 MF599468.1 - hypothetical protein translation																											
N33.HOG0000083	OG0000187	n0	AF303741.1_00150 hypothetical protein						HF920633.1_00123 hypothetical protein	HF920637.1_00192 HF920637.1 - hypothetical protein translation		KF938901.1_00146 hypothetical protein				MF599468.1_00044 MF599468.1 - hypothetical protein translation																											
N33.HOG0000084	OG0000188	n0	AF303741.1_00151 hypothetical protein						HF920633.1_00050 hypothetical protein	HF920637.1_00070 HF920637.1 - hypothetical protein translation		KF938901.1_00077 hypothetical protein			LS484712.1_00060 hypothetical protein																												
N33.HOG0000085	OG0000189	n0	AF303741.1_00161 hypothetical protein						HF920633.1_00098 hypothetical protein	HF920637.1_00194 HF920637.1 - hypothetical protein translation		KF938901.1_00079 hypothetical protein				MF599468.1_00065 MF599468.1 - hypothetical protein translation																											
N33.HOG0000086	OG0000190	n0	AF303741.1_00174 hypothetical protein							HF920637.1_00136 HF920637.1 - hypothetical protein translation, HF920637.1_00133 HF920637.1 - hypothetical protein translation, HF920637.1_00142 HF920637.1 - hypothetical protein translation						MF599468.1_00016 MF599468.1 - hypothetical protein translation																											
