Orthogroup	KC244182.1	BD143114.1
OG0000065	KC244182.1_00037	BD143114.1_00037
OG0000066	KC244182.1_00041	BD143114.1_00033
OG0000067	KC244182.1_00045	BD143114.1_00029
OG0000068	KC244182.1_00066	BD143114.1_00009
OG0000069	KC244182.1_00098	BD143114.1_00101
OG0000070	KC244182.1_00100	BD143114.1_00099
OG0000071	KC244182.1_00115	BD143114.1_00084
OG0000072	KC244182.1_00009	BD143114.1_00066
OG0000073	KC244182.1_00011	BD143114.1_00063
OG0000074	KC244182.1_00015	BD143114.1_00059
OG0000075	KC244182.1_00033	BD143114.1_00041
OG0000076	KC244182.1_00036	BD143114.1_00038
OG0000077	KC244182.1_00039	BD143114.1_00035
OG0000078	KC244182.1_00040	BD143114.1_00034
OG0000079	KC244182.1_00044	BD143114.1_00030
OG0000080	KC244182.1_00050	BD143114.1_00025
OG0000081	KC244182.1_00051	BD143114.1_00024
OG0000082	KC244182.1_00052	BD143114.1_00023
OG0000083	KC244182.1_00062	BD143114.1_00014
OG0000084	KC244182.1_00065	BD143114.1_00011
OG0000085	KC244182.1_00067	BD143114.1_00008
OG0000086	KC244182.1_00068	BD143114.1_00007
OG0000087	KC244182.1_00073	BD143114.1_00003
OG0000088	KC244182.1_00074	BD143114.1_00002
OG0000089	KC244182.1_00084	BD143114.1_00116
OG0000090	KC244182.1_00085	BD143114.1_00115
OG0000091	KC244182.1_00097	BD143114.1_00102
OG0000092	KC244182.1_00101	BD143114.1_00098
OG0000093	KC244182.1_00105	BD143114.1_00094
OG0000094	KC244182.1_00108	BD143114.1_00091
OG0000095	KC244182.1_00109	BD143114.1_00090
OG0000098	KC244182.1_00004	BD143114.1_00071
OG0000099	KC244182.1_00038	BD143114.1_00036
OG0000100	KC244182.1_00042	BD143114.1_00032
OG0000101	KC244182.1_00070	BD143114.1_00006
OG0000102	KC244182.1_00079	BD143114.1_00121
OG0000103	KC244182.1_00102	BD143114.1_00097
OG0000104	KC244182.1_00106	BD143114.1_00093
OG0000105	KC244182.1_00117	BD143114.1_00082
OG0000106	KC244182.1_00027	BD143114.1_00047
OG0000107	KC244182.1_00103	BD143114.1_00096
OG0000108	KC244182.1_00120	BD143114.1_00078
OG0000109	KC244182.1_00071	BD143114.1_00005
OG0000110	KC244182.1_00119	BD143114.1_00080
OG0000111	KC244182.1_00093	BD143114.1_00106
OG0000112	KC244182.1_00080	BD143114.1_00120
OG0000114	KC244182.1_00021	BD143114.1_00054
OG0000116	KC244182.1_00053	BD143114.1_00022
OG0000118	KC244182.1_00092	BD143114.1_00107
OG0000120	KC244182.1_00104	BD143114.1_00095
OG0000121	KC244182.1_00113	BD143114.1_00086
