Orthogroup	AF371960.1	KC244182.1
OG0000064	AF371960.1_00017	KC244182.1_00016
OG0000065	AF371960.1_00039	KC244182.1_00037
OG0000066	AF371960.1_00043	KC244182.1_00041
OG0000067	AF371960.1_00047	KC244182.1_00045
OG0000068	AF371960.1_00068	KC244182.1_00066
OG0000069	AF371960.1_00099	KC244182.1_00098
OG0000070	AF371960.1_00101	KC244182.1_00100
OG0000071	AF371960.1_00114	KC244182.1_00115
OG0000072	AF371960.1_00009	KC244182.1_00009
OG0000073	AF371960.1_00012	KC244182.1_00011
OG0000074	AF371960.1_00016	KC244182.1_00015
OG0000075	AF371960.1_00035	KC244182.1_00033
OG0000076	AF371960.1_00038	KC244182.1_00036
OG0000077	AF371960.1_00041	KC244182.1_00039
OG0000078	AF371960.1_00042	KC244182.1_00040
OG0000079	AF371960.1_00046	KC244182.1_00044
OG0000080	AF371960.1_00051	KC244182.1_00050
OG0000081	AF371960.1_00052	KC244182.1_00051
OG0000082	AF371960.1_00053	KC244182.1_00052
OG0000083	AF371960.1_00063	KC244182.1_00062
OG0000084	AF371960.1_00066	KC244182.1_00065
OG0000085	AF371960.1_00069	KC244182.1_00067
OG0000086	AF371960.1_00070	KC244182.1_00068
OG0000087	AF371960.1_00075	KC244182.1_00073
OG0000088	AF371960.1_00076	KC244182.1_00074
OG0000089	AF371960.1_00086	KC244182.1_00084
OG0000090	AF371960.1_00087	KC244182.1_00085
OG0000091	AF371960.1_00098	KC244182.1_00097
OG0000092	AF371960.1_00102	KC244182.1_00101
OG0000093	AF371960.1_00105	KC244182.1_00105
OG0000094	AF371960.1_00108	KC244182.1_00108
OG0000095	AF371960.1_00109	KC244182.1_00109
OG0000097	AF371960.1_00003	KC244182.1_00003
OG0000098	AF371960.1_00004	KC244182.1_00004
OG0000099	AF371960.1_00040	KC244182.1_00038
OG0000100	AF371960.1_00044	KC244182.1_00042
OG0000101	AF371960.1_00071	KC244182.1_00070
OG0000102	AF371960.1_00081	KC244182.1_00079
OG0000103	AF371960.1_00103	KC244182.1_00102
OG0000104	AF371960.1_00106	KC244182.1_00106
OG0000105	AF371960.1_00116	KC244182.1_00117
OG0000106	AF371960.1_00029	KC244182.1_00027
OG0000107	AF371960.1_00104	KC244182.1_00103
OG0000108	AF371960.1_00120	KC244182.1_00120
OG0000109	AF371960.1_00072	KC244182.1_00071
OG0000110	AF371960.1_00118	KC244182.1_00119
OG0000116	AF371960.1_00054	KC244182.1_00053
OG0000118	AF371960.1_00094	KC244182.1_00092
OG0000140	AF371960.1_00077	KC244182.1_00075
