Orthogroup	MF599468	HF920637
OG0000127	MF599468.1_00054 MF599468.1 - hypothetical protein translation, MF599468.1_00023 MF599468.1 - hypothetical protein translation, MF599468.1_00145 MF599468.1 - hypothetical protein translation, MF599468.1_00038 MF599468.1 - hypothetical protein translation, MF599468.1_00070 MF599468.1 - hypothetical protein translation, MF599468.1_00055 MF599468.1 - hypothetical protein translation, MF599468.1_00091 MF599468.1 - hypothetical protein translation, MF599468.1_00128 MF599468.1 - hypothetical protein translation, MF599468.1_00103 MF599468.1 - hypothetical protein translation, MF599468.1_00101 MF599468.1 - hypothetical protein translation, MF599468.1_00104 MF599468.1 - hypothetical protein translation, MF599468.1_00024 MF599468.1 - hypothetical protein translation, MF599468.1_00102 MF599468.1 - hypothetical protein translation, MF599468.1_00099 MF599468.1 - hypothetical protein translation, MF599468.1_00100 MF599468.1 - hypothetical protein translation, MF599468.1_00029 MF599468.1 - hypothetical protein translation	HF920637.1_00183 HF920637.1 - hypothetical protein translation
OG0000132	MF599468.1_00002 MF599468.1 - hypothetical protein translation	HF920637.1_00219 HF920637.1 - hypothetical protein translation
OG0000136	MF599468.1_00051 MF599468.1 - hypothetical protein translation	HF920637.1_00181 HF920637.1 - hypothetical protein translation
OG0000142	MF599468.1_00161 MF599468.1 - hypothetical protein translation	HF920637.1_00060 HF920637.1 - putative helicase D10 translation
OG0000143	MF599468.1_00027 MF599468.1 - hypothetical protein translation	HF920637.1_00014 HF920637.1 - hypothetical protein translation
OG0000147	MF599468.1_00074 MF599468.1 - hypothetical protein translation	HF920637.1_00168 HF920637.1 - hypothetical protein translation
OG0000148	MF599468.1_00142 MF599468.1 - Deoxyuridine	HF920637.1_00150 HF920637.1 - hypothetical protein translation
OG0000154	MF599468.1_00156 MF599468.1 - hypothetical protein translation, MF599468.1_00066 MF599468.1 - hypothetical protein translation	HF920637.1_00072 HF920637.1 - hypothetical protein translation
OG0000161	MF599468.1_00141 MF599468.1 - hypothetical protein translation	HF920637.1_00056 HF920637.1 - hypothetical protein translation
OG0000163	MF599468.1_00004 MF599468.1 - hypothetical protein translation	HF920637.1_00095 HF920637.1 - hypothetical protein translation
OG0000164	MF599468.1_00162 MF599468.1 - hypothetical protein translation	HF920637.1_00049 HF920637.1 - hypothetical protein translation
OG0000165	MF599468.1_00067 MF599468.1 - DNA ligase translation	HF920637.1_00120 HF920637.1 - DNA ligase translation
OG0000166	MF599468.1_00105 MF599468.1 - hypothetical protein translation	HF920637.1_00045 HF920637.1 - hypothetical protein translation
OG0000169	MF599468.1_00045 MF599468.1 - hypothetical protein translation	HF920637.1_00148 HF920637.1 - hypothetical protein translation, HF920637.1_00077 HF920637.1 - hypothetical protein translation
OG0000170	MF599468.1_00155 MF599468.1 - hypothetical protein translation	HF920637.1_00067 HF920637.1 - hypothetical protein translation
OG0000179	MF599468.1_00129 MF599468.1 - hypothetical protein translation	HF920637.1_00020 HF920637.1 - hypothetical protein translation
OG0000180	MF599468.1_00022 MF599468.1 - hypothetical protein translation	HF920637.1_00139 HF920637.1 - hypothetical protein translation
OG0000181	MF599468.1_00079 MF599468.1 - hypothetical protein translation	HF920637.1_00100 HF920637.1 - DNA topoisomerase 2 translation
OG0000182	MF599468.1_00037 MF599468.1 - hypothetical protein translation	HF920637.1_00212 HF920637.1 - hypothetical protein translation
OG0000183	MF599468.1_00025 MF599468.1 - hypothetical protein translation	HF920637.1_00047 HF920637.1 - hypothetical protein translation
OG0000186	MF599468.1_00043 MF599468.1 - hypothetical protein translation	HF920637.1_00085 HF920637.1 - hypothetical protein translation
OG0000188	MF599468.1_00015 MF599468.1 - hypothetical protein translation	HF920637.1_00193 HF920637.1 - hypothetical protein translation
OG0000190	MF599468.1_00172 MF599468.1 - hypothetical protein translation	HF920637.1_00160 HF920637.1 - hypothetical protein translation
OG0000191	MF599468.1_00044 MF599468.1 - hypothetical protein translation	HF920637.1_00192 HF920637.1 - hypothetical protein translation
OG0000193	MF599468.1_00065 MF599468.1 - hypothetical protein translation	HF920637.1_00194 HF920637.1 - hypothetical protein translation
OG0000194	MF599468.1_00016 MF599468.1 - hypothetical protein translation	HF920637.1_00136 HF920637.1 - hypothetical protein translation, HF920637.1_00133 HF920637.1 - hypothetical protein translation, HF920637.1_00142 HF920637.1 - hypothetical protein translation
OG0000198	MF599468.1_00125 MF599468.1 - hypothetical protein translation	HF920637.1_00005 HF920637.1 - hypothetical protein translation
OG0000259	MF599468.1_00072 MF599468.1 - hypothetical protein translation	HF920637.1_00090 HF920637.1 - hypothetical protein translation
OG0000263	MF599468.1_00039 MF599468.1 - hypothetical protein translation	HF920637.1_00203 HF920637.1 - hypothetical protein translation
OG0000265	MF599468.1_00107 MF599468.1 - hypothetical protein translation	HF920637.1_00064 HF920637.1 - hypothetical protein translation
