Orthogroup	OM037668	MK637631
OG0000024	OM037668.1_00097 hypothetical protein	MK637631_00087 hypothetical protein
OG0000025	OM037668.1_00096 hypothetical protein	MK637631_00088 hypothetical protein
OG0000026	OM037668.1_00009 hypothetical protein	MK637631_00066 hypothetical protein
OG0000027	OM037668.1_00024 hypothetical protein	MK637631_00006 hypothetical protein
OG0000028	OM037668.1_00020 hypothetical protein	MK637631_00095 hypothetical protein
OG0000029	OM037668.1_00019 hypothetical protein	MK637631_00096 hypothetical protein
OG0000030	OM037668.1_00018 hypothetical protein	MK637631_00097 hypothetical protein
OG0000031	OM037668.1_00130 hypothetical protein	MK637631_00022 hypothetical protein
OG0000032	OM037668.1_00090 hypothetical protein	MK637631_00011 hypothetical protein
OG0000033	OM037668.1_00089 hypothetical protein	MK637631_00010 hypothetical protein
OG0000034	OM037668.1_00087 hypothetical protein	MK637631_00037 hypothetical protein
OG0000035	OM037668.1_00086 hypothetical protein	MK637631_00039 hypothetical protein
OG0000036	OM037668.1_00084 hypothetical protein	MK637631_00056 hypothetical protein
OG0000037	OM037668.1_00081 hypothetical protein	MK637631_00111 hypothetical protein
OG0000038	OM037668.1_00080 hypothetical protein	MK637631_00110 hypothetical protein
OG0000039	OM037668.1_00032 hypothetical protein	MK637631_00118 hypothetical protein
OG0000040	OM037668.1_00033 hypothetical protein	MK637631_00117 hypothetical protein
OG0000041	OM037668.1_00073 hypothetical protein	MK637631_00100 hypothetical protein
OG0000042	OM037668.1_00074 hypothetical protein	MK637631_00101 hypothetical protein
OG0000043	OM037668.1_00075 hypothetical protein	MK637631_00103 hypothetical protein
OG0000044	OM037668.1_00076 hypothetical protein	MK637631_00104 hypothetical protein
OG0000045	OM037668.1_00077 hypothetical protein	MK637631_00105 hypothetical protein
OG0000046	OM037668.1_00079 hypothetical protein	MK637631_00108 hypothetical protein
OG0000047	OM037668.1_00091 hypothetical protein	MK637631_00012 hypothetical protein
OG0000048	OM037668.1_00078 hypothetical protein	MK637631_00106 hypothetical protein
OG0000049	OM037668.1_00004 hypothetical protein	MK637631_00046 hypothetical protein
OG0000050	OM037668.1_00030 hypothetical protein	MK637631_00001 hypothetical protein
OG0000051	OM037668.1_00051 hypothetical protein	MK637631_00029 hypothetical protein
OG0000052	OM037668.1_00048 hypothetical protein	MK637631_00032 hypothetical protein
OG0000054	OM037668.1_00127 DNA-directed RNA polymerase subunit 2	MK637631_00024 DNA-directed RNA polymerase subunit 2
OG0000055	OM037668.1_00021 hypothetical protein	MK637631_00094 hypothetical protein
OG0000056	OM037668.1_00082 hypothetical protein	MK637631_00055 hypothetical protein
OG0000057	OM037668.1_00134 hypothetical protein	MK637631_00048 hypothetical protein
OG0000058	OM037668.1_00028 hypothetical protein	MK637631_00004 hypothetical protein
OG0000059	OM037668.1_00003 hypothetical protein	MK637631_00049 hypothetical protein
OG0000064	OM037668.1_00042 hypothetical protein	MK637631_00018 hypothetical protein
OG0000107	OM037668.1_00095 hypothetical protein	MK637631_00089 hypothetical protein
OG0000114	OM037668.1_00085 hypothetical protein	MK637631_00057 hypothetical protein
OG0000116	OM037668.1_00053 hypothetical protein	MK637631_00027 hypothetical protein
OG0000117	OM037668.1_00101 hypothetical protein	MK637631_00083 hypothetical protein
OG0000119	OM037668.1_00062 hypothetical protein	MK637631_00058 hypothetical protein
OG0000127	OM037668.1_00071 Serine proteinase inhibitor 2	MK637631_00063 Serine proteinase inhibitor 2
OG0000127	OM037668.1_00015 Serine proteinase inhibitor 1	MK637631_00034 Serine proteinase inhibitor 1
OG0000128	OM037668.1_00092 hypothetical protein, OM037668.1_00093 hypothetical protein	MK637631_00013 hypothetical protein
OG0000129	OM037668.1_00128 hypothetical protein, OM037668.1_00121 hypothetical protein	MK637631_00041 hypothetical protein
OG0000130	OM037668.1_00133 hypothetical protein	MK637631_00051 hypothetical protein, MK637631_00109 hypothetical protein, MK637631_00113 hypothetical protein
OG0000132	OM037668.1_00094 hypothetical protein	MK637631_00014 hypothetical protein, MK637631_00090 hypothetical protein
OG0000134	OM037668.1_00029 hypothetical protein	MK637631_00003 hypothetical protein
OG0000135	OM037668.1_00025 hypothetical protein	MK637631_00005 hypothetical protein
OG0000136	OM037668.1_00023 hypothetical protein	MK637631_00007 Thymidylate kinase
OG0000137	OM037668.1_00039 hypothetical protein	MK637631_00015 hypothetical protein
OG0000138	OM037668.1_00044 hypothetical protein	MK637631_00019 hypothetical protein
OG0000139	OM037668.1_00055 hypothetical protein	MK637631_00026 hypothetical protein
OG0000140	OM037668.1_00052 hypothetical protein	MK637631_00028 hypothetical protein
OG0000141	OM037668.1_00049 hypothetical protein	MK637631_00031 hypothetical protein
OG0000142	OM037668.1_00036 hypothetical protein	MK637631_00035 hypothetical protein
OG0000143	OM037668.1_00022 hypothetical protein	MK637631_00038 hypothetical protein
OG0000144	OM037668.1_00063 hypothetical protein	MK637631_00040 hypothetical protein
OG0000145	OM037668.1_00007 hypothetical protein	MK637631_00050 hypothetical protein
OG0000146	OM037668.1_00069 hypothetical protein	MK637631_00060 hypothetical protein
OG0000147	OM037668.1_00026 hypothetical protein	MK637631_00061 hypothetical protein
OG0000148	OM037668.1_00008 hypothetical protein	MK637631_00065 hypothetical protein
OG0000149	OM037668.1_00012 hypothetical protein	MK637631_00069 hypothetical protein
OG0000150	OM037668.1_00114 hypothetical protein	MK637631_00073 hypothetical protein
OG0000151	OM037668.1_00112 hypothetical protein	MK637631_00075 hypothetical protein
OG0000152	OM037668.1_00111 hypothetical protein	MK637631_00076 hypothetical protein
OG0000153	OM037668.1_00103 hypothetical protein	MK637631_00081 hypothetical protein
OG0000154	OM037668.1_00102 hypothetical protein	MK637631_00082 hypothetical protein
OG0000155	OM037668.1_00058 hypothetical protein	MK637631_00092 hypothetical protein
OG0000156	OM037668.1_00072 hypothetical protein	MK637631_00098 hypothetical protein
OG0000157	OM037668.1_00034 hypothetical protein	MK637631_00116 hypothetical protein
OG0000158	OM037668.1_00115 hypothetical protein	MK637631_00072 hypothetical protein
