Orthogroup	MK637631	OQ475017
OG0000037	MK637631_00111 hypothetical protein	OQ475017.1_00092 OQ475017.1 - hypothetical protein translation
OG0000038	MK637631_00110 hypothetical protein	OQ475017.1_00093 OQ475017.1 - hypothetical protein translation
OG0000039	MK637631_00118 hypothetical protein	OQ475017.1_00094 OQ475017.1 - hypothetical protein translation
OG0000040	MK637631_00117 hypothetical protein	OQ475017.1_00097 OQ475017.1 - hypothetical protein translation
OG0000041	MK637631_00100 hypothetical protein	OQ475017.1_00105 OQ475017.1 - hypothetical protein translation
OG0000042	MK637631_00101 hypothetical protein	OQ475017.1_00108 OQ475017.1 - hypothetical protein translation
OG0000043	MK637631_00103 hypothetical protein	OQ475017.1_00109 OQ475017.1 - hypothetical protein translation
OG0000044	MK637631_00104 hypothetical protein	OQ475017.1_00110 OQ475017.1 - hypothetical protein translation
OG0000045	MK637631_00105 hypothetical protein	OQ475017.1_00112 OQ475017.1 - hypothetical protein translation
OG0000046	MK637631_00108 hypothetical protein	OQ475017.1_00114 OQ475017.1 - hypothetical protein translation
OG0000047	MK637631_00012 hypothetical protein	OQ475017.1_00118 OQ475017.1 - hypothetical protein translation
OG0000048	MK637631_00106 hypothetical protein	OQ475017.1_00120 OQ475017.1 - hypothetical protein translation
OG0000049	MK637631_00046 hypothetical protein	OQ475017.1_00121 OQ475017.1 - hypothetical protein translation
OG0000050	MK637631_00001 hypothetical protein	OQ475017.1 - 00001 translation OQ475017.1 - 00001 translation
OG0000051	MK637631_00029 hypothetical protein	OQ475017.1_00013 OQ475017.1 - hypothetical protein translation
OG0000052	MK637631_00032 hypothetical protein	OQ475017.1_00024 OQ475017.1 - hypothetical protein translation
OG0000054	MK637631_00024 DNA-directed RNA polymerase subunit 2	OQ475017.1_00035 OQ475017.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000055	MK637631_00094 hypothetical protein	OQ475017.1_00073 OQ475017.1 - hypothetical protein translation
OG0000057	MK637631_00048 hypothetical protein	OQ475017.1_00116 OQ475017.1 - hypothetical protein translation
OG0000058	MK637631_00004 hypothetical protein	OQ475017.1_00122 OQ475017.1 - hypothetical protein translation
OG0000059	MK637631_00049 hypothetical protein	OQ475017.1_00032 OQ475017.1 - hypothetical protein translation
OG0000063	MK637631_00102 hypothetical protein	OQ475017.1_00074 OQ475017.1 - hypothetical protein translation
OG0000064	MK637631_00018 hypothetical protein	OQ475017.1_00021 OQ475017.1 - hypothetical protein translation
OG0000107	MK637631_00089 hypothetical protein	OQ475017.1_00060 OQ475017.1 - hypothetical protein translation
OG0000114	MK637631_00057 hypothetical protein	OQ475017.1_00058 OQ475017.1 - hypothetical protein translation
OG0000116	MK637631_00027 hypothetical protein	OQ475017.1_00011 OQ475017.1 - hypothetical protein translation
OG0000117	MK637631_00083 hypothetical protein	OQ475017.1_00053 OQ475017.1 - hypothetical protein translation
OG0000120	MK637631_00107 hypothetical protein	OQ475017.1_00077 OQ475017.1 - hypothetical protein translation
