Orthogroup	MK098187.1	AY779031.1
OG0000040	MK098187.1_00024	AY779031.1_00025
OG0000041	MK098187.1_00035	AY779031.1_00036
OG0000042	MK098187.1_00039	AY779031.1_00040
OG0000043	MK098187.1_00051	AY779031.1_00053
OG0000044	MK098187.1_00052	AY779031.1_00054
OG0000045	MK098187.1_00056	AY779031.1_00059
OG0000046	MK098187.1_00057	AY779031.1_00060
OG0000047	MK098187.1_00059	AY779031.1_00062
OG0000048	MK098187.1_00060	AY779031.1_00063
OG0000049	MK098187.1_00061	AY779031.1_00065
OG0000050	MK098187.1_00078	AY779031.1_00086
OG0000051	MK098187.1_00082	AY779031.1_00090
OG0000052	MK098187.1_00083	AY779031.1_00091
OG0000053	MK098187.1_00094	AY779031.1_00102
OG0000054	MK098187.1_00096	AY779031.1_00104
OG0000055	MK098187.1_00099	AY779031.1_00107
OG0000056	MK098187.1_00111	AY779031.1_00120
OG0000057	MK098187.1_00116	AY779031.1_00125
OG0000058	MK098187.1_00118	AY779031.1_00127
OG0000059	MK098187.1_00002	AY779031.1_00002
OG0000060	MK098187.1_00010	AY779031.1_00010
OG0000062	MK098187.1_00091	AY779031.1_00099
OG0000063	MK098187.1_00073	AY779031.1_00074, AY779031.1_00075
OG0000064	MK098187.1_00017	AY779031.1_00123, AY779031.1_00018
OG0000065	MK098187.1_00041	AY779031.1_00042
OG0000066	MK098187.1_00045	AY779031.1_00047, AY779031.1_00046
OG0000067	MK098187.1_00049	AY779031.1_00051
OG0000068	MK098187.1_00068	AY779031.1_00072
OG0000069	MK098187.1_00098	AY779031.1_00106
OG0000070	MK098187.1_00100	AY779031.1_00110, AY779031.1_00111
OG0000071	MK098187.1_00115	AY779031.1_00124
OG0000072	MK098187.1_00009	AY779031.1_00009
OG0000073	MK098187.1_00012	AY779031.1_00012
OG0000074	MK098187.1_00016	AY779031.1_00017
OG0000075	MK098187.1_00037	AY779031.1_00038
OG0000076	MK098187.1_00040	AY779031.1_00041
OG0000077	MK098187.1_00043	AY779031.1_00044
OG0000078	MK098187.1_00044	AY779031.1_00045
OG0000079	MK098187.1_00048	AY779031.1_00050
OG0000080	MK098187.1_00053	AY779031.1_00055
OG0000081	MK098187.1_00054	AY779031.1_00056
OG0000082	MK098187.1_00055	AY779031.1_00057
OG0000083	MK098187.1_00063	AY779031.1_00067
OG0000084	MK098187.1_00066	AY779031.1_00070
OG0000085	MK098187.1_00069	AY779031.1_00073
OG0000086	MK098187.1_00070	AY779031.1_00076
OG0000087	MK098187.1_00074	AY779031.1_00081
OG0000088	MK098187.1_00075	AY779031.1_00082
OG0000089	MK098187.1_00084	AY779031.1_00092
OG0000090	MK098187.1_00085	AY779031.1_00093
OG0000091	MK098187.1_00097	AY779031.1_00105
OG0000092	MK098187.1_00101	AY779031.1_00112
OG0000093	MK098187.1_00105	AY779031.1_00114
OG0000094	MK098187.1_00108	AY779031.1_00117
OG0000095	MK098187.1_00109	AY779031.1_00118
OG0000097	MK098187.1_00003	AY779031.1_00003
OG0000098	MK098187.1_00004	AY779031.1_00004
OG0000099	MK098187.1_00042	AY779031.1_00043
OG0000100	MK098187.1_00046	AY779031.1_00048
OG0000101	MK098187.1_00071	AY779031.1_00077
OG0000102	MK098187.1_00079	AY779031.1_00087
OG0000104	MK098187.1_00106	AY779031.1_00115
OG0000105	MK098187.1_00117	AY779031.1_00126
OG0000106	MK098187.1_00031	AY779031.1_00032
OG0000109	MK098187.1_00072	AY779031.1_00079
OG0000110	MK098187.1_00119	AY779031.1_00128
OG0000111	MK098187.1_00093	AY779031.1_00101
OG0000112	MK098187.1_00080	AY779031.1_00088
OG0000114	MK098187.1_00021	AY779031.1_00022
OG0000115	MK098187.1_00011	AY779031.1_00011
OG0000117	MK098187.1_00067	AY779031.1_00071
OG0000118	MK098187.1_00092	AY779031.1_00100
OG0000120	MK098187.1_00104	AY779031.1_00113
OG0000124	MK098187.1_00028	AY779031.1_00028
OG0000144	MK098187.1_00025	AY779031.1_00026
OG0000150	MK098187.1_00027	AY779031.1_00027
