Orthogroup	GQ273492	MG570131
OG0000054	ORF78R_refgen ORF78R	MG570131.1_00082 hypothetical protein
OG0000055	GQ273492.1_00083 hypothetical protein	MG570131.1_00083 hypothetical protein
OG0000056	GQ273492.1_00084 hypothetical protein	MG570131.1_00084 hypothetical protein
OG0000057	GQ273492.1_00085 hypothetical protein	MG570131.1_00085 hypothetical protein
OG0000058	GQ273492.1_00086 hypothetical protein	MG570131.1_00086 hypothetical protein
OG0000059	GQ273492.1_00087 hypothetical protein	MG570131.1_00087 hypothetical protein
OG0000060	GQ273492.1_00091 hypothetical protein	MG570131.1_00091 hypothetical protein
OG0000061	GQ273492.1_00092 hypothetical protein	MG570131.1_00092 hypothetical protein
OG0000062	GQ273492.1_00093 hypothetical protein	MG570131.1_00093 hypothetical protein
OG0000063	GQ273492.1_00094 hypothetical protein	MG570131.1_00094 hypothetical protein
OG0000064	GQ273492.1_00095 hypothetical protein	MG570131.1_00095 hypothetical protein
OG0000065	GQ273492.1_00096 hypothetical protein	MG570131.1_00096 hypothetical protein
OG0000066	GQ273492.1_00097 hypothetical protein	MG570131.1_00097 hypothetical protein
OG0000067	GQ273492.1_00098 hypothetical protein	MG570131.1_00098 hypothetical protein
OG0000068	GQ273492.1_00099 hypothetical protein	MG570131.1_00099 hypothetical protein
OG0000069	GQ273492.1_00100 hypothetical protein	MG570131.1_00100 hypothetical protein
OG0000070	GQ273492.1_00103 hypothetical protein	MG570131.1_00103 hypothetical protein
OG0000071	ORF100R_refgen ORF100R	MG570131.1_00104 hypothetical protein
OG0000072	GQ273492.1_00106 hypothetical protein	MG570131.1_00106 hypothetical protein
OG0000073	GQ273492.1_00107 hypothetical protein	MG570131.1_00107 hypothetical protein
OG0000074	GQ273492.1_00108 hypothetical protein	MG570131.1_00108 hypothetical protein
OG0000075	GQ273492.1_00110 hypothetical protein	MG570131.1_00110 hypothetical protein
OG0000076	GQ273492.1_00112 hypothetical protein	MG570131.1_00112 hypothetical protein
OG0000077	GQ273492.1_00113 hypothetical protein	MG570131.1_00113 hypothetical protein
OG0000078	GQ273492.1_00114 hypothetical protein	MG570131.1_00114 hypothetical protein
OG0000079	GQ273492.1_00116 hypothetical protein	MG570131.1_00116 hypothetical protein
OG0000080	GQ273492.1_00118 hypothetical protein	MG570131.1_00118 hypothetical protein
OG0000081	GQ273492.1_00119 hypothetical protein	MG570131.1_00119 hypothetical protein
OG0000082	GQ273492.1_00066 hypothetical protein	MG570131.1_00066 hypothetical protein
OG0000083	GQ273492.1_00101 hypothetical protein	MG570131.1_00101 hypothetical protein
OG0000084	GQ273492.1_00001 hypothetical protein	MG570131.1_00001 hypothetical protein
OG0000085	GQ273492.1_00004 hypothetical protein	MG570131.1_00004 hypothetical protein
OG0000087	GQ273492.1_00024 hypothetical protein	MG570131.1_00025 hypothetical protein
OG0000088	GQ273492.1_00028 hypothetical protein	MG570131.1_00029 hypothetical protein
OG0000089	GQ273492.1_00032 hypothetical protein	MG570131.1_00033 hypothetical protein
OG0000090	GQ273492.1_00034 hypothetical protein	MG570131.1_00035 hypothetical protein
OG0000091	DNA-directed RNA polymerase II second largest subunit-like protein_refgen DNA-directed RNA polymerase II second largest subunit-like protein	MG570131.1_00036 DNA-directed RNA polymerase subunit 2
OG0000092	GQ273492.1_00037 hypothetical protein	MG570131.1_00038 hypothetical protein
OG0000093	GQ273492.1_00039 hypothetical protein	MG570131.1_00040 hypothetical protein
OG0000095	GQ273492.1_00068 hypothetical protein	MG570131.1_00068 hypothetical protein
OG0000096	GQ273492.1_00070 hypothetical protein	MG570131.1_00070 hypothetical protein
OG0000097	GQ273492.1_00073 hypothetical protein	MG570131.1_00073 hypothetical protein
OG0000098	GQ273492.1_00088 hypothetical protein	MG570131.1_00088 hypothetical protein
OG0000099	GQ273492.1_00089 hypothetical protein	MG570131.1_00089 hypothetical protein
OG0000100	GQ273492.1_00102 hypothetical protein	MG570131.1_00102 hypothetical protein
OG0000101	GQ273492.1_00105 hypothetical protein	MG570131.1_00105 hypothetical protein
OG0000103	GQ273492.1_00120 hypothetical protein	MG570131.1_00120 hypothetical protein
OG0000107	GQ273492.1_00038 hypothetical protein	MG570131.1_00039 hypothetical protein
OG0000109	GQ273492.1_00117 hypothetical protein	MG570131.1_00117 hypothetical protein
OG0000111	GQ273492.1_00111 hypothetical protein	MG570131.1_00111 hypothetical protein
OG0000113	GQ273492.1_00061 hypothetical protein	MG570131.1_00061 hypothetical protein
OG0000114	GQ273492.1_00059 hypothetical protein	MG570131.1_00059 hypothetical protein
OG0000115	GQ273492.1_00016 hypothetical protein	MG570131.1_00017 hypothetical protein
OG0000117	laminin-type epidermal growth factor-like protein_refgen laminin-type epidermal growth factor-like protein	MG570131.1_00026 hypothetical protein
OG0000120	GQ273492.1_00077 hypothetical protein	MG570131.1_00077 hypothetical protein
OG0000123	GQ273492.1_00109 hypothetical protein	MG570131.1_00109 hypothetical protein
