Orthogroup	GQ273492	MK098186
OG0000030	GQ273492.1_00047 hypothetical protein	MK689686.1_00046 hypothetical protein
OG0000031	GQ273492.1_00048 hypothetical protein	ORF045_refgen ORF045
OG0000032	GQ273492.1_00049 hypothetical protein	MK689686.1_00049 hypothetical protein
OG0000033	GQ273492.1_00050 hypothetical protein	MK689686.1_00050 hypothetical protein
OG0000034	GQ273492.1_00051 hypothetical protein	MK689686.1_00051 hypothetical protein
OG0000035	GQ273492.1_00052 hypothetical protein	MK689686.1_00052 hypothetical protein
OG0000036	GQ273492.1_00054 hypothetical protein	MK689686.1_00054 hypothetical protein
OG0000037	GQ273492.1_00055 hypothetical protein	MK689686.1_00055 hypothetical protein
OG0000038	GQ273492.1_00056 hypothetical protein	MK689686.1_00056 hypothetical protein
OG0000039	GQ273492.1_00057 hypothetical protein	MK689686.1_00057 hypothetical protein
OG0000040	GQ273492.1_00060 hypothetical protein	MK689686.1_00059 hypothetical protein
OG0000041	GQ273492.1_00062 hypothetical protein	MK689686.1_00061 hypothetical protein
OG0000042	GQ273492.1_00063 hypothetical protein	MK689686.1_00062 hypothetical protein
OG0000043	GQ273492.1_00064 hypothetical protein	MK689686.1_00063 hypothetical protein
OG0000044	GQ273492.1_00067 hypothetical protein	MK689686.1_00067 hypothetical protein
OG0000045	GQ273492.1_00071 hypothetical protein	MK689686.1_00072 hypothetical protein
OG0000046	GQ273492.1_00072 hypothetical protein	MK689686.1_00073 hypothetical protein
OG0000047	GQ273492.1_00074 hypothetical protein	MK689686.1_00075 hypothetical protein
OG0000048	GQ273492.1_00075 hypothetical protein	MK689686.1_00076 hypothetical protein
OG0000049	GQ273492.1_00076 hypothetical protein	MK689686.1_00077 hypothetical protein
OG0000050	GQ273492.1_00078 hypothetical protein	MK689686.1_00079 hypothetical protein
OG0000051	GQ273492.1_00079 hypothetical protein	MK689686.1_00080 hypothetical protein
OG0000052	GQ273492.1_00080 hypothetical protein	MK689686.1_00081 hypothetical protein
OG0000053	GQ273492.1_00081 hypothetical protein	MK689686.1_00082 hypothetical protein
OG0000054	ORF78R_refgen ORF78R	MK689686.1_00083 hypothetical protein
OG0000055	GQ273492.1_00083 hypothetical protein	MK689686.1_00084 hypothetical protein
OG0000056	GQ273492.1_00084 hypothetical protein	MK689686.1_00085 hypothetical protein
OG0000057	GQ273492.1_00085 hypothetical protein	MK689686.1_00086 hypothetical protein
OG0000058	GQ273492.1_00086 hypothetical protein	MK689686.1_00087 hypothetical protein
OG0000059	GQ273492.1_00087 hypothetical protein	MK689686.1_00088 hypothetical protein
OG0000060	GQ273492.1_00091 hypothetical protein	MK689686.1_00092 hypothetical protein
OG0000061	GQ273492.1_00092 hypothetical protein	MK689686.1_00093 hypothetical protein
OG0000062	GQ273492.1_00093 hypothetical protein	MK689686.1_00094 hypothetical protein
OG0000063	GQ273492.1_00094 hypothetical protein	MK689686.1_00095 hypothetical protein
OG0000064	GQ273492.1_00095 hypothetical protein	MK689686.1_00096 hypothetical protein
OG0000065	GQ273492.1_00096 hypothetical protein	MK689686.1_00097 hypothetical protein
OG0000066	GQ273492.1_00097 hypothetical protein	MK689686.1_00098 hypothetical protein
OG0000067	GQ273492.1_00098 hypothetical protein	MK689686.1_00099 hypothetical protein
OG0000068	GQ273492.1_00099 hypothetical protein	MK689686.1_00100 hypothetical protein
OG0000069	GQ273492.1_00100 hypothetical protein	MK689686.1_00101 hypothetical protein
OG0000070	GQ273492.1_00103 hypothetical protein	MK689686.1_00105 hypothetical protein
OG0000071	ORF100R_refgen ORF100R	MK689686.1_00106 hypothetical protein
OG0000072	GQ273492.1_00106 hypothetical protein	MK689686.1_00108 hypothetical protein
OG0000073	GQ273492.1_00107 hypothetical protein	MK689686.1_00109 hypothetical protein
OG0000074	GQ273492.1_00108 hypothetical protein	MK689686.1_00110 hypothetical protein
OG0000075	GQ273492.1_00110 hypothetical protein	MK689686.1_00112 hypothetical protein
OG0000076	GQ273492.1_00112 hypothetical protein	MK689686.1_00114 hypothetical protein
OG0000077	GQ273492.1_00113 hypothetical protein	MK689686.1_00115 hypothetical protein
OG0000078	GQ273492.1_00114 hypothetical protein	MK689686.1_00116 hypothetical protein
OG0000079	GQ273492.1_00116 hypothetical protein	MK689686.1_00118 hypothetical protein
OG0000080	GQ273492.1_00118 hypothetical protein	MK689686.1_00120 hypothetical protein
OG0000081	GQ273492.1_00119 hypothetical protein	MK689686.1_00121 hypothetical protein
OG0000082	GQ273492.1_00066 hypothetical protein	GQ273492.1_00066 hypothetical protein
OG0000083	GQ273492.1_00101 hypothetical protein	MK689686.1_00103 hypothetical protein
OG0000084	GQ273492.1_00001 hypothetical protein	transmembrane amino acid transporter protein_refgen transmembrane amino acid transporter protein
OG0000085	GQ273492.1_00004 hypothetical protein	MK689686.1_00004 hypothetical protein
OG0000087	GQ273492.1_00024 hypothetical protein	MK689686.1_00023 hypothetical protein
OG0000088	GQ273492.1_00028 hypothetical protein	ORF025_refgen ORF025
OG0000089	GQ273492.1_00032 hypothetical protein	MK689686.1_00031 hypothetical protein
OG0000090	GQ273492.1_00034 hypothetical protein	MK689686.1_00033 hypothetical protein
OG0000091	DNA-directed RNA polymerase II second largest subunit-like protein_refgen DNA-directed RNA polymerase II second largest subunit-like protein	MK689686.1_00034 DNA-directed RNA polymerase subunit 2
OG0000092	GQ273492.1_00037 hypothetical protein	MK689686.1_00036 hypothetical protein
OG0000093	GQ273492.1_00039 hypothetical protein	MK689686.1_00038 hypothetical protein
OG0000095	GQ273492.1_00068 hypothetical protein	MK689686.1_00068 hypothetical protein
OG0000096	GQ273492.1_00070 hypothetical protein	MK689686.1_00071 hypothetical protein
OG0000097	GQ273492.1_00073 hypothetical protein	MK689686.1_00074 hypothetical protein
OG0000098	GQ273492.1_00088 hypothetical protein	MK689686.1_00089 hypothetical protein
OG0000099	GQ273492.1_00089 hypothetical protein	putative RNA binding protein_refgen putative RNA binding protein
OG0000100	GQ273492.1_00102 hypothetical protein	MK689686.1_00104 hypothetical protein
OG0000101	GQ273492.1_00105 hypothetical protein	tumor necrosis factor receptor-associated factor_refgen tumor necrosis factor receptor-associated factor
OG0000103	GQ273492.1_00120 hypothetical protein	MK689686.1_00122 hypothetical protein
OG0000106	GQ273492.1_00021 hypothetical protein	ORF018_refgen ORF018
OG0000107	GQ273492.1_00038 hypothetical protein	MK689686.1_00037 hypothetical protein
OG0000109	GQ273492.1_00117 hypothetical protein	MK689686.1_00119 hypothetical protein
OG0000111	GQ273492.1_00111 hypothetical protein	MK689686.1_00113 hypothetical protein
OG0000113	GQ273492.1_00061 hypothetical protein	DNA-binding protein_refgen DNA-binding protein
OG0000114	GQ273492.1_00059 hypothetical protein	MK689686.1_00058 hypothetical protein
OG0000115	GQ273492.1_00016 hypothetical protein	GQ273492.1_00016 hypothetical protein
OG0000117	laminin-type epidermal growth factor-like protein_refgen laminin-type epidermal growth factor-like protein	laminin-type epidermal growth factor-like protein_refgen laminin-type epidermal growth factor-like protein
OG0000120	GQ273492.1_00077 hypothetical protein	MK689686.1_00078 hypothetical protein
OG0000122	ORF50R_refgen ORF50R	ORF049_refgen ORF050
OG0000123	GQ273492.1_00109 hypothetical protein	MK689686.1_00111 hypothetical protein
