Orthogroup	OQ475017.1	ON740976.1
OG0000064	OQ475017.1_00017	ON740976.1_00016
OG0000065	OQ475017.1_00038	ON740976.1_00038
OG0000066	OQ475017.1_00042	ON740976.1_00042
OG0000067	OQ475017.1_00046	ON740976.1_00046
OG0000068	OQ475017.1_00065	ON740976.1_00067
OG0000069	OQ475017.1_00096	ON740976.1_00097
OG0000070	OQ475017.1_00098	ON740976.1_00099
OG0000071	OQ475017.1_00113	ON740976.1_00114
OG0000072	OQ475017.1_00009	ON740976.1_00009
OG0000073	OQ475017.1_00012	ON740976.1_00011
OG0000074	OQ475017.1_00016	ON740976.1_00015
OG0000075	OQ475017.1_00034	ON740976.1_00034
OG0000076	OQ475017.1_00037	ON740976.1_00037
OG0000077	OQ475017.1_00040	ON740976.1_00040
OG0000078	OQ475017.1_00041	ON740976.1_00041
OG0000079	OQ475017.1_00045	ON740976.1_00045
OG0000080	OQ475017.1_00050	ON740976.1_00051
OG0000081	OQ475017.1_00051	ON740976.1_00052
OG0000082	OQ475017.1_00052	ON740976.1_00053
OG0000083	OQ475017.1_00061	ON740976.1_00062
OG0000084	OQ475017.1_00064	ON740976.1_00065
OG0000085	OQ475017.1_00066	ON740976.1_00068
OG0000086	OQ475017.1_00067	ON740976.1_00069
OG0000087	OQ475017.1_00071	ON740976.1_00073
OG0000088	OQ475017.1_00072	ON740976.1_00074
OG0000089	OQ475017.1_00081	ON740976.1_00083
OG0000090	OQ475017.1_00082	ON740976.1_00084
OG0000091	OQ475017.1_00095	ON740976.1_00096
OG0000092	OQ475017.1_00099	ON740976.1_00100
OG0000093	OQ475017.1_00103	ON740976.1_00104
OG0000094	OQ475017.1_00106	ON740976.1_00107
OG0000095	OQ475017.1_00107	ON740976.1_00108
OG0000096	OQ475017.1_00118	ON740976.1_00119
OG0000097	OQ475017.1_00003	ON740976.1_00003
OG0000098	OQ475017.1_00004	ON740976.1_00004
OG0000099	OQ475017.1_00039	ON740976.1_00039
OG0000100	OQ475017.1_00043	ON740976.1_00043
OG0000101	OQ475017.1_00068	ON740976.1_00070
OG0000102	OQ475017.1_00076	ON740976.1_00078
OG0000103	OQ475017.1_00100	ON740976.1_00101
OG0000104	OQ475017.1_00104	ON740976.1_00105
OG0000105	OQ475017.1_00115	ON740976.1_00116
OG0000107	OQ475017.1_00101	ON740976.1_00102
OG0000108	OQ475017.1_00119	ON740976.1_00120
OG0000109	OQ475017.1_00069	ON740976.1_00071
OG0000110	OQ475017.1_00117	ON740976.1_00118
OG0000111	OQ475017.1_00091	ON740976.1_00092
OG0000112	OQ475017.1_00077	ON740976.1_00079
OG0000113	OQ475017.1_00021	ON740976.1_00020
OG0000115	OQ475017.1_00053	ON740976.1_00054
OG0000118	OQ475017.1_00102	ON740976.1_00103
OG0000119	OQ475017.1_00111	ON740976.1_00112
OG0000124	OQ475017.1_00028	ON740976.1_00027
