Orthogroup	OQ475017.1	OK042109.1
OG0000097	OQ475017.1_00003	OK042109.1_00073
OG0000098	OQ475017.1_00004	OK042109.1_00072
OG0000099	OQ475017.1_00039	OK042109.1_00038
OG0000100	OQ475017.1_00043	OK042109.1_00034
OG0000101	OQ475017.1_00068	OK042109.1_00007
OG0000102	OQ475017.1_00076	OK042109.1_00121
OG0000103	OQ475017.1_00100	OK042109.1_00098
OG0000104	OQ475017.1_00104	OK042109.1_00094
OG0000105	OQ475017.1_00115	OK042109.1_00083
OG0000107	OQ475017.1_00101	OK042109.1_00097
OG0000108	OQ475017.1_00119	OK042109.1_00079
OG0000109	OQ475017.1_00069	OK042109.1_00006
OG0000110	OQ475017.1_00117	OK042109.1_00081
OG0000111	OQ475017.1_00091	OK042109.1_00107
OG0000112	OQ475017.1_00077	OK042109.1_00120
OG0000113	OQ475017.1_00021	OK042109.1_00055
OG0000114	OQ475017.1_00011	OK042109.1_00065
OG0000115	OQ475017.1_00053	OK042109.1_00023
OG0000118	OQ475017.1_00102	OK042109.1_00096
OG0000119	OQ475017.1_00111	OK042109.1_00087
