Orthogroup	AF303741.1	AF371960.1	AY521625.1	AY532606.1	AY779031.1	AY894343.1	BD143114.1	GQ273492.1	HF920633.1	HF920637.1	KC244182.1	KF938901.1	KT804738.1	KX643370	LS484712.1	MF599468.1	MG570131.1	MG570132.1	MK098185.1	MK098186.1	MK098187.1	MK689685.1	MK689686.1	MN432490.1	MN562489.1	MN803438.1	MT521409.1	MT798582.1	MT926123.1	MT986830.1	MW139932.1	NC_005946.1	NC_027778.1	OK042108.1	OK042109.1	OL774653.1	OL774654.1	OL774655.1	OM037668.1	ON075463.1	ON740976.1	ON743042.1	OP009387.1	OQ475017.1
OG0000010	AF303741.1_00006	AF371960.1_00064	AY521625.1_00053	AY532606.1_00064	AY779031.1_00068	AY894343.1_00063	BD143114.1_00013	GQ273492.1_00063	HF920633.1_00118	HF920637.1_00217	KC244182.1_00063	KF938901.1_00092	KT804738.1_00060	Lymph_LDV3_KX643370_00094	LS484712.1_00203	MF599468.1_00149	MG570131.1_00063	MG570132.1_00063	MK098185.1_00064	MK098186.1_00061	MK098187.1_00064	MK689685.1_00061	MK689686.1_00062	MN432490.1_00064	MN562489.1_00128	MN803438.1_00049	MT521409.1_00129	MT798582.1_00100	MT926123.1_00065	MT986830.1_00065	MW139932.1_00065	NC_005946.1_00011	NC_027778.1_00111	OK042108.1_00013	OK042109.1_00013	OL774653.1_00082	OL774654.1_00063	OL774655.1_00066	OM037668.1_00009	ON075463.1_00061	ON740976.1_00063	ON743042.1_00065	OP009387.1_00064	OQ475017.1_00062
OG0000011	AF303741.1_00011	AF371960.1_00021	AY521625.1_00110	AY532606.1_00020	AY779031.1_00023	AY894343.1_00021	BD143114.1_00053	GQ273492.1_00022	HF920633.1_00001	HF920637.1_00001	KC244182.1_00022	KF938901.1_00054	KT804738.1_00021	Lymph_LDV3_KX643370_00117	LS484712.1_00200	MF599468.1_00112	MG570131.1_00023	MG570132.1_00023	MK098185.1_00022	MK098186.1_00022	MK098187.1_00022	MK689685.1_00021	MK689686.1_00021	MN432490.1_00023	MN562489.1_00096	MN803438.1_00128	MT521409.1_00097	MT798582.1_00004	MT926123.1_00022	MT986830.1_00022	MW139932.1_00023	NC_005946.1_00060	NC_027778.1_00077	OK042108.1_00055	OK042109.1_00054	OL774653.1_00039	OL774654.1_00022	OL774655.1_00022	OM037668.1_00041	ON075463.1_00021	ON740976.1_00021	ON743042.1_00022	OP009387.1_00023	OQ475017.1_00022
OG0000012	AF303741.1_00023	AF371960.1_00057	AY521625.1_00048	AY532606.1_00057	AY779031.1_00061	AY894343.1_00056	BD143114.1_00019	GQ273492.1_00056	HF920633.1_00067	HF920637.1_00017	KC244182.1_00056	KF938901.1_00060	KT804738.1_00055	Lymph_LDV3_KX643370_00044	LS484712.1_00143	MF599468.1_00033	MG570131.1_00057	MG570132.1_00057	MK098185.1_00058	MK098186.1_00055	MK098187.1_00058	MK689685.1_00054	MK689686.1_00056	MN432490.1_00058	MN562489.1_00038	MN803438.1_00007	MT521409.1_00039	MT798582.1_00049	MT926123.1_00058	MT986830.1_00059	MW139932.1_00059	NC_005946.1_00022	NC_027778.1_00018	OK042108.1_00020	OK042109.1_00020	OL774653.1_00076	OL774654.1_00057	OL774655.1_00060	OM037668.1_00098	ON075463.1_00055	ON740976.1_00057	ON743042.1_00059	OP009387.1_00057	OQ475017.1_00056
OG0000013	AF303741.1_00026	AF371960.1_00121	AY521625.1_00115	AY532606.1_00125	AY779031.1_00129	AY894343.1_00123	BD143114.1_00077	GQ273492.1_00118	HF920633.1_00138	HF920637.1_00108	KC244182.1_00121	KF938901.1_00074	KT804738.1_00119	Lymph_LDV3_KX643370_00056	LS484712.1_00202	MF599468.1_00122	MG570131.1_00118	MG570132.1_00118	MK098185.1_00122	MK098186.1_00119	MK098187.1_00122	MK689685.1_00118	MK689686.1_00120	MN432490.1_00122	MN562489.1_00058	MN803438.1_00070	MT521409.1_00059	MT798582.1_00028	MT926123.1_00120	MT986830.1_00125	MW139932.1_00123	NC_005946.1_00016	NC_027778.1_00038	OK042108.1_00077	OK042109.1_00078	OL774653.1_00016	OL774654.1_00121	OL774655.1_00123	OM037668.1_00078	ON075463.1_00118	ON740976.1_00121	ON743042.1_00123	OP009387.1_00121	OQ475017.1_00120
OG0000014	AF303741.1_00046	AF371960.1_00122	AY521625.1_00035	AY532606.1_00126	AY779031.1_00130	AY894343.1_00124	BD143114.1_00076	GQ273492.1_00119	HF920633.1_00058	HF920637.1_00152	KC244182.1_00122	KF938901.1_00095	KT804738.1_00120	Lymph_LDV3_KX643370_00091	LS484712.1_00135	MF599468.1_00009	MG570131.1_00119	MG570132.1_00119	MK098185.1_00123	MK098186.1_00120	MK098187.1_00123	MK689685.1_00119	MK689686.1_00121	MN432490.1_00123	MN562489.1_00133	MN803438.1_00046	MT521409.1_00134	MT798582.1_00027	MT926123.1_00121	MT986830.1_00126	MW139932.1_00124	NC_005946.1_00021	NC_027778.1_00116	OK042108.1_00076	OK042109.1_00077	OL774653.1_00017	OL774654.1_00122	OL774655.1_00124	OM037668.1_00004	ON075463.1_00119	ON740976.1_00122	ON743042.1_00124	OP009387.1_00122	OQ475017.1_00121
OG0000015	AF303741.1_00062	AF371960.1_00089	AY521625.1_00073	AY532606.1_00089	AY779031.1_00095	AY894343.1_00087	BD143114.1_00113	GQ273492.1_00084	HF920633.1_00094	HF920637.1_00079	KC244182.1_00087	KF938901.1_00046	KT804738.1_00083	Lymph_LDV3_KX643370_00126	LS484712.1_00048	MF599468.1_00046	MG570131.1_00084	MG570132.1_00084	MK098185.1_00087	MK098186.1_00084	MK098187.1_00087	MK689685.1_00086	MK689686.1_00085	MN432490.1_00089	MN562489.1_00047	MN803438.1_00122	MT521409.1_00048	MT798582.1_00119	MT926123.1_00090	MT986830.1_00091	MW139932.1_00088	NC_005946.1_00082	NC_027778.1_00027	OK042108.1_00112	OK042109.1_00113	OL774653.1_00105	OL774654.1_00086	OL774655.1_00088	OM037668.1_00089	ON075463.1_00084	ON740976.1_00086	ON743042.1_00088	OP009387.1_00088	OQ475017.1_00084
OG0000016	AF303741.1_00063	AF371960.1_00034	AY521625.1_00059	AY532606.1_00033	AY779031.1_00037	AY894343.1_00032	BD143114.1_00042	GQ273492.1_00033	HF920633.1_00158	HF920637.1_00073	KC244182.1_00032	KF938901.1_00123	KT804738.1_00032	Lymph_LDV3_KX643370_00040	LS484712.1_00240	MF599468.1_00035	MG570131.1_00034	MG570132.1_00034	MK098185.1_00036	MK098186.1_00033	MK098187.1_00036	MK689685.1_00032	MK689686.1_00032	MN432490.1_00035	MN562489.1_00011	MN803438.1_00035	MT521409.1_00011	MT798582.1_00073	MT926123.1_00035	MT986830.1_00036	MW139932.1_00036	NC_005946.1_00087	NC_027778.1_00132	OK042108.1_00044	OK042109.1_00044	OL774653.1_00054	OL774654.1_00034	OL774655.1_00037	OM037668.1_00124	ON075463.1_00032	ON740976.1_00033	ON743042.1_00034	OP009387.1_00033	OQ475017.1_00033
OG0000017	AF303741.1_00081	AF371960.1_00107	AY521625.1_00047	AY532606.1_00111	AY779031.1_00116	AY894343.1_00108	BD143114.1_00092	GQ273492.1_00103	HF920633.1_00003	HF920637.1_00111	KC244182.1_00107	KF938901.1_00025	KT804738.1_00104	Lymph_LDV3_KX643370_00095	LS484712.1_00053	MF599468.1_00117	MG570131.1_00103	MG570132.1_00103	MK098185.1_00107	MK098186.1_00104	MK098187.1_00107	MK689685.1_00105	MK689686.1_00105	MN432490.1_00108	MN562489.1_00063	MN803438.1_00051	MT521409.1_00064	MT798582.1_00042	MT926123.1_00107	MT986830.1_00111	MW139932.1_00108	NC_005946.1_00023	NC_027778.1_00043	OK042108.1_00092	OK042109.1_00093	OL774653.1_00001	OL774654.1_00106	OL774655.1_00108	OM037668.1_00073	ON075463.1_00104	ON740976.1_00106	ON743042.1_00108	OP009387.1_00107	OQ475017.1_00105
OG0000018	AF303741.1_00137	AF371960.1_00088	AY521625.1_00086	AY532606.1_00088	AY779031.1_00094	AY894343.1_00086	BD143114.1_00114	GQ273492.1_00083	HF920633.1_00163	HF920637.1_00197	KC244182.1_00086	KF938901.1_00012	KT804738.1_00082	Lymph_LDV3_KX643370_00075	LS484712.1_00192	MF599468.1_00106	MG570131.1_00083	MG570132.1_00083	MK098185.1_00086	MK098186.1_00083	MK098187.1_00086	MK689685.1_00085	MK689686.1_00084	MN432490.1_00088	MN562489.1_00046	MN803438.1_00097	MT521409.1_00047	MT798582.1_00120	MT926123.1_00089	MT986830.1_00090	MW139932.1_00087	NC_005946.1_00094	NC_027778.1_00026	OK042108.1_00113	OK042109.1_00114	OL774653.1_00104	OL774654.1_00085	OL774655.1_00087	OM037668.1_00090	ON075463.1_00083	ON740976.1_00085	ON743042.1_00087	OP009387.1_00087	OQ475017.1_00083
OG0000019	AF303741.1_00156	AF371960.1_00032	AY521625.1_00074	AY532606.1_00031	AY779031.1_00035	AY894343.1_00030	BD143114.1_00044	GQ273492.1_00031	HF920633.1_00080	HF920637.1_00031	KC244182.1_00030	KF938901.1_00047	KT804738.1_00030	Lymph_LDV3_KX643370_00057	LS484712.1_00188	MF599468.1_00090	MG570131.1_00032	MG570132.1_00032	MK098185.1_00034	MK098186.1_00031	MK098187.1_00034	MK689685.1_00030	MK689686.1_00030	MN432490.1_00033	MN562489.1_00012	MN803438.1_00068	MT521409.1_00012	MT798582.1_00075	MT926123.1_00033	MT986830.1_00034	MW139932.1_00034	NC_005946.1_00083	NC_027778.1_00133	OK042108.1_00046	OK042109.1_00046	OL774653.1_00052	OL774654.1_00032	OL774655.1_00035	OM037668.1_00123	ON075463.1_00030	ON740976.1_00031	ON743042.1_00032	OP009387.1_00031	OQ475017.1_00031
OG0000020	AF303741.1_00158	AF371960.1_00005	AY521625.1_00054	AY532606.1_00004	AY779031.1_00005	AY894343.1_00005	BD143114.1_00070	GQ273492.1_00005	HF920633.1_00097	HF920637.1_00041	KC244182.1_00005	KF938901.1_00124	KT804738.1_00005	Lymph_LDV3_KX643370_00077	LS484712.1_00096	MF599468.1_00116	MG570131.1_00005	MG570132.1_00005	MK098185.1_00005	MK098186.1_00005	MK098187.1_00005	MK689685.1_00005	MK689686.1_00005	MN432490.1_00005	MN562489.1_00124	MN803438.1_00089	MT521409.1_00125	MT798582.1_00021	MT926123.1_00005	MT986830.1_00005	MW139932.1_00005	NC_005946.1_00038	NC_027778.1_00106	OK042108.1_00070	OK042109.1_00071	OL774653.1_00023	OL774654.1_00005	OL774655.1_00005	OM037668.1_00013	ON075463.1_00005	ON740976.1_00005	ON743042.1_00005	OP009387.1_00005	OQ475017.1_00005
OG0000021	AF303741.1_00189	AF371960.1_00036	AY521625.1_00065	AY532606.1_00035	AY779031.1_00039	AY894343.1_00034	BD143114.1_00040	GQ273492.1_00035	HF920633.1_00175	HF920637.1_00213	KC244182.1_00034	KF938901.1_00023	KT804738.1_00034	Lymph_LDV3_KX643370_00049	LS484712.1_00194	MF599468.1_00071	MG570131.1_00036	MG570132.1_00036	MK098185.1_00038	MK098186.1_00035	MK098187.1_00038	MK689685.1_00034	MK689686.1_00034	MN432490.1_00037	MN562489.1_00008	MN803438.1_00013	MT521409.1_00008	MT798582.1_00071	MT926123.1_00037	MT986830.1_00038	MW139932.1_00038	NC_005946.1_00061	NC_027778.1_00129	OK042108.1_00042	OK042109.1_00042	OL774653.1_00056	OL774654.1_00036	OL774655.1_00039	OM037668.1_00127	ON075463.1_00034	ON740976.1_00035	ON743042.1_00036	OP009387.1_00035	OQ475017.1_00035
OG0000022		AF371960.1_00079		AY532606.1_00079	AY779031.1_00085	AY894343.1_00077	BD143114.1_00123	GQ273492.1_00074			KC244182.1_00077		KT804738.1_00073				MG570131.1_00074	MG570132.1_00074	MK098185.1_00077	MK098186.1_00074	MK098187.1_00077	MK689685.1_00076	MK689686.1_00075	MN432490.1_00079	MN562489.1_00002, MN562489.1_00010, MN562489.1_00131		MT521409.1_00002, MT521409.1_00010, MT521409.1_00132	MT798582.1_00087	MT926123.1_00080	MT986830.1_00081	MW139932.1_00078		NC_027778.1_00114, NC_027778.1_00120, NC_027778.1_00122, NC_027778.1_00123, NC_027778.1_00131	OK042108.1_00122	OK042109.1_00123	OL774653.1_00095	OL774654.1_00076	OL774655.1_00079	OM037668.1_00006, OM037668.1_00125, OM037668.1_00133	ON075463.1_00074	ON740976.1_00076	ON743042.1_00078	OP009387.1_00078	OQ475017.1_00074
OG0000023	AF303741.1_00154	AF371960.1_00045	AY521625.1_00062		AY779031.1_00049	AY894343.1_00043	BD143114.1_00031	GQ273492.1_00044	HF920633.1_00017	HF920637.1_00033	KC244182.1_00043	KF938901.1_00031	KT804738.1_00043	Lymph_LDV3_KX643370_00089	LS484712.1_00117	MF599468.1_00171	MG570131.1_00045	MG570132.1_00045	MK098185.1_00047	MK098186.1_00044	MK098187.1_00047	MK689685.1_00043	MK689686.1_00043	MN432490.1_00046	MN562489.1_00023	MN803438.1_00077	MT521409.1_00024	MT798582.1_00062	MT926123.1_00046	MT986830.1_00046	MW139932.1_00047	NC_005946.1_00089	NC_027778.1_00003	OK042108.1_00033	OK042109.1_00033	OL774653.1_00065	OL774654.1_00045	OL774655.1_00048	OM037668.1_00113	ON075463.1_00043	ON740976.1_00044	ON743042.1_00046	OP009387.1_00044	OQ475017.1_00044
OG0000024	AF303741.1_00168	AF371960.1_00027	AY521625.1_00042	AY532606.1_00026		AY894343.1_00025	BD143114.1_00049	GQ273492.1_00027	HF920633.1_00062	HF920637.1_00061	KC244182.1_00025	KF938901.1_00094	KT804738.1_00025	Lymph_LDV3_KX643370_00052	LS484712.1_00149		MG570131.1_00027	MG570132.1_00028	MK098185.1_00029	MK098186.1_00026	MK098187.1_00029		MK689686.1_00025	MN432490.1_00028	MN562489.1_00073	MN803438.1_00024	MT521409.1_00074	MT798582.1_00080	MT926123.1_00028	MT986830.1_00029	MW139932.1_00029	NC_005946.1_00067	NC_027778.1_00054	OK042108.1_00050	OK042109.1_00051	OL774653.1_00047	OL774654.1_00027	OL774655.1_00030	OM037668.1_00064	ON075463.1_00025	ON740976.1_00026	ON743042.1_00027	OP009387.1_00026	OQ475017.1_00027
OG0000025		AF371960.1_00006		AY532606.1_00005	AY779031.1_00006	AY894343.1_00006	BD143114.1_00069	GQ273492.1_00006		HF920637.1_00127	KC244182.1_00006		KT804738.1_00006	Lymph_LDV3_KX643370_00001			MG570131.1_00006	MG570132.1_00006	MK098185.1_00006	MK098186.1_00006	MK098187.1_00006	MK689685.1_00006	MK689686.1_00006	MN432490.1_00006	MN562489.1_00006, MN562489.1_00126	MN803438.1_00145	MT521409.1_00006, MT521409.1_00127	MT798582.1_00020	MT926123.1_00006	MT986830.1_00006	MW139932.1_00006		NC_027778.1_00108, NC_027778.1_00127		OK042109.1_00070	OL774653.1_00024	OL774654.1_00006	OL774655.1_00006	OM037668.1_00011, OM037668.1_00129	ON075463.1_00006	ON740976.1_00006	ON743042.1_00006	OP009387.1_00006	OQ475017.1_00006
OG0000026	AF303741.1_00051	AF371960.1_00065		AY532606.1_00065, AY532606.1_00066	AY779031.1_00069	AY894343.1_00064	BD143114.1_00012	GQ273492.1_00064	HF920633.1_00047	HF920637.1_00156	KC244182.1_00064	KF938901.1_00093	KT804738.1_00061				MG570131.1_00064	MG570132.1_00064	MK098185.1_00065	MK098186.1_00062	MK098187.1_00065	MK689685.1_00062	MK689686.1_00063	MN432490.1_00065	MN562489.1_00113		MT521409.1_00114	MT798582.1_00099	MT926123.1_00066	MT986830.1_00066	MW139932.1_00066		NC_027778.1_00094, NC_027778.1_00095	OK042108.1_00012		OL774653.1_00083	OL774654.1_00064	OL774655.1_00067	OM037668.1_00024	ON075463.1_00062	ON740976.1_00064	ON743042.1_00066	OP009387.1_00065	OQ475017.1_00063
OG0000027		AF371960.1_00110	AY521625.1_00060	AY532606.1_00114	AY779031.1_00119	AY894343.1_00111	BD143114.1_00089	GQ273492.1_00106			KC244182.1_00110		KT804738.1_00107	Lymph_LDV3_KX643370_00119		MF599468.1_00039	MG570131.1_00106	MG570132.1_00106	MK098185.1_00110	MK098186.1_00107	MK098187.1_00110	MK689685.1_00108	MK689686.1_00108	MN432490.1_00111	MN562489.1_00062	MN803438.1_00126	MT521409.1_00063	MT798582.1_00039	MT926123.1_00110	MT986830.1_00114	MW139932.1_00111	NC_005946.1_00086	NC_027778.1_00042	OK042108.1_00089	OK042109.1_00090	OL774653.1_00004	OL774654.1_00109	OL774655.1_00111	OM037668.1_00074	ON075463.1_00107	ON740976.1_00109	ON743042.1_00111	OP009387.1_00110	OQ475017.1_00108
OG0000028		AF371960.1_00090	AY521625.1_00022	AY532606.1_00090	AY779031.1_00096	AY894343.1_00088	BD143114.1_00112	GQ273492.1_00085			KC244182.1_00088		KT804738.1_00084	Lymph_LDV3_KX643370_00015			MG570131.1_00085	MG570132.1_00085	MK098185.1_00088	MK098186.1_00085	MK098187.1_00088	MK689685.1_00087	MK689686.1_00086	MN432490.1_00090	MN562489.1_00049	MN803438.1_00037	MT521409.1_00050	MT798582.1_00118	MT926123.1_00091	MT986830.1_00092	MW139932.1_00089	NC_005946.1_00049	NC_027778.1_00029	OK042108.1_00111	OK042109.1_00112	OL774653.1_00106	OL774654.1_00087	OL774655.1_00089	OM037668.1_00087	ON075463.1_00085	ON740976.1_00087	ON743042.1_00089	OP009387.1_00089	OQ475017.1_00085
