Orthogroup	23043610003	23043610005	AB104413	AF303741	AF371960	AP017456	AY521625	AY894343	BD143114	GQ273492	HF920633	HF920637	KC244182	KF938901	KT781098	KT804738	KX643370	LS484712	MF599468	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MN562489	MN803438	MT128666	MT128667	MT521409	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	NC_005946	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	PQ335173_PQ335174
OG0000510				AF303741.1_00188 hypothetical protein																																																																				
OG0000511				AF303741.1_00191 hypothetical protein																																																																				
OG0000512				AF303741.1_00194 hypothetical protein																																																																				
OG0000513							AY521625.1_00001 AY521625.1 - hypothetical protein translation																																																																	
OG0000514							AY521625.1_00006 AY521625.1 - hypothetical protein translation																																																																	
OG0000515							AY521625.1_00007 AY521625.1 - hypothetical protein translation																																																																	
OG0000516							AY521625.1_00009 AY521625.1 - hypothetical protein translation																																																																	
OG0000517							AY521625.1_00012 AY521625.1 - hypothetical protein translation																																																																	
OG0000518							AY521625.1_00017 AY521625.1 - hypothetical protein translation																																																																	
OG0000519							AY521625.1_00019 AY521625.1 - hypothetical protein translation																																																																	
OG0000520							AY521625.1_00021 AY521625.1 - hypothetical protein translation																																																																	
OG0000521							AY521625.1_00024 AY521625.1 - hypothetical protein translation																																																																	
OG0000522							AY521625.1_00028 AY521625.1 - hypothetical protein translation																																																																	
OG0000523							AY521625.1_00031 AY521625.1 - hypothetical protein translation																																																																	
OG0000524							AY521625.1_00034 AY521625.1 - hypothetical protein translation																																																																	
OG0000525							AY521625.1_00037 AY521625.1 - hypothetical protein translation																																																																	
OG0000526							AY521625.1_00038 AY521625.1 - hypothetical protein translation																																																																	
OG0000527							AY521625.1_00040 AY521625.1 - hypothetical protein translation																																																																	
OG0000528							AY521625.1_00041 AY521625.1 - hypothetical protein translation																																																																	
OG0000529							AY521625.1_00045 AY521625.1 - hypothetical protein translation																																																																	
OG0000530							AY521625.1_00049 AY521625.1 - hypothetical protein translation																																																																	
OG0000531							AY521625.1_00050 AY521625.1 - hypothetical protein translation																																																																	
OG0000532							AY521625.1_00058 AY521625.1 - hypothetical protein translation																																																																	
OG0000533							AY521625.1_00067 AY521625.1 - hypothetical protein translation																																																																	
OG0000534							AY521625.1_00071 AY521625.1 - hypothetical protein translation																																																																	
OG0000535							AY521625.1_00083 AY521625.1 - hypothetical protein translation																																																																	
OG0000536							AY521625.1_00084 AY521625.1 - hypothetical protein translation																																																																	
OG0000537							AY521625.1_00087 AY521625.1 - hypothetical protein translation																																																																	
OG0000538							AY521625.1_00092 AY521625.1 - hypothetical protein translation																																																																	
OG0000539							AY521625.1_00093 AY521625.1 - hypothetical protein translation																																																																	
OG0000540							AY521625.1_00095 AY521625.1 - hypothetical protein translation																																																																	
OG0000541							AY521625.1_00096 AY521625.1 - hypothetical protein translation																																																																	
OG0000542							AY521625.1_00099 AY521625.1 - hypothetical protein translation																																																																	
OG0000543							AY521625.1_00101 AY521625.1 - hypothetical protein translation																																																																	
OG0000544							AY521625.1_00103 AY521625.1 - hypothetical protein translation																																																																	
OG0000545							AY521625.1_00111 AY521625.1 - tRNA-Ile_tat_ translation																																																																	
OG0000546							AY521625.1_00112 AY521625.1 - hypothetical protein translation																																																																	
OG0000547							AY521625.1_00114 AY521625.1 - hypothetical protein translation																																																																	
OG0000548							AY521625.1_00120 AY521625.1 - hypothetical protein translation																																																																	
OG0000549							AY521625.1_00121 AY521625.1 - hypothetical protein translation																																																																	
OG0000550							AY521625.1_00122 AY521625.1 - hypothetical protein translation																																																																	
OG0000551							AY521625.1_00129 AY521625.1 - hypothetical protein translation																																																																	
OG0000552							AY521625.1_00132 AY521625.1 - hypothetical protein translation																																																																	
OG0000553							AY521625.1_00134 AY521625.1 - hypothetical protein translation																																																																	
OG0000554							AY521625.1_00135 AY521625.1 - hypothetical protein translation																																																																	
OG0000555							AY521625.1_00136 AY521625.1 - hypothetical protein translation																																																																	
OG0000556							AY521625.1_00138 AY521625.1 - hypothetical protein translation																																																																	
OG0000557							AY521625.1_00139 AY521625.1 - hypothetical protein translation																																																																	
OG0000558							AY521625.1_00141 AY521625.1 - hypothetical protein translation																																																																	
OG0000559										GQ273492.1_00115 hypothetical protein																																																														
OG0000560											HF920633.1_00009 hypothetical protein																																																													
OG0000561											HF920633.1_00010 hypothetical protein																																																													
OG0000562											HF920633.1_00011 hypothetical protein																																																													
OG0000563											HF920633.1_00028 hypothetical protein																																																													
OG0000564											HF920633.1_00038 hypothetical protein																																																													
OG0000565											HF920633.1_00054 hypothetical protein																																																													
OG0000566											HF920633.1_00068 hypothetical protein																																																													
OG0000567											HF920633.1_00071 hypothetical protein																																																													
OG0000568											HF920633.1_00072 hypothetical protein																																																													
OG0000569											HF920633.1_00076 hypothetical protein																																																													
OG0000570											HF920633.1_00076 hypothetical protein																																																													
OG0000571											HF920633.1_00077 hypothetical protein																																																													
OG0000572											HF920633.1_00083 hypothetical protein																																																													
OG0000573											HF920633.1_00084 hypothetical protein																																																													
OG0000574											HF920633.1_00093 hypothetical protein																																																													
OG0000575											HF920633.1_00108 hypothetical protein																																																													
OG0000576											HF920633.1_00109 hypothetical protein																																																													
OG0000577											HF920633.1_00114 hypothetical protein																																																													
OG0000578											HF920633.1_00124 hypothetical protein																																																													
OG0000579											HF920633.1_00126 hypothetical protein																																																													
OG0000580											HF920633.1_00133 hypothetical protein																																																													
OG0000581											HF920633.1_00148 hypothetical protein																																																													
OG0000582											HF920633.1_00150 hypothetical protein																																																													
OG0000583											HF920633.1_00152 hypothetical protein																																																													
OG0000584											HF920633.1_00154 hypothetical protein																																																													
OG0000585											HF920633.1_00168 hypothetical protein																																																													
OG0000586											HF920633.1_00173 hypothetical protein																																																													
OG0000587												HF920637.1_00003 HF920637.1 - hypothetical protein translation																																																												
OG0000588												HF920637.1_00004 HF920637.1 - hypothetical protein translation																																																												
OG0000589												HF920637.1_00010 HF920637.1 - hypothetical protein translation																																																												
OG0000590												HF920637.1_00016 HF920637.1 - hypothetical protein translation																																																												
OG0000591												HF920637.1_00026 HF920637.1 - hypothetical protein translation																																																												
OG0000592												HF920637.1_00028 HF920637.1 - hypothetical protein translation																																																												
OG0000593												HF920637.1_00042 HF920637.1 - hypothetical protein translation																																																												
OG0000594												HF920637.1_00044 HF920637.1 - hypothetical protein translation																																																												
OG0000595												HF920637.1_00052 HF920637.1 - hypothetical protein translation																																																												
OG0000596												HF920637.1_00054 HF920637.1 - hypothetical protein translation																																																												
OG0000597												HF920637.1_00068 HF920637.1 - hypothetical protein translation																																																												
OG0000598												HF920637.1_00075 HF920637.1 - hypothetical protein translation																																																												
OG0000599												HF920637.1_00080 HF920637.1 - hypothetical protein translation																																																												
OG0000600												HF920637.1_00086 HF920637.1 - hypothetical protein translation																																																												
OG0000601												HF920637.1_00087 HF920637.1 - hypothetical protein translation																																																												
OG0000602												HF920637.1_00089 HF920637.1 - hypothetical protein translation																																																												
OG0000603												HF920637.1_00091 HF920637.1 - hypothetical protein translation																																																												
OG0000604												HF920637.1_00092 HF920637.1 - hypothetical protein translation																																																												
OG0000605												HF920637.1_00097 HF920637.1 - hypothetical protein translation																																																												
OG0000606												HF920637.1_00098 HF920637.1 - hypothetical protein translation																																																												
OG0000607												HF920637.1_00099 HF920637.1 - hypothetical protein translation																																																												
OG0000608												HF920637.1_00101 HF920637.1 - hypothetical protein translation																																																												
OG0000609												HF920637.1_00106 HF920637.1 - hypothetical protein translation																																																												
OG0000610												HF920637.1_00109 HF920637.1 - hypothetical protein translation																																																												
OG0000611												HF920637.1_00110 HF920637.1 - hypothetical protein translation																																																												
OG0000612												HF920637.1_00112 HF920637.1 - hypothetical protein translation																																																												
OG0000613												HF920637.1_00114 HF920637.1 - hypothetical protein translation																																																												
OG0000614												HF920637.1_00117 HF920637.1 - hypothetical protein translation																																																												
OG0000615												HF920637.1_00118 HF920637.1 - hypothetical protein translation																																																												
OG0000616												HF920637.1_00119 HF920637.1 - hypothetical protein translation																																																												
OG0000617												HF920637.1_00128 HF920637.1 - hypothetical protein translation																																																												
OG0000618												HF920637.1_00132 HF920637.1 - hypothetical protein translation																																																												
OG0000619												HF920637.1_00137 HF920637.1 - hypothetical protein translation																																																												
OG0000620												HF920637.1_00141 HF920637.1 - hypothetical protein translation																																																												
OG0000621												HF920637.1_00145 HF920637.1 - hypothetical protein translation																																																												
OG0000622												HF920637.1_00146 HF920637.1 - hypothetical protein translation																																																												
OG0000623												HF920637.1_00161 HF920637.1 - hypothetical protein translation																																																												
OG0000624												HF920637.1_00163 HF920637.1 - hypothetical protein translation																																																												
OG0000625												HF920637.1_00165 HF920637.1 - hypothetical protein translation																																																												
OG0000626												HF920637.1_00166 HF920637.1 - hypothetical protein translation																																																												
OG0000627												HF920637.1_00182 HF920637.1 - hypothetical protein translation																																																												
OG0000628												HF920637.1_00189 HF920637.1 - hypothetical protein translation																																																												
OG0000629												HF920637.1_00190 HF920637.1 - hypothetical protein translation																																																												
OG0000630												HF920637.1_00196 HF920637.1 - hypothetical protein translation																																																												
OG0000631												HF920637.1_00205 HF920637.1 - hypothetical protein translation																																																												
OG0000632												HF920637.1_00210 HF920637.1 - hypothetical protein translation																																																												
OG0000633												HF920637.1_00220 HF920637.1 - hypothetical protein translation																																																												
OG0000634														KF938901.1_00019 hypothetical protein																																																										
OG0000635														KF938901.1_00021 hypothetical protein																																																										
OG0000636														KF938901.1_00024 hypothetical protein																																																										
OG0000637														KF938901.1_00033 hypothetical protein																																																										
OG0000638														KF938901.1_00036 hypothetical protein																																																										
OG0000639														KF938901.1_00039 hypothetical protein																																																										
OG0000640														KF938901.1_00052 hypothetical protein																																																										
OG0000641														KF938901.1_00055 hypothetical protein																																																										
OG0000642														KF938901.1_00056 hypothetical protein																																																										
OG0000643														KF938901.1_00058 hypothetical protein																																																										
OG0000644														KF938901.1_00064 hypothetical protein																																																										
OG0000645														KF938901.1_00076 hypothetical protein																																																										
OG0000646														KF938901.1_00081 hypothetical protein																																																										
OG0000647														KF938901.1_00089 hypothetical protein																																																										
OG0000648														KF938901.1_00097 hypothetical protein																																																										
OG0000649														KF938901.1_00111 hypothetical protein																																																										
OG0000650														KF938901.1_00120 hypothetical protein																																																										
OG0000651														KF938901.1_00131 hypothetical protein																																																										
OG0000652														KF938901.1_00138 hypothetical protein																																																										
OG0000653														KF938901.1_00142 hypothetical protein																																																										
OG0000654														KF938901.1_00143 hypothetical protein																																																										
OG0000655														KF938901.1_00145 hypothetical protein																																																										
OG0000656														KF938901.1_00147 hypothetical protein																																																										
OG0000657														KF938901.1_00156 hypothetical protein																																																										
OG0000658															AF371960.1_00028 hypothetical protein																																																									
OG0000659																	Lymph_LDV3_KX643370_00025 hypothetical protein																																																							
OG0000660																	Lymph_LDV3_KX643370_00028 hypothetical protein																																																							
OG0000661																	Lymph_LDV3_KX643370_00033 hypothetical protein																																																							
OG0000662																	Lymph_LDV3_KX643370_00070 hypothetical protein																																																							
OG0000663																	Lymph_LDV3_KX643370_00109 hypothetical protein																																																							
OG0000664																	Lymph_LDV3_KX643370_00110 hypothetical protein																																																							
OG0000665																	Lymph_LDV3_KX643370_00111 hypothetical protein																																																							
OG0000666																	Lymph_LDV3_KX643370_00115 hypothetical protein																																																							
OG0000667																	Lymph_LDV3_KX643370_00130 hypothetical protein																																																							
OG0000668																	Lymph_LDV3_KX643370_00136 hypothetical protein																																																							
OG0000669																	Lymph_LDV3_KX643370_00138 hypothetical protein																																																							
OG0000670																	Lymph_LDV3_KX643370_00143 hypothetical protein																																																							
OG0000671																	Lymph_LDV3_KX643370_00144 hypothetical protein																																																							
OG0000672																		LS484712.1_00001 hypothetical protein																																																						
OG0000673																		LS484712.1_00003 hypothetical protein																																																						
OG0000674																		LS484712.1_00004 hypothetical protein																																																						
OG0000675																		LS484712.1_00005 hypothetical protein																																																						
OG0000676																		LS484712.1_00007 hypothetical protein																																																						
OG0000677																		LS484712.1_00011 hypothetical protein																																																						
OG0000678																		LS484712.1_00012 hypothetical protein																																																						
OG0000679																		LS484712.1_00013 hypothetical protein																																																						
OG0000680																		LS484712.1_00014 hypothetical protein																																																						
OG0000681																		LS484712.1_00015 hypothetical protein																																																						
OG0000682																		LS484712.1_00016 hypothetical protein																																																						
OG0000683																		LS484712.1_00017 hypothetical protein																																																						
OG0000684																		LS484712.1_00018 hypothetical protein																																																						
OG0000685																		LS484712.1_00019 hypothetical protein																																																						
OG0000686																		LS484712.1_00020 hypothetical protein																																																						
OG0000687																		LS484712.1_00021 hypothetical protein																																																						
OG0000688																		LS484712.1_00022 hypothetical protein																																																						
OG0000689																		LS484712.1_00023 hypothetical protein																																																						
OG0000690																		LS484712.1_00029 hypothetical protein																																																						
OG0000691																		LS484712.1_00033 hypothetical protein																																																						
OG0000692																		LS484712.1_00035 hypothetical protein																																																						
OG0000693																		LS484712.1_00036 hypothetical protein																																																						
OG0000694																		LS484712.1_00037 hypothetical protein																																																						
OG0000695																		LS484712.1_00038 hypothetical protein																																																						
OG0000696																		LS484712.1_00039 hypothetical protein																																																						
OG0000697																		LS484712.1_00041 hypothetical protein																																																						
OG0000698																		LS484712.1_00043 hypothetical protein																																																						
OG0000699																		LS484712.1_00044 hypothetical protein																																																						
OG0000700																		LS484712.1_00045 hypothetical protein																																																						
OG0000701																		LS484712.1_00046 hypothetical protein																																																						
OG0000702																		LS484712.1_00047 hypothetical protein																																																						
OG0000703																		LS484712.1_00049 hypothetical protein																																																						
OG0000704																		LS484712.1_00051 hypothetical protein																																																						
OG0000705																		LS484712.1_00054 hypothetical protein																																																						
OG0000706																		LS484712.1_00055 hypothetical protein																																																						
OG0000707																		LS484712.1_00058 hypothetical protein																																																						
OG0000708																		LS484712.1_00059 hypothetical protein																																																						
OG0000709																		LS484712.1_00061 hypothetical protein																																																						
OG0000710																		LS484712.1_00062 hypothetical protein																																																						
OG0000711																		LS484712.1_00066 hypothetical protein																																																						
OG0000712																		LS484712.1_00067 hypothetical protein																																																						
OG0000713																		LS484712.1_00071 hypothetical protein																																																						
OG0000714																		LS484712.1_00073 hypothetical protein																																																						
OG0000715																		LS484712.1_00074 hypothetical protein																																																						
OG0000716																		LS484712.1_00075 hypothetical protein																																																						
OG0000717																		LS484712.1_00076 hypothetical protein																																																						
OG0000718																		LS484712.1_00077 hypothetical protein																																																						
OG0000719																		LS484712.1_00078 hypothetical protein																																																						
OG0000720																		LS484712.1_00079 hypothetical protein																																																						
OG0000721																		LS484712.1_00080 hypothetical protein																																																						
OG0000722																		LS484712.1_00081 hypothetical protein																																																						
OG0000723																		LS484712.1_00091 hypothetical protein																																																						
OG0000724																		LS484712.1_00093 hypothetical protein																																																						
OG0000725																		LS484712.1_00094 hypothetical protein																																																						
OG0000726																		LS484712.1_00097 hypothetical protein																																																						
OG0000727																		LS484712.1_00098 hypothetical protein																																																						
OG0000728																		LS484712.1_00101 hypothetical protein																																																						
OG0000729																		LS484712.1_00102 hypothetical protein																																																						
OG0000730																		LS484712.1_00103 hypothetical protein																																																						
OG0000731																		LS484712.1_00104 hypothetical protein																																																						
OG0000732																		LS484712.1_00105 hypothetical protein																																																						
OG0000733																		LS484712.1_00107 hypothetical protein																																																						
OG0000734																		LS484712.1_00108 hypothetical protein																																																						
OG0000735																		LS484712.1_00109 hypothetical protein																																																						
OG0000736																		LS484712.1_00110 hypothetical protein																																																						
OG0000737																		LS484712.1_00111 hypothetical protein																																																						
OG0000738																		LS484712.1_00115 hypothetical protein																																																						
OG0000739																		LS484712.1_00118 hypothetical protein																																																						
OG0000740																		LS484712.1_00119 hypothetical protein																																																						
OG0000741																		LS484712.1_00121 hypothetical protein																																																						
OG0000742																		LS484712.1_00122 hypothetical protein																																																						
OG0000743																		LS484712.1_00123 hypothetical protein																																																						
OG0000744																		LS484712.1_00124 hypothetical protein																																																						
OG0000745																		LS484712.1_00126 hypothetical protein																																																						
OG0000746																		LS484712.1_00128 hypothetical protein																																																						
OG0000747																		LS484712.1_00129 hypothetical protein																																																						
OG0000748																		LS484712.1_00131 hypothetical protein																																																						
OG0000749																		LS484712.1_00132 hypothetical protein																																																						
OG0000750																		LS484712.1_00134 hypothetical protein																																																						
OG0000751																		LS484712.1_00136 hypothetical protein																																																						
OG0000752																		LS484712.1_00137 hypothetical protein																																																						
OG0000753																		LS484712.1_00138 hypothetical protein																																																						
OG0000754																		LS484712.1_00139 hypothetical protein																																																						
OG0000755																		LS484712.1_00141 hypothetical protein																																																						
OG0000756																		LS484712.1_00144 hypothetical protein																																																						
OG0000757																		LS484712.1_00145 hypothetical protein																																																						
OG0000758																		LS484712.1_00146 hypothetical protein																																																						
OG0000759																		LS484712.1_00147 hypothetical protein																																																						
OG0000760																		LS484712.1_00148 hypothetical protein																																																						
OG0000761																		LS484712.1_00150 hypothetical protein																																																						
OG0000762																		LS484712.1_00151 hypothetical protein																																																						
OG0000763																		LS484712.1_00152 hypothetical protein																																																						
OG0000764																		LS484712.1_00153 hypothetical protein																																																						
OG0000765																		LS484712.1_00159 hypothetical protein																																																						
OG0000766																		LS484712.1_00162 hypothetical protein																																																						
OG0000767																		LS484712.1_00164 hypothetical protein																																																						
OG0000768																		LS484712.1_00165 hypothetical protein																																																						
OG0000769																		LS484712.1_00166 hypothetical protein																																																						
OG0000770																		LS484712.1_00167 hypothetical protein																																																						
OG0000771																		LS484712.1_00168 hypothetical protein																																																						
OG0000772																		LS484712.1_00169 hypothetical protein																																																						
OG0000773																		LS484712.1_00172 hypothetical protein																																																						
OG0000774																		LS484712.1_00173 hypothetical protein																																																						
OG0000775																		LS484712.1_00174 hypothetical protein																																																						
OG0000776																		LS484712.1_00175 hypothetical protein																																																						
OG0000777																		LS484712.1_00176 hypothetical protein																																																						
OG0000778																		LS484712.1_00177 hypothetical protein																																																						
OG0000779																		LS484712.1_00178 hypothetical protein																																																						
OG0000780																		LS484712.1_00179 hypothetical protein																																																						
OG0000781																		LS484712.1_00180 hypothetical protein																																																						
OG0000782																		LS484712.1_00181 hypothetical protein																																																						
OG0000783																		LS484712.1_00182 hypothetical protein																																																						
OG0000784																		LS484712.1_00183 hypothetical protein																																																						
OG0000785																		LS484712.1_00185 hypothetical protein																																																						
OG0000786																		LS484712.1_00186 hypothetical protein																																																						
OG0000787																		LS484712.1_00189 hypothetical protein																																																						
OG0000788																		LS484712.1_00190 hypothetical protein																																																						
OG0000789																		LS484712.1_00191 hypothetical protein																																																						
OG0000790																		LS484712.1_00193 hypothetical protein																																																						
OG0000791																		LS484712.1_00199 hypothetical protein																																																						
OG0000792																		LS484712.1_00204 hypothetical protein																																																						
OG0000793																		LS484712.1_00205 hypothetical protein																																																						
OG0000794																		LS484712.1_00208 hypothetical protein																																																						
OG0000795																		LS484712.1_00209 hypothetical protein																																																						
OG0000796																		LS484712.1_00210 hypothetical protein																																																						
OG0000797																		LS484712.1_00217 hypothetical protein																																																						
OG0000798																		LS484712.1_00218 hypothetical protein																																																						
OG0000799																		LS484712.1_00219 hypothetical protein																																																						
OG0000800																		LS484712.1_00220 hypothetical protein																																																						
OG0000801																		LS484712.1_00221 hypothetical protein																																																						
OG0000802																		LS484712.1_00222 hypothetical protein																																																						
OG0000803																		LS484712.1_00223 hypothetical protein																																																						
OG0000804																		LS484712.1_00226 hypothetical protein																																																						
OG0000805																		LS484712.1_00235 hypothetical protein																																																						
OG0000806																		LS484712.1_00236 hypothetical protein																																																						
OG0000807																		LS484712.1_00237 hypothetical protein																																																						
OG0000808																		LS484712.1_00239 hypothetical protein																																																						
OG0000809																		LS484712.1_00241 hypothetical protein																																																						
OG0000810																		LS484712.1_00242 hypothetical protein																																																						
OG0000811																		LS484712.1_00243 hypothetical protein																																																						
OG0000812																		LS484712.1_00244 hypothetical protein																																																						
OG0000813																		LS484712.1_00246 hypothetical protein																																																						
OG0000814																		LS484712.1_00247 hypothetical protein																																																						
OG0000815																		LS484712.1_00250 hypothetical protein																																																						
OG0000816																		LS484712.1_00257 hypothetical protein																																																						
OG0000817																		LS484712.1_00258 hypothetical protein																																																						
OG0000818																		LS484712.1_00259 hypothetical protein																																																						
OG0000819																		LS484712.1_00260 hypothetical protein																																																						
OG0000820																		LS484712.1_00261 hypothetical protein																																																						
OG0000821																		LS484712.1_00262 hypothetical protein																																																						
OG0000822																		LS484712.1_00266 hypothetical protein																																																						
OG0000823																		LS484712.1_00267 hypothetical protein																																																						
OG0000824																		LS484712.1_00274 hypothetical protein																																																						
OG0000825																		LS484712.1_00275 hypothetical protein																																																						
OG0000826																		LS484712.1_00276 hypothetical protein																																																						
OG0000827																		LS484712.1_00278 hypothetical protein																																																						
OG0000828																		LS484712.1_00280 hypothetical protein																																																						
OG0000829																		LS484712.1_00281 hypothetical protein																																																						
OG0000830																			MF599468.1_00001 MF599468.1 - hypothetical protein translation																																																					
OG0000831																			MF599468.1_00003 MF599468.1 - hypothetical protein translation																																																					
OG0000832																			MF599468.1_00005 MF599468.1 - hypothetical protein translation																																																					
OG0000833																			MF599468.1_00007 MF599468.1 - hypothetical protein translation																																																					
OG0000834																			MF599468.1_00008 MF599468.1 - hypothetical protein translation																																																					
OG0000835																			MF599468.1_00012 MF599468.1 - hypothetical protein translation																																																					
OG0000836																			MF599468.1_00014 MF599468.1 - hypothetical protein translation																																																					
OG0000837																			MF599468.1_00017 MF599468.1 - hypothetical protein translation																																																					
OG0000838																			MF599468.1_00018 MF599468.1 - hypothetical protein translation																																																					
OG0000839																			MF599468.1_00019 MF599468.1 - hypothetical protein translation																																																					
OG0000840																			MF599468.1_00020 MF599468.1 - hypothetical protein translation																																																					
OG0000841																			MF599468.1_00021 MF599468.1 - hypothetical protein translation																																																					
OG0000842																			MF599468.1_00026 MF599468.1 - hypothetical protein translation																																																					
OG0000843																			MF599468.1_00028 MF599468.1 - hypothetical protein translation																																																					
OG0000844																			MF599468.1_00034 MF599468.1 - hypothetical protein translation																																																					
OG0000845																			MF599468.1_00040 MF599468.1 - hypothetical protein translation																																																					
OG0000846																			MF599468.1_00041 MF599468.1 - hypothetical protein translation																																																					
OG0000847																			MF599468.1_00042 MF599468.1 - hypothetical protein translation																																																					
OG0000848																			MF599468.1_00048 MF599468.1 - hypothetical protein translation																																																					
OG0000849																			MF599468.1_00050 MF599468.1 - hypothetical protein translation																																																					
OG0000850																			MF599468.1_00053 MF599468.1 - hypothetical protein translation																																																					
OG0000851																			MF599468.1_00058 MF599468.1 - hypothetical protein translation																																																					
OG0000852																			MF599468.1_00059 MF599468.1 - hypothetical protein translation																																																					
OG0000853																			MF599468.1_00063 MF599468.1 - hypothetical protein translation																																																					
OG0000854																			MF599468.1_00064 MF599468.1 - hypothetical protein translation																																																					
OG0000855																			MF599468.1_00073 MF599468.1 - hypothetical protein translation																																																					
OG0000856																			MF599468.1_00080 MF599468.1 - hypothetical protein translation																																																					
OG0000857																			MF599468.1_00082 MF599468.1 - hypothetical protein translation																																																					
OG0000858																			MF599468.1_00083 MF599468.1 - hypothetical protein translation																																																					
OG0000859																			MF599468.1_00084 MF599468.1 - hypothetical protein translation																																																					
OG0000860																			MF599468.1_00085 MF599468.1 - hypothetical protein translation																																																					
OG0000861																			MF599468.1_00086 MF599468.1 - hypothetical protein translation																																																					
OG0000862																			MF599468.1_00087 MF599468.1 - hypothetical protein translation																																																					
OG0000863																			MF599468.1_00088 MF599468.1 - hypothetical protein translation																																																					
OG0000864																			MF599468.1_00093 MF599468.1 - hypothetical protein translation																																																					
OG0000865																			MF599468.1_00095 MF599468.1 - hypothetical protein translation																																																					
OG0000866																			MF599468.1_00097 MF599468.1 - hypothetical protein translation																																																					
OG0000867																			MF599468.1_00113 MF599468.1 - hypothetical protein translation																																																					
OG0000868																			MF599468.1_00115 MF599468.1 - hypothetical protein translation																																																					
OG0000869																			MF599468.1_00120 MF599468.1 - hypothetical protein translation																																																					
OG0000870																			MF599468.1_00121 MF599468.1 - hypothetical protein translation																																																					
OG0000871																			MF599468.1_00123 MF599468.1 - hypothetical protein translation																																																					
OG0000872																			MF599468.1_00124 MF599468.1 - hypothetical protein translation																																																					
OG0000873																			MF599468.1_00126 MF599468.1 - hypothetical protein translation																																																					
OG0000874																			MF599468.1_00127 MF599468.1 - hypothetical protein translation																																																					
OG0000875																			MF599468.1_00130 MF599468.1 - hypothetical protein translation																																																					
OG0000876																			MF599468.1_00132 MF599468.1 - hypothetical protein translation																																																					
OG0000877																			MF599468.1_00133 MF599468.1 - hypothetical protein translation																																																					
OG0000878																			MF599468.1_00135 MF599468.1 - hypothetical protein translation																																																					
