Orthogroup	KT804738.1	OL310752.1
OG0000082	KT804738.1_00051	OL310752.1_00092
OG0000083	KT804738.1_00059	OL310752.1_00026
OG0000084	KT804738.1_00062	OL310752.1_00029
OG0000085	KT804738.1_00065	OL310752.1_00099
OG0000086	KT804738.1_00066	OL310752.1_00100
OG0000087	KT804738.1_00070	OL310752.1_00080
OG0000088	KT804738.1_00071	OL310752.1_00079
OG0000089	KT804738.1_00080	OL310752.1_00048
OG0000090	KT804738.1_00081	OL310752.1_00047
OG0000091	KT804738.1_00094	OL310752.1_00034
OG0000092	KT804738.1_00098	OL310752.1_00110
OG0000093	KT804738.1_00102	OL310752.1_00098
OG0000094	KT804738.1_00105	OL310752.1_00064
OG0000095	KT804738.1_00106	OL310752.1_00063
OG0000096	KT804738.1_00117	OL310752.1_00069
OG0000097	KT804738.1_00003	OL310752.1_00076
OG0000099	KT804738.1_00038	OL310752.1_00057
OG0000100	KT804738.1_00042	OL310752.1_00053
OG0000101	KT804738.1_00067	OL310752.1_00101
OG0000102	KT804738.1_00075	OL310752.1_00122
OG0000103	KT804738.1_00099	OL310752.1_00109
OG0000104	KT804738.1_00103	OL310752.1_00066
OG0000106	KT804738.1_00027	OL310752.1_00106
OG0000108	KT804738.1_00118	OL310752.1_00070
OG0000109	KT804738.1_00068	OL310752.1_00102
OG0000110	KT804738.1_00116	OL310752.1_00068
OG0000111	KT804738.1_00090	OL310752.1_00038
OG0000116	KT804738.1_00063	OL310752.1_00030
OG0000118	KT804738.1_00101	OL310752.1_00097
OG0000131	KT804738.1_00088	OL310752.1_00040
OG0000164	KT804738.1_00089	OL310752.1_00039
