Orthogroup	MK098185.1	ON075463.1
OG0000048	MK098185.1_00061	ON075463.1_00058
OG0000049	MK098185.1_00078	ON075463.1_00075
OG0000050	MK098185.1_00082	ON075463.1_00079
OG0000051	MK098185.1_00083	ON075463.1_00080
OG0000052	MK098185.1_00094	ON075463.1_00091
OG0000053	MK098185.1_00096	ON075463.1_00093
OG0000054	MK098185.1_00099	ON075463.1_00096
OG0000055	MK098185.1_00111	ON075463.1_00108
OG0000056	MK098185.1_00116	ON075463.1_00113
OG0000057	MK098185.1_00118	ON075463.1_00115
OG0000058	MK098185.1_00002	ON075463.1_00002
OG0000059	MK098185.1_00010	ON075463.1_00010
OG0000060	MK098185.1_00018	ON075463.1_00017
OG0000061	MK098185.1_00091	ON075463.1_00088
OG0000062	MK098185.1_00029	ON075463.1_00025
OG0000063	MK098185.1_00073	ON075463.1_00070
OG0000064	MK098185.1_00017	ON075463.1_00016
OG0000065	MK098185.1_00041	ON075463.1_00037
OG0000066	MK098185.1_00045	ON075463.1_00041
OG0000067	MK098185.1_00049	ON075463.1_00045
OG0000068	MK098185.1_00068	ON075463.1_00065
OG0000069	MK098185.1_00098	ON075463.1_00095
OG0000070	MK098185.1_00100	ON075463.1_00097
OG0000071	MK098185.1_00115	ON075463.1_00112
OG0000072	MK098185.1_00009	ON075463.1_00009
OG0000073	MK098185.1_00012	ON075463.1_00011
OG0000074	MK098185.1_00016	ON075463.1_00015
OG0000075	MK098185.1_00037	ON075463.1_00033
OG0000076	MK098185.1_00040	ON075463.1_00036
OG0000077	MK098185.1_00043	ON075463.1_00039
OG0000078	MK098185.1_00044	ON075463.1_00040
OG0000079	MK098185.1_00048	ON075463.1_00044
OG0000080	MK098185.1_00053	ON075463.1_00049
OG0000081	MK098185.1_00054	ON075463.1_00050
OG0000082	MK098185.1_00055	ON075463.1_00051
OG0000083	MK098185.1_00063	ON075463.1_00060
OG0000084	MK098185.1_00066	ON075463.1_00063
OG0000085	MK098185.1_00069	ON075463.1_00066
OG0000086	MK098185.1_00070	ON075463.1_00067
OG0000087	MK098185.1_00074	ON075463.1_00071
OG0000088	MK098185.1_00075	ON075463.1_00072
OG0000089	MK098185.1_00084	ON075463.1_00081
OG0000090	MK098185.1_00085	ON075463.1_00082
OG0000091	MK098185.1_00097	ON075463.1_00094
OG0000092	MK098185.1_00101	ON075463.1_00098
OG0000093	MK098185.1_00105	ON075463.1_00102
OG0000094	MK098185.1_00108	ON075463.1_00105
OG0000095	MK098185.1_00109	ON075463.1_00106
OG0000097	MK098185.1_00003	ON075463.1_00003
OG0000098	MK098185.1_00004	ON075463.1_00004
OG0000099	MK098185.1_00042	ON075463.1_00038
OG0000100	MK098185.1_00046	ON075463.1_00042
OG0000101	MK098185.1_00071	ON075463.1_00068
OG0000102	MK098185.1_00079	ON075463.1_00076
OG0000103	MK098185.1_00102	ON075463.1_00099
OG0000104	MK098185.1_00106	ON075463.1_00103
OG0000105	MK098185.1_00117	ON075463.1_00114
OG0000106	MK098185.1_00031	ON075463.1_00027
OG0000107	MK098185.1_00103	ON075463.1_00100
OG0000108	MK098185.1_00121	ON075463.1_00117
OG0000109	MK098185.1_00072	ON075463.1_00069
OG0000110	MK098185.1_00119	ON075463.1_00116
OG0000111	MK098185.1_00093	ON075463.1_00090
OG0000112	MK098185.1_00080	ON075463.1_00077
OG0000116	MK098185.1_00067	ON075463.1_00064
OG0000118	MK098185.1_00104	ON075463.1_00101
OG0000119	MK098185.1_00113	ON075463.1_00110
