Orthogroup	MK098185.1	AY894343.1
OG0000054	MK098185.1_00099	AY894343.1_00100
OG0000055	MK098185.1_00111	AY894343.1_00112
OG0000056	MK098185.1_00116	AY894343.1_00117
OG0000057	MK098185.1_00118	AY894343.1_00119
OG0000058	MK098185.1_00002	AY894343.1_00002
OG0000059	MK098185.1_00010	AY894343.1_00010
OG0000060	MK098185.1_00018	AY894343.1_00018
OG0000061	MK098185.1_00091	AY894343.1_00091
OG0000062	MK098185.1_00029	AY894343.1_00025
OG0000063	MK098185.1_00073	AY894343.1_00072
OG0000064	MK098185.1_00017	AY894343.1_00017
OG0000065	MK098185.1_00041	AY894343.1_00037
OG0000066	MK098185.1_00045	AY894343.1_00041
OG0000067	MK098185.1_00049	AY894343.1_00045
OG0000068	MK098185.1_00068	AY894343.1_00067
OG0000069	MK098185.1_00098	AY894343.1_00099
OG0000070	MK098185.1_00100	AY894343.1_00101
OG0000071	MK098185.1_00115	AY894343.1_00116
OG0000072	MK098185.1_00009	AY894343.1_00009
OG0000073	MK098185.1_00012	AY894343.1_00011
OG0000074	MK098185.1_00016	AY894343.1_00016
OG0000075	MK098185.1_00037	AY894343.1_00033
OG0000076	MK098185.1_00040	AY894343.1_00036
OG0000077	MK098185.1_00043	AY894343.1_00039
OG0000078	MK098185.1_00044	AY894343.1_00040
OG0000079	MK098185.1_00048	AY894343.1_00044
OG0000080	MK098185.1_00053	AY894343.1_00050
OG0000081	MK098185.1_00054	AY894343.1_00051
OG0000082	MK098185.1_00055	AY894343.1_00052
OG0000083	MK098185.1_00063	AY894343.1_00062
OG0000084	MK098185.1_00066	AY894343.1_00065
OG0000085	MK098185.1_00069	AY894343.1_00068
OG0000086	MK098185.1_00070	AY894343.1_00069
OG0000087	MK098185.1_00074	AY894343.1_00073
OG0000088	MK098185.1_00075	AY894343.1_00074
OG0000089	MK098185.1_00084	AY894343.1_00084
OG0000090	MK098185.1_00085	AY894343.1_00085
OG0000091	MK098185.1_00097	AY894343.1_00098
OG0000092	MK098185.1_00101	AY894343.1_00102
OG0000093	MK098185.1_00105	AY894343.1_00106
OG0000094	MK098185.1_00108	AY894343.1_00109
OG0000095	MK098185.1_00109	AY894343.1_00110
OG0000096	MK098185.1_00120	AY894343.1_00121
OG0000097	MK098185.1_00003	AY894343.1_00003
OG0000098	MK098185.1_00004	AY894343.1_00004
OG0000099	MK098185.1_00042	AY894343.1_00038
OG0000100	MK098185.1_00046	AY894343.1_00042
OG0000101	MK098185.1_00071	AY894343.1_00070
OG0000102	MK098185.1_00079	AY894343.1_00079
OG0000103	MK098185.1_00102	AY894343.1_00103
OG0000104	MK098185.1_00106	AY894343.1_00107
OG0000105	MK098185.1_00117	AY894343.1_00118
OG0000106	MK098185.1_00031	AY894343.1_00027
OG0000107	MK098185.1_00103	AY894343.1_00104
OG0000108	MK098185.1_00121	AY894343.1_00122
OG0000109	MK098185.1_00072	AY894343.1_00071
OG0000110	MK098185.1_00119	AY894343.1_00120
OG0000111	MK098185.1_00093	AY894343.1_00094
OG0000112	MK098185.1_00080	AY894343.1_00080
OG0000116	MK098185.1_00067	AY894343.1_00066
OG0000118	MK098185.1_00104	AY894343.1_00105
OG0000119	MK098185.1_00113	AY894343.1_00114
