HOG	OG	Gene Tree Parent Clade	AF303741.1	AF371960.1	AY521625.1	AY532606.1	AY779031.1	AY894343.1	BD143114.1	GQ273492.1	HF920633.1	HF920637.1	KC244182.1	KF938901.1	KT804738.1	L63545.1	LS484712.1	MF599468.1	MG570131.1	MG570132.1	MK098185.1	MK098186.1	MK098187.1	MK689685.1	MK689686.1	MN432490.1	MN562489.1	MN803438.1	MT521409.1	MT798582.1	MT926123.1	MT986830.1	MW139932.1	NC_005946.1	NC_027778.1	OK042108.1	OK042109.1	OL310752.1	OL774653.1	OL774654.1	OL774655.1	OM037668.1	ON075463.1	ON740976.1	ON743042.1	OP009387.1	OQ475017.1
N17.HOG0000018	OG0000018	n0	AF303741.1_00081	AF371960.1_00107	AY521625.1_00047		AY779031.1_00116			GQ273492.1_00103	HF920633.1_00003	HF920637.1_00111		KF938901.1_00025		L63545.1_00068	LS484712.1_00053	MF599468.1_00117	MG570131.1_00103	MG570132.1_00103				MK689685.1_00105		MN432490.1_00108	MN562489.1_00063	MN803438.1_00051	MT521409.1_00064		MT926123.1_00107	MT986830.1_00111		NC_005946.1_00023	NC_027778.1_00043							OM037668.1_00073				OP009387.1_00107	
N17.HOG0000019	OG0000019	n0	AF303741.1_00137	AF371960.1_00088	AY521625.1_00086		AY779031.1_00094			GQ273492.1_00083	HF920633.1_00163	HF920637.1_00197		KF938901.1_00012		L63545.1_00009	LS484712.1_00192	MF599468.1_00106	MG570131.1_00083	MG570132.1_00083				MK689685.1_00085		MN432490.1_00088	MN562489.1_00046	MN803438.1_00097	MT521409.1_00047		MT926123.1_00089	MT986830.1_00090		NC_005946.1_00094	NC_027778.1_00026							OM037668.1_00090				OP009387.1_00087	
N17.HOG0000020	OG0000020	n0	AF303741.1_00156	AF371960.1_00032	AY521625.1_00074		AY779031.1_00035			GQ273492.1_00031	HF920633.1_00080	HF920637.1_00031		KF938901.1_00047		L63545.1_00098	LS484712.1_00188	MF599468.1_00090	MG570131.1_00032	MG570132.1_00032				MK689685.1_00030		MN432490.1_00033	MN562489.1_00012	MN803438.1_00068	MT521409.1_00012		MT926123.1_00033	MT986830.1_00034		NC_005946.1_00083	NC_027778.1_00133							OM037668.1_00123				OP009387.1_00031	
N17.HOG0000021	OG0000021	n0	AF303741.1_00158	AF371960.1_00005	AY521625.1_00054		AY779031.1_00005			GQ273492.1_00005	HF920633.1_00097	HF920637.1_00041		KF938901.1_00124		L63545.1_00043	LS484712.1_00096	MF599468.1_00116	MG570131.1_00005	MG570132.1_00005				MK689685.1_00005		MN432490.1_00005	MN562489.1_00124	MN803438.1_00089	MT521409.1_00125		MT926123.1_00005	MT986830.1_00005		NC_005946.1_00038	NC_027778.1_00106							OM037668.1_00013				OP009387.1_00005	
N17.HOG0000022	OG0000022	n0	AF303741.1_00189	AF371960.1_00036	AY521625.1_00065		AY779031.1_00039			GQ273492.1_00035	HF920633.1_00175	HF920637.1_00213		KF938901.1_00023		L63545.1_00013	LS484712.1_00194	MF599468.1_00071	MG570131.1_00036	MG570132.1_00036				MK689685.1_00034		MN432490.1_00037	MN562489.1_00008	MN803438.1_00013	MT521409.1_00008		MT926123.1_00037	MT986830.1_00038		NC_005946.1_00061	NC_027778.1_00129							OM037668.1_00127				OP009387.1_00035	
N17.HOG0000023	OG0000023	n0	AF303741.1_00154	AF371960.1_00045	AY521625.1_00062		AY779031.1_00049			GQ273492.1_00044	HF920633.1_00017	HF920637.1_00033		KF938901.1_00031		L63545.1_00054	LS484712.1_00117	MF599468.1_00171	MG570131.1_00045	MG570132.1_00045				MK689685.1_00043		MN432490.1_00046	MN562489.1_00023	MN803438.1_00077	MT521409.1_00024		MT926123.1_00046	MT986830.1_00046		NC_005946.1_00089	NC_027778.1_00003							OM037668.1_00113				OP009387.1_00044	
N17.HOG0000024	OG0000024	n0	AF303741.1_00168	AF371960.1_00027	AY521625.1_00042					GQ273492.1_00027	HF920633.1_00062	HF920637.1_00061		KF938901.1_00094		L63545.1_00015	LS484712.1_00149		MG570131.1_00027	MG570132.1_00028						MN432490.1_00028	MN562489.1_00073	MN803438.1_00024	MT521409.1_00074		MT926123.1_00028	MT986830.1_00029		NC_005946.1_00067	NC_027778.1_00054							OM037668.1_00064				OP009387.1_00026	
N17.HOG0000025	OG0000025	n0	AF303741.1_00051	AF371960.1_00065			AY779031.1_00069			GQ273492.1_00064	HF920633.1_00047	HF920637.1_00156		KF938901.1_00093					MG570131.1_00064	MG570132.1_00064				MK689685.1_00062		MN432490.1_00065	MN562489.1_00113		MT521409.1_00114		MT926123.1_00066	MT986830.1_00066			NC_027778.1_00094, NC_027778.1_00095							OM037668.1_00024				OP009387.1_00065	
N17.HOG0000026	OG0000026	n0		AF371960.1_00110	AY521625.1_00060		AY779031.1_00119			GQ273492.1_00106						L63545.1_00002		MF599468.1_00039	MG570131.1_00106	MG570132.1_00106				MK689685.1_00108		MN432490.1_00111	MN562489.1_00062	MN803438.1_00126	MT521409.1_00063		MT926123.1_00110	MT986830.1_00114		NC_005946.1_00086	NC_027778.1_00042							OM037668.1_00074				OP009387.1_00110	
N17.HOG0000027	OG0000027	n0		AF371960.1_00090	AY521625.1_00022		AY779031.1_00096			GQ273492.1_00085						L63545.1_00058			MG570131.1_00085	MG570132.1_00085				MK689685.1_00087		MN432490.1_00090	MN562489.1_00049	MN803438.1_00037	MT521409.1_00050		MT926123.1_00091	MT986830.1_00092		NC_005946.1_00049	NC_027778.1_00029							OM037668.1_00087				OP009387.1_00089	
N17.HOG0000028	OG0000028	n0		AF371960.1_00048			AY779031.1_00052			GQ273492.1_00047						L63545.1_00003			MG570131.1_00048	MG570132.1_00048				MK689685.1_00046		MN432490.1_00049	MN562489.1_00026	MN803438.1_00054	MT521409.1_00027		MT926123.1_00049	MT986830.1_00049		NC_005946.1_00085	NC_027778.1_00006							OM037668.1_00110				OP009387.1_00047	
N17.HOG0000029	OG0000029	n0		AF371960.1_00062			AY779031.1_00066			GQ273492.1_00061									MG570131.1_00061	MG570132.1_00061				MK689685.1_00059		MN432490.1_00062	MN562489.1_00041		MT521409.1_00042		MT926123.1_00063	MT986830.1_00063			NC_027778.1_00021							OM037668.1_00095				OP009387.1_00062	
N17.HOG0000030	OG0000030	n0		AF371960.1_00001	AY521625.1_00004		AY779031.1_00001			GQ273492.1_00001									MG570131.1_00001	MG570132.1_00001				MK689685.1_00001		MN432490.1_00001	MN562489.1_00107		MT521409.1_00108		MT926123.1_00001	MT986830.1_00001			NC_027778.1_00088							OM037668.1_00030				OP009387.1_00001	
N17.HOG0000031	OG0000031	n0		AF371960.1_00006			AY779031.1_00006			GQ273492.1_00006		HF920637.1_00127							MG570131.1_00006	MG570132.1_00006				MK689685.1_00006		MN432490.1_00006	MN562489.1_00126	MN803438.1_00145	MT521409.1_00127		MT926123.1_00006	MT986830.1_00006			NC_027778.1_00108							OM037668.1_00011				OP009387.1_00006	
N17.HOG0000032	OG0000032	n3					AY779031.1_00089																				MN562489.1_00118		MT521409.1_00119						NC_027778.1_00100							OM037668.1_00019					
N17.HOG0000033	OG0000032	n12								GQ273492.1_00078									MG570131.1_00078	MG570132.1_00078																											
N17.HOG0000034	OG0000032	n30		AF371960.1_00082																				MK689685.1_00079		MN432490.1_00083					MT926123.1_00083	MT986830.1_00085														OP009387.1_00082	
N17.HOG0000035	OG0000033	n0		AF371960.1_00091			AY779031.1_00097			GQ273492.1_00086									MG570131.1_00086	MG570132.1_00086				MK689685.1_00088		MN432490.1_00091	MN562489.1_00050		MT521409.1_00051		MT926123.1_00092	MT986830.1_00093			NC_027778.1_00030							OM037668.1_00086				OP009387.1_00090	
N17.HOG0000036	OG0000034	n0		AF371960.1_00123			AY779031.1_00131			GQ273492.1_00120									MG570131.1_00120	MG570132.1_00120				MK689685.1_00120		MN432490.1_00124	MN562489.1_00109		MT521409.1_00110		MT926123.1_00122	MT986830.1_00127			NC_027778.1_00090							OM037668.1_00028				OP009387.1_00123	
N17.HOG0000037	OG0000035	n0		AF371960.1_00013			AY779031.1_00013			GQ273492.1_00013									MG570131.1_00014	MG570132.1_00014				MK689685.1_00013		MN432490.1_00013	MN562489.1_00086		MT521409.1_00087		MT926123.1_00013	MT986830.1_00013			NC_027778.1_00067							OM037668.1_00051				OP009387.1_00013	
N17.HOG0000038	OG0000036	n0		AF371960.1_00014			AY779031.1_00014			GQ273492.1_00014									MG570131.1_00015	MG570132.1_00015				MK689685.1_00014		MN432490.1_00014	MN562489.1_00132		MT521409.1_00133		MT926123.1_00014	MT986830.1_00014			NC_027778.1_00115							OM037668.1_00005				OP009387.1_00014	
N17.HOG0000039	OG0000037	n0		AF371960.1_00019			AY779031.1_00019			GQ273492.1_00019									MG570131.1_00020	MG570132.1_00020				MK689685.1_00019		MN432490.1_00019	MN562489.1_00091		MT521409.1_00092		MT926123.1_00019	MT986830.1_00019			NC_027778.1_00072							OM037668.1_00046				OP009387.1_00019	
N17.HOG0000040	OG0000038	n0		AF371960.1_00020			AY779031.1_00020			GQ273492.1_00020									MG570131.1_00021	MG570132.1_00021				MK689685.1_00020		MN432490.1_00020	MN562489.1_00092		MT521409.1_00093		MT926123.1_00020	MT986830.1_00020			NC_027778.1_00073							OM037668.1_00045				OP009387.1_00020	
N17.HOG0000041	OG0000039	n0		AF371960.1_00022			AY779031.1_00024			GQ273492.1_00023									MG570131.1_00024	MG570132.1_00024				MK689685.1_00022		MN432490.1_00024	MN562489.1_00097		MT521409.1_00098		MT926123.1_00023	MT986830.1_00023			NC_027778.1_00078							OM037668.1_00040				OP009387.1_00024	
N17.HOG0000042	OG0000040	n0		AF371960.1_00023			AY779031.1_00025			GQ273492.1_00024									MG570131.1_00025	MG570132.1_00025				MK689685.1_00023		MN432490.1_00025	MN562489.1_00089		MT521409.1_00090		MT926123.1_00024	MT986830.1_00024			NC_027778.1_00070							OM037668.1_00048				OP009387.1_00025	
N17.HOG0000043	OG0000041	n0		AF371960.1_00033			AY779031.1_00036			GQ273492.1_00032									MG570131.1_00033	MG570132.1_00033				MK689685.1_00031		MN432490.1_00034	MN562489.1_00134		MT521409.1_00135		MT926123.1_00034	MT986830.1_00035			NC_027778.1_00117							OM037668.1_00003				OP009387.1_00032	
N17.HOG0000044	OG0000042	n0		AF371960.1_00037			AY779031.1_00040			GQ273492.1_00036									MG570131.1_00037	MG570132.1_00037				MK689685.1_00035		MN432490.1_00038	MN562489.1_00013		MT521409.1_00013		MT926123.1_00038	MT986830.1_00039			NC_027778.1_00134							OM037668.1_00122				OP009387.1_00036	
N17.HOG0000045	OG0000043	n0		AF371960.1_00049			AY779031.1_00053			GQ273492.1_00048									MG570131.1_00049	MG570132.1_00049				MK689685.1_00047		MN432490.1_00050	MN562489.1_00030		MT521409.1_00031		MT926123.1_00050	MT986830.1_00051			NC_027778.1_00010							OM037668.1_00106				OP009387.1_00049	
N17.HOG0000046	OG0000044	n0		AF371960.1_00050			AY779031.1_00054			GQ273492.1_00049									MG570131.1_00050	MG570132.1_00050				MK689685.1_00048		MN432490.1_00051	MN562489.1_00031		MT521409.1_00032		MT926123.1_00051	MT986830.1_00052			NC_027778.1_00011							OM037668.1_00105				OP009387.1_00050	
N17.HOG0000047	OG0000045	n0		AF371960.1_00055			AY779031.1_00059			GQ273492.1_00054									MG570131.1_00055	MG570132.1_00055				MK689685.1_00052		MN432490.1_00056	MN562489.1_00036		MT521409.1_00037		MT926123.1_00056	MT986830.1_00057			NC_027778.1_00016							OM037668.1_00100				OP009387.1_00055	
N17.HOG0000048	OG0000046	n0		AF371960.1_00056			AY779031.1_00060			GQ273492.1_00055									MG570131.1_00056	MG570132.1_00056				MK689685.1_00053		MN432490.1_00057	MN562489.1_00037		MT521409.1_00038		MT926123.1_00057	MT986830.1_00058			NC_027778.1_00017							OM037668.1_00099				OP009387.1_00056	
N17.HOG0000049	OG0000047	n0		AF371960.1_00058			AY779031.1_00062			GQ273492.1_00057								MF599468.1_00013	MG570131.1_00058	MG570132.1_00058				MK689685.1_00055		MN432490.1_00059	MN562489.1_00039		MT521409.1_00040		MT926123.1_00059	MT986830.1_00060			NC_027778.1_00019							OM037668.1_00097				OP009387.1_00058	
N17.HOG0000050	OG0000048	n0		AF371960.1_00060			AY779031.1_00063			GQ273492.1_00059									MG570131.1_00059	MG570132.1_00059				MK689685.1_00057		MN432490.1_00060	MN562489.1_00051		MT521409.1_00052		MT926123.1_00061	MT986830.1_00061			NC_027778.1_00031							OM037668.1_00085				OP009387.1_00060	
N17.HOG0000051	OG0000049	n0		AF371960.1_00061			AY779031.1_00065			GQ273492.1_00060									MG570131.1_00060	MG570132.1_00060				MK689685.1_00058		MN432490.1_00061	MN562489.1_00040		MT521409.1_00041		MT926123.1_00062	MT986830.1_00062			NC_027778.1_00020							OM037668.1_00096				OP009387.1_00061	
N17.HOG0000052	OG0000050	n0		AF371960.1_00080			AY779031.1_00086			GQ273492.1_00075									MG570131.1_00075	MG570132.1_00075				MK689685.1_00077		MN432490.1_00080	MN562489.1_00117		MT521409.1_00118		MT926123.1_00081	MT986830.1_00082			NC_027778.1_00099							OM037668.1_00020				OP009387.1_00079	
N17.HOG0000053	OG0000051	n0		AF371960.1_00083			AY779031.1_00090			GQ273492.1_00079									MG570131.1_00079	MG570132.1_00079				MK689685.1_00080		MN432490.1_00084	MN562489.1_00119		MT521409.1_00120		MT926123.1_00084	MT986830.1_00086			NC_027778.1_00101							OM037668.1_00018				OP009387.1_00083	
N17.HOG0000054	OG0000052	n0		AF371960.1_00084			AY779031.1_00091			GQ273492.1_00080									MG570131.1_00080	MG570132.1_00080				MK689685.1_00081		MN432490.1_00085	MN562489.1_00005		MT521409.1_00005		MT926123.1_00085	MT986830.1_00087			NC_027778.1_00126							OM037668.1_00130				OP009387.1_00084	
N17.HOG0000055	OG0000053	n0		AF371960.1_00095			AY779031.1_00102			GQ273492.1_00091									MG570131.1_00091	MG570132.1_00091				MK689685.1_00093		MN432490.1_00096	MN562489.1_00055		MT521409.1_00056		MT926123.1_00095	MT986830.1_00099			NC_027778.1_00035							OM037668.1_00081				OP009387.1_00094	
N17.HOG0000056	OG0000054	n0		AF371960.1_00097			AY779031.1_00104			GQ273492.1_00093									MG570131.1_00093	MG570132.1_00093				MK689685.1_00095		MN432490.1_00098	MN562489.1_00105		MT521409.1_00106		MT926123.1_00097	MT986830.1_00101			NC_027778.1_00086							OM037668.1_00032				OP009387.1_00096	
N17.HOG0000057	OG0000055	n0		AF371960.1_00100			AY779031.1_00107			GQ273492.1_00096									MG570131.1_00096	MG570132.1_00096				MK689685.1_00098		MN432490.1_00101	MN562489.1_00104		MT521409.1_00105		MT926123.1_00100	MT986830.1_00104			NC_027778.1_00085							OM037668.1_00033				OP009387.1_00099	
N17.HOG0000058	OG0000056	n0		AF371960.1_00111			AY779031.1_00120			GQ273492.1_00107									MG570131.1_00107	MG570132.1_00107				MK689685.1_00109		MN432490.1_00112	MN562489.1_00061		MT521409.1_00062		MT926123.1_00111	MT986830.1_00115			NC_027778.1_00041							OM037668.1_00075				OP009387.1_00111	
N17.HOG0000059	OG0000057	n0		AF371960.1_00115			AY779031.1_00125			GQ273492.1_00112									MG570131.1_00112	MG570132.1_00112				MK689685.1_00113		MN432490.1_00116	MN562489.1_00057		MT521409.1_00058		MT926123.1_00115	MT986830.1_00119			NC_027778.1_00037							OM037668.1_00079				OP009387.1_00115	
N17.HOG0000060	OG0000058	n0		AF371960.1_00117			AY779031.1_00127			GQ273492.1_00114									MG570131.1_00114	MG570132.1_00114				MK689685.1_00115		MN432490.1_00118	MN562489.1_00001		MT521409.1_00001		MT926123.1_00117	MT986830.1_00121			NC_027778.1_00121							OM037668.1_00134				OP009387.1_00117	
N17.HOG0000061	OG0000059	n0		AF371960.1_00002			AY779031.1_00002			GQ273492.1_00002									MG570131.1_00002	MG570132.1_00002				MK689685.1_00002		MN432490.1_00002	MN562489.1_00106		MT521409.1_00107		MT926123.1_00002	MT986830.1_00002			NC_027778.1_00087							OM037668.1_00031				OP009387.1_00002	
N17.HOG0000062	OG0000060	n0		AF371960.1_00010			AY779031.1_00010												MG570131.1_00011	MG570132.1_00011				MK689685.1_00010		MN432490.1_00010	MN562489.1_00083		MT521409.1_00084		MT926123.1_00010	MT986830.1_00010			NC_027778.1_00064							OM037668.1_00054				OP009387.1_00010	
N17.HOG0000063	OG0000061	n0		AF371960.1_00018						GQ273492.1_00018									MG570131.1_00019	MG570132.1_00019				MK689685.1_00018		MN432490.1_00018	MN562489.1_00090		MT521409.1_00091		MT926123.1_00018	MT986830.1_00018			NC_027778.1_00071							OM037668.1_00047				OP009387.1_00018	
N17.HOG0000064	OG0000062	n0		AF371960.1_00093			AY779031.1_00099			GQ273492.1_00088									MG570131.1_00088	MG570132.1_00088				MK689685.1_00090		MN432490.1_00093	MN562489.1_00053		MT521409.1_00054			MT986830.1_00095			NC_027778.1_00033							OM037668.1_00083				OP009387.1_00092	
N17.HOG0000065	OG0000063	n0		AF371960.1_00073			AY779031.1_00074, AY779031.1_00075			GQ273492.1_00070									MG570131.1_00070	MG570132.1_00070				MK689685.1_00070		MN432490.1_00073					MT926123.1_00074	MT986830.1_00075														OP009387.1_00072	
N17.HOG0000066	OG0000064	n0		AF371960.1_00017			AY779031.1_00123, AY779031.1_00018			GQ273492.1_00017									MG570131.1_00018	MG570132.1_00018				MK689685.1_00017		MN432490.1_00017					MT926123.1_00017	MT986830.1_00017														OP009387.1_00017	
