HOG	OG	Gene Tree Parent Clade	AF303741.1	AF371960.1	AY521625.1	AY532606.1	AY779031.1	AY894343.1	BD143114.1	GQ273492.1	HF920633.1	HF920637.1	KC244182.1	KF938901.1	KT804738.1	L63545.1	LS484712.1	MF599468.1	MG570131.1	MG570132.1	MK098185.1	MK098186.1	MK098187.1	MK689685.1	MK689686.1	MN432490.1	MN562489.1	MN803438.1	MT521409.1	MT798582.1	MT926123.1	MT986830.1	MW139932.1	NC_005946.1	NC_027778.1	OK042108.1	OK042109.1	OL310752.1	OL774653.1	OL774654.1	OL774655.1	OM037668.1	ON075463.1	ON740976.1	ON743042.1	OP009387.1	OQ475017.1
N36.HOG0000035	OG0000134	n0														L63545.1_00092												MN803438.1_00115																			
N36.HOG0000036	OG0000135	n0														L63545.1_00016												MN803438.1_00006																			
N36.HOG0000037	OG0000137	n0														L63545.1_00100												MN803438.1_00105																			
N36.HOG0000038	OG0000138	n0														L63545.1_00023												MN803438.1_00137																			
N36.HOG0000039	OG0000139	n0																										MN803438.1_00005																			
N36.HOG0000040	OG0000147	n0																										MN803438.1_00022																			
N36.HOG0000041	OG0000151	n0														L63545.1_00085												MN803438.1_00010																			
N36.HOG0000042	OG0000155	n0														L63545.1_00012												MN803438.1_00135																			
N36.HOG0000043	OG0000158	n0														L63545.1_00018												MN803438.1_00003																			
N36.HOG0000044	OG0000160	n0														L63545.1_00055												MN803438.1_00078																			
N36.HOG0000045	OG0000161	n0														L63545.1_00087												MN803438.1_00011, MN803438.1_00096																			
N36.HOG0000046	OG0000176	n0														L63545.1_00066												MN803438.1_00028																			
N36.HOG0000047	OG0000177	n0														L63545.1_00091												MN803438.1_00030																			
N36.HOG0000048	OG0000178	n0														L63545.1_00048												MN803438.1_00092																			
N36.HOG0000049	OG0000182	n1														L63545.1_00057												MN803438.1_00067																			
N36.HOG0000050	OG0000182	n3														L63545.1_00059												MN803438.1_00038																			
N36.HOG0000051	OG0000182	n4														L63545.1_00008												MN803438.1_00047																			
N36.HOG0000052	OG0000206	n0														L63545.1_00106												MN803438.1_00044																			
N36.HOG0000053	OG0000210	n0														L63545.1_00105												MN803438.1_00045																			
N36.HOG0000054	OG0000212	n0																										MN803438.1_00130																			
N36.HOG0000055	OG0000232	n0														L63545.1_00025												MN803438.1_00110																			
N36.HOG0000056	OG0000233	n0														L63545.1_00082												MN803438.1_00140																			
N36.HOG0000057	OG0000234	n0														L63545.1_00021												MN803438.1_00008																			
N36.HOG0000058	OG0000235	n0														L63545.1_00109												MN803438.1_00026																			
N36.HOG0000059	OG0000236	n0														L63545.1_00022												MN803438.1_00136																			
N36.HOG0000060	OG0000237	n0														L63545.1_00032												MN803438.1_00099																			
N36.HOG0000061	OG0000239	n0														L63545.1_00102												MN803438.1_00053, MN803438.1_00103, MN803438.1_00064																			
N36.HOG0000062	OG0000296	-														L63545.1_00095												MN803438.1_00133, MN803438.1_00072																			
N36.HOG0000063	OG0000412	-														L63545.1_00006												MN803438.1_00083																			
N36.HOG0000064	OG0000413	-														L63545.1_00010												MN803438.1_00001																			
N36.HOG0000065	OG0000414	-														L63545.1_00014												MN803438.1_00015																			
N36.HOG0000066	OG0000415	-														L63545.1_00017												MN803438.1_00002																			
N36.HOG0000067	OG0000416	-														L63545.1_00019												MN803438.1_00095																			
N36.HOG0000068	OG0000417	-														L63545.1_00020												MN803438.1_00079																			
N36.HOG0000069	OG0000418	-														L63545.1_00026												MN803438.1_00040																			
N36.HOG0000070	OG0000419	-														L63545.1_00028												MN803438.1_00025																			
N36.HOG0000071	OG0000420	-														L63545.1_00031												MN803438.1_00075																			
N36.HOG0000072	OG0000421	-														L63545.1_00034												MN803438.1_00102																			
N36.HOG0000073	OG0000422	-														L63545.1_00036												MN803438.1_00062																			
N36.HOG0000074	OG0000423	-														L63545.1_00037												MN803438.1_00063																			
N36.HOG0000075	OG0000424	-														L63545.1_00038												MN803438.1_00074																			
N36.HOG0000076	OG0000425	-														L63545.1_00039												MN803438.1_00019																			
N36.HOG0000077	OG0000426	-														L63545.1_00041												MN803438.1_00085																			
N36.HOG0000078	OG0000427	-														L63545.1_00044												MN803438.1_00088																			
N36.HOG0000079	OG0000428	-														L63545.1_00045												MN803438.1_00132																			
N36.HOG0000080	OG0000429	-														L63545.1_00046												MN803438.1_00131																			
N36.HOG0000081	OG0000430	-														L63545.1_00049												MN803438.1_00091																			
N36.HOG0000082	OG0000431	-														L63545.1_00052												MN803438.1_00114																			
N36.HOG0000083	OG0000432	-														L63545.1_00053												MN803438.1_00076																			
N36.HOG0000084	OG0000433	-														L63545.1_00060												MN803438.1_00032																			
N36.HOG0000085	OG0000434	-														L63545.1_00062												MN803438.1_00086																			
N36.HOG0000086	OG0000435	-														L63545.1_00065												MN803438.1_00031																			
N36.HOG0000087	OG0000436	-														L63545.1_00070												MN803438.1_00129																			
N36.HOG0000088	OG0000437	-														L63545.1_00074												MN803438.1_00033																			
N36.HOG0000089	OG0000438	-														L63545.1_00075												MN803438.1_00090																			
N36.HOG0000090	OG0000439	-														L63545.1_00077												MN803438.1_00043																			
N36.HOG0000091	OG0000440	-														L63545.1_00078												MN803438.1_00042																			
N36.HOG0000092	OG0000441	-														L63545.1_00080												MN803438.1_00017																			
N36.HOG0000093	OG0000442	-														L63545.1_00084												MN803438.1_00139																			
N36.HOG0000094	OG0000443	-														L63545.1_00086												MN803438.1_00057																			
N36.HOG0000095	OG0000444	-														L63545.1_00089												MN803438.1_00119																			
N36.HOG0000096	OG0000445	-														L63545.1_00094												MN803438.1_00073																			
N36.HOG0000097	OG0000446	-														L63545.1_00096												MN803438.1_00134																			
N36.HOG0000098	OG0000447	-														L63545.1_00097												MN803438.1_00034																			
N36.HOG0000099	OG0000448	-														L63545.1_00099												MN803438.1_00016																			
N36.HOG0000100	OG0000449	-														L63545.1_00101												MN803438.1_00141																			
N36.HOG0000101	OG0000450	-														L63545.1_00103												MN803438.1_00060																			
N36.HOG0000102	OG0000451	-														L63545.1_00104												MN803438.1_00059																			
N36.HOG0000103	OG0000452	-														L63545.1_00107												MN803438.1_00144																			
N36.HOG0000104	OG0000466	-																										MN803438.1_00081, MN803438.1_00039																			
N36.HOG0000105	OG0000467	-																										MN803438.1_00050, MN803438.1_00061																			
N36.HOG0000106	OG0000468	-																										MN803438.1_00087, MN803438.1_00058																			
