	AB104413	AF371960	AP017456	AY894343	BD143114	GQ273492	KC244182	KT781098	KT804738	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MN562489	MT128666	MT128667	MT521409	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	PQ335173_PQ335174
MG570132	116.0	115.0	116.0	111.0	116.0	110.0	113.0	116.0	115.0	117.0	0.0	115.0	116.0	115.0	116.0	114.0	114.0	66.0	114.0	113.0	67.0	112.0	115.0	115.0	114.0	115.0	116.0	115.0	114.0	115.0	115.0	115.0	114.0	116.0	115.0	115.0	114.0	115.0	115.0	116.0	116.0	115.0	112.0	114.0	114.0	66.0	115.0	115.0	115.0	112.0	116.0	115.0	114.0	112.0	115.0	113.0	115.0	115.0	113.0	93.0
MK098185	120.0	115.0	120.0	115.0	120.0	111.0	118.0	116.0	120.0	114.0	115.0	0.0	120.0	120.0	117.0	119.0	114.0	65.0	114.0	113.0	66.0	115.0	116.0	116.0	119.0	115.0	116.0	115.0	114.0	115.0	115.0	115.0	119.0	116.0	115.0	115.0	114.0	115.0	115.0	116.0	120.0	120.0	117.0	119.0	119.0	65.0	120.0	115.0	120.0	117.0	117.0	115.0	113.0	112.0	115.0	113.0	115.0	115.0	113.0	90.0
MK098186	121.0	116.0	121.0	115.0	121.0	112.0	118.0	117.0	120.0	115.0	116.0	120.0	0.0	120.0	118.0	119.0	115.0	65.0	115.0	114.0	66.0	116.0	117.0	117.0	119.0	116.0	117.0	116.0	115.0	116.0	116.0	116.0	119.0	117.0	116.0	116.0	115.0	116.0	116.0	117.0	121.0	120.0	117.0	119.0	119.0	65.0	120.0	116.0	120.0	117.0	118.0	116.0	114.0	113.0	116.0	114.0	116.0	116.0	114.0	91.0
MK098187	120.0	115.0	120.0	115.0	120.0	111.0	118.0	116.0	120.0	114.0	115.0	120.0	120.0	0.0	117.0	119.0	114.0	65.0	114.0	113.0	66.0	115.0	116.0	116.0	119.0	115.0	116.0	115.0	114.0	115.0	115.0	115.0	119.0	116.0	115.0	115.0	114.0	115.0	115.0	116.0	120.0	120.0	117.0	119.0	119.0	65.0	120.0	115.0	120.0	117.0	117.0	115.0	113.0	112.0	115.0	113.0	115.0	115.0	113.0	90.0
MK689685	118.0	120.0	118.0	113.0	118.0	111.0	115.0	121.0	117.0	115.0	116.0	117.0	118.0	117.0	0.0	116.0	117.0	68.0	119.0	118.0	69.0	116.0	121.0	119.0	116.0	119.0	121.0	120.0	118.0	118.0	120.0	120.0	116.0	121.0	120.0	120.0	119.0	120.0	120.0	121.0	118.0	117.0	114.0	116.0	116.0	68.0	117.0	120.0	117.0	114.0	120.0	120.0	113.0	117.0	120.0	117.0	119.0	119.0	117.0	93.0
MK689686	119.0	114.0	119.0	114.0	119.0	110.0	117.0	115.0	119.0	113.0	114.0	119.0	119.0	119.0	116.0	0.0	113.0	65.0	113.0	112.0	66.0	114.0	115.0	115.0	118.0	114.0	115.0	114.0	113.0	114.0	114.0	114.0	119.0	115.0	114.0	114.0	113.0	114.0	114.0	115.0	119.0	119.0	116.0	118.0	118.0	65.0	119.0	114.0	119.0	116.0	116.0	114.0	112.0	111.0	114.0	112.0	114.0	114.0	112.0	89.0
MN432490	115.0	117.0	115.0	111.0	115.0	108.0	112.0	117.0	114.0	114.0	114.0	114.0	115.0	114.0	117.0	113.0	0.0	67.0	115.0	114.0	68.0	114.0	116.0	117.0	114.0	116.0	117.0	117.0	116.0	118.0	117.0	117.0	114.0	117.0	117.0	117.0	116.0	116.0	117.0	117.0	115.0	114.0	111.0	114.0	113.0	67.0	114.0	117.0	114.0	112.0	118.0	116.0	113.0	113.0	116.0	113.0	116.0	117.0	116.0	90.0
MN562489	65.0	68.0	65.0	64.0	65.0	63.0	65.0	68.0	65.0	66.0	66.0	65.0	65.0	65.0	68.0	65.0	67.0	0.0	67.0	67.0	130.0	64.0	68.0	68.0	65.0	67.0	68.0	68.0	67.0	67.0	68.0	68.0	65.0	68.0	68.0	68.0	67.0	68.0	68.0	68.0	65.0	65.0	64.0	65.0	64.0	129.0	65.0	68.0	65.0	64.0	67.0	67.0	65.0	66.0	67.0	66.0	67.0	66.0	67.0	62.0
MT128666	115.0	118.0	115.0	110.0	115.0	108.0	112.0	119.0	114.0	113.0	114.0	114.0	115.0	114.0	119.0	113.0	115.0	67.0	0.0	118.0	68.0	113.0	118.0	116.0	113.0	117.0	119.0	118.0	117.0	116.0	118.0	118.0	113.0	119.0	118.0	118.0	118.0	118.0	118.0	119.0	115.0	114.0	111.0	113.0	113.0	67.0	114.0	118.0	114.0	111.0	117.0	119.0	111.0	115.0	119.0	117.0	117.0	118.0	115.0	91.0
MT128667	114.0	117.0	114.0	110.0	114.0	107.0	111.0	118.0	113.0	112.0	113.0	113.0	114.0	113.0	118.0	112.0	114.0	67.0	118.0	0.0	68.0	112.0	118.0	115.0	112.0	116.0	118.0	117.0	116.0	115.0	117.0	117.0	112.0	118.0	117.0	117.0	117.0	117.0	117.0	118.0	114.0	113.0	110.0	112.0	112.0	67.0	113.0	117.0	113.0	110.0	116.0	118.0	110.0	114.0	118.0	117.0	116.0	117.0	114.0	90.0
MT521409	66.0	69.0	66.0	65.0	66.0	64.0	66.0	69.0	66.0	67.0	67.0	66.0	66.0	66.0	69.0	66.0	68.0	130.0	68.0	68.0	0.0	65.0	69.0	69.0	66.0	68.0	69.0	69.0	68.0	68.0	69.0	69.0	66.0	69.0	69.0	69.0	68.0	69.0	69.0	69.0	66.0	66.0	65.0	66.0	65.0	130.0	66.0	69.0	66.0	65.0	68.0	68.0	66.0	67.0	68.0	67.0	68.0	67.0	68.0	64.0
MT798582	116.0	114.0	116.0	111.0	116.0	108.0	113.0	115.0	115.0	111.0	112.0	115.0	116.0	115.0	116.0	114.0	114.0	64.0	113.0	112.0	65.0	0.0	115.0	115.0	115.0	115.0	115.0	115.0	114.0	115.0	115.0	115.0	115.0	115.0	115.0	115.0	114.0	114.0	115.0	115.0	116.0	115.0	112.0	115.0	114.0	64.0	115.0	115.0	115.0	113.0	116.0	114.0	110.0	111.0	114.0	112.0	115.0	114.0	113.0	89.0
MT926123	117.0	119.0	117.0	113.0	117.0	110.0	114.0	120.0	116.0	114.0	115.0	116.0	117.0	116.0	121.0	115.0	116.0	68.0	118.0	118.0	69.0	115.0	0.0	118.0	115.0	118.0	120.0	119.0	117.0	117.0	119.0	119.0	115.0	120.0	119.0	119.0	118.0	119.0	119.0	120.0	117.0	116.0	113.0	115.0	115.0	68.0	116.0	119.0	116.0	113.0	119.0	119.0	112.0	116.0	119.0	117.0	118.0	118.0	116.0	92.0
MT986830	117.0	117.0	117.0	112.0	117.0	109.0	114.0	118.0	116.0	114.0	115.0	116.0	117.0	116.0	119.0	115.0	117.0	68.0	116.0	115.0	69.0	115.0	118.0	0.0	116.0	117.0	118.0	118.0	117.0	118.0	118.0	118.0	116.0	118.0	118.0	118.0	117.0	117.0	118.0	118.0	117.0	116.0	113.0	116.0	115.0	68.0	116.0	118.0	116.0	114.0	119.0	117.0	113.0	114.0	117.0	114.0	117.0	117.0	116.0	92.0
MW139932	119.0	114.0	119.0	114.0	119.0	110.0	117.0	115.0	119.0	113.0	114.0	119.0	119.0	119.0	116.0	118.0	114.0	65.0	113.0	112.0	66.0	115.0	115.0	116.0	0.0	115.0	115.0	115.0	114.0	115.0	115.0	115.0	119.0	115.0	115.0	115.0	114.0	114.0	115.0	115.0	119.0	119.0	116.0	119.0	118.0	65.0	119.0	115.0	119.0	117.0	116.0	114.0	113.0	111.0	114.0	112.0	115.0	114.0	113.0	89.0
MW273353	116.0	118.0	116.0	111.0	116.0	109.0	113.0	119.0	115.0	114.0	115.0	115.0	116.0	115.0	119.0	114.0	116.0	67.0	117.0	116.0	68.0	115.0	118.0	117.0	115.0	0.0	119.0	119.0	117.0	117.0	119.0	119.0	115.0	119.0	119.0	119.0	118.0	118.0	119.0	119.0	116.0	115.0	112.0	115.0	114.0	67.0	115.0	119.0	115.0	113.0	117.0	118.0	113.0	115.0	118.0	116.0	119.0	117.0	116.0	92.0
MW273354	117.0	120.0	117.0	112.0	117.0	110.0	114.0	121.0	116.0	115.0	116.0	116.0	117.0	116.0	121.0	115.0	117.0	68.0	119.0	118.0	69.0	115.0	120.0	118.0	115.0	119.0	0.0	120.0	118.0	118.0	120.0	120.0	115.0	121.0	120.0	120.0	119.0	120.0	120.0	121.0	117.0	116.0	113.0	115.0	115.0	68.0	116.0	120.0	116.0	113.0	119.0	120.0	113.0	117.0	120.0	117.0	119.0	119.0	117.0	93.0
MW883593	116.0	119.0	116.0	111.0	116.0	109.0	113.0	120.0	115.0	114.0	115.0	115.0	116.0	115.0	120.0	114.0	117.0	68.0	118.0	117.0	69.0	115.0	119.0	118.0	115.0	119.0	120.0	0.0	118.0	118.0	120.0	120.0	115.0	120.0	120.0	120.0	119.0	119.0	120.0	120.0	116.0	115.0	112.0	115.0	114.0	68.0	115.0	120.0	115.0	113.0	118.0	119.0	113.0	116.0	119.0	116.0	119.0	118.0	117.0	92.0
MW883594	115.0	117.0	115.0	110.0	115.0	107.0	112.0	118.0	114.0	113.0	114.0	114.0	115.0	114.0	118.0	113.0	116.0	67.0	117.0	116.0	68.0	114.0	117.0	117.0	114.0	117.0	118.0	118.0	0.0	117.0	118.0	118.0	114.0	118.0	118.0	118.0	118.0	117.0	118.0	118.0	115.0	114.0	111.0	114.0	113.0	67.0	114.0	118.0	114.0	112.0	117.0	118.0	112.0	114.0	118.0	115.0	117.0	117.0	115.0	91.0
MW883595	116.0	117.0	116.0	112.0	116.0	108.0	113.0	118.0	115.0	114.0	115.0	115.0	116.0	115.0	118.0	114.0	118.0	67.0	116.0	115.0	68.0	115.0	117.0	118.0	115.0	117.0	118.0	118.0	117.0	0.0	118.0	118.0	115.0	118.0	118.0	118.0	117.0	117.0	118.0	118.0	116.0	115.0	112.0	115.0	114.0	67.0	115.0	118.0	115.0	113.0	119.0	117.0	113.0	114.0	117.0	114.0	117.0	118.0	117.0	91.0
MW883596	116.0	119.0	116.0	111.0	116.0	109.0	113.0	120.0	115.0	114.0	115.0	115.0	116.0	115.0	120.0	114.0	117.0	68.0	118.0	117.0	69.0	115.0	119.0	118.0	115.0	119.0	120.0	120.0	118.0	118.0	0.0	120.0	115.0	120.0	120.0	120.0	119.0	119.0	120.0	120.0	116.0	115.0	112.0	115.0	114.0	68.0	115.0	120.0	115.0	113.0	118.0	119.0	113.0	116.0	119.0	116.0	119.0	118.0	117.0	92.0
MW883597	116.0	119.0	116.0	111.0	116.0	109.0	113.0	120.0	115.0	114.0	115.0	115.0	116.0	115.0	120.0	114.0	117.0	68.0	118.0	117.0	69.0	115.0	119.0	118.0	115.0	119.0	120.0	120.0	118.0	118.0	120.0	0.0	115.0	120.0	120.0	120.0	119.0	119.0	120.0	120.0	116.0	115.0	112.0	115.0	114.0	68.0	115.0	120.0	115.0	113.0	118.0	119.0	113.0	116.0	119.0	116.0	119.0	118.0	117.0	92.0
MW883598	119.0	114.0	119.0	114.0	119.0	110.0	117.0	115.0	119.0	113.0	114.0	119.0	119.0	119.0	116.0	119.0	114.0	65.0	113.0	112.0	66.0	115.0	115.0	116.0	119.0	115.0	115.0	115.0	114.0	115.0	115.0	115.0	0.0	115.0	115.0	115.0	114.0	114.0	115.0	115.0	119.0	119.0	116.0	119.0	118.0	65.0	119.0	115.0	119.0	117.0	116.0	114.0	113.0	111.0	114.0	112.0	115.0	114.0	113.0	89.0
MW883599	117.0	120.0	117.0	112.0	117.0	110.0	114.0	121.0	116.0	115.0	116.0	116.0	117.0	116.0	121.0	115.0	117.0	68.0	119.0	118.0	69.0	115.0	120.0	118.0	115.0	119.0	121.0	120.0	118.0	118.0	120.0	120.0	115.0	0.0	120.0	120.0	119.0	120.0	120.0	121.0	117.0	116.0	113.0	115.0	115.0	68.0	116.0	120.0	116.0	113.0	119.0	120.0	113.0	117.0	120.0	117.0	119.0	119.0	117.0	93.0
MW883600	116.0	119.0	116.0	111.0	116.0	109.0	113.0	120.0	115.0	114.0	115.0	115.0	116.0	115.0	120.0	114.0	117.0	68.0	118.0	117.0	69.0	115.0	119.0	118.0	115.0	119.0	120.0	120.0	118.0	118.0	120.0	120.0	115.0	120.0	0.0	120.0	119.0	119.0	120.0	120.0	116.0	115.0	112.0	115.0	114.0	68.0	115.0	120.0	115.0	113.0	118.0	119.0	113.0	116.0	119.0	116.0	119.0	118.0	117.0	92.0
MW883601	116.0	119.0	116.0	111.0	116.0	109.0	113.0	120.0	115.0	114.0	115.0	115.0	116.0	115.0	120.0	114.0	117.0	68.0	118.0	117.0	69.0	115.0	119.0	118.0	115.0	119.0	120.0	120.0	118.0	118.0	120.0	120.0	115.0	120.0	120.0	0.0	119.0	119.0	120.0	120.0	116.0	115.0	112.0	115.0	114.0	68.0	115.0	120.0	115.0	113.0	118.0	119.0	113.0	116.0	119.0	116.0	119.0	118.0	117.0	92.0
MW883602	115.0	118.0	115.0	110.0	115.0	108.0	112.0	119.0	114.0	113.0	114.0	114.0	115.0	114.0	119.0	113.0	116.0	67.0	118.0	117.0	68.0	114.0	118.0	117.0	114.0	118.0	119.0	119.0	118.0	117.0	119.0	119.0	114.0	119.0	119.0	119.0	0.0	118.0	119.0	119.0	115.0	114.0	111.0	114.0	113.0	67.0	114.0	119.0	114.0	112.0	117.0	119.0	112.0	115.0	119.0	116.0	118.0	118.0	116.0	91.0
MW883603	116.0	119.0	116.0	111.0	116.0	109.0	113.0	120.0	115.0	114.0	115.0	115.0	116.0	115.0	120.0	114.0	116.0	68.0	118.0	117.0	69.0	114.0	119.0	117.0	114.0	118.0	120.0	119.0	117.0	117.0	119.0	119.0	114.0	120.0	119.0	119.0	118.0	0.0	119.0	120.0	116.0	115.0	112.0	114.0	114.0	68.0	115.0	119.0	115.0	112.0	118.0	119.0	112.0	116.0	119.0	116.0	118.0	118.0	116.0	93.0
MW883606	116.0	119.0	116.0	111.0	116.0	109.0	113.0	120.0	115.0	114.0	115.0	115.0	116.0	115.0	120.0	114.0	117.0	68.0	118.0	117.0	69.0	115.0	119.0	118.0	115.0	119.0	120.0	120.0	118.0	118.0	120.0	120.0	115.0	120.0	120.0	120.0	119.0	119.0	0.0	120.0	116.0	115.0	112.0	115.0	114.0	68.0	115.0	120.0	115.0	113.0	118.0	119.0	113.0	116.0	119.0	116.0	119.0	118.0	117.0	92.0
NC_003494	117.0	121.0	117.0	112.0	117.0	110.0	114.0	121.0	116.0	115.0	116.0	116.0	117.0	116.0	121.0	115.0	117.0	68.0	119.0	118.0	69.0	115.0	120.0	118.0	115.0	119.0	121.0	120.0	118.0	118.0	120.0	120.0	115.0	121.0	120.0	120.0	119.0	120.0	120.0	0.0	117.0	116.0	113.0	115.0	115.0	68.0	116.0	120.0	116.0	113.0	119.0	120.0	113.0	118.0	120.0	117.0	120.0	119.0	117.0	93.0
OK042108	121.0	116.0	121.0	115.0	121.0	112.0	118.0	117.0	120.0	115.0	116.0	120.0	121.0	120.0	118.0	119.0	115.0	65.0	115.0	114.0	66.0	116.0	117.0	117.0	119.0	116.0	117.0	116.0	115.0	116.0	116.0	116.0	119.0	117.0	116.0	116.0	115.0	116.0	116.0	117.0	0.0	120.0	117.0	119.0	119.0	65.0	120.0	116.0	120.0	117.0	118.0	116.0	114.0	113.0	116.0	114.0	116.0	116.0	114.0	91.0
OK042109	120.0	115.0	120.0	115.0	120.0	111.0	118.0	116.0	120.0	114.0	115.0	120.0	120.0	120.0	117.0	119.0	114.0	65.0	114.0	113.0	66.0	115.0	116.0	116.0	119.0	115.0	116.0	115.0	114.0	115.0	115.0	115.0	119.0	116.0	115.0	115.0	114.0	115.0	115.0	116.0	120.0	0.0	117.0	119.0	119.0	65.0	120.0	115.0	120.0	117.0	117.0	115.0	113.0	112.0	115.0	113.0	115.0	115.0	113.0	90.0
OL774653	117.0	112.0	117.0	112.0	117.0	108.0	115.0	113.0	117.0	111.0	112.0	117.0	117.0	117.0	114.0	116.0	111.0	64.0	111.0	110.0	65.0	112.0	113.0	113.0	116.0	112.0	113.0	112.0	111.0	112.0	112.0	112.0	116.0	113.0	112.0	112.0	111.0	112.0	112.0	113.0	117.0	117.0	0.0	116.0	116.0	64.0	117.0	112.0	117.0	114.0	114.0	112.0	110.0	109.0	112.0	110.0	112.0	112.0	110.0	89.0
OL774654	119.0	114.0	119.0	114.0	119.0	110.0	117.0	115.0	119.0	113.0	114.0	119.0	119.0	119.0	116.0	118.0	114.0	65.0	113.0	112.0	66.0	115.0	115.0	116.0	119.0	115.0	115.0	115.0	114.0	115.0	115.0	115.0	119.0	115.0	115.0	115.0	114.0	114.0	115.0	115.0	119.0	119.0	116.0	0.0	118.0	65.0	119.0	115.0	119.0	117.0	116.0	114.0	113.0	111.0	114.0	112.0	115.0	114.0	113.0	89.0
OL774655	119.0	114.0	119.0	114.0	119.0	110.0	117.0	115.0	119.0	113.0	114.0	119.0	119.0	119.0	116.0	118.0	113.0	64.0	113.0	112.0	65.0	114.0	115.0	115.0	118.0	114.0	115.0	114.0	113.0	114.0	114.0	114.0	118.0	115.0	114.0	114.0	113.0	114.0	114.0	115.0	119.0	119.0	116.0	118.0	0.0	64.0	119.0	114.0	119.0	116.0	116.0	114.0	112.0	111.0	114.0	112.0	114.0	114.0	112.0	90.0
OM037668	65.0	68.0	65.0	64.0	65.0	63.0	65.0	68.0	65.0	66.0	66.0	65.0	65.0	65.0	68.0	65.0	67.0	129.0	67.0	67.0	130.0	64.0	68.0	68.0	65.0	67.0	68.0	68.0	67.0	67.0	68.0	68.0	65.0	68.0	68.0	68.0	67.0	68.0	68.0	68.0	65.0	65.0	64.0	65.0	64.0	0.0	65.0	68.0	65.0	64.0	67.0	67.0	65.0	66.0	67.0	66.0	67.0	66.0	67.0	63.0
ON075463	120.0	115.0	120.0	115.0	120.0	111.0	118.0	116.0	120.0	114.0	115.0	120.0	120.0	120.0	117.0	119.0	114.0	65.0	114.0	113.0	66.0	115.0	116.0	116.0	119.0	115.0	116.0	115.0	114.0	115.0	115.0	115.0	119.0	116.0	115.0	115.0	114.0	115.0	115.0	116.0	120.0	120.0	117.0	119.0	119.0	65.0	0.0	115.0	120.0	117.0	117.0	115.0	113.0	112.0	115.0	113.0	115.0	115.0	113.0	90.0
ON212400	116.0	119.0	116.0	111.0	116.0	109.0	113.0	120.0	115.0	114.0	115.0	115.0	116.0	115.0	120.0	114.0	117.0	68.0	118.0	117.0	69.0	115.0	119.0	118.0	115.0	119.0	120.0	120.0	118.0	118.0	120.0	120.0	115.0	120.0	120.0	120.0	119.0	119.0	120.0	120.0	116.0	115.0	112.0	115.0	114.0	68.0	115.0	0.0	115.0	113.0	118.0	119.0	113.0	116.0	119.0	116.0	119.0	118.0	117.0	92.0
ON740976	120.0	115.0	120.0	115.0	120.0	111.0	118.0	116.0	120.0	114.0	115.0	120.0	120.0	120.0	117.0	119.0	114.0	65.0	114.0	113.0	66.0	115.0	116.0	116.0	119.0	115.0	116.0	115.0	114.0	115.0	115.0	115.0	119.0	116.0	115.0	115.0	114.0	115.0	115.0	116.0	120.0	120.0	117.0	119.0	119.0	65.0	120.0	115.0	0.0	117.0	117.0	115.0	113.0	112.0	115.0	113.0	115.0	115.0	113.0	90.0
ON743042	117.0	112.0	117.0	112.0	117.0	108.0	116.0	113.0	117.0	111.0	112.0	117.0	117.0	117.0	114.0	116.0	112.0	64.0	111.0	110.0	65.0	113.0	113.0	114.0	117.0	113.0	113.0	113.0	112.0	113.0	113.0	113.0	117.0	113.0	113.0	113.0	112.0	112.0	113.0	113.0	117.0	117.0	114.0	117.0	116.0	64.0	117.0	113.0	117.0	0.0	114.0	112.0	111.0	109.0	112.0	110.0	113.0	112.0	112.0	87.0
OP009387	118.0	118.0	118.0	114.0	118.0	110.0	115.0	119.0	117.0	115.0	116.0	117.0	118.0	117.0	120.0	116.0	118.0	67.0	117.0	116.0	68.0	116.0	119.0	119.0	116.0	117.0	119.0	118.0	117.0	119.0	118.0	118.0	116.0	119.0	118.0	118.0	117.0	118.0	118.0	119.0	118.0	117.0	114.0	116.0	116.0	67.0	117.0	118.0	117.0	114.0	0.0	118.0	113.0	115.0	118.0	115.0	117.0	119.0	117.0	92.0
OP896201	116.0	119.0	116.0	111.0	116.0	109.0	113.0	120.0	115.0	114.0	115.0	115.0	116.0	115.0	120.0	114.0	116.0	67.0	119.0	118.0	68.0	114.0	119.0	117.0	114.0	118.0	120.0	119.0	118.0	117.0	119.0	119.0	114.0	120.0	119.0	119.0	119.0	119.0	119.0	120.0	116.0	115.0	112.0	114.0	114.0	67.0	115.0	119.0	115.0	112.0	118.0	0.0	112.0	116.0	120.0	117.0	118.0	119.0	116.0	92.0
OQ475017	114.0	113.0	114.0	109.0	114.0	107.0	111.0	113.0	113.0	113.0	114.0	113.0	114.0	113.0	113.0	112.0	113.0	65.0	111.0	110.0	66.0	110.0	112.0	113.0	113.0	113.0	113.0	113.0	112.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	112.0	112.0	113.0	113.0	114.0	113.0	110.0	113.0	112.0	65.0	113.0	113.0	113.0	111.0	113.0	112.0	0.0	109.0	112.0	110.0	113.0	112.0	111.0	89.0
OQ513807	113.0	117.0	113.0	108.0	113.0	106.0	110.0	117.0	112.0	111.0	112.0	112.0	113.0	112.0	117.0	111.0	113.0	66.0	115.0	114.0	67.0	111.0	116.0	114.0	111.0	115.0	117.0	116.0	114.0	114.0	116.0	116.0	111.0	117.0	116.0	116.0	115.0	116.0	116.0	118.0	113.0	112.0	109.0	111.0	111.0	66.0	112.0	116.0	112.0	109.0	115.0	116.0	109.0	0.0	116.0	113.0	116.0	115.0	113.0	90.0
