Orthogroup	MT521409.1	MN562489.1
OG0000043	MT521409.1_00032	MN562489.1_00031
OG0000044	MT521409.1_00037	MN562489.1_00036
OG0000045	MT521409.1_00038	MN562489.1_00037
OG0000046	MT521409.1_00040	MN562489.1_00039
OG0000047	MT521409.1_00052	MN562489.1_00051
OG0000048	MT521409.1_00041	MN562489.1_00040
OG0000049	MT521409.1_00118	MN562489.1_00117
OG0000050	MT521409.1_00120	MN562489.1_00119
OG0000051	MT521409.1_00005	MN562489.1_00005
OG0000052	MT521409.1_00056	MN562489.1_00055
OG0000053	MT521409.1_00106	MN562489.1_00105
OG0000054	MT521409.1_00105	MN562489.1_00104
OG0000055	MT521409.1_00062	MN562489.1_00061
OG0000056	MT521409.1_00058	MN562489.1_00057
OG0000057	MT521409.1_00001	MN562489.1_00001
OG0000058	MT521409.1_00107	MN562489.1_00106
OG0000059	MT521409.1_00084	MN562489.1_00083
OG0000060	MT521409.1_00091	MN562489.1_00090
OG0000061	MT521409.1_00054	MN562489.1_00053
OG0000062	MT521409.1_00074	MN562489.1_00073
OG0000096	MT521409.1_00046	MN562489.1_00045
OG0000113	MT521409.1_00096	MN562489.1_00095
OG0000114	MT521409.1_00085	MN562489.1_00084
OG0000115	MT521409.1_00036	MN562489.1_00035
OG0000117	MT521409.1_00055	MN562489.1_00054
OG0000128	MT521409.1_00004	MN562489.1_00004
OG0000128	MT521409.1_00072	MN562489.1_00071
OG0000128	MT521409.1_00003	MN562489.1_00003
OG0000129	MT521409.1_00076	MN562489.1_00075
OG0000136	MT521409.1_00009	MN562489.1_00009
OG0000136	MT521409.1_00071	MN562489.1_00070
OG0000143	MT521409.1_00014	MN562489.1_00014
OG0000143	MT521409.1_00007	MN562489.1_00007
OG0000144	MT521409.1_00123	MN562489.1_00122
OG0000144	MT521409.1_00067	MN562489.1_00066
OG0000146	MT521409.1_00137	MN562489.1_00136
OG0000149	MT521409.1_00070	MN562489.1_00069
OG0000156	MT521409.1_00102	MN562489.1_00101
OG0000187	MT521409.1_00116	MN562489.1_00115
OG0000188	MT521409.1_00121	MN562489.1_00120
OG0000189	MT521409.1_00115	MN562489.1_00114
OG0000190	MT521409.1_00049	MN562489.1_00048
OG0000191	MT521409.1_00075	MN562489.1_00074
OG0000224	MT521409.1_00006	MN562489.1_00006
OG0000225	MT521409.1_00022	MN562489.1_00021
OG0000226	MT521409.1_00025	MN562489.1_00024
OG0000227	MT521409.1_00026	MN562489.1_00025
OG0000228	MT521409.1_00028	MN562489.1_00027
OG0000229	MT521409.1_00029	MN562489.1_00028
OG0000230	MT521409.1_00030	MN562489.1_00029
OG0000231	MT521409.1_00033	MN562489.1_00032
OG0000232	MT521409.1_00034	MN562489.1_00033
OG0000233	MT521409.1_00035	MN562489.1_00034
OG0000234	MT521409.1_00043	MN562489.1_00042
OG0000235	MT521409.1_00044	MN562489.1_00043
OG0000236	MT521409.1_00045	MN562489.1_00044
OG0000237	MT521409.1_00066	MN562489.1_00065
OG0000238	MT521409.1_00068	MN562489.1_00067
OG0000239	MT521409.1_00069	MN562489.1_00068
OG0000240	MT521409.1_00073	MN562489.1_00072
OG0000241	MT521409.1_00077	MN562489.1_00076
OG0000242	MT521409.1_00078	MN562489.1_00077
OG0000243	MT521409.1_00079	MN562489.1_00078
OG0000244	MT521409.1_00080	MN562489.1_00079
OG0000245	MT521409.1_00083	MN562489.1_00082
OG0000246	MT521409.1_00086	MN562489.1_00085
OG0000247	MT521409.1_00089	MN562489.1_00088
OG0000248	MT521409.1_00094	MN562489.1_00093
OG0000249	MT521409.1_00099	MN562489.1_00098
OG0000250	MT521409.1_00101	MN562489.1_00100
OG0000251	MT521409.1_00104	MN562489.1_00103
OG0000252	MT521409.1_00109	MN562489.1_00108
OG0000253	MT521409.1_00111	MN562489.1_00110
OG0000254	MT521409.1_00112	MN562489.1_00111
OG0000255	MT521409.1_00113	MN562489.1_00112
OG0000256	MT521409.1_00122	MN562489.1_00121
OG0000257	MT521409.1_00124	MN562489.1_00123
OG0000258	MT521409.1_00126	MN562489.1_00125
OG0000259	MT521409.1_00128	MN562489.1_00127
OG0000260	MT521409.1_00130	MN562489.1_00129
OG0000261	MT521409.1_00131	MN562489.1_00130
OG0000262	MT521409.1_00136	MN562489.1_00135
OG0000290	MT521409.1_00015	MN562489.1_00015
OG0000291	MT521409.1_00016	MN562489.1_00016
OG0000292	MT521409.1_00017	MN562489.1_00017
OG0000293	MT521409.1_00018	MN562489.1_00018
OG0000294	MT521409.1_00019	MN562489.1_00019
OG0000295	MT521409.1_00020	MN562489.1_00020
OG0000296	MT521409.1_00023	MN562489.1_00022
OG0000297	MT521409.1_00065	MN562489.1_00064
