	AB104413	AF303741	AF371960	AP017456	AY521625	AY894343	BD143114	GQ273492	HF920633	HF920637	KC244182	KF938901	KT781098	KT804738	KX643370	LS484712	MF599468	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MN562489	MN803438	MT128666	MT128667	MT521409	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	NC_005946	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	PQ335173_PQ335174
KC244182	118	25	113	118	27	113	118	110	25	25	118	24	114	118	28	22	24	112	113	118	118	118	115	117	112	66	28	112	111	66	113	114	114	117	113	114	113	112	113	113	113	117	114	113	113	112	113	113	114	28	118	118	115	117	117	65	118	113	118	116	115	113	111	110	113	111	113	113	112	90
KF938901	24	86	24	24	31	24	24	24	114	81	24	118	24	24	33	44	50	24	24	24	24	24	24	24	24	25	33	24	24	25	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	31	24	24	24	24	24	25	24	24	24	24	24	24	24	22	24	24	24	24	24	24
KT781098	117	25	120	117	27	112	117	110	25	25	114	24	121	116	29	22	24	115	116	116	117	116	121	115	117	69	29	119	118	69	115	120	118	115	119	121	120	118	118	120	120	115	121	120	120	119	120	120	121	27	117	117	113	115	115	68	116	120	116	113	119	120	113	117	120	117	119	119	117	94
KT804738	120	25	115	120	27	115	120	111	25	25	118	24	116	120	28	22	24	114	115	120	120	120	117	119	114	66	28	114	113	66	115	116	116	119	115	116	115	114	115	115	115	119	116	115	115	114	115	115	116	28	120	120	117	119	119	65	120	115	120	117	117	115	113	112	115	113	115	115	113	91
KX643370	28	31	29	28	46	28	28	27	35	33	28	33	29	28	122	25	32	28	28	28	28	28	29	28	29	34	120	29	29	34	28	29	29	28	28	29	29	29	29	29	29	28	29	29	29	29	29	29	29	44	28	28	28	28	28	34	28	29	28	28	29	29	28	27	29	28	28	29	29	28
LS484712	22	43	22	22	24	22	22	22	46	43	22	44	22	22	25	67	29	22	22	22	22	22	22	21	22	22	25	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	24	22	22	22	22	22	22	22	22	22	22	22	22	22	20	22	22	22	22	22	22
MF599468	24	55	24	24	33	24	24	24	52	54	24	50	24	24	32	29	70	24	24	24	24	24	24	24	24	24	32	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	31	24	24	24	24	24	24	24	24	24	24	24	24	24	22	24	24	24	24	24	24
MG570131	115	25	115	115	27	110	115	110	25	25	112	24	115	114	28	22	24	117	117	114	115	114	115	113	114	67	28	113	112	67	111	114	114	113	114	115	114	113	114	114	114	113	115	114	114	113	114	114	115	28	115	114	111	113	113	66	114	114	114	111	115	114	113	111	114	112	114	114	112	93
MG570132	116	25	115	116	27	111	116	110	25	25	113	24	116	115	28	22	24	117	119	115	116	115	116	114	114	67	28	114	113	67	112	115	115	114	115	116	115	114	115	115	115	114	116	115	115	114	115	115	116	28	116	115	112	114	114	66	115	115	115	112	116	115	114	112	115	113	115	115	113	94
MK098185	120	25	115	120	27	115	120	111	25	25	118	24	116	120	28	22	24	114	115	120	120	120	117	119	114	66	28	114	113	66	115	116	116	119	115	116	115	114	115	115	115	119	116	115	115	114	115	115	116	28	120	120	117	119	119	65	120	115	120	117	117	115	113	112	115	113	115	115	113	91
MK098186	121	25	116	121	27	115	121	112	25	25	118	24	117	120	28	22	24	115	116	120	121	120	118	119	115	66	28	115	114	66	116	117	117	119	116	117	116	115	116	116	116	119	117	116	116	115	116	116	117	28	121	120	117	119	119	65	120	116	120	117	118	116	114	113	116	114	116	116	114	92
MK098187	120	25	115	120	27	115	120	111	25	25	118	24	116	120	28	22	24	114	115	120	120	120	117	119	114	66	28	114	113	66	115	116	116	119	115	116	115	114	115	115	115	119	116	115	115	114	115	115	116	28	120	120	117	119	119	65	120	115	120	117	117	115	113	112	115	113	115	115	113	91
MK689685	118	25	120	118	27	113	118	111	25	25	115	24	121	117	29	22	24	115	116	117	118	117	122	116	117	69	29	119	118	69	116	121	119	116	119	121	120	118	118	120	120	116	121	120	120	119	120	120	121	27	118	118	114	116	116	68	117	120	117	114	120	120	113	117	120	117	119	119	117	94
MK689686	119	25	114	119	27	114	119	110	25	25	117	24	115	119	28	21	24	113	114	119	119	119	116	120	113	66	28	113	112	66	114	115	115	118	114	115	114	113	114	114	114	119	115	114	114	113	114	114	115	28	119	119	116	118	118	65	119	114	119	116	116	114	112	111	114	112	114	114	112	90
MN432490	115	25	117	115	27	111	115	108	25	25	112	24	117	114	29	22	24	114	114	114	115	114	117	113	118	68	29	115	114	68	114	116	117	114	116	117	117	116	118	117	117	114	117	117	117	116	116	117	117	28	115	114	111	114	113	67	114	117	114	112	118	116	113	113	116	113	116	117	116	91
MN562489	66	28	69	66	29	65	66	64	26	27	66	25	69	66	34	22	24	67	67	66	66	66	69	66	68	124	34	68	68	123	65	69	69	66	68	69	69	68	68	69	69	66	69	69	69	68	69	69	69	29	66	66	65	66	65	123	66	69	66	65	68	68	66	67	68	67	68	67	68	63
MN803438	28	31	29	28	44	28	28	27	35	33	28	33	29	28	120	25	32	28	28	28	28	28	29	28	29	34	120	29	29	34	28	29	29	28	28	29	29	29	29	29	29	28	29	29	29	29	29	29	29	42	28	28	28	28	28	34	28	29	28	28	29	29	28	27	29	28	28	29	29	28
MT128666	115	25	118	115	27	110	115	108	25	25	112	24	119	114	29	22	24	113	114	114	115	114	119	113	115	68	29	119	118	68	113	118	116	113	117	119	118	117	116	118	118	113	119	118	118	118	118	118	119	27	115	115	111	113	113	67	114	118	114	111	117	119	111	115	119	117	117	118	115	92
MT128667	114	25	117	114	27	110	114	107	25	25	111	24	118	113	29	22	24	112	113	113	114	113	118	112	114	68	29	118	118	68	112	118	115	112	116	118	117	116	115	117	117	112	118	117	117	117	117	117	118	27	114	114	110	112	112	67	113	117	113	110	116	118	110	114	118	117	116	117	114	91
MT521409	66	28	69	66	29	65	66	64	26	27	66	25	69	66	34	22	24	67	67	66	66	66	69	66	68	123	34	68	68	124	65	69	69	66	68	69	69	68	68	69	69	66	69	69	69	68	69	69	69	29	66	66	65	66	65	123	66	69	66	65	68	68	66	67	68	67	68	67	68	64
MT798582	116	25	114	116	27	111	116	108	25	25	113	24	115	115	28	22	24	111	112	115	116	115	116	114	114	65	28	113	112	65	116	115	115	115	115	115	115	114	115	115	115	115	115	115	115	114	114	115	115	27	116	115	112	115	114	64	115	115	115	113	116	114	110	111	114	112	115	114	113	90
MT926123	117	25	119	117	27	113	117	110	25	25	114	24	120	116	29	22	24	114	115	116	117	116	121	115	116	69	29	118	118	69	115	121	118	115	118	120	119	117	117	119	119	115	120	119	119	118	119	119	120	27	117	117	113	115	115	68	116	119	116	113	119	119	112	116	119	117	118	118	116	93
MT986830	117	25	117	117	27	112	117	109	25	25	114	24	118	116	29	22	24	114	115	116	117	116	119	115	117	69	29	116	115	69	115	118	120	116	117	118	118	117	118	118	118	116	118	118	118	117	117	118	118	28	117	116	113	116	115	68	116	118	116	114	119	117	113	114	117	114	117	117	116	93
MW139932	119	25	114	119	27	114	119	110	25	25	117	24	115	119	28	22	24	113	114	119	119	119	116	118	114	66	28	113	112	66	115	115	116	119	115	115	115	114	115	115	115	119	115	115	115	114	114	115	115	28	119	119	116	119	118	65	119	115	119	117	116	114	113	111	114	112	115	114	113	90
MW273353	116	25	118	116	27	111	116	109	25	25	113	24	119	115	28	22	24	114	115	115	116	115	119	114	116	68	28	117	116	68	115	118	117	115	119	119	119	117	117	119	119	115	119	119	119	118	118	119	119	27	116	116	112	115	114	67	115	119	115	113	117	118	113	115	118	116	119	117	116	93
MW273354	117	25	120	117	27	112	117	110	25	25	114	24	121	116	29	22	24	115	116	116	117	116	121	115	117	69	29	119	118	69	115	120	118	115	119	121	120	118	118	120	120	115	121	120	120	119	120	120	121	27	117	117	113	115	115	68	116	120	116	113	119	120	113	117	120	117	119	119	117	94
MW883593	116	25	119	116	27	111	116	109	25	25	113	24	120	115	29	22	24	114	115	115	116	115	120	114	117	69	29	118	117	69	115	119	118	115	119	120	120	118	118	120	120	115	120	120	120	119	119	120	120	27	116	116	112	115	114	68	115	120	115	113	118	119	113	116	119	116	119	118	117	93
MW883594	115	25	117	115	27	110	115	107	25	25	112	24	118	114	29	22	24	113	114	114	115	114	118	113	116	68	29	117	116	68	114	117	117	114	117	118	118	118	117	118	118	114	118	118	118	118	117	118	118	27	115	114	111	114	113	67	114	118	114	112	117	118	112	114	118	115	117	117	115	92
MW883595	116	25	117	116	27	112	116	108	25	25	113	24	118	115	29	22	24	114	115	115	116	115	118	114	118	68	29	116	115	68	115	117	118	115	117	118	118	117	119	118	118	115	118	118	118	117	117	118	118	28	116	115	112	115	114	67	115	118	115	113	119	117	113	114	117	114	117	118	117	92
MW883596	116	25	119	116	27	111	116	109	25	25	113	24	120	115	29	22	24	114	115	115	116	115	120	114	117	69	29	118	117	69	115	119	118	115	119	120	120	118	118	120	120	115	120	120	120	119	119	120	120	27	116	116	112	115	114	68	115	120	115	113	118	119	113	116	119	116	119	118	117	93
MW883597	116	25	119	116	27	111	116	109	25	25	113	24	120	115	29	22	24	114	115	115	116	115	120	114	117	69	29	118	117	69	115	119	118	115	119	120	120	118	118	120	120	115	120	120	120	119	119	120	120	27	116	116	112	115	114	68	115	120	115	113	118	119	113	116	119	116	119	118	117	93
MW883598	119	25	114	119	27	114	119	110	25	25	117	24	115	119	28	22	24	113	114	119	119	119	116	119	114	66	28	113	112	66	115	115	116	119	115	115	115	114	115	115	115	120	115	115	115	114	114	115	115	28	119	119	116	119	118	65	119	115	119	117	116	114	113	111	114	112	115	114	113	90
MW883599	117	25	120	117	27	112	117	110	25	25	114	24	121	116	29	22	24	115	116	116	117	116	121	115	117	69	29	119	118	69	115	120	118	115	119	121	120	118	118	120	120	115	121	120	120	119	120	120	121	27	117	117	113	115	115	68	116	120	116	113	119	120	113	117	120	117	119	119	117	94
MW883600	116	25	119	116	27	111	116	109	25	25	113	24	120	115	29	22	24	114	115	115	116	115	120	114	117	69	29	118	117	69	115	119	118	115	119	120	120	118	118	120	120	115	120	120	120	119	119	120	120	27	116	116	112	115	114	68	115	120	115	113	118	119	113	116	119	116	119	118	117	93
MW883601	116	25	119	116	27	111	116	109	25	25	113	24	120	115	29	22	24	114	115	115	116	115	120	114	117	69	29	118	117	69	115	119	118	115	119	120	120	118	118	120	120	115	120	120	120	119	119	120	120	27	116	116	112	115	114	68	115	120	115	113	118	119	113	116	119	116	119	118	117	93
MW883602	115	25	118	115	27	110	115	108	25	25	112	24	119	114	29	22	24	113	114	114	115	114	119	113	116	68	29	118	117	68	114	118	117	114	118	119	119	118	117	119	119	114	119	119	119	119	118	119	119	27	115	115	111	114	113	67	114	119	114	112	117	119	112	115	119	116	118	118	116	92
MW883603	116	25	119	116	27	111	116	109	25	25	113	24	120	115	29	22	24	114	115	115	116	115	120	114	116	69	29	118	117	69	114	119	117	114	118	120	119	117	117	119	119	114	120	119	119	118	120	119	120	27	116	116	112	114	114	68	115	119	115	112	118	119	112	116	119	116	118	118	116	94
MW883606	116	25	119	116	27	111	116	109	25	25	113	24	120	115	29	22	24	114	115	115	116	115	120	114	117	69	29	118	117	69	115	119	118	115	119	120	120	118	118	120	120	115	120	120	120	119	119	120	120	27	116	116	112	115	114	68	115	120	115	113	118	119	113	116	119	116	119	118	117	93
NC_003494	117	25	121	117	27	112	117	110	25	25	114	24	121	116	29	22	24	115	116	116	117	116	121	115	117	69	29	119	118	69	115	120	118	115	119	121	120	118	118	120	120	115	121	120	120	119	120	120	122	27	117	117	113	115	115	68	116	120	116	113	119	120	113	118	120	117	120	119	117	94
NC_005946	28	30	27	28	66	28	28	28	33	30	28	31	27	28	44	24	31	28	28	28	28	28	27	28	28	29	42	27	27	29	27	27	28	28	27	27	27	27	28	27	27	28	27	27	27	27	27	27	27	70	28	28	28	28	28	29	28	27	28	28	28	27	28	25	27	27	27	28	28	27
OK042108	121	25	116	121	27	115	121	112	25	25	118	24	117	120	28	22	24	115	116	120	121	120	118	119	115	66	28	115	114	66	116	117	117	119	116	117	116	115	116	116	116	119	117	116	116	115	116	116	117	28	121	120	117	119	119	65	120	116	120	117	118	116	114	113	116	114	116	116	114	92
OK042109	120	25	116	120	27	115	120	112	25	25	118	24	117	120	28	22	24	114	115	120	120	120	118	119	114	66	28	115	114	66	115	117	116	119	116	117	116	114	115	116	116	119	117	116	116	115	116	116	117	28	120	121	117	119	119	65	120	116	120	117	117	116	113	113	116	114	116	116	114	91
OL774653	117	25	112	117	27	112	117	108	25	25	115	24	113	117	28	22	24	111	112	117	117	117	114	116	111	65	28	111	110	65	112	113	113	116	112	113	112	111	112	112	112	116	113	112	112	111	112	112	113	28	117	117	117	116	116	64	117	112	117	114	114	112	110	109	112	110	112	112	110	90
OL774654	119	25	114	119	27	114	119	110	25	25	117	24	115	119	28	22	24	113	114	119	119	119	116	118	114	66	28	113	112	66	115	115	116	119	115	115	115	114	115	115	115	119	115	115	115	114	114	115	115	28	119	119	116	119	118	65	119	115	119	117	116	114	113	111	114	112	115	114	113	90
OL774655	119	25	114	119	27	114	119	110	25	25	117	24	115	119	28	22	24	113	114	119	119	119	116	118	113	65	28	113	112	65	114	115	115	118	114	115	114	113	114	114	114	118	115	114	114	113	114	114	115	28	119	119	116	118	119	64	119	114	119	116	116	114	112	111	114	112	114	114	112	91
OM037668	65	28	68	65	29	64	65	63	26	27	65	25	68	65	34	22	24	66	66	65	65	65	68	65	67	123	34	67	67	123	64	68	68	65	67	68	68	67	67	68	68	65	68	68	68	67	68	68	68	29	65	65	64	65	64	124	65	68	65	64	67	67	65	66	67	66	67	66	67	63
ON075463	120	25	115	120	27	115	120	111	25	25	118	24	116	120	28	22	24	114	115	120	120	120	117	119	114	66	28	114	113	66	115	116	116	119	115	116	115	114	115	115	115	119	116	115	115	114	115	115	116	28	120	120	117	119	119	65	120	115	120	117	117	115	113	112	115	113	115	115	113	91
ON212400	116	25	119	116	27	111	116	109	25	25	113	24	120	115	29	22	24	114	115	115	116	115	120	114	117	69	29	118	117	69	115	119	118	115	119	120	120	118	118	120	120	115	120	120	120	119	119	120	120	27	116	116	112	115	114	68	115	120	115	113	118	119	113	116	119	116	119	118	117	93
ON740976	120	25	115	120	27	115	120	111	25	25	118	24	116	120	28	22	24	114	115	120	120	120	117	119	114	66	28	114	113	66	115	116	116	119	115	116	115	114	115	115	115	119	116	115	115	114	115	115	116	28	120	120	117	119	119	65	120	115	120	117	117	115	113	112	115	113	115	115	113	91
ON743042	117	25	112	117	26	112	117	108	25	25	116	24	113	117	28	22	24	111	112	117	117	117	114	116	112	65	28	111	110	65	113	113	114	117	113	113	113	112	113	113	113	117	113	113	113	112	112	113	113	28	117	117	114	117	116	64	117	113	117	117	114	112	111	109	112	110	113	112	112	88
OP009387	118	25	118	118	27	114	118	110	25	25	115	24	119	117	29	22	24	115	116	117	118	117	120	116	118	68	29	117	116	68	116	119	119	116	117	119	118	117	119	118	118	116	119	118	118	117	118	118	119	28	118	117	114	116	116	67	117	118	117	114	121	118	113	115	118	115	117	119	117	93
OP896201	116	25	119	116	27	111	116	109	25	25	113	24	120	115	29	22	24	114	115	115	116	115	120	114	116	68	29	119	118	68	114	119	117	114	118	120	119	118	117	119	119	114	120	119	119	119	119	119	120	27	116	116	112	114	114	67	115	119	115	112	118	120	112	116	120	117	118	119	116	93
OQ475017	114	25	113	114	27	109	114	107	25	25	111	24	113	113	28	22	24	113	114	113	114	113	113	112	113	66	28	111	110	66	110	112	113	113	113	113	113	112	113	113	113	113	113	113	113	112	112	113	113	28	114	113	110	113	112	65	113	113	113	111	113	112	117	109	112	110	113	112	111	90
OQ513807	113	23	117	113	25	108	113	106	23	23	110	22	117	112	27	20	22	111	112	112	113	112	117	111	113	67	27	115	114	67	111	116	114	111	115	117	116	114	114	116	116	111	117	116	116	115	116	116	118	25	113	113	109	111	111	66	112	116	112	109	115	116	109	118	116	113	116	115	113	91
OR356116	116	25	119	116	27	111	116	109	25	25	113	24	120	115	29	22	24	114	115	115	116	115	120	114	116	68	29	119	118	68	114	119	117	114	118	120	119	118	117	119	119	114	120	119	119	119	119	119	120	27	116	116	112	114	114	67	115	119	115	112	118	120	112	116	120	117	118	119	116	93
OR536350	114	25	116	114	27	110	114	107	25	25	111	24	117	113	28	22	24	112	113	113	114	113	117	112	113	67	28	117	117	67	112	117	114	112	116	117	116	115	114	116	116	112	117	116	116	116	116	116	117	27	114	114	110	112	112	66	113	116	113	110	115	117	110	113	117	117	116	116	113	91
OR670976	116	25	119	116	27	111	116	109	25	25	113	24	119	115	28	22	24	114	115	115	116	115	119	114	116	68	28	117	116	68	115	118	117	115	119	119	119	117	117	119	119	115	119	119	119	118	118	119	120	27	116	116	112	115	114	67	115	119	115	113	117	118	113	116	118	116	120	117	116	93
PP151097	116	25	118	116	27	112	116	109	25	25	113	24	119	115	29	22	24	114	115	115	116	115	119	114	117	67	29	118	117	67	114	118	117	114	117	119	118	117	118	118	118	114	119	118	118	118	118	118	119	28	116	116	112	114	114	66	115	118	115	112	119	119	112	115	119	116	117	120	117	92
PP974677	114	25	116	114	27	110	114	107	25	25	112	24	117	113	29	22	24	112	113	113	114	113	117	112	116	68	29	115	114	68	113	116	116	113	116	117	117	115	117	117	117	113	117	117	117	116	116	117	117	28	114	114	110	113	112	67	113	117	113	112	117	116	111	113	116	113	116	117	118	90
PQ335173_PQ335174	92	25	93	92	27	87	92	87	25	25	90	24	94	91	28	22	24	93	94	91	92	91	94	90	91	63	28	92	91	64	90	93	93	90	93	94	93	92	92	93	93	90	94	93	93	92	94	93	94	27	92	91	90	90	91	63	91	93	91	88	93	93	90	91	93	91	93	92	90	96
