Orthogroup	ON075463.1	ON740976.1
OG0000078	ON075463.1_00040	ON740976.1_00041
OG0000079	ON075463.1_00044	ON740976.1_00045
OG0000080	ON075463.1_00049	ON740976.1_00051
OG0000081	ON075463.1_00050	ON740976.1_00052
OG0000082	ON075463.1_00051	ON740976.1_00053
OG0000083	ON075463.1_00060	ON740976.1_00062
OG0000084	ON075463.1_00063	ON740976.1_00065
OG0000085	ON075463.1_00066	ON740976.1_00068
OG0000086	ON075463.1_00067	ON740976.1_00069
OG0000087	ON075463.1_00071	ON740976.1_00073
OG0000088	ON075463.1_00072	ON740976.1_00074
OG0000089	ON075463.1_00081	ON740976.1_00083
OG0000090	ON075463.1_00082	ON740976.1_00084
OG0000091	ON075463.1_00094	ON740976.1_00096
OG0000092	ON075463.1_00098	ON740976.1_00100
OG0000093	ON075463.1_00102	ON740976.1_00104
OG0000094	ON075463.1_00105	ON740976.1_00107
OG0000095	ON075463.1_00106	ON740976.1_00108
OG0000097	ON075463.1_00003	ON740976.1_00003
OG0000098	ON075463.1_00004	ON740976.1_00004
OG0000099	ON075463.1_00038	ON740976.1_00039
OG0000100	ON075463.1_00042	ON740976.1_00043
OG0000101	ON075463.1_00068	ON740976.1_00070
OG0000102	ON075463.1_00076	ON740976.1_00078
OG0000103	ON075463.1_00099	ON740976.1_00101
OG0000104	ON075463.1_00103	ON740976.1_00105
OG0000105	ON075463.1_00114	ON740976.1_00116
OG0000106	ON075463.1_00027	ON740976.1_00028
OG0000107	ON075463.1_00100	ON740976.1_00102
OG0000108	ON075463.1_00117	ON740976.1_00120
OG0000109	ON075463.1_00069	ON740976.1_00071
OG0000110	ON075463.1_00116	ON740976.1_00118
OG0000111	ON075463.1_00090	ON740976.1_00092
OG0000112	ON075463.1_00077	ON740976.1_00079
OG0000116	ON075463.1_00052	ON740976.1_00054
OG0000117	ON075463.1_00064	ON740976.1_00066
OG0000120	ON075463.1_00101	ON740976.1_00103
OG0000121	ON075463.1_00110	ON740976.1_00112
