Orthogroup	Chlor_IIV22_HF920633.1	Irido_IIV31_HF920637.1
OG0000113	Chlor_IIV22_HF920633.1_00086	Irido_IIV31_HF920637.1_00138
OG0000113	Chlor_IIV22_HF920633.1_00145	Irido_IIV31_HF920637.1_00148
OG0000119	Chlor_IIV22_HF920633.1_00040, Chlor_IIV22_HF920633.1_00117, Chlor_IIV22_HF920633.1_00143, Chlor_IIV22_HF920633.1_00057, Chlor_IIV22_HF920633.1_00107, Chlor_IIV22_HF920633.1_00172, Chlor_IIV22_HF920633.1_00170	Irido_IIV31_HF920637.1_00184, Irido_IIV31_HF920637.1_00034, Irido_IIV31_HF920637.1_00206, Irido_IIV31_HF920637.1_00096, Irido_IIV31_HF920637.1_00158, Irido_IIV31_HF920637.1_00208, Irido_IIV31_HF920637.1_00130, Irido_IIV31_HF920637.1_00102
OG0000122	Chlor_IIV22_HF920633.1_00116	Irido_IIV31_HF920637.1_00183
OG0000123	Chlor_IIV22_HF920633.1_00007, Chlor_IIV22_HF920633.1_00130, Chlor_IIV22_HF920633.1_00174	Irido_IIV31_HF920637.1_00029
OG0000123	Chlor_IIV22_HF920633.1_00147	Irido_IIV31_HF920637.1_00198, Irido_IIV31_HF920637.1_00147, Irido_IIV31_HF920637.1_00218
OG0000133	Chlor_IIV22_HF920633.1_00064	Irido_IIV31_HF920637.1_00014
OG0000134	Chlor_IIV22_HF920633.1_00135	Irido_IIV31_HF920637.1_00219
OG0000135	Chlor_IIV22_HF920633.1_00004	Irido_IIV31_HF920637.1_00057, Irido_IIV31_HF920637.1_00216, Irido_IIV31_HF920637.1_00058, Irido_IIV31_HF920637.1_00093, Irido_IIV31_HF920637.1_00094, Irido_IIV31_HF920637.1_00199, Irido_IIV31_HF920637.1_00201
OG0000137	Chlor_IIV22_HF920633.1_00132	Irido_IIV31_HF920637.1_00105
OG0000138	Chlor_IIV22_HF920633.1_00053	Irido_IIV31_HF920637.1_00181
OG0000139	Chlor_IIV22_HF920633.1_00156	Irido_IIV31_HF920637.1_00123
OG0000148	Chlor_IIV22_HF920633.1_00026	Irido_IIV31_HF920637.1_00060
OG0000149	Chlor_IIV22_HF920633.1_00104	Irido_IIV31_HF920637.1_00169
OG0000149	Chlor_IIV22_HF920633.1_00092, Chlor_IIV22_HF920633.1_00153, Chlor_IIV22_HF920633.1_00014, Chlor_IIV22_HF920633.1_00027	Irido_IIV31_HF920637.1_00084
OG0000153	Chlor_IIV22_HF920633.1_00114	Irido_IIV31_HF920637.1_00071
OG0000154	Chlor_IIV22_HF920633.1_00036	Irido_IIV31_HF920637.1_00168
OG0000155	Chlor_IIV22_HF920633.1_00088	Irido_IIV31_HF920637.1_00011, Irido_IIV31_HF920637.1_00180
OG0000156	Chlor_IIV22_HF920633.1_00106	Irido_IIV31_HF920637.1_00150
OG0000157	Chlor_IIV22_HF920633.1_00129, Chlor_IIV22_HF920633.1_00099, Chlor_IIV22_HF920633.1_00019, Chlor_IIV22_HF920633.1_00100	Irido_IIV31_HF920637.1_00151
OG0000164	Chlor_IIV22_HF920633.1_00031, Chlor_IIV22_HF920633.1_00161	Irido_IIV31_HF920637.1_00069
OG0000167	Chlor_IIV22_HF920633.1_00039	Irido_IIV31_HF920637.1_00140
OG0000169	Chlor_IIV22_HF920633.1_00134	Irido_IIV31_HF920637.1_00056
OG0000170	Chlor_IIV22_HF920633.1_00082	Irido_IIV31_HF920637.1_00049
OG0000171	Chlor_IIV22_HF920633.1_00105	Irido_IIV31_HF920637.1_00095
OG0000172	Chlor_IIV22_HF920633.1_00177	Irido_IIV31_HF920637.1_00045
OG0000173	Chlor_IIV22_HF920633.1_00169	Irido_IIV31_HF920637.1_00120
OG0000174	Chlor_IIV22_HF920633.1_00046	Irido_IIV31_HF920637.1_00067
OG0000175	Chlor_IIV22_HF920633.1_00030	Irido_IIV31_HF920637.1_00116
OG0000184	Chlor_IIV22_HF920633.1_00029	Irido_IIV31_HF920637.1_00009
OG0000185	Chlor_IIV22_HF920633.1_00035	Irido_IIV31_HF920637.1_00035
OG0000186	Chlor_IIV22_HF920633.1_00165	Irido_IIV31_HF920637.1_00212
OG0000187	Chlor_IIV22_HF920633.1_00131	Irido_IIV31_HF920637.1_00019
OG0000188	Chlor_IIV22_HF920633.1_00056	Irido_IIV31_HF920637.1_00160
OG0000190	Chlor_IIV22_HF920633.1_00050	Irido_IIV31_HF920637.1_00070
OG0000191	Chlor_IIV22_HF920633.1_00098	Irido_IIV31_HF920637.1_00194
OG0000192	Chlor_IIV22_HF920633.1_00020, Chlor_IIV22_HF920633.1_00021	Irido_IIV31_HF920637.1_00048
OG0000193	Chlor_IIV22_HF920633.1_00103	Irido_IIV31_HF920637.1_00047
OG0000194	Chlor_IIV22_HF920633.1_00121	Irido_IIV31_HF920637.1_00149
OG0000195	Chlor_IIV22_HF920633.1_00128	Irido_IIV31_HF920637.1_00020
OG0000196	Chlor_IIV22_HF920633.1_00110	Irido_IIV31_HF920637.1_00139
OG0000197	Chlor_IIV22_HF920633.1_00120	Irido_IIV31_HF920637.1_00193
OG0000198	Chlor_IIV22_HF920633.1_00139	Irido_IIV31_HF920637.1_00024
OG0000199	Chlor_IIV22_HF920633.1_00146	Irido_IIV31_HF920637.1_00043
OG0000200	Chlor_IIV22_HF920633.1_00149	Irido_IIV31_HF920637.1_00100
OG0000201	Chlor_IIV22_HF920633.1_00123	Irido_IIV31_HF920637.1_00192
OG0000202	Chlor_IIV22_HF920633.1_00125	Irido_IIV31_HF920637.1_00005
OG0000203	Chlor_IIV22_HF920633.1_00022	Irido_IIV31_HF920637.1_00085
OG0000215	Chlor_IIV22_HF920633.1_00013	Irido_IIV31_HF920637.1_00195
OG0000216	Chlor_IIV22_HF920633.1_00074	Irido_IIV31_HF920637.1_00144
OG0000217	Chlor_IIV22_HF920633.1_00063	Irido_IIV31_HF920637.1_00188
OG0000218	Chlor_IIV22_HF920633.1_00113	Irido_IIV31_HF920637.1_00012
OG0000219	Chlor_IIV22_HF920633.1_00160	Irido_IIV31_HF920637.1_00187
OG0000220	Chlor_IIV22_HF920633.1_00087	Irido_IIV31_HF920637.1_00167
OG0000221	Chlor_IIV22_HF920633.1_00023	Irido_IIV31_HF920637.1_00204
OG0000222	Chlor_IIV22_HF920633.1_00037	Irido_IIV31_HF920637.1_00022
OG0000223	Chlor_IIV22_HF920633.1_00061	Irido_IIV31_HF920637.1_00074
OG0000224	Chlor_IIV22_HF920633.1_00008	Irido_IIV31_HF920637.1_00211
OG0000225	Chlor_IIV22_HF920633.1_00102	Irido_IIV31_HF920637.1_00124
OG0000226	Chlor_IIV22_HF920633.1_00155	Irido_IIV31_HF920637.1_00021
OG0000227	Chlor_IIV22_HF920633.1_00041	Irido_IIV31_HF920637.1_00040
OG0000228	Chlor_IIV22_HF920633.1_00101	Irido_IIV31_HF920637.1_00215
OG0000338	Chlor_IIV22_HF920633.1_00112	Irido_IIV31_HF920637.1_00170
OG0000339	Chlor_IIV22_HF920633.1_00137	Irido_IIV31_HF920637.1_00027
