Orthogroup	AY894343.1	ON075463.1
OG0000079	AY894343.1_00044	ON075463.1_00044
OG0000080	AY894343.1_00050	ON075463.1_00049
OG0000081	AY894343.1_00051	ON075463.1_00050
OG0000082	AY894343.1_00052	ON075463.1_00051
OG0000083	AY894343.1_00062	ON075463.1_00060
OG0000084	AY894343.1_00065	ON075463.1_00063
OG0000085	AY894343.1_00068	ON075463.1_00066
OG0000086	AY894343.1_00069	ON075463.1_00067
OG0000087	AY894343.1_00073	ON075463.1_00071
OG0000088	AY894343.1_00074	ON075463.1_00072
OG0000089	AY894343.1_00084	ON075463.1_00081
OG0000090	AY894343.1_00085	ON075463.1_00082
OG0000091	AY894343.1_00098	ON075463.1_00094
OG0000092	AY894343.1_00102	ON075463.1_00098
OG0000093	AY894343.1_00106	ON075463.1_00102
OG0000094	AY894343.1_00109	ON075463.1_00105
OG0000095	AY894343.1_00110	ON075463.1_00106
OG0000097	AY894343.1_00003	ON075463.1_00003
OG0000098	AY894343.1_00004	ON075463.1_00004
OG0000099	AY894343.1_00038	ON075463.1_00038
OG0000100	AY894343.1_00042	ON075463.1_00042
OG0000101	AY894343.1_00070	ON075463.1_00068
OG0000102	AY894343.1_00079	ON075463.1_00076
OG0000103	AY894343.1_00103	ON075463.1_00099
OG0000104	AY894343.1_00107	ON075463.1_00103
OG0000105	AY894343.1_00118	ON075463.1_00114
OG0000106	AY894343.1_00027	ON075463.1_00027
OG0000107	AY894343.1_00104	ON075463.1_00100
OG0000108	AY894343.1_00122	ON075463.1_00117
OG0000109	AY894343.1_00071	ON075463.1_00069
OG0000110	AY894343.1_00120	ON075463.1_00116
OG0000111	AY894343.1_00094	ON075463.1_00090
OG0000112	AY894343.1_00080	ON075463.1_00077
OG0000116	AY894343.1_00053	ON075463.1_00052
OG0000117	AY894343.1_00066	ON075463.1_00064
OG0000120	AY894343.1_00105	ON075463.1_00101
OG0000121	AY894343.1_00114	ON075463.1_00110
OG0000131	AY894343.1_00092	ON075463.1_00089
OG0000179	AY894343.1_00026	ON075463.1_00026
OG0000209	AY894343.1_00024	ON075463.1_00024
