Orthogroup	ON740976.1	MK098185.1
OG0000101	ON740976.1_00070	MK098185.1_00071
OG0000102	ON740976.1_00078	MK098185.1_00079
OG0000103	ON740976.1_00101	MK098185.1_00102
OG0000104	ON740976.1_00105	MK098185.1_00106
OG0000105	ON740976.1_00116	MK098185.1_00117
OG0000106	ON740976.1_00028	MK098185.1_00031
OG0000107	ON740976.1_00102	MK098185.1_00103
OG0000108	ON740976.1_00120	MK098185.1_00121
OG0000109	ON740976.1_00071	MK098185.1_00072
OG0000110	ON740976.1_00118	MK098185.1_00119
OG0000111	ON740976.1_00092	MK098185.1_00093
OG0000112	ON740976.1_00079	MK098185.1_00080
OG0000113	ON740976.1_00020	MK098185.1_00021
OG0000116	ON740976.1_00066	MK098185.1_00067
OG0000117	ON740976.1_00091	MK098185.1_00092
OG0000118	ON740976.1_00103	MK098185.1_00104
OG0000119	ON740976.1_00112	MK098185.1_00113
OG0000124	ON740976.1_00027	MK098185.1_00030
OG0000141	ON740976.1_00024	MK098185.1_00025
