Orthogroup	MCV_Unclassified_OQ475017.1	MCV_Unlassified_OL310752.1
OG0000036	MCV_Unclassified_OQ475017.1_00116	MCV_Unlassified_OL310752.1_00067
OG0000037	MCV_Unclassified_OQ475017.1_00080	MCV_Unlassified_OL310752.1_00049
OG0000038	MCV_Unclassified_OQ475017.1_00036	MCV_Unlassified_OL310752.1_00082
OG0000039	MCV_Unclassified_OQ475017.1_00048	MCV_Unlassified_OL310752.1_00088
OG0000040	MCV_Unclassified_OQ475017.1_00049	MCV_Unlassified_OL310752.1_00089
OG0000041	MCV_Unclassified_OQ475017.1_00054	MCV_Unlassified_OL310752.1_00094
OG0000042	MCV_Unclassified_OQ475017.1_00055	MCV_Unlassified_OL310752.1_00095
OG0000043	MCV_Unclassified_OQ475017.1_00059	MCV_Unlassified_OL310752.1_00024
OG0000044	MCV_Unclassified_OQ475017.1_00058	MCV_Unlassified_OL310752.1_00023
OG0000045	MCV_Unclassified_OQ475017.1_00092	MCV_Unlassified_OL310752.1_00037
OG0000046	MCV_Unclassified_OQ475017.1_00114	MCV_Unlassified_OL310752.1_00119
OG0000047	MCV_Unclassified_OQ475017.1_00109	MCV_Unlassified_OL310752.1_00061
OG0000048	MCV_Unclassified_OQ475017.1_00013	MCV_Unlassified_OL310752.1_00014
OG0000049	MCV_Unclassified_OQ475017.1_00024	MCV_Unlassified_OL310752.1_00002
OG0000050	MCV_Unclassified_OQ475017.1_00019	MCV_Unlassified_OL310752.1_00007
OG0000051	MCV_Unclassified_OQ475017.1_00020	MCV_Unlassified_OL310752.1_00006
OG0000052	MCV_Unclassified_OQ475017.1_00023	MCV_Unlassified_OL310752.1_00003
OG0000053	MCV_Unclassified_OQ475017.1_00097	MCV_Unlassified_OL310752.1_00112
OG0000054	MCV_Unclassified_OQ475017.1_00094	MCV_Unlassified_OL310752.1_00035
OG0000055	MCV_Unclassified_OQ475017.1_00075	MCV_Unlassified_OL310752.1_00121
OG0000056	MCV_Unclassified_OQ475017.1_00079	MCV_Unlassified_OL310752.1_00123
OG0000057	MCV_Unclassified_OQ475017.1_00014	MCV_Unlassified_OL310752.1_00013
OG0000058	MCV_Unclassified_OQ475017.1_00032	MCV_Unlassified_OL310752.1_00115
OG0000059	MCV_Unclassified_OQ475017.1_00088	MCV_Unlassified_OL310752.1_00041
OG0000060	MCV_Unclassified_OQ475017.1_00010	MCV_Unlassified_OL310752.1_00016
OG0000061	MCV_Unclassified_OQ475017.1_00018	MCV_Unlassified_OL310752.1_00008
OG0000062	MCV_Unclassified_OQ475017.1_00002	MCV_Unlassified_OL310752.1_00075
OG0000063	MCV_Unclassified_OQ475017.1_00070	MCV_Unlassified_OL310752.1_00081
OG0000064	MCV_Unclassified_OQ475017.1_00065	MCV_Unlassified_OL310752.1_00031
OG0000065	MCV_Unclassified_OQ475017.1_00096	MCV_Unlassified_OL310752.1_00033
OG0000066	MCV_Unclassified_OQ475017.1_00017	MCV_Unlassified_OL310752.1_00010
OG0000067	MCV_Unclassified_OQ475017.1_00038	MCV_Unlassified_OL310752.1_00058
OG0000068	MCV_Unclassified_OQ475017.1_00042	MCV_Unlassified_OL310752.1_00054
OG0000069	MCV_Unclassified_OQ475017.1_00046	MCV_Unlassified_OL310752.1_00050, MCV_Unlassified_OL310752.1_00086
OG0000070	MCV_Unclassified_OQ475017.1_00098	MCV_Unlassified_OL310752.1_00111
OG0000071	MCV_Unclassified_OQ475017.1_00113	MCV_Unlassified_OL310752.1_00117
OG0000072	MCV_Unclassified_OQ475017.1_00118	MCV_Unlassified_OL310752.1_00069
OG0000073	MCV_Unclassified_OQ475017.1_00009	MCV_Unlassified_OL310752.1_00017
OG0000074	MCV_Unclassified_OQ475017.1_00012	MCV_Unlassified_OL310752.1_00015
OG0000075	MCV_Unclassified_OQ475017.1_00016	MCV_Unlassified_OL310752.1_00011
OG0000076	MCV_Unclassified_OQ475017.1_00034	MCV_Unlassified_OL310752.1_00084
OG0000077	MCV_Unclassified_OQ475017.1_00037	MCV_Unlassified_OL310752.1_00059
OG0000078	MCV_Unclassified_OQ475017.1_00040	MCV_Unlassified_OL310752.1_00056
OG0000079	MCV_Unclassified_OQ475017.1_00041	MCV_Unlassified_OL310752.1_00055
OG0000080	MCV_Unclassified_OQ475017.1_00045	MCV_Unlassified_OL310752.1_00051
OG0000081	MCV_Unclassified_OQ475017.1_00050	MCV_Unlassified_OL310752.1_00090
OG0000082	MCV_Unclassified_OQ475017.1_00051	MCV_Unlassified_OL310752.1_00091
OG0000083	MCV_Unclassified_OQ475017.1_00052	MCV_Unlassified_OL310752.1_00092
OG0000084	MCV_Unclassified_OQ475017.1_00061	MCV_Unlassified_OL310752.1_00026
OG0000085	MCV_Unclassified_OQ475017.1_00064	MCV_Unlassified_OL310752.1_00029
OG0000086	MCV_Unclassified_OQ475017.1_00066	MCV_Unlassified_OL310752.1_00099
OG0000087	MCV_Unclassified_OQ475017.1_00067	MCV_Unlassified_OL310752.1_00100
OG0000088	MCV_Unclassified_OQ475017.1_00071	MCV_Unlassified_OL310752.1_00080
OG0000089	MCV_Unclassified_OQ475017.1_00072	MCV_Unlassified_OL310752.1_00079
OG0000090	MCV_Unclassified_OQ475017.1_00081	MCV_Unlassified_OL310752.1_00048
OG0000091	MCV_Unclassified_OQ475017.1_00082	MCV_Unlassified_OL310752.1_00047
OG0000092	MCV_Unclassified_OQ475017.1_00095	MCV_Unlassified_OL310752.1_00034
OG0000093	MCV_Unclassified_OQ475017.1_00099	MCV_Unlassified_OL310752.1_00110
OG0000094	MCV_Unclassified_OQ475017.1_00103	MCV_Unlassified_OL310752.1_00098
OG0000095	MCV_Unclassified_OQ475017.1_00106	MCV_Unlassified_OL310752.1_00064
OG0000096	MCV_Unclassified_OQ475017.1_00107	MCV_Unlassified_OL310752.1_00063
OG0000097	MCV_Unclassified_OQ475017.1_00003	MCV_Unlassified_OL310752.1_00076
OG0000099	MCV_Unclassified_OQ475017.1_00039	MCV_Unlassified_OL310752.1_00057
OG0000100	MCV_Unclassified_OQ475017.1_00043	MCV_Unlassified_OL310752.1_00053
OG0000101	MCV_Unclassified_OQ475017.1_00068	MCV_Unlassified_OL310752.1_00101
OG0000102	MCV_Unclassified_OQ475017.1_00076	MCV_Unlassified_OL310752.1_00122
OG0000103	MCV_Unclassified_OQ475017.1_00100	MCV_Unlassified_OL310752.1_00109
OG0000104	MCV_Unclassified_OQ475017.1_00104	MCV_Unlassified_OL310752.1_00066
OG0000108	MCV_Unclassified_OQ475017.1_00119	MCV_Unlassified_OL310752.1_00070
OG0000109	MCV_Unclassified_OQ475017.1_00069	MCV_Unlassified_OL310752.1_00102
OG0000110	MCV_Unclassified_OQ475017.1_00091	MCV_Unlassified_OL310752.1_00038
OG0000111	MCV_Unclassified_OQ475017.1_00117	MCV_Unlassified_OL310752.1_00068
OG0000114	MCV_Unclassified_OQ475017.1_00021	MCV_Unlassified_OL310752.1_00005
OG0000120	MCV_Unclassified_OQ475017.1_00102	MCV_Unlassified_OL310752.1_00097
OG0000125	MCV_Unclassified_OQ475017.1_00028	MCV_Unlassified_OL310752.1_00105
OG0000131	MCV_Unclassified_OQ475017.1_00089	MCV_Unlassified_OL310752.1_00040
OG0000182	MCV_Unclassified_OQ475017.1_00090	MCV_Unlassified_OL310752.1_00039
