Orthogroup	GQ273492.1	MT798582.1
OG0000088	GQ273492.1_00072	MT798582.1_00089
OG0000089	GQ273492.1_00081	MT798582.1_00122
OG0000090	GQ273492.1_00082	MT798582.1_00121
OG0000091	GQ273492.1_00094	MT798582.1_00109
OG0000092	GQ273492.1_00098	MT798582.1_00105
OG0000093	GQ273492.1_00101	MT798582.1_00044
OG0000094	GQ273492.1_00104	MT798582.1_00041
OG0000095	GQ273492.1_00105	MT798582.1_00040
OG0000096	GQ273492.1_00116	MT798582.1_00030
OG0000097	GQ273492.1_00003	MT798582.1_00023
OG0000098	GQ273492.1_00004	MT798582.1_00022
OG0000099	GQ273492.1_00039	MT798582.1_00067
OG0000100	GQ273492.1_00043	MT798582.1_00063
OG0000102	GQ273492.1_00076	MT798582.1_00085
OG0000103	GQ273492.1_00099	MT798582.1_00104
OG0000104	GQ273492.1_00102	MT798582.1_00043
OG0000105	GQ273492.1_00113	MT798582.1_00033
OG0000106	GQ273492.1_00028	MT798582.1_00078
OG0000107	GQ273492.1_00100	MT798582.1_00103
OG0000108	GQ273492.1_00117	MT798582.1_00029
OG0000110	GQ273492.1_00115	MT798582.1_00031
OG0000111	GQ273492.1_00090	MT798582.1_00113
OG0000113	GQ273492.1_00021	MT798582.1_00005
OG0000115	GQ273492.1_00053	MT798582.1_00052
OG0000123	GQ273492.1_00026	MT798582.1_00083
