Orthogroup	OM037668	MK098186
OG0000049	OM037668.1_00082 hypothetical protein	putative RNA binding protein_refgen putative RNA binding protein
OG0000050	OM037668.1_00030 hypothetical protein	transmembrane amino acid transporter protein_refgen transmembrane amino acid transporter protein
OG0000051	SDDV_ORF011 Tripartite motif-containing protein	MK689686.1_00006 hypothetical protein
OG0000052	OM037668.1_00054 hypothetical protein	MK689686.1_00010 hypothetical protein
OG0000053	OM037668.1_00051 hypothetical protein	MK689686.1_00012 hypothetical protein
OG0000054	OM037668.1_00048 hypothetical protein	MK689686.1_00023 hypothetical protein
OG0000055	OM037668.1_00127 DNA-directed RNA polymerase subunit 2	MK689686.1_00034 DNA-directed RNA polymerase subunit 2
OG0000057	OM037668.1_00021 hypothetical protein	MK689686.1_00074 hypothetical protein
OG0000058	OM037668.1_00083 hypothetical protein	MK689686.1_00089 hypothetical protein
OG0000059	SDDV_ORF050 RING E3 ubiquitin ligase	MK689686.1_00095 hypothetical protein
OG0000060	OM037668.1_00134 hypothetical protein	MK689686.1_00116 hypothetical protein
OG0000061	OM037668.1_00028 hypothetical protein	MK689686.1_00122 hypothetical protein
OG0000062	OM037668.1_00003 hypothetical protein	MK689686.1_00031 hypothetical protein
OG0000063	OM037668.1_00042 hypothetical protein	ORF018_refgen ORF018
OG0000109	OM037668.1_00095 hypothetical protein	DNA-binding protein_refgen DNA-binding protein
OG0000114	OM037668.1_00085 hypothetical protein	MK689686.1_00058 hypothetical protein
