Orthogroup	MT986830.1	AY779031.1
OG0000041	MT986830.1_00039	AY779031.1_00040
OG0000042	MT986830.1_00051	AY779031.1_00053
OG0000043	MT986830.1_00052	AY779031.1_00054
OG0000044	MT986830.1_00057	AY779031.1_00059
OG0000045	MT986830.1_00058	AY779031.1_00060
OG0000046	MT986830.1_00060	AY779031.1_00062
OG0000047	MT986830.1_00061	AY779031.1_00063
OG0000048	MT986830.1_00062	AY779031.1_00065
OG0000049	MT986830.1_00082	AY779031.1_00086
OG0000050	MT986830.1_00086	AY779031.1_00090
OG0000051	MT986830.1_00087	AY779031.1_00091
OG0000052	MT986830.1_00099	AY779031.1_00102
OG0000053	MT986830.1_00101	AY779031.1_00104
OG0000054	MT986830.1_00104	AY779031.1_00107
OG0000055	MT986830.1_00115	AY779031.1_00120
OG0000056	MT986830.1_00119	AY779031.1_00125
OG0000057	MT986830.1_00121	AY779031.1_00127
OG0000058	MT986830.1_00002	AY779031.1_00002
OG0000059	MT986830.1_00010	AY779031.1_00010
OG0000061	MT986830.1_00095	AY779031.1_00099
OG0000063	MT986830.1_00075	AY779031.1_00074, AY779031.1_00075
OG0000064	MT986830.1_00017	AY779031.1_00123, AY779031.1_00018
OG0000065	MT986830.1_00041	AY779031.1_00042
OG0000066	MT986830.1_00044	AY779031.1_00047, AY779031.1_00046
OG0000067	MT986830.1_00048	AY779031.1_00051
OG0000068	MT986830.1_00069	AY779031.1_00072
OG0000069	MT986830.1_00103	AY779031.1_00106
OG0000070	MT986830.1_00105	AY779031.1_00110, AY779031.1_00111
OG0000071	MT986830.1_00118	AY779031.1_00124
OG0000072	MT986830.1_00009	AY779031.1_00009
OG0000073	MT986830.1_00012	AY779031.1_00012
OG0000074	MT986830.1_00016	AY779031.1_00017
OG0000075	MT986830.1_00037	AY779031.1_00038
OG0000076	MT986830.1_00040	AY779031.1_00041
OG0000077	MT986830.1_00042	AY779031.1_00044
OG0000078	MT986830.1_00043	AY779031.1_00045
OG0000079	MT986830.1_00047	AY779031.1_00050
OG0000080	MT986830.1_00053	AY779031.1_00055
OG0000081	MT986830.1_00054	AY779031.1_00056
OG0000082	MT986830.1_00055	AY779031.1_00057
OG0000083	MT986830.1_00064	AY779031.1_00067
OG0000084	MT986830.1_00067	AY779031.1_00070
OG0000085	MT986830.1_00071	AY779031.1_00073
OG0000086	MT986830.1_00072	AY779031.1_00076
OG0000087	MT986830.1_00077	AY779031.1_00081
OG0000088	MT986830.1_00078	AY779031.1_00082
OG0000089	MT986830.1_00088	AY779031.1_00092
OG0000090	MT986830.1_00089	AY779031.1_00093
OG0000091	MT986830.1_00102	AY779031.1_00105
OG0000092	MT986830.1_00106	AY779031.1_00112
OG0000093	MT986830.1_00109	AY779031.1_00114
OG0000094	MT986830.1_00112	AY779031.1_00117
OG0000095	MT986830.1_00113	AY779031.1_00118
OG0000097	MT986830.1_00003	AY779031.1_00003
OG0000098	MT986830.1_00004	AY779031.1_00004
OG0000100	MT986830.1_00045	AY779031.1_00048
OG0000101	MT986830.1_00073	AY779031.1_00077
OG0000102	MT986830.1_00083	AY779031.1_00087
OG0000104	MT986830.1_00110	AY779031.1_00115
OG0000105	MT986830.1_00120	AY779031.1_00126
OG0000106	MT986830.1_00031	AY779031.1_00032
OG0000109	MT986830.1_00074	AY779031.1_00079
OG0000110	MT986830.1_00122	AY779031.1_00128
OG0000111	MT986830.1_00098	AY779031.1_00101
OG0000112	MT986830.1_00084	AY779031.1_00088
OG0000113	MT986830.1_00021	AY779031.1_00022
OG0000114	MT986830.1_00011	AY779031.1_00011
OG0000116	MT986830.1_00068	AY779031.1_00071
OG0000123	MT986830.1_00028	AY779031.1_00028
OG0000145	MT986830.1_00027	AY779031.1_00027
