Orthogroup	MT986830.1	MN432490.1
OG0000041	MT986830.1_00039	MN432490.1_00038
OG0000042	MT986830.1_00051	MN432490.1_00050
OG0000043	MT986830.1_00052	MN432490.1_00051
OG0000044	MT986830.1_00057	MN432490.1_00056
OG0000045	MT986830.1_00058	MN432490.1_00057
OG0000046	MT986830.1_00060	MN432490.1_00059
OG0000047	MT986830.1_00061	MN432490.1_00060
OG0000048	MT986830.1_00062	MN432490.1_00061
OG0000049	MT986830.1_00082	MN432490.1_00080
OG0000050	MT986830.1_00086	MN432490.1_00084
OG0000051	MT986830.1_00087	MN432490.1_00085
OG0000052	MT986830.1_00099	MN432490.1_00096
OG0000053	MT986830.1_00101	MN432490.1_00098
OG0000054	MT986830.1_00104	MN432490.1_00101
OG0000055	MT986830.1_00115	MN432490.1_00112
OG0000056	MT986830.1_00119	MN432490.1_00116
OG0000057	MT986830.1_00121	MN432490.1_00118
OG0000058	MT986830.1_00002	MN432490.1_00002
OG0000059	MT986830.1_00010	MN432490.1_00010
OG0000060	MT986830.1_00018	MN432490.1_00018
OG0000061	MT986830.1_00095	MN432490.1_00093
OG0000062	MT986830.1_00029	MN432490.1_00028
OG0000063	MT986830.1_00075	MN432490.1_00073
OG0000064	MT986830.1_00017	MN432490.1_00017
OG0000065	MT986830.1_00041	MN432490.1_00040
OG0000066	MT986830.1_00044	MN432490.1_00044
OG0000067	MT986830.1_00048	MN432490.1_00048
OG0000068	MT986830.1_00069	MN432490.1_00067
OG0000069	MT986830.1_00103	MN432490.1_00100
OG0000070	MT986830.1_00105	MN432490.1_00102
OG0000071	MT986830.1_00118	MN432490.1_00115
OG0000072	MT986830.1_00009	MN432490.1_00009
OG0000073	MT986830.1_00012	MN432490.1_00012
OG0000074	MT986830.1_00016	MN432490.1_00016
OG0000075	MT986830.1_00037	MN432490.1_00036
OG0000076	MT986830.1_00040	MN432490.1_00039
OG0000077	MT986830.1_00042	MN432490.1_00042
OG0000078	MT986830.1_00043	MN432490.1_00043
OG0000079	MT986830.1_00047	MN432490.1_00047
OG0000080	MT986830.1_00053	MN432490.1_00052
OG0000081	MT986830.1_00054	MN432490.1_00053
OG0000082	MT986830.1_00055	MN432490.1_00054
OG0000083	MT986830.1_00064	MN432490.1_00063
OG0000084	MT986830.1_00067	MN432490.1_00066
OG0000085	MT986830.1_00071	MN432490.1_00069
OG0000086	MT986830.1_00072	MN432490.1_00070
OG0000087	MT986830.1_00077	MN432490.1_00075
OG0000088	MT986830.1_00078	MN432490.1_00076
OG0000089	MT986830.1_00088	MN432490.1_00086
OG0000090	MT986830.1_00089	MN432490.1_00087
OG0000091	MT986830.1_00102	MN432490.1_00099
OG0000092	MT986830.1_00106	MN432490.1_00103
OG0000093	MT986830.1_00109	MN432490.1_00106
OG0000094	MT986830.1_00112	MN432490.1_00109
OG0000095	MT986830.1_00113	MN432490.1_00110
OG0000096	MT986830.1_00123	MN432490.1_00120
OG0000097	MT986830.1_00003	MN432490.1_00003
OG0000098	MT986830.1_00004	MN432490.1_00004
OG0000100	MT986830.1_00045	MN432490.1_00045
OG0000101	MT986830.1_00073	MN432490.1_00071
OG0000102	MT986830.1_00083	MN432490.1_00081
OG0000103	MT986830.1_00107	MN432490.1_00104
OG0000104	MT986830.1_00110	MN432490.1_00107
OG0000105	MT986830.1_00120	MN432490.1_00117
OG0000106	MT986830.1_00031	MN432490.1_00030
OG0000107	MT986830.1_00108	MN432490.1_00105
OG0000108	MT986830.1_00124	MN432490.1_00121
OG0000109	MT986830.1_00074	MN432490.1_00072
OG0000110	MT986830.1_00122	MN432490.1_00119
OG0000111	MT986830.1_00098	MN432490.1_00095
OG0000112	MT986830.1_00084	MN432490.1_00082
OG0000113	MT986830.1_00021	MN432490.1_00022
OG0000114	MT986830.1_00011	MN432490.1_00011
OG0000115	MT986830.1_00056	MN432490.1_00055
OG0000123	MT986830.1_00028	MN432490.1_00027
OG0000129	MT986830.1_00076	MN432490.1_00074
OG0000135	MT986830.1_00079	MN432490.1_00077
OG0000192	MT986830.1_00025	MN432490.1_00026
OG0000289	MT986830.1_00030	MN432490.1_00029
OG0000426	MT986830.1_00070	MN432490.1_00068
