Orthogroup	MG570132.1	MT926123.1
OG0000096	MG570132.1_00116	MT926123.1_00118
OG0000097	MG570132.1_00003	MT926123.1_00003
OG0000098	MG570132.1_00004	MT926123.1_00004
OG0000099	MG570132.1_00040	MT926123.1_00041
OG0000100	MG570132.1_00044	MT926123.1_00045
OG0000101	MG570132.1_00069	MT926123.1_00072
OG0000102	MG570132.1_00076	MT926123.1_00082
OG0000103	MG570132.1_00099	MT926123.1_00103
OG0000104	MG570132.1_00102	MT926123.1_00106
OG0000105	MG570132.1_00113	MT926123.1_00116
OG0000106	MG570132.1_00029	MT926123.1_00030
OG0000107	MG570132.1_00100	MT926123.1_00104
OG0000108	MG570132.1_00117	MT926123.1_00119
OG0000115	MG570132.1_00012	MT926123.1_00011
OG0000116	MG570132.1_00054	MT926123.1_00055
OG0000118	MG570132.1_00089	MT926123.1_00094
OG0000124	MG570132.1_00027	MT926123.1_00027
