Orthogroup	MW139932.1	ON740976.1
OG0000039	MW139932.1_00025	ON740976.1_00023
OG0000040	MW139932.1_00035	ON740976.1_00032
OG0000041	MW139932.1_00039	ON740976.1_00036
OG0000042	MW139932.1_00051	ON740976.1_00049
OG0000043	MW139932.1_00052	ON740976.1_00050
OG0000044	MW139932.1_00057	ON740976.1_00055
OG0000045	MW139932.1_00058	ON740976.1_00056
OG0000046	MW139932.1_00060	ON740976.1_00058
OG0000047	MW139932.1_00061	ON740976.1_00059
OG0000048	MW139932.1_00062	ON740976.1_00060
OG0000049	MW139932.1_00079	ON740976.1_00077
OG0000050	MW139932.1_00083	ON740976.1_00081
OG0000051	MW139932.1_00084	ON740976.1_00082
OG0000052	MW139932.1_00095	ON740976.1_00093
OG0000053	MW139932.1_00097	ON740976.1_00095
OG0000054	MW139932.1_00100	ON740976.1_00098
OG0000055	MW139932.1_00112	ON740976.1_00110
OG0000056	MW139932.1_00117	ON740976.1_00115
OG0000057	MW139932.1_00119	ON740976.1_00117
OG0000058	MW139932.1_00002	ON740976.1_00002
OG0000059	MW139932.1_00010	ON740976.1_00010
OG0000060	MW139932.1_00018	ON740976.1_00017
OG0000061	MW139932.1_00092	ON740976.1_00090
OG0000062	MW139932.1_00029	ON740976.1_00026
OG0000063	MW139932.1_00074	ON740976.1_00072
OG0000064	MW139932.1_00017	ON740976.1_00016
OG0000065	MW139932.1_00041	ON740976.1_00038
OG0000066	MW139932.1_00045	ON740976.1_00042
OG0000067	MW139932.1_00049	ON740976.1_00046
OG0000068	MW139932.1_00069	ON740976.1_00067
OG0000069	MW139932.1_00099	ON740976.1_00097
OG0000070	MW139932.1_00101	ON740976.1_00099
OG0000071	MW139932.1_00116	ON740976.1_00114
OG0000072	MW139932.1_00009	ON740976.1_00009
OG0000073	MW139932.1_00012	ON740976.1_00011
OG0000074	MW139932.1_00016	ON740976.1_00015
OG0000075	MW139932.1_00037	ON740976.1_00034
OG0000076	MW139932.1_00040	ON740976.1_00037
OG0000077	MW139932.1_00043	ON740976.1_00040
OG0000078	MW139932.1_00044	ON740976.1_00041
OG0000079	MW139932.1_00048	ON740976.1_00045
OG0000080	MW139932.1_00053	ON740976.1_00051
OG0000081	MW139932.1_00054	ON740976.1_00052
OG0000082	MW139932.1_00055	ON740976.1_00053
OG0000083	MW139932.1_00064	ON740976.1_00062
OG0000084	MW139932.1_00067	ON740976.1_00065
OG0000085	MW139932.1_00070	ON740976.1_00068
OG0000086	MW139932.1_00071	ON740976.1_00069
OG0000087	MW139932.1_00075	ON740976.1_00073
OG0000088	MW139932.1_00076	ON740976.1_00074
OG0000089	MW139932.1_00085	ON740976.1_00083
OG0000090	MW139932.1_00086	ON740976.1_00084
OG0000091	MW139932.1_00098	ON740976.1_00096
OG0000092	MW139932.1_00102	ON740976.1_00100
OG0000093	MW139932.1_00106	ON740976.1_00104
OG0000094	MW139932.1_00109	ON740976.1_00107
OG0000095	MW139932.1_00110	ON740976.1_00108
OG0000096	MW139932.1_00121	ON740976.1_00119
OG0000097	MW139932.1_00003	ON740976.1_00003
OG0000098	MW139932.1_00004	ON740976.1_00004
OG0000099	MW139932.1_00042	ON740976.1_00039
OG0000100	MW139932.1_00046	ON740976.1_00043
OG0000101	MW139932.1_00072	ON740976.1_00070
OG0000102	MW139932.1_00080	ON740976.1_00078
OG0000103	MW139932.1_00103	ON740976.1_00101
OG0000104	MW139932.1_00107	ON740976.1_00105
OG0000105	MW139932.1_00118	ON740976.1_00116
OG0000106	MW139932.1_00031	ON740976.1_00028
OG0000107	MW139932.1_00104	ON740976.1_00102
OG0000108	MW139932.1_00122	ON740976.1_00120
OG0000109	MW139932.1_00073	ON740976.1_00071
OG0000110	MW139932.1_00120	ON740976.1_00118
OG0000111	MW139932.1_00094	ON740976.1_00092
OG0000112	MW139932.1_00081	ON740976.1_00079
OG0000113	MW139932.1_00022	ON740976.1_00020
OG0000116	MW139932.1_00068	ON740976.1_00066
OG0000117	MW139932.1_00093	ON740976.1_00091
OG0000118	MW139932.1_00105	ON740976.1_00103
OG0000119	MW139932.1_00114	ON740976.1_00112
OG0000124	MW139932.1_00030	ON740976.1_00027
OG0000126	MW139932.1_00027	ON740976.1_00025
OG0000141	MW139932.1_00026	ON740976.1_00024
