Orthogroup	AY532606.1	AY779031.1
OG0000092	AY532606.1_00105	AY779031.1_00112
OG0000093	AY532606.1_00109	AY779031.1_00114
OG0000094	AY532606.1_00112	AY779031.1_00117
OG0000095	AY532606.1_00113	AY779031.1_00118
OG0000097	AY532606.1_00002	AY779031.1_00003
OG0000098	AY532606.1_00003	AY779031.1_00004
OG0000099	AY532606.1_00039	AY779031.1_00043
OG0000101	AY532606.1_00073	AY779031.1_00077
OG0000102	AY532606.1_00081	AY779031.1_00087
OG0000104	AY532606.1_00110	AY779031.1_00115
OG0000105	AY532606.1_00123	AY779031.1_00126
OG0000106	AY532606.1_00028	AY779031.1_00032
OG0000109	AY532606.1_00074	AY779031.1_00079
OG0000111	AY532606.1_00096	AY779031.1_00101
OG0000112	AY532606.1_00082	AY779031.1_00088
OG0000114	AY532606.1_00010	AY779031.1_00011
OG0000116	AY532606.1_00068	AY779031.1_00071
OG0000117	AY532606.1_00095	AY779031.1_00100
OG0000118	AY532606.1_00108	AY779031.1_00113
OG0000123	AY532606.1_00024	AY779031.1_00028
OG0000139	AY532606.1_00025	AY779031.1_00029
OG0000199	AY532606.1_00060	AY779031.1_00064
