Orthogroup	AY532606.1	GQ273492.1
OG0000087	AY532606.1_00076	GQ273492.1_00071
OG0000088	AY532606.1_00077	GQ273492.1_00072
OG0000089	AY532606.1_00086	GQ273492.1_00081
OG0000090	AY532606.1_00087	GQ273492.1_00082
OG0000091	AY532606.1_00101	GQ273492.1_00094
OG0000092	AY532606.1_00105	GQ273492.1_00098
OG0000093	AY532606.1_00109	GQ273492.1_00101
OG0000094	AY532606.1_00112	GQ273492.1_00104
OG0000095	AY532606.1_00113	GQ273492.1_00105
OG0000097	AY532606.1_00002	GQ273492.1_00003
OG0000098	AY532606.1_00003	GQ273492.1_00004
OG0000099	AY532606.1_00039	GQ273492.1_00039
OG0000102	AY532606.1_00081	GQ273492.1_00076
OG0000103	AY532606.1_00106	GQ273492.1_00099
OG0000104	AY532606.1_00110	GQ273492.1_00102
OG0000105	AY532606.1_00123	GQ273492.1_00113
OG0000106	AY532606.1_00028	GQ273492.1_00028
OG0000107	AY532606.1_00107	GQ273492.1_00100
OG0000111	AY532606.1_00096	GQ273492.1_00090
OG0000112	AY532606.1_00082	GQ273492.1_00077
OG0000114	AY532606.1_00010	GQ273492.1_00011
OG0000115	AY532606.1_00054	GQ273492.1_00053
OG0000117	AY532606.1_00095	GQ273492.1_00089
OG0000119	AY532606.1_00118	GQ273492.1_00109
OG0000123	AY532606.1_00024	GQ273492.1_00026
