Orthogroup	HF920633	MF599468
OG0000134	HF920633.1_00053 hypothetical protein	MF599468.1_00051 MF599468.1 - hypothetical protein translation
OG0000138	HF920633.1_00026 hypothetical protein	MF599468.1_00161 MF599468.1 - hypothetical protein translation
OG0000139	HF920633.1_00064 hypothetical protein	MF599468.1_00027 MF599468.1 - hypothetical protein translation
OG0000146	HF920633.1_00036 hypothetical protein	MF599468.1_00074 MF599468.1 - hypothetical protein translation
OG0000147	HF920633.1_00106 hypothetical protein	MF599468.1_00142 MF599468.1 - Deoxyuridine
OG0000150	HF920633.1_00024 hypothetical protein	MF599468.1_00060 MF599468.1 - hypothetical protein translation
OG0000156	HF920633.1_00134 hypothetical protein	MF599468.1_00141 MF599468.1 - hypothetical protein translation
OG0000158	HF920633.1_00105 hypothetical protein	MF599468.1_00004 MF599468.1 - hypothetical protein translation
OG0000159	HF920633.1_00082 hypothetical protein	MF599468.1_00162 MF599468.1 - hypothetical protein translation
OG0000160	HF920633.1_00169 DNA ligase	MF599468.1_00067 MF599468.1 - DNA ligase translation
OG0000161	HF920633.1_00177 hypothetical protein	MF599468.1_00105 MF599468.1 - hypothetical protein translation
OG0000162	HF920633.1_00144 hypothetical protein	MF599468.1_00081 MF599468.1 - hypothetical protein translation
OG0000163	HF920633.1_00145 hypothetical protein	MF599468.1_00045 MF599468.1 - hypothetical protein translation
OG0000164	HF920633.1_00046 hypothetical protein	MF599468.1_00155 MF599468.1 - hypothetical protein translation
OG0000173	HF920633.1_00128 hypothetical protein	MF599468.1_00129 MF599468.1 - hypothetical protein translation
OG0000174	HF920633.1_00110 hypothetical protein	MF599468.1_00022 MF599468.1 - hypothetical protein translation
OG0000176	HF920633.1_00149 DNA topoisomerase 2	MF599468.1_00079 MF599468.1 - hypothetical protein translation
OG0000177	HF920633.1_00165 hypothetical protein	MF599468.1_00037 MF599468.1 - hypothetical protein translation
OG0000178	HF920633.1_00103 hypothetical protein	MF599468.1_00025 MF599468.1 - hypothetical protein translation
OG0000180	HF920633.1_00032 hypothetical protein	MF599468.1_00052 MF599468.1 - hypothetical protein translation, MF599468.1_00061 MF599468.1 - hypothetical protein translation
OG0000181	HF920633.1_00022 hypothetical protein	MF599468.1_00043 MF599468.1 - hypothetical protein translation
OG0000184	HF920633.1_00120 hypothetical protein	MF599468.1_00015 MF599468.1 - hypothetical protein translation
OG0000186	HF920633.1_00056 hypothetical protein	MF599468.1_00172 MF599468.1 - hypothetical protein translation
OG0000187	HF920633.1_00123 hypothetical protein	MF599468.1_00044 MF599468.1 - hypothetical protein translation
OG0000189	HF920633.1_00098 hypothetical protein	MF599468.1_00065 MF599468.1 - hypothetical protein translation
OG0000194	HF920633.1_00125 hypothetical protein	MF599468.1_00125 MF599468.1 - hypothetical protein translation
