Orthogroup	HF920633	AF303741
OG0000173	HF920633.1_00128 hypothetical protein	AF303741.1_00003 hypothetical protein
OG0000174	HF920633.1_00110 hypothetical protein	AF303741.1_00004 hypothetical protein
OG0000176	HF920633.1_00149 DNA topoisomerase 2	AF303741.1_00015 DNA topoisomerase 2
OG0000177	HF920633.1_00165 hypothetical protein	AF303741.1_00017 hypothetical protein
OG0000178	HF920633.1_00103 hypothetical protein	AF303741.1_00085 hypothetical protein
OG0000179	HF920633.1_00020 hypothetical protein, HF920633.1_00021 hypothetical protein	AF303741.1_00086 hypothetical protein
OG0000180	HF920633.1_00032 hypothetical protein	AF303741.1_00104 hypothetical protein
OG0000181	HF920633.1_00022 hypothetical protein	AF303741.1_00112 hypothetical protein
OG0000183	HF920633.1_00131 hypothetical protein	AF303741.1_00122 hypothetical protein
OG0000184	HF920633.1_00120 hypothetical protein	AF303741.1_00136 hypothetical protein
OG0000185	HF920633.1_00146 hypothetical protein	AF303741.1_00146 hypothetical protein
OG0000186	HF920633.1_00056 hypothetical protein	AF303741.1_00148 hypothetical protein
OG0000187	HF920633.1_00123 hypothetical protein	AF303741.1_00150 hypothetical protein
OG0000188	HF920633.1_00050 hypothetical protein	AF303741.1_00151 hypothetical protein
OG0000189	HF920633.1_00098 hypothetical protein	AF303741.1_00161 hypothetical protein
OG0000191	HF920633.1_00035 hypothetical protein	AF303741.1_00177 hypothetical protein
OG0000192	HF920633.1_00029 hypothetical protein	AF303741.1_00184 hypothetical protein
OG0000193	HF920633.1_00121 hypothetical protein	AF303741.1_00193 hypothetical protein
OG0000194	HF920633.1_00125 hypothetical protein	AF303741.1_00197 hypothetical protein
OG0000200	HF920633.1_00101 hypothetical protein	AF303741.1_00008 hypothetical protein
OG0000202	HF920633.1_00008 hypothetical protein	AF303741.1_00018 hypothetical protein
OG0000204	HF920633.1_00063 hypothetical protein	AF303741.1_00042 hypothetical protein
OG0000205	HF920633.1_00160 hypothetical protein	AF303741.1_00044 hypothetical protein
OG0000206	HF920633.1_00061 hypothetical protein	AF303741.1_00064 hypothetical protein
OG0000207	HF920633.1_00018 hypothetical protein	AF303741.1_00074 hypothetical protein
OG0000208	HF920633.1_00023 hypothetical protein	AF303741.1_00107 hypothetical protein
OG0000209	HF920633.1_00102 hypothetical protein	AF303741.1_00120 hypothetical protein
OG0000210	HF920633.1_00074 hypothetical protein	AF303741.1_00124 hypothetical protein
OG0000211	HF920633.1_00087 hypothetical protein	AF303741.1_00135 hypothetical protein
OG0000212	HF920633.1_00041 hypothetical protein	AF303741.1_00159 hypothetical protein
OG0000213	HF920633.1_00013 hypothetical protein	AF303741.1_00160 hypothetical protein
OG0000214	HF920633.1_00113 hypothetical protein	AF303741.1_00175 hypothetical protein
OG0000215	HF920633.1_00037 hypothetical protein	AF303741.1_00203 hypothetical protein
OG0000216	HF920633.1_00155 hypothetical protein	AF303741.1_00204 hypothetical protein
OG0000232	HF920633.1_00016 hypothetical protein	AF303741.1_00028 hypothetical protein
OG0000236	HF920633.1_00070 hypothetical protein	AF303741.1_00115 hypothetical protein
OG0000237	HF920633.1_00167 hypothetical protein	AF303741.1_00116 hypothetical protein
OG0000295	HF920633.1_00075 hypothetical protein	AF303741.1_00002 hypothetical protein
OG0000298	HF920633.1_00002 hypothetical protein	AF303741.1_00016 hypothetical protein
OG0000304	HF920633.1_00178 hypothetical protein	AF303741.1_00043 hypothetical protein
OG0000306	HF920633.1_00166 hypothetical protein	AF303741.1_00048 hypothetical protein
OG0000312	HF920633.1_00065 hypothetical protein	AF303741.1_00069 hypothetical protein
OG0000317	HF920633.1_00140 hypothetical protein	AF303741.1_00111 hypothetical protein
OG0000330	HF920633.1_00176 hypothetical protein	AF303741.1_00180 hypothetical protein
OG0000331	HF920633.1_00055 hypothetical protein	AF303741.1_00186 hypothetical protein
