Orthogroup	ON743042.1	OL774653.1
OG0000044	ON743042.1_00052	OL774653.1_00070
OG0000045	ON743042.1_00057	OL774653.1_00074
OG0000046	ON743042.1_00058	OL774653.1_00075
OG0000047	ON743042.1_00060	OL774653.1_00077
OG0000048	ON743042.1_00061	OL774653.1_00078
OG0000049	ON743042.1_00062	OL774653.1_00079
OG0000050	ON743042.1_00079	OL774653.1_00096
OG0000051	ON743042.1_00083	OL774653.1_00100
OG0000052	ON743042.1_00084	OL774653.1_00101
OG0000053	ON743042.1_00095	OL774653.1_00113
OG0000054	ON743042.1_00097	OL774653.1_00115
OG0000055	ON743042.1_00100	OL774653.1_00118
OG0000056	ON743042.1_00112	OL774653.1_00005
OG0000057	ON743042.1_00117	OL774653.1_00010
OG0000058	ON743042.1_00119	OL774653.1_00012
OG0000059	ON743042.1_00002	OL774653.1_00020
OG0000060	ON743042.1_00010	OL774653.1_00028
OG0000061	ON743042.1_00018	OL774653.1_00035
OG0000062	ON743042.1_00092	OL774653.1_00109
OG0000063	ON743042.1_00074	OL774653.1_00091
OG0000064	ON743042.1_00017	OL774653.1_00034
OG0000065	ON743042.1_00040	OL774653.1_00059
OG0000066	ON743042.1_00044	OL774653.1_00063
OG0000067	ON743042.1_00048	OL774653.1_00067
OG0000068	ON743042.1_00069	OL774653.1_00086
OG0000069	ON743042.1_00099	OL774653.1_00117
OG0000070	ON743042.1_00101	OL774653.1_00119
OG0000071	ON743042.1_00116	OL774653.1_00009
OG0000072	ON743042.1_00009	OL774653.1_00027
OG0000073	ON743042.1_00012	OL774653.1_00029
OG0000074	ON743042.1_00016	OL774653.1_00033
OG0000075	ON743042.1_00035	OL774653.1_00055
OG0000076	ON743042.1_00038	OL774653.1_00058
OG0000077	ON743042.1_00042	OL774653.1_00061
OG0000078	ON743042.1_00043	OL774653.1_00062
OG0000079	ON743042.1_00047	OL774653.1_00066
OG0000080	ON743042.1_00053	OL774653.1_00071
OG0000081	ON743042.1_00054	OL774653.1_00072
OG0000082	ON743042.1_00055	OL774653.1_00073
OG0000083	ON743042.1_00064	OL774653.1_00081
OG0000084	ON743042.1_00067	OL774653.1_00084
OG0000085	ON743042.1_00070	OL774653.1_00087
OG0000086	ON743042.1_00071	OL774653.1_00088
OG0000087	ON743042.1_00075	OL774653.1_00092
OG0000088	ON743042.1_00076	OL774653.1_00093
OG0000089	ON743042.1_00085	OL774653.1_00102
OG0000090	ON743042.1_00086	OL774653.1_00103
OG0000091	ON743042.1_00098	OL774653.1_00116
OG0000092	ON743042.1_00102	OL774653.1_00120
OG0000093	ON743042.1_00106	OL774653.1_00124
OG0000094	ON743042.1_00109	OL774653.1_00002
OG0000095	ON743042.1_00110	OL774653.1_00003
OG0000096	ON743042.1_00121	OL774653.1_00014
OG0000097	ON743042.1_00003	OL774653.1_00021
OG0000098	ON743042.1_00004	OL774653.1_00022
OG0000099	ON743042.1_00041	OL774653.1_00060
OG0000100	ON743042.1_00045	OL774653.1_00064
OG0000101	ON743042.1_00072	OL774653.1_00089
OG0000102	ON743042.1_00080	OL774653.1_00097
OG0000103	ON743042.1_00103	OL774653.1_00121
OG0000105	ON743042.1_00118	OL774653.1_00011
OG0000106	ON743042.1_00029	OL774653.1_00049
OG0000107	ON743042.1_00104	OL774653.1_00122
OG0000108	ON743042.1_00122	OL774653.1_00015
OG0000109	ON743042.1_00073	OL774653.1_00090
OG0000110	ON743042.1_00120	OL774653.1_00013
OG0000111	ON743042.1_00094	OL774653.1_00112
OG0000112	ON743042.1_00081	OL774653.1_00098
OG0000114	ON743042.1_00021	OL774653.1_00038
OG0000117	ON743042.1_00068	OL774653.1_00085
OG0000120	ON743042.1_00105	OL774653.1_00123
OG0000121	ON743042.1_00114	OL774653.1_00007
OG0000125	ON743042.1_00028	OL774653.1_00048
OG0000131	ON743042.1_00093	OL774653.1_00110
OG0000144	ON743042.1_00025	OL774653.1_00042
