Orthogroup	MN803438	KX643370
OG0000226	MN803438.1_00081 G-protein coupled receptor US28	Lymph_LDV3_KX643370_00019 hypothetical protein
OG0000226	MN803438.1_00039 G-protein coupled receptor US28	Lymph_LDV3_KX643370_00024 G-protein coupled receptor US28
OG0000227	MN803438.1_00050 hypothetical protein	Lymph_LDV3_KX643370_00035 hypothetical protein
OG0000227	MN803438.1_00061 hypothetical protein	Lymph_LDV3_KX643370_00071 hypothetical protein
OG0000228	MN803438.1_00133 hypothetical protein	Lymph_LDV3_KX643370_00142 hypothetical protein
OG0000228	MN803438.1_00072 hypothetical protein	Lymph_LDV3_KX643370_00062 hypothetical protein
OG0000229	MN803438.1_00087 hypothetical protein	Lymph_LDV3_KX643370_00084 hypothetical protein
OG0000229	MN803438.1_00058 hypothetical protein	Lymph_LDV3_KX643370_00074 hypothetical protein
OG0000245	MN803438.1_00004 hypothetical protein	Lymph_LDV3_KX643370_00148 hypothetical protein
OG0000250	MN803438.1_00075 hypothetical protein	Lymph_LDV3_KX643370_00045 hypothetical protein, Lymph_LDV3_KX643370_00087 hypothetical protein
OG0000251	MN803438.1_00053 hypothetical protein, MN803438.1_00103 hypothetical protein	Lymph_LDV3_KX643370_00105 hypothetical protein
OG0000394	MN803438.1_00144 hypothetical protein	Lymph_LDV3_KX643370_00002 hypothetical protein
OG0000395	MN803438.1_00143 hypothetical protein	Lymph_LDV3_KX643370_00003 hypothetical protein
OG0000396	MN803438.1_00139 hypothetical protein	Lymph_LDV3_KX643370_00006 hypothetical protein
OG0000397	MN803438.1_00018 hypothetical protein	Lymph_LDV3_KX643370_00007 hypothetical protein
OG0000398	MN803438.1_00019 hypothetical protein	Lymph_LDV3_KX643370_00008 hypothetical protein
OG0000399	MN803438.1_00020 hypothetical protein	Lymph_LDV3_KX643370_00010 hypothetical protein
OG0000400	MN803438.1_00014 hypothetical protein	Lymph_LDV3_KX643370_00011 hypothetical protein
OG0000401	MN803438.1_00036 hypothetical protein	Lymph_LDV3_KX643370_00013 hypothetical protein
OG0000402	MN803438.1_00038 hypothetical protein	Lymph_LDV3_KX643370_00016 hypothetical protein
OG0000403	MN803438.1_00015 hypothetical protein	Lymph_LDV3_KX643370_00018 hypothetical protein
OG0000404	MN803438.1_00042 hypothetical protein	Lymph_LDV3_KX643370_00022 hypothetical protein
OG0000405	MN803438.1_00043 hypothetical protein	Lymph_LDV3_KX643370_00023 hypothetical protein
OG0000406	MN803438.1_00040 hypothetical protein	Lymph_LDV3_KX643370_00026 hypothetical protein
OG0000407	MN803438.1_00041 hypothetical protein	Lymph_LDV3_KX643370_00027 hypothetical protein
OG0000408	MN803438.1_00080 hypothetical protein	Lymph_LDV3_KX643370_00029 hypothetical protein
OG0000409	MN803438.1_00079 hypothetical protein	Lymph_LDV3_KX643370_00030 hypothetical protein
OG0000410	MN803438.1_00083 hypothetical protein	Lymph_LDV3_KX643370_00031 hypothetical protein
OG0000411	MN803438.1_00085 hypothetical protein	Lymph_LDV3_KX643370_00032 hypothetical protein
OG0000412	MN803438.1_00031 hypothetical protein	Lymph_LDV3_KX643370_00034 hypothetical protein
OG0000413	MN803438.1_00032 hypothetical protein	Lymph_LDV3_KX643370_00036 hypothetical protein
OG0000414	MN803438.1_00033 hypothetical protein	Lymph_LDV3_KX643370_00038 hypothetical protein
OG0000415	MN803438.1_00034 hypothetical protein	Lymph_LDV3_KX643370_00039 hypothetical protein
OG0000416	MN803438.1_00016 hypothetical protein	Lymph_LDV3_KX643370_00050 hypothetical protein
OG0000417	MN803438.1_00025 hypothetical protein	Lymph_LDV3_KX643370_00053 hypothetical protein
OG0000418	MN803438.1_00069 hypothetical protein	Lymph_LDV3_KX643370_00058 hypothetical protein
OG0000419	MN803438.1_00073 hypothetical protein	Lymph_LDV3_KX643370_00063 hypothetical protein
OG0000420	MN803438.1_00067 hypothetical protein	Lymph_LDV3_KX643370_00065 hypothetical protein
OG0000421	MN803438.1_00065 hypothetical protein	Lymph_LDV3_KX643370_00066 hypothetical protein
OG0000422	MN803438.1_00064 hypothetical protein	Lymph_LDV3_KX643370_00067 hypothetical protein
OG0000423	MN803438.1_00063 hypothetical protein	Lymph_LDV3_KX643370_00068 hypothetical protein
OG0000424	MN803438.1_00062 hypothetical protein	Lymph_LDV3_KX643370_00069 hypothetical protein
OG0000425	MN803438.1_00060 hypothetical protein	Lymph_LDV3_KX643370_00072 hypothetical protein
OG0000426	MN803438.1_00059 hypothetical protein	Lymph_LDV3_KX643370_00073 hypothetical protein
OG0000427	MN803438.1_00088 hypothetical protein	Lymph_LDV3_KX643370_00078 hypothetical protein
OG0000428	MN803438.1_00091 hypothetical protein	Lymph_LDV3_KX643370_00081 hypothetical protein
OG0000429	MN803438.1_00090 hypothetical protein	Lymph_LDV3_KX643370_00082 hypothetical protein
OG0000430	MN803438.1_00093 hypothetical protein	Lymph_LDV3_KX643370_00083 hypothetical protein
OG0000431	MN803438.1_00086 hypothetical protein	Lymph_LDV3_KX643370_00086 hypothetical protein
OG0000432	MN803438.1_00076 hypothetical protein	Lymph_LDV3_KX643370_00088 hypothetical protein
OG0000433	MN803438.1_00047 hypothetical protein	Lymph_LDV3_KX643370_00092 hypothetical protein
OG0000434	MN803438.1_00048 hypothetical protein	Lymph_LDV3_KX643370_00093 hypothetical protein
OG0000435	MN803438.1_00057 hypothetical protein	Lymph_LDV3_KX643370_00097 hypothetical protein
OG0000436	MN803438.1_00095 hypothetical protein	Lymph_LDV3_KX643370_00099 hypothetical protein
OG0000437	MN803438.1_00098 hypothetical protein	Lymph_LDV3_KX643370_00101 hypothetical protein
OG0000438	MN803438.1_00102 hypothetical protein	Lymph_LDV3_KX643370_00104 hypothetical protein
OG0000439	MN803438.1_00132 hypothetical protein	Lymph_LDV3_KX643370_00112 hypothetical protein
OG0000440	MN803438.1_00131 hypothetical protein	Lymph_LDV3_KX643370_00113 hypothetical protein
OG0000441	MN803438.1_00129 hypothetical protein	Lymph_LDV3_KX643370_00116 hypothetical protein
OG0000442	MN803438.1_00127 hypothetical protein	Lymph_LDV3_KX643370_00118 hypothetical protein
OG0000443	MN803438.1_00114 hypothetical protein	Lymph_LDV3_KX643370_00122 hypothetical protein
OG0000444	MN803438.1_00116 hypothetical protein	Lymph_LDV3_KX643370_00123 hypothetical protein
OG0000445	MN803438.1_00119 hypothetical protein	Lymph_LDV3_KX643370_00124 hypothetical protein
OG0000446	MN803438.1_00118 hypothetical protein	Lymph_LDV3_KX643370_00127 hypothetical protein
OG0000447	MN803438.1_00123 hypothetical protein	Lymph_LDV3_KX643370_00129 hypothetical protein
OG0000448	MN803438.1_00111 hypothetical protein	Lymph_LDV3_KX643370_00134 hypothetical protein
OG0000449	MN803438.1_00134 hypothetical protein	Lymph_LDV3_KX643370_00141 hypothetical protein
OG0000450	MN803438.1_00141 hypothetical protein	Lymph_LDV3_KX643370_00147 hypothetical protein
OG0000451	MN803438.1_00002 hypothetical protein	Lymph_LDV3_KX643370_00150 hypothetical protein
OG0000452	MN803438.1_00001 hypothetical protein	Lymph_LDV3_KX643370_00152 hypothetical protein
