Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Infectious spleen and kidney necrosis virus isolate EFIV-2018, complete genome",Infectious spleen and kidney necrosis virus,540,540,100%,1e-172,100.00,111369,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW273353.1?report=genbank&log$=nucltop&blast_rank=20&RID=6EEFX88T016"",""MW273353.1"")"
"Infectious spleen and kidney necrosis virus isolate EFIV-2019, complete genome",Infectious spleen and kidney necrosis virus,540,540,100%,1e-172,100.00,111380,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW273354.1?report=genbank&log$=nucltop&blast_rank=21&RID=6EEFX88T016"",""MW273354.1"")"
"Infectious spleen and kidney necrosis virus isolate KU1, complete genome",Infectious spleen and kidney necrosis virus,540,540,100%,1e-172,100.00,111487,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT128666.1?report=genbank&log$=nucltop&blast_rank=22&RID=6EEFX88T016"",""MT128666.1"")"
"Infectious spleen and kidney necrosis virus isolate OGIV-PW-2018, complete genome",Infectious spleen and kidney necrosis virus,540,540,100%,1e-172,100.00,111609,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW883606.1?report=genbank&log$=nucltop&blast_rank=23&RID=6EEFX88T016"",""MW883606.1"")"
"Infectious spleen and kidney necrosis virus isolate KU2, complete genome",Infectious spleen and kidney necrosis virus,540,540,100%,1e-172,100.00,111610,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT128667.1?report=genbank&log$=nucltop&blast_rank=24&RID=6EEFX88T016"",""MT128667.1"")"
"MAG: Infectious spleen and kidney necrosis virus isolate ISKNV_Ghana_TIV_2019, complete genome",Infectious spleen and kidney necrosis virus,540,540,100%,1e-172,100.00,111831,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OR670976.1?report=genbank&log$=nucltop&blast_rank=25&RID=6EEFX88T016"",""OR670976.1"")"
"Infectious spleen and kidney necrosis virus strain TIV-2020, complete genome",Infectious spleen and kidney necrosis virus,540,540,100%,1e-172,100.00,111837,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/ON212400.1?report=genbank&log$=nucltop&blast_rank=26&RID=6EEFX88T016"",""ON212400.1"")"
"Banggai cardinalfish iridovirus isolate BCIV/2017, complete genome",Banggai cardinalfish iridovirus,540,540,100%,1e-172,100.00,111920,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT926123.1?report=genbank&log$=nucltop&blast_rank=27&RID=6EEFX88T016"",""MT926123.1"")"
"Infectious spleen and kidney necrosis virus isolate OGIV-HN-2018-001, complete genome",Infectious spleen and kidney necrosis virus,536,536,100%,2e-171,99.22,110699,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PP974677.1?report=genbank&log$=nucltop&blast_rank=28&RID=6EEFX88T016"",""PP974677.1"")"
"Spotted knifejaw iridovirus, complete genome",Spotted knifejaw iridovirus,536,536,100%,2e-171,99.22,111198,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT986830.1?report=genbank&log$=nucltop&blast_rank=29&RID=6EEFX88T016"",""MT986830.1"")"
"Infectious spleen and kidney necrosis virus isolate BCIV-2015, complete genome",Infectious spleen and kidney necrosis virus,536,536,100%,2e-171,99.22,111666,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW883595.1?report=genbank&log$=nucltop&blast_rank=30&RID=6EEFX88T016"",""MW883595.1"")"
"Infectious spleen and kidney necrosis virus isolate NS-2404, complete genome",Infectious spleen and kidney necrosis virus,536,536,100%,2e-171,99.22,112192,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PV683077.1?report=genbank&log$=nucltop&blast_rank=31&RID=6EEFX88T016"",""PV683077.1"")"
"Infectious spleen and kidney necrosis virus isolate ISKNV-ASB-23, complete genome",Infectious spleen and kidney necrosis virus,536,536,100%,2e-171,99.22,112236,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PP151097.1?report=genbank&log$=nucltop&blast_rank=32&RID=6EEFX88T016"",""PP151097.1"")"
"Largemouth bass ulcerative syndrome virus isolate LBUSV-GZ, complete genome",Largemouth bass ulcerative syndrome virus,536,536,100%,2e-171,99.22,112248,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OP009387.1?report=genbank&log$=nucltop&blast_rank=33&RID=6EEFX88T016"",""OP009387.1"")"
"Oxyeleotris marmoratus iridovirus isolate ZH, complete genome",Oxyeleotris marmoratus iridovirus,536,536,100%,2e-171,99.22,112507,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PQ152308.1?report=genbank&log$=nucltop&blast_rank=34&RID=6EEFX88T016"",""PQ152308.1"")"
"Banggai cardinalfish iridovirus isolate BCIV/WVL17393/2012, complete genome",Banggai cardinalfish iridovirus,536,536,100%,2e-171,99.22,112618,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN432490.1?report=genbank&log$=nucltop&blast_rank=35&RID=6EEFX88T016"",""MN432490.1"")"
"Rock bream iridovirus strain RBIV-KOR-TY1 from South Korea, complete genome",Rock bream iridovirus,528,528,100%,2e-168,97.27,112080,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AY532606.1?report=genbank&log$=nucltop&blast_rank=36&RID=6EEFX88T016"",""AY532606.1"")"
"Small yellow croaker iridovirus isolate Zhoushan, complete genome",Small yellow croaker iridovirus,525,525,100%,3e-167,96.48,110560,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OL310752.1?report=genbank&log$=nucltop&blast_rank=37&RID=6EEFX88T016"",""OL310752.1"")"
"Large yellow croaker iridovirus, complete genome",Large yellow croaker iridovirus,525,525,100%,3e-167,96.48,111760,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AY779031.1?report=genbank&log$=nucltop&blast_rank=38&RID=6EEFX88T016"",""AY779031.1"")"
"Large yellow croaker iridovirus isolate ZS-1, complete genome",Large yellow croaker iridovirus,525,525,100%,3e-167,96.48,111854,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OL774653.1?report=genbank&log$=nucltop&blast_rank=39&RID=6EEFX88T016"",""OL774653.1"")"
"Large yellow croaker iridovirus isolate ZS-2, complete genome",Large yellow croaker iridovirus,525,525,100%,3e-167,96.48,112041,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OL774654.1?report=genbank&log$=nucltop&blast_rank=40&RID=6EEFX88T016"",""OL774654.1"")"
"Large yellow croaker iridovirus isolate Zhoushan, complete genome",Large yellow croaker iridovirus,525,525,100%,3e-167,96.48,112043,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW139932.1?report=genbank&log$=nucltop&blast_rank=41&RID=6EEFX88T016"",""MW139932.1"")"
"Megalocytivirus FD201807, complete genome",Megalocytivirus FD201807,525,525,100%,3e-167,96.48,112214,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OQ475017.1?report=genbank&log$=nucltop&blast_rank=42&RID=6EEFX88T016"",""OQ475017.1"")"
"Pompano iridovirus isolate PIV2010, complete genome",Pompano iridovirus,525,525,100%,3e-167,96.48,112321,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK098185.1?report=genbank&log$=nucltop&blast_rank=43&RID=6EEFX88T016"",""MK098185.1"")"
"Large yellow croaker iridovirus isolate ZS-3, complete genome",Large yellow croaker iridovirus,525,525,100%,3e-167,96.48,112362,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OL774655.1?report=genbank&log$=nucltop&blast_rank=44&RID=6EEFX88T016"",""OL774655.1"")"
"Red sea bream iridovirus genomic DNA, circular physical map, complete sequence",Red seabream iridovirus,525,525,100%,3e-167,96.48,112415,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AB104413.1?report=genbank&log$=nucltop&blast_rank=45&RID=6EEFX88T016"",""AB104413.1"")"
"Three spot gourami iridovirus, complete genome",Three spot gourami iridovirus,525,525,100%,3e-167,96.48,111591,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG570132.1?report=genbank&log$=nucltop&blast_rank=46&RID=6EEFX88T016"",""MG570132.1"")"
"Red seabream iridovirus strain RSIV_121, complete genome",Red seabream iridovirus,525,525,100%,3e-167,96.48,111557,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT798582.1?report=genbank&log$=nucltop&blast_rank=47&RID=6EEFX88T016"",""MT798582.1"")"
"Red seabream iridovirus isolate SBIV-V12, complete genome",Red seabream iridovirus,525,525,100%,3e-167,96.48,111876,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/ON743042.1?report=genbank&log$=nucltop&blast_rank=48&RID=6EEFX88T016"",""ON743042.1"")"
"Red seabream iridovirus isolate SBIV-VP13, complete genome",Red seabream iridovirus,525,525,100%,3e-167,96.48,112158,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/ON740976.1?report=genbank&log$=nucltop&blast_rank=49&RID=6EEFX88T016"",""ON740976.1"")"
"Red seabream iridovirus isolate 17RbGs, complete genome",Red seabream iridovirus,525,525,100%,3e-167,96.48,112235,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK042109.1?report=genbank&log$=nucltop&blast_rank=50&RID=6EEFX88T016"",""OK042109.1"")"
"Rock bream iridovirus isolate RBIV-C1, complete genome",Rock bream iridovirus,525,525,100%,3e-167,96.48,112333,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KC244182.1?report=genbank&log$=nucltop&blast_rank=51&RID=6EEFX88T016"",""KC244182.1"")"
"Red seabream iridovirus isolate 17SbTy, complete genome",Red seabream iridovirus,525,525,100%,3e-167,96.48,112360,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OK042108.1?report=genbank&log$=nucltop&blast_rank=52&RID=6EEFX88T016"",""OK042108.1"")"
"Spotted knifejaw iridovirus isolate SKIV-TJ, complete genome",Spotted knifejaw iridovirus,525,525,100%,3e-167,96.48,112489,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/ON075463.1?report=genbank&log$=nucltop&blast_rank=53&RID=6EEFX88T016"",""ON075463.1"")"
"Giant sea perch iridovirus - K1 isolate GSIV-K1, complete genome",giant sea perch iridovirus - K1,525,525,100%,3e-167,96.48,112565,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KT804738.1?report=genbank&log$=nucltop&blast_rank=54&RID=6EEFX88T016"",""KT804738.1"")"
"Red seabream iridovirus DNA, complete sequence, strain: RIE12-1",Red seabream iridovirus,525,525,100%,3e-167,96.48,112590,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP017456.1?report=genbank&log$=nucltop&blast_rank=55&RID=6EEFX88T016"",""AP017456.1"")"
"Red seabream iridovirus isolate KagYT-96, complete genome",Red seabream iridovirus,525,525,100%,3e-167,96.48,112710,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK689686.1?report=genbank&log$=nucltop&blast_rank=56&RID=6EEFX88T016"",""MK689686.1"")"
"Infectious spleen and kidney necrosis virus isolate RSIV-HGIV-Cantik-2014, complete genome",Infectious spleen and kidney necrosis virus,525,525,100%,3e-167,96.48,112717,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW883598.1?report=genbank&log$=nucltop&blast_rank=57&RID=6EEFX88T016"",""MW883598.1"")"
"Turbot reddish body iridovirus, complete genome",Turbot reddish body iridovirus,524,524,100%,5e-167,96.48,110104,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GQ273492.1?report=genbank&log$=nucltop&blast_rank=58&RID=6EEFX88T016"",""GQ273492.1"")"
"Orange-spotted grouper iridovirus, complete genome",orange spotted grouper iridovirus,522,522,100%,2e-166,96.09,112636,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AY894343.1?report=genbank&log$=nucltop&blast_rank=59&RID=6EEFX88T016"",""AY894343.1"")"
"South American cichlid iridovirus, complete genome",South American cichlid iridovirus,522,522,100%,2e-166,96.09,111347,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MG570131.1?report=genbank&log$=nucltop&blast_rank=60&RID=6EEFX88T016"",""MG570131.1"")"
"Pompano iridovirus isolate PIV2016, complete genome",Pompano iridovirus,520,520,100%,1e-165,95.70,112052,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK098187.1?report=genbank&log$=nucltop&blast_rank=61&RID=6EEFX88T016"",""MK098187.1"")"
"Pompano iridovirus isolate PIV2014a, complete genome",Pompano iridovirus,520,520,100%,1e-165,95.70,112377,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK098186.1?report=genbank&log$=nucltop&blast_rank=62&RID=6EEFX88T016"",""MK098186.1"")"
"MAG: Threespine stickleback iridovirus isolate STMY_2012_42, partial sequence",Threespine stickleback iridovirus,394,394,99%,2e-121,72.05,79043,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PQ335173.1?report=genbank&log$=nucltop&blast_rank=63&RID=6EEFX88T016"",""PQ335173.1"")"
"Scale drop disease virus isolate C4575, partial genome",Scale drop disease virus,274,274,99%,9e-80,48.03,124244,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NC_027778.1?report=genbank&log$=nucltop&blast_rank=64&RID=6EEFX88T016"",""NC_027778.1"")"
"Scale drop disease virus isolate SDDV_Thai_2019, complete genome",Scale drop disease virus,274,274,99%,9e-80,48.03,131129,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MN562489.1?report=genbank&log$=nucltop&blast_rank=65&RID=6EEFX88T016"",""MN562489.1"")"
"Scale drop disease virus isolate GF_MU1, complete genome",Scale drop disease virus,274,274,99%,9e-80,48.03,131276,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT521409.1?report=genbank&log$=nucltop&blast_rank=66&RID=6EEFX88T016"",""MT521409.1"")"
"Scale drop disease virus strain TH7_2019, complete genome",Scale drop disease virus,274,274,99%,9e-80,48.03,131759,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PP660347.1?report=genbank&log$=nucltop&blast_rank=67&RID=6EEFX88T016"",""PP660347.1"")"
"Scale drop disease virus isolate SDDV-ZH-06/20, complete genome",Scale drop disease virus,274,274,99%,9e-80,48.03,131893,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OM037668.2?report=genbank&log$=nucltop&blast_rank=68&RID=6EEFX88T016"",""OM037668.2"")"
"European chub iridovirus isolate LEC15001, complete genome",European chub iridovirus,270,270,97%,3e-78,49.60,128216,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK637631.1?report=genbank&log$=nucltop&blast_rank=69&RID=6EEFX88T016"",""MK637631.1"")"
"Singapore grouper iridovirus, complete genome",Singapore grouper iridovirus,116,116,88%,5e-25,34.96,140131,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OM793601.1?report=genbank&log$=nucltop&blast_rank=70&RID=6EEFX88T016"",""OM793601.1"")"
"Singapore grouper iridovirus, complete genome",Singapore grouper iridovirus,116,116,88%,5e-25,34.96,140131,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NC_006549.1?report=genbank&log$=nucltop&blast_rank=71&RID=6EEFX88T016"",""NC_006549.1"")"
"Singapore grouper iridovirus isolate GIV-RP, complete genome",Singapore grouper iridovirus,114,114,88%,3e-24,34.51,138512,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PP085414.1?report=genbank&log$=nucltop&blast_rank=72&RID=6EEFX88T016"",""PP085414.1"")"
"Grouper iridovirus, complete genome",Grouper iridovirus,114,114,88%,3e-24,34.51,139793,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AY666015.1?report=genbank&log$=nucltop&blast_rank=73&RID=6EEFX88T016"",""AY666015.1"")"
"Short-finned eel ranavirus isolate ANGA14001, complete genome",Short-finned eel ranavirus,107,107,86%,8e-22,30.67,126965,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NC_030394.2?report=genbank&log$=nucltop&blast_rank=74&RID=6EEFX88T016"",""NC_030394.2"")"
"Pike-perch iridovirus strain K152/95 RNase III-like protein gene, complete cds",Pike-perch iridovirus,104,104,86%,1e-21,29.28,1116,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KC191670.1?report=genbank&log$=nucltop&blast_rank=75&RID=6EEFX88T016"",""KC191670.1"")"
"Lymphocystis disease virus Sa isolate SA9, complete genome",Lymphocystis disease virus Sa,106,106,94%,2e-21,31.97,208501,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NC_033423.1?report=genbank&log$=nucltop&blast_rank=76&RID=6EEFX88T016"",""NC_033423.1"")"
"Lymphocystis disease virus 1, complete genome",Lymphocystis disease virus 1,106,106,95%,2e-21,28.46,102653,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NC_001824.1?report=genbank&log$=nucltop&blast_rank=77&RID=6EEFX88T016"",""NC_001824.1"")"
"Lymphocystis disease virus 1 isolate LCDV1-4/23ZH, complete genome",Lymphocystis disease virus 1,106,106,95%,2e-21,28.46,102661,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PP918970.1?report=genbank&log$=nucltop&blast_rank=78&RID=6EEFX88T016"",""PP918970.1"")"
"Rana esculenta virus isolate REV 282/I02, complete genome",Rana esculenta virus,105,105,86%,5e-21,29.41,107444,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF538628.1?report=genbank&log$=nucltop&blast_rank=79&RID=6EEFX88T016"",""MF538628.1"")"
"Common midwife toad virus isolate Pe/2016/Netherlands/UU3160714042, complete genome",Common midwife toad virus,105,105,86%,5e-21,29.41,106710,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF125270.1?report=genbank&log$=nucltop&blast_rank=80&RID=6EEFX88T016"",""MF125270.1"")"
"Rana catesbeiana virus isolate RC15027, complete genome",Rana catesbeiana virus,105,105,86%,5e-21,29.41,106890,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX397571.1?report=genbank&log$=nucltop&blast_rank=81&RID=6EEFX88T016"",""KX397571.1"")"
"Tiger frog virus isolate A-21, complete genome",Tiger frog virus,104,104,86%,5e-21,29.41,106120,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MW727505.1?report=genbank&log$=nucltop&blast_rank=82&RID=6EEFX88T016"",""MW727505.1"")"
"Common midwife toad virus -E isolate Mesotriton alpestris/2008/E, complete genome",common midwife toad virus -E,104,104,86%,6e-21,29.28,106878,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JQ231222.1?report=genbank&log$=nucltop&blast_rank=83&RID=6EEFX88T016"",""JQ231222.1"")"
"Ambystoma tigrinum virus isolate ORV, complete genome",Ranavirus ambystoma1,104,104,86%,7e-21,29.78,106018,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR075874.1?report=genbank&log$=nucltop&blast_rank=84&RID=6EEFX88T016"",""KR075874.1"")"
"Ambystoma tigrinum virus isolate DAL1, complete genome",Ranavirus ambystoma1,104,104,86%,7e-21,29.78,105354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR075884.1?report=genbank&log$=nucltop&blast_rank=85&RID=6EEFX88T016"",""KR075884.1"")"
"Ambystoma tigrinum virus isolate AXO, complete genome",Ranavirus ambystoma1,104,104,86%,7e-21,29.78,105504,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR075872.1?report=genbank&log$=nucltop&blast_rank=86&RID=6EEFX88T016"",""KR075872.1"")"
"Ambystoma tigrinum virus isolate DO-ATV, complete genome",Ranavirus ambystoma1,104,104,86%,7e-21,29.78,105936,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR075885.1?report=genbank&log$=nucltop&blast_rank=87&RID=6EEFX88T016"",""KR075885.1"")"
"Ambystoma tigrinum virus isolate CAP, complete genome",Ranavirus ambystoma1,104,104,86%,7e-21,29.78,106004,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR075886.1?report=genbank&log$=nucltop&blast_rank=88&RID=6EEFX88T016"",""KR075886.1"")"
"Ambystoma tigrinum virus isolate UTAH, complete genome",Ranavirus ambystoma1,104,104,86%,7e-21,29.78,106198,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR075877.1?report=genbank&log$=nucltop&blast_rank=89&RID=6EEFX88T016"",""KR075877.1"")"
"Ambystoma tigrinum virus isolate HEIDI, complete genome",Ranavirus ambystoma1,104,104,86%,7e-21,29.78,106230,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR075873.1?report=genbank&log$=nucltop&blast_rank=90&RID=6EEFX88T016"",""KR075873.1"")"
"Ranavirus ambystoma1 isolate 2013-ATV-04, complete genome",Ranavirus ambystoma1,104,104,86%,7e-21,29.78,106258,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK580531.2?report=genbank&log$=nucltop&blast_rank=91&RID=6EEFX88T016"",""MK580531.2"")"
