Orthogroup	Rana_FV3_NC_005946.1	Rana_SGIV_AY521625.1
OG0000024	Rana_FV3_NC_005946.1_00067	Rana_SGIV_AY521625.1_00042
OG0000026	Rana_FV3_NC_005946.1_00086	Rana_SGIV_AY521625.1_00060
OG0000027	Rana_FV3_NC_005946.1_00049	Rana_SGIV_AY521625.1_00022
OG0000113	Rana_FV3_NC_005946.1_00020	Rana_SGIV_AY521625.1_00036
OG0000133	Rana_FV3_NC_005946.1_00079	Rana_SGIV_AY521625.1_00102
OG0000134	Rana_FV3_NC_005946.1_00001	Rana_SGIV_AY521625.1_00098
OG0000137	Rana_FV3_NC_005946.1_00039	Rana_SGIV_AY521625.1_00056
OG0000148	Rana_FV3_NC_005946.1_00054	Rana_SGIV_AY521625.1_00133
OG0000150	Rana_FV3_NC_005946.1_00052	Rana_SGIV_AY521625.1_00002
OG0000152	Rana_FV3_NC_005946.1_00044	Rana_SGIV_AY521625.1_00018
OG0000156	Rana_FV3_NC_005946.1_00063	Rana_SGIV_AY521625.1_00044
OG0000160	Rana_FV3_NC_005946.1_00075	Rana_SGIV_AY521625.1_00126
OG0000165	Rana_FV3_NC_005946.1_00029	Rana_SGIV_AY521625.1_00140
OG0000166	Rana_FV3_NC_005946.1_00026	Rana_SGIV_AY521625.1_00005
OG0000168	Rana_FV3_NC_005946.1_00004	Rana_SGIV_AY521625.1_00014
OG0000177	Rana_FV3_NC_005946.1_00033	Rana_SGIV_AY521625.1_00011
OG0000205	Rana_FV3_NC_005946.1_00062	Rana_SGIV_AY521625.1_00066
OG0000234	Rana_FV3_NC_005946.1_00088	Rana_SGIV_AY521625.1_00061
OG0000235	Rana_FV3_NC_005946.1_00096	Rana_SGIV_AY521625.1_00094
OG0000237	Rana_FV3_NC_005946.1_00073	Rana_SGIV_AY521625.1_00128
OG0000238	Rana_FV3_NC_005946.1_00051	Rana_SGIV_AY521625.1_00023
OG0000239	Rana_FV3_NC_005946.1_00015	Rana_SGIV_AY521625.1_00116
OG0000299	Rana_FV3_NC_005946.1_00034	Rana_SGIV_AY521625.1_00010
OG0000448	Rana_FV3_NC_005946.1_00003	Rana_SGIV_AY521625.1_00015
OG0000449	Rana_FV3_NC_005946.1_00005	Rana_SGIV_AY521625.1_00013
OG0000450	Rana_FV3_NC_005946.1_00012	Rana_SGIV_AY521625.1_00052
OG0000451	Rana_FV3_NC_005946.1_00013	Rana_SGIV_AY521625.1_00090
OG0000452	Rana_FV3_NC_005946.1_00017	Rana_SGIV_AY521625.1_00113
OG0000453	Rana_FV3_NC_005946.1_00018	Rana_SGIV_AY521625.1_00039
OG0000455	Rana_FV3_NC_005946.1_00035	Rana_SGIV_AY521625.1_00008
OG0000456	Rana_FV3_NC_005946.1_00047	Rana_SGIV_AY521625.1_00020
OG0000457	Rana_FV3_NC_005946.1_00056	Rana_SGIV_AY521625.1_00131
OG0000458	Rana_FV3_NC_005946.1_00058	Rana_SGIV_AY521625.1_00137
OG0000459	Rana_FV3_NC_005946.1_00059	Rana_SGIV_AY521625.1_00105
OG0000460	Rana_FV3_NC_005946.1_00064	Rana_SGIV_AY521625.1_00043
OG0000461	Rana_FV3_NC_005946.1_00069	Rana_SGIV_AY521625.1_00123
OG0000462	Rana_FV3_NC_005946.1_00072	Rana_SGIV_AY521625.1_00119
OG0000463	Rana_FV3_NC_005946.1_00076	Rana_SGIV_AY521625.1_00118
OG0000464	Rana_FV3_NC_005946.1_00077	Rana_SGIV_AY521625.1_00117
OG0000465	Rana_FV3_NC_005946.1_00080	Rana_SGIV_AY521625.1_00104
OG0000466	Rana_FV3_NC_005946.1_00081	Rana_SGIV_AY521625.1_00072
OG0000467	Rana_FV3_NC_005946.1_00084	Rana_SGIV_AY521625.1_00075
OG0000468	Rana_FV3_NC_005946.1_00090	Rana_SGIV_AY521625.1_00063
