Orthogroup	MG570131	OM037668
OG0000042	MG570131.1_00075 hypothetical protein	OM037668.1_00020 hypothetical protein
OG0000043	MG570131.1_00078 hypothetical protein	OM037668.1_00019 hypothetical protein
OG0000044	MG570131.1_00079 hypothetical protein	OM037668.1_00018 hypothetical protein
OG0000045	MG570131.1_00080 hypothetical protein	OM037668.1_00130 hypothetical protein
OG0000046	MG570131.1_00086 hypothetical protein	OM037668.1_00086 hypothetical protein
OG0000047	MG570131.1_00091 hypothetical protein	OM037668.1_00081 hypothetical protein
OG0000048	MG570131.1_00093 hypothetical protein	OM037668.1_00032 hypothetical protein
OG0000049	MG570131.1_00096 hypothetical protein	OM037668.1_00033 hypothetical protein
OG0000050	MG570131.1_00107 hypothetical protein	OM037668.1_00075 hypothetical protein
OG0000051	MG570131.1_00112 hypothetical protein	OM037668.1_00079 hypothetical protein
OG0000052	MG570131.1_00116 hypothetical protein	OM037668.1_00091 hypothetical protein
OG0000053	MG570131.1_00014 hypothetical protein	OM037668.1_00051 hypothetical protein
OG0000054	MG570131.1_00025 hypothetical protein	OM037668.1_00048 hypothetical protein
OG0000055	MG570131.1_00055 hypothetical protein	OM037668.1_00100 hypothetical protein
OG0000056	MG570131.1_00089 hypothetical protein	OM037668.1_00082 hypothetical protein
OG0000057	MG570131.1_00114 hypothetical protein	OM037668.1_00134 hypothetical protein
OG0000058	MG570131.1_00120 hypothetical protein	OM037668.1_00028 hypothetical protein
OG0000059	MG570131.1_00033 hypothetical protein	OM037668.1_00003 hypothetical protein
OG0000060	MG570131.1_00088 hypothetical protein	OM037668.1_00083 hypothetical protein
OG0000061	MG570131.1_00094 hypothetical protein	SDDV_ORF050 RING E3 ubiquitin ligase
OG0000062	MG570131.1_00011 hypothetical protein	OM037668.1_00054 hypothetical protein
OG0000107	MG570131.1_00061 hypothetical protein	OM037668.1_00095 hypothetical protein
OG0000114	MG570131.1_00059 hypothetical protein	OM037668.1_00085 hypothetical protein
OG0000116	MG570131.1_00012 hypothetical protein	OM037668.1_00053 hypothetical protein
OG0000117	MG570131.1_00054 hypothetical protein	OM037668.1_00101 hypothetical protein
