HOG	OG	Gene Tree Parent Clade	AF303741.1	AF371960.1	AY521625.1	AY532606.1	AY779031.1	AY894343.1	BD143114.1	GQ273492.1	HF920633.1	HF920637.1	KC244182.1	KF938901.1	KT804738.1	L63545.1	LS484712.1	MF599468.1	MG570131.1	MG570132.1	MK098185.1	MK098186.1	MK098187.1	MK689685.1	MK689686.1	MN432490.1	MN562489.1	MN803438.1	MT521409.1	MT798582.1	MT926123.1	MT986830.1	MW139932.1	NC_005946.1	NC_027778.1	OK042108.1	OK042109.1	OL310752.1	OL774653.1	OL774654.1	OL774655.1	OM037668.1	ON075463.1	ON740976.1	ON743042.1	OP009387.1	OQ475017.1
N31.HOG0000054	OG0000206	n0			AY521625.1_00066											L63545.1_00106												MN803438.1_00044						NC_005946.1_00062													
N31.HOG0000055	OG0000207	n0			AY521625.1_00076, AY521625.1_00106, AY521625.1_00107, AY521625.1_00108, AY521625.1_00109																																										
N31.HOG0000056	OG0000210	n0														L63545.1_00105												MN803438.1_00045																			
N31.HOG0000057	OG0000212	n0																										MN803438.1_00130																			
N31.HOG0000058	OG0000213	n0																																NC_005946.1_00007													
N31.HOG0000059	OG0000232	n0			AY521625.1_00023											L63545.1_00025												MN803438.1_00110						NC_005946.1_00051													
N31.HOG0000060	OG0000233	n0			AY521625.1_00057											L63545.1_00082												MN803438.1_00140																			
N31.HOG0000061	OG0000234	n0			AY521625.1_00061											L63545.1_00021												MN803438.1_00008						NC_005946.1_00088													
N31.HOG0000062	OG0000235	n0			AY521625.1_00094											L63545.1_00109												MN803438.1_00026						NC_005946.1_00096													
N31.HOG0000063	OG0000236	n0			AY521625.1_00116											L63545.1_00022												MN803438.1_00136						NC_005946.1_00015													
N31.HOG0000064	OG0000237	n0			AY521625.1_00128											L63545.1_00032												MN803438.1_00099						NC_005946.1_00073													
N31.HOG0000065	OG0000239	n0														L63545.1_00102												MN803438.1_00053, MN803438.1_00103, MN803438.1_00064																			
N31.HOG0000066	OG0000290	-			AY521625.1_00010											L63545.1_00061																		NC_005946.1_00034													
N31.HOG0000067	OG0000291	-			AY521625.1_00055											L63545.1_00067												MN803438.1_00004																			
N31.HOG0000068	OG0000296	-														L63545.1_00095												MN803438.1_00133, MN803438.1_00072																			
N31.HOG0000069	OG0000354	-			AY521625.1_00008																													NC_005946.1_00035													
N31.HOG0000070	OG0000355	-			AY521625.1_00013																													NC_005946.1_00005													
N31.HOG0000071	OG0000356	-			AY521625.1_00015																													NC_005946.1_00003													
N31.HOG0000072	OG0000357	-			AY521625.1_00020																													NC_005946.1_00047													
N31.HOG0000073	OG0000358	-			AY521625.1_00039																													NC_005946.1_00018													
N31.HOG0000074	OG0000359	-			AY521625.1_00043																													NC_005946.1_00064													
N31.HOG0000075	OG0000360	-			AY521625.1_00052																													NC_005946.1_00012													
N31.HOG0000076	OG0000361	-			AY521625.1_00063																													NC_005946.1_00090													
N31.HOG0000077	OG0000362	-			AY521625.1_00068, AY521625.1_00088																																										
N31.HOG0000078	OG0000363	-			AY521625.1_00072																													NC_005946.1_00081													
N31.HOG0000079	OG0000364	-			AY521625.1_00075																													NC_005946.1_00084													
N31.HOG0000080	OG0000366	-			AY521625.1_00090																													NC_005946.1_00013													
N31.HOG0000081	OG0000367	-			AY521625.1_00097																							MN803438.1_00121																			
N31.HOG0000082	OG0000368	-			AY521625.1_00104																													NC_005946.1_00080													
N31.HOG0000083	OG0000369	-			AY521625.1_00105																													NC_005946.1_00059													
N31.HOG0000084	OG0000370	-			AY521625.1_00113																													NC_005946.1_00017													
N31.HOG0000085	OG0000371	-			AY521625.1_00117																													NC_005946.1_00077													
N31.HOG0000086	OG0000372	-			AY521625.1_00118																													NC_005946.1_00076													
N31.HOG0000087	OG0000373	-			AY521625.1_00119																													NC_005946.1_00072													
N31.HOG0000088	OG0000374	-			AY521625.1_00123																													NC_005946.1_00069													
N31.HOG0000089	OG0000375	-			AY521625.1_00125, AY521625.1_00124																																										
N31.HOG0000090	OG0000376	-			AY521625.1_00131																													NC_005946.1_00056													
N31.HOG0000091	OG0000377	-			AY521625.1_00137																													NC_005946.1_00058													
N31.HOG0000092	OG0000412	-														L63545.1_00006												MN803438.1_00083																			
N31.HOG0000093	OG0000413	-														L63545.1_00010												MN803438.1_00001																			
N31.HOG0000094	OG0000414	-														L63545.1_00014												MN803438.1_00015																			
N31.HOG0000095	OG0000415	-														L63545.1_00017												MN803438.1_00002																			
N31.HOG0000096	OG0000416	-														L63545.1_00019												MN803438.1_00095																			
N31.HOG0000097	OG0000417	-														L63545.1_00020												MN803438.1_00079																			
N31.HOG0000098	OG0000418	-														L63545.1_00026												MN803438.1_00040																			
N31.HOG0000099	OG0000419	-														L63545.1_00028												MN803438.1_00025																			
N31.HOG0000100	OG0000420	-														L63545.1_00031												MN803438.1_00075																			
N31.HOG0000101	OG0000421	-														L63545.1_00034												MN803438.1_00102																			
N31.HOG0000102	OG0000422	-														L63545.1_00036												MN803438.1_00062																			
N31.HOG0000103	OG0000423	-														L63545.1_00037												MN803438.1_00063																			
N31.HOG0000104	OG0000424	-														L63545.1_00038												MN803438.1_00074																			
N31.HOG0000105	OG0000425	-														L63545.1_00039												MN803438.1_00019																			
N31.HOG0000106	OG0000426	-														L63545.1_00041												MN803438.1_00085																			
N31.HOG0000107	OG0000427	-														L63545.1_00044												MN803438.1_00088																			
N31.HOG0000108	OG0000428	-														L63545.1_00045												MN803438.1_00132																			
N31.HOG0000109	OG0000429	-														L63545.1_00046												MN803438.1_00131																			
N31.HOG0000110	OG0000430	-														L63545.1_00049												MN803438.1_00091																			
N31.HOG0000111	OG0000431	-														L63545.1_00052												MN803438.1_00114																			
N31.HOG0000112	OG0000432	-														L63545.1_00053												MN803438.1_00076																			
N31.HOG0000113	OG0000433	-														L63545.1_00060												MN803438.1_00032																			
N31.HOG0000114	OG0000434	-														L63545.1_00062												MN803438.1_00086																			
N31.HOG0000115	OG0000435	-														L63545.1_00065												MN803438.1_00031																			
N31.HOG0000116	OG0000436	-														L63545.1_00070												MN803438.1_00129																			
N31.HOG0000117	OG0000437	-														L63545.1_00074												MN803438.1_00033																			
N31.HOG0000118	OG0000438	-														L63545.1_00075												MN803438.1_00090																			
N31.HOG0000119	OG0000439	-														L63545.1_00077												MN803438.1_00043																			
N31.HOG0000120	OG0000440	-														L63545.1_00078												MN803438.1_00042																			
N31.HOG0000121	OG0000441	-														L63545.1_00080												MN803438.1_00017																			
N31.HOG0000122	OG0000442	-														L63545.1_00084												MN803438.1_00139																			
N31.HOG0000123	OG0000443	-														L63545.1_00086												MN803438.1_00057																			
N31.HOG0000124	OG0000444	-														L63545.1_00089												MN803438.1_00119																			
N31.HOG0000125	OG0000445	-														L63545.1_00094												MN803438.1_00073																			
N31.HOG0000126	OG0000446	-														L63545.1_00096												MN803438.1_00134																			
N31.HOG0000127	OG0000447	-														L63545.1_00097												MN803438.1_00034																			
N31.HOG0000128	OG0000448	-														L63545.1_00099												MN803438.1_00016																			
N31.HOG0000129	OG0000449	-														L63545.1_00101												MN803438.1_00141																			
N31.HOG0000130	OG0000450	-														L63545.1_00103												MN803438.1_00060																			
N31.HOG0000131	OG0000451	-														L63545.1_00104												MN803438.1_00059																			
N31.HOG0000132	OG0000452	-														L63545.1_00107												MN803438.1_00144																			
N31.HOG0000133	OG0000466	-																										MN803438.1_00081, MN803438.1_00039																			
N31.HOG0000134	OG0000467	-																										MN803438.1_00050, MN803438.1_00061																			
N31.HOG0000135	OG0000468	-																										MN803438.1_00087, MN803438.1_00058																			
N31.HOG0000136	OG0000470	-																																NC_005946.1_00024, NC_005946.1_00025													
