HOG	OG	Gene Tree Parent Clade	AF303741.1	AF371960.1	AY521625.1	AY532606.1	AY779031.1	AY894343.1	BD143114.1	GQ273492.1	HF920633.1	HF920637.1	KC244182.1	KF938901.1	KT804738.1	L63545.1	LS484712.1	MF599468.1	MG570131.1	MG570132.1	MK098185.1	MK098186.1	MK098187.1	MK689685.1	MK689686.1	MN432490.1	MN562489.1	MN803438.1	MT521409.1	MT798582.1	MT926123.1	MT986830.1	MW139932.1	NC_005946.1	NC_027778.1	OK042108.1	OK042109.1	OL310752.1	OL774653.1	OL774654.1	OL774655.1	OM037668.1	ON075463.1	ON740976.1	ON743042.1	OP009387.1	OQ475017.1
N38.HOG0000080	OG0000198	n0	AF303741.1_00151								HF920633.1_00050	HF920637.1_00070		KF938901.1_00077			LS484712.1_00060																														
N38.HOG0000081	OG0000199	n0	AF303741.1_00161								HF920633.1_00098	HF920637.1_00194		KF938901.1_00079																																	
N38.HOG0000082	OG0000200	n0	AF303741.1_00174									HF920637.1_00133, HF920637.1_00142, HF920637.1_00136																																			
N38.HOG0000083	OG0000201	n0	AF303741.1_00177								HF920633.1_00035	HF920637.1_00035		KF938901.1_00010			LS484712.1_00163																														
N38.HOG0000084	OG0000202	n0	AF303741.1_00184								HF920633.1_00029	HF920637.1_00009		KF938901.1_00008			LS484712.1_00120																														
N38.HOG0000085	OG0000203	n0	AF303741.1_00193								HF920633.1_00121	HF920637.1_00149		KF938901.1_00113			LS484712.1_00106																														
N38.HOG0000086	OG0000204	n0	AF303741.1_00197								HF920633.1_00125	HF920637.1_00005		KF938901.1_00148																																	
N38.HOG0000087	OG0000210	n0									HF920633.1_00139	HF920637.1_00024		KF938901.1_00137																																	
N38.HOG0000088	OG0000211	n0															LS484712.1_00024																														
N38.HOG0000089	OG0000214	n0	AF303741.1_00008								HF920633.1_00101	HF920637.1_00215					LS484712.1_00052																														
N38.HOG0000090	OG0000215	n0	AF303741.1_00012									HF920637.1_00065, HF920637.1_00115, HF920637.1_00177																																			
N38.HOG0000091	OG0000216	n0	AF303741.1_00018								HF920633.1_00008	HF920637.1_00211		KF938901.1_00130																																	
N38.HOG0000092	OG0000217	n0	AF303741.1_00024									HF920637.1_00008, HF920637.1_00200, HF920637.1_00083																																			
N38.HOG0000093	OG0000218	n0	AF303741.1_00042								HF920633.1_00063	HF920637.1_00188		KF938901.1_00057																																	
N38.HOG0000094	OG0000219	n0	AF303741.1_00044								HF920633.1_00160	HF920637.1_00187		KF938901.1_00082																																	
N38.HOG0000095	OG0000220	n0	AF303741.1_00064								HF920633.1_00061	HF920637.1_00074		KF938901.1_00109																																	
N38.HOG0000096	OG0000221	n0	AF303741.1_00074								HF920633.1_00018			KF938901.1_00029			LS484712.1_00233																														
N38.HOG0000097	OG0000222	n0	AF303741.1_00107								HF920633.1_00023	HF920637.1_00204		KF938901.1_00098																																	
N38.HOG0000098	OG0000223	n0	AF303741.1_00120								HF920633.1_00102	HF920637.1_00124		KF938901.1_00136																																	
N38.HOG0000099	OG0000224	n0	AF303741.1_00124								HF920633.1_00074	HF920637.1_00144		KF938901.1_00045																																	
N38.HOG0000100	OG0000225	n0	AF303741.1_00135								HF920633.1_00087	HF920637.1_00167		KF938901.1_00090																																	
N38.HOG0000101	OG0000226	n0	AF303741.1_00159								HF920633.1_00041	HF920637.1_00040		KF938901.1_00155																																	
N38.HOG0000102	OG0000227	n0	AF303741.1_00160								HF920633.1_00013	HF920637.1_00195		KF938901.1_00035																																	
N38.HOG0000103	OG0000228	n0	AF303741.1_00175								HF920633.1_00113	HF920637.1_00012		KF938901.1_00062																																	
N38.HOG0000104	OG0000229	n0	AF303741.1_00203								HF920633.1_00037	HF920637.1_00022		KF938901.1_00107																																	
N38.HOG0000105	OG0000230	n0	AF303741.1_00204								HF920633.1_00155	HF920637.1_00021		KF938901.1_00154																																	
N38.HOG0000106	OG0000240	n0															LS484712.1_00154, LS484712.1_00156, LS484712.1_00161, LS484712.1_00158																														
N38.HOG0000107	OG0000241	n0															LS484712.1_00228, LS484712.1_00230, LS484712.1_00232, LS484712.1_00249																														
N38.HOG0000108	OG0000281	-	AF303741.1_00028								HF920633.1_00016			KF938901.1_00038																																	
N38.HOG0000109	OG0000282	-	AF303741.1_00053									HF920637.1_00053		KF938901.1_00015																																	
N38.HOG0000110	OG0000284	-	AF303741.1_00093									HF920637.1_00174		KF938901.1_00016																																	
N38.HOG0000111	OG0000285	-	AF303741.1_00115								HF920633.1_00070			KF938901.1_00018																																	
N38.HOG0000112	OG0000286	-	AF303741.1_00116								HF920633.1_00167			KF938901.1_00040																																	
N38.HOG0000113	OG0000287	-	AF303741.1_00201									HF920637.1_00063		KF938901.1_00122																																	
N38.HOG0000114	OG0000292	-									HF920633.1_00012			KF938901.1_00034, KF938901.1_00032																																	
N38.HOG0000115	OG0000293	-									HF920633.1_00060			KF938901.1_00050			LS484712.1_00207																														
N38.HOG0000116	OG0000294	-									HF920633.1_00159			KF938901.1_00083			LS484712.1_00206																														
N38.HOG0000117	OG0000295	-									HF920633.1_00164			KF938901.1_00013			LS484712.1_00201																														
N38.HOG0000118	OG0000297	-															LS484712.1_00155, LS484712.1_00157, LS484712.1_00160																														
N38.HOG0000119	OG0000298	-															LS484712.1_00227, LS484712.1_00229, LS484712.1_00231																														
N38.HOG0000120	OG0000299	-															LS484712.1_00263, LS484712.1_00264, LS484712.1_00265																														
N38.HOG0000121	OG0000300	-															LS484712.1_00272, LS484712.1_00273, LS484712.1_00271																														
N38.HOG0000122	OG0000310	-	AF303741.1_00002								HF920633.1_00075																																				
N38.HOG0000123	OG0000311	-	AF303741.1_00010									HF920637.1_00214																																			
N38.HOG0000124	OG0000312	-	AF303741.1_00014									HF920637.1_00154																																			
N38.HOG0000125	OG0000313	-	AF303741.1_00016								HF920633.1_00002																																				
N38.HOG0000126	OG0000314	-	AF303741.1_00020									HF920637.1_00155																																			
N38.HOG0000127	OG0000315	-	AF303741.1_00025									HF920637.1_00131																																			
N38.HOG0000128	OG0000316	-	AF303741.1_00027									HF920637.1_00107																																			
N38.HOG0000129	OG0000317	-	AF303741.1_00034									HF920637.1_00103																																			
N38.HOG0000130	OG0000318	-	AF303741.1_00040									HF920637.1_00191																																			
N38.HOG0000131	OG0000319	-	AF303741.1_00043								HF920633.1_00178																																				
N38.HOG0000132	OG0000320	-	AF303741.1_00045									HF920637.1_00186																																			
N38.HOG0000133	OG0000321	-	AF303741.1_00048								HF920633.1_00166																																				
N38.HOG0000134	OG0000322	-	AF303741.1_00050									HF920637.1_00179																																			
N38.HOG0000135	OG0000323	-	AF303741.1_00052									HF920637.1_00055																																			
N38.HOG0000136	OG0000324	-	AF303741.1_00055									HF920637.1_00050																																			
N38.HOG0000137	OG0000325	-	AF303741.1_00060									HF920637.1_00082																																			
N38.HOG0000138	OG0000326	-	AF303741.1_00061									HF920637.1_00081																																			
N38.HOG0000139	OG0000327	-	AF303741.1_00069								HF920633.1_00065																																				
N38.HOG0000140	OG0000328	-	AF303741.1_00092									HF920637.1_00104																																			
N38.HOG0000141	OG0000329	-	AF303741.1_00097									HF920637.1_00046																																			
N38.HOG0000142	OG0000330	-	AF303741.1_00098									HF920637.1_00171																																			
N38.HOG0000143	OG0000331	-	AF303741.1_00102									HF920637.1_00088																																			
N38.HOG0000144	OG0000332	-	AF303741.1_00106									HF920637.1_00018																																			
N38.HOG0000145	OG0000333	-	AF303741.1_00111								HF920633.1_00140																																				
N38.HOG0000146	OG0000334	-	AF303741.1_00113									HF920637.1_00006																																			
N38.HOG0000147	OG0000335	-	AF303741.1_00118									HF920637.1_00126																																			
N38.HOG0000148	OG0000336	-	AF303741.1_00119									HF920637.1_00125																																			
N38.HOG0000149	OG0000337	-	AF303741.1_00131									HF920637.1_00135																																			
N38.HOG0000150	OG0000338	-	AF303741.1_00139									HF920637.1_00207																																			
N38.HOG0000151	OG0000339	-	AF303741.1_00140									HF920637.1_00202																																			
N38.HOG0000152	OG0000340	-	AF303741.1_00143									HF920637.1_00209																																			
N38.HOG0000153	OG0000341	-	AF303741.1_00155									HF920637.1_00032																																			
N38.HOG0000154	OG0000342	-	AF303741.1_00163									HF920637.1_00023																																			
N38.HOG0000155	OG0000343	-	AF303741.1_00166									HF920637.1_00002																																			
N38.HOG0000156	OG0000344	-	AF303741.1_00167									HF920637.1_00185																																			
N38.HOG0000157	OG0000345	-	AF303741.1_00172									HF920637.1_00134																																			
N38.HOG0000158	OG0000346	-	AF303741.1_00180								HF920633.1_00176																																				
N38.HOG0000159	OG0000347	-	AF303741.1_00186								HF920633.1_00055																																				
N38.HOG0000160	OG0000348	-	AF303741.1_00187									HF920637.1_00173																																			
N38.HOG0000161	OG0000349	-	AF303741.1_00190									HF920637.1_00203																																			
N38.HOG0000162	OG0000350	-	AF303741.1_00196									HF920637.1_00030																																			
N38.HOG0000163	OG0000351	-	AF303741.1_00198									HF920637.1_00007																																			
N38.HOG0000164	OG0000352	-	AF303741.1_00199									HF920637.1_00076																																			
N38.HOG0000165	OG0000381	-									HF920633.1_00005			KF938901.1_00026																																	
N38.HOG0000166	OG0000382	-									HF920633.1_00006			KF938901.1_00028																																	
N38.HOG0000167	OG0000383	-									HF920633.1_00015			KF938901.1_00037																																	
N38.HOG0000168	OG0000384	-									HF920633.1_00033			KF938901.1_00149																																	
N38.HOG0000169	OG0000385	-									HF920633.1_00042			KF938901.1_00110																																	
N38.HOG0000170	OG0000386	-									HF920633.1_00045			KF938901.1_00041																																	
N38.HOG0000171	OG0000387	-									HF920633.1_00048			KF938901.1_00068																																	
N38.HOG0000172	OG0000388	-									HF920633.1_00049			KF938901.1_00004																																	
N38.HOG0000173	OG0000389	-									HF920633.1_00051			KF938901.1_00078																																	
N38.HOG0000174	OG0000390	-									HF920633.1_00052			KF938901.1_00011																																	
N38.HOG0000175	OG0000391	-									HF920633.1_00066			KF938901.1_00059																																	
N38.HOG0000176	OG0000392	-									HF920633.1_00078			KF938901.1_00042																																	
N38.HOG0000177	OG0000393	-									HF920633.1_00089			KF938901.1_00096																																	
N38.HOG0000178	OG0000394	-									HF920633.1_00090			KF938901.1_00051																																	
N38.HOG0000179	OG0000395	-									HF920633.1_00095			KF938901.1_00002																																	
N38.HOG0000180	OG0000396	-									HF920633.1_00111			KF938901.1_00132																																	
N38.HOG0000181	OG0000397	-									HF920633.1_00112	HF920637.1_00170																																			
N38.HOG0000182	OG0000398	-									HF920633.1_00115			KF938901.1_00144																																	
N38.HOG0000183	OG0000399	-									HF920633.1_00136			KF938901.1_00087																																	
N38.HOG0000184	OG0000400	-									HF920633.1_00137	HF920637.1_00027																																			
N38.HOG0000185	OG0000401	-									HF920633.1_00141			KF938901.1_00061																																	
N38.HOG0000186	OG0000402	-									HF920633.1_00142			KF938901.1_00071																																	
N38.HOG0000187	OG0000403	-									HF920633.1_00151			KF938901.1_00003																																	
N38.HOG0000188	OG0000404	-									HF920633.1_00157			KF938901.1_00129																																	
N38.HOG0000189	OG0000405	-									HF920633.1_00162			KF938901.1_00088																																	
N38.HOG0000190	OG0000406	-										HF920637.1_00038, HF920637.1_00036																																			
N38.HOG0000191	OG0000407	-										HF920637.1_00039, HF920637.1_00037																																			
N38.HOG0000192	OG0000408	-										HF920637.1_00157, HF920637.1_00051																																			
N38.HOG0000193	OG0000409	-										HF920637.1_00066, HF920637.1_00178																																			
N38.HOG0000194	OG0000410	-										HF920637.1_00078		KF938901.1_00157																																	
N38.HOG0000195	OG0000411	-										HF920637.1_00113					LS484712.1_00006																														
N38.HOG0000196	OG0000453	-															LS484712.1_00042, LS484712.1_00056																														
N38.HOG0000197	OG0000454	-															LS484712.1_00099, LS484712.1_00100																														
N38.HOG0000198	OG0000455	-															LS484712.1_00125, LS484712.1_00127																														
N38.HOG0000199	OG0000456	-															LS484712.1_00171, LS484712.1_00170																														
N38.HOG0000200	OG0000457	-															LS484712.1_00213, LS484712.1_00214																														
N38.HOG0000201	OG0000458	-															LS484712.1_00216, LS484712.1_00215																														
N38.HOG0000202	OG0000459	-															LS484712.1_00245, LS484712.1_00238																														
N38.HOG0000203	OG0000460	-															LS484712.1_00279, LS484712.1_00277																														
