HOG	OG	Gene Tree Parent Clade	Chlor_AMIV_KF938901.1	Chlor_IIV22_HF920633.1	Daphi_LS484712.1	Decap_MF599468.1	Irido_IIV31_HF920637.1	Irido_IIV6_AF303741.1	Lymph_LCD4_MN803438.1	Lymph_LDV1_L63545.1	MCV_ML1_SDDV_MN562489.1	MCV_ML1_SDDV_MT521409.1	MCV_ML1_SDDV_NC_027778.1	MCV_ML1_SDDV_OM037668.1	MCV_MP1_BCFI_MN432490.1	MCV_MP1_BCFI_MT926123.1	MCV_MP1_GSPI_KT804738.1	MCV_MP1_ISKNV_AF371960.1	MCV_MP1_ISKNV_MK689685.1	MCV_MP1_LBUSV_OP009387.1	MCV_MP1_LYCI_AY779031.1	MCV_MP1_LYCI_MW139932.1	MCV_MP1_LYCI_OL774653.1	MCV_MP1_LYCI_OL774654.1	MCV_MP1_LYCI_OL774655.1	MCV_MP1_OSGI_AY894343.1	MCV_MP1_PI_MK098185.1	MCV_MP1_PI_MK098186.1	MCV_MP1_PI_MK098187.1	MCV_MP1_RBIV_AY532606.1	MCV_MP1_RBIV_KC244182.1	MCV_MP1_RSIV_BD143114.1	MCV_MP1_RSIV_MK689686.1	MCV_MP1_RSIV_MT798582.1	MCV_MP1_RSIV_OK042108.1	MCV_MP1_RSIV_OK042109.1	MCV_MP1_RSIV_ON740976.1	MCV_MP1_RSIV_ON743042.1	MCV_MP1_SKIV_MT986830.1	MCV_MP1_SKIV_ON075463.1	MCV_MP1_TRBIV_GQ273492.1	MCV_Unclassified_MG570131.1	MCV_Unclassified_MG570132.1	MCV_Unclassified_OQ475017.1	MCV_Unlassified_OL310752.1	Rana_FV3_NC_005946.1	Rana_SGIV_AY521625.1
N42.HOG0000013	OG0000014	n0	Chlor_AMIV_KF938901.1_00046	Chlor_IIV22_HF920633.1_00094																																											
N42.HOG0000014	OG0000015	n0	Chlor_AMIV_KF938901.1_00047	Chlor_IIV22_HF920633.1_00080																																											
N42.HOG0000015	OG0000016	n0	Chlor_AMIV_KF938901.1_00054	Chlor_IIV22_HF920633.1_00001																																											
N42.HOG0000016	OG0000017	n0	Chlor_AMIV_KF938901.1_00060	Chlor_IIV22_HF920633.1_00067																																											
N42.HOG0000017	OG0000018	n0	Chlor_AMIV_KF938901.1_00074	Chlor_IIV22_HF920633.1_00138																																											
N42.HOG0000018	OG0000019	n0	Chlor_AMIV_KF938901.1_00092	Chlor_IIV22_HF920633.1_00118																																											
N42.HOG0000019	OG0000020	n0	Chlor_AMIV_KF938901.1_00095	Chlor_IIV22_HF920633.1_00058																																											
N42.HOG0000020	OG0000021	n0	Chlor_AMIV_KF938901.1_00123	Chlor_IIV22_HF920633.1_00158																																											
N42.HOG0000021	OG0000022	n0	Chlor_AMIV_KF938901.1_00124	Chlor_IIV22_HF920633.1_00097																																											
N42.HOG0000022	OG0000023	n0	Chlor_AMIV_KF938901.1_00031	Chlor_IIV22_HF920633.1_00017																																											
N42.HOG0000023	OG0000024	n0	Chlor_AMIV_KF938901.1_00094	Chlor_IIV22_HF920633.1_00062																																											
N42.HOG0000024	OG0000025	n0	Chlor_AMIV_KF938901.1_00093	Chlor_IIV22_HF920633.1_00047																																											
N42.HOG0000025	OG0000113	n1		Chlor_IIV22_HF920633.1_00086																																											
N42.HOG0000026	OG0000113	n10	Chlor_AMIV_KF938901.1_00104	Chlor_IIV22_HF920633.1_00145																																											
N42.HOG0000027	OG0000119	n0	Chlor_AMIV_KF938901.1_00085, Chlor_AMIV_KF938901.1_00140	Chlor_IIV22_HF920633.1_00040, Chlor_IIV22_HF920633.1_00117, Chlor_IIV22_HF920633.1_00143, Chlor_IIV22_HF920633.1_00057, Chlor_IIV22_HF920633.1_00107, Chlor_IIV22_HF920633.1_00172, Chlor_IIV22_HF920633.1_00170																																											
N42.HOG0000028	OG0000122	n0		Chlor_IIV22_HF920633.1_00116																																											
N42.HOG0000029	OG0000123	n5	Chlor_AMIV_KF938901.1_00049, Chlor_AMIV_KF938901.1_00115, Chlor_AMIV_KF938901.1_00091	Chlor_IIV22_HF920633.1_00007																																											
N42.HOG0000030	OG0000123	n8	Chlor_AMIV_KF938901.1_00020	Chlor_IIV22_HF920633.1_00130, Chlor_IIV22_HF920633.1_00174																																											
N42.HOG0000031	OG0000123	n10		Chlor_IIV22_HF920633.1_00147																																											
N42.HOG0000032	OG0000126	n0	Chlor_AMIV_KF938901.1_00030, Chlor_AMIV_KF938901.1_00084, Chlor_AMIV_KF938901.1_00158, Chlor_AMIV_KF938901.1_00119, Chlor_AMIV_KF938901.1_00001, Chlor_AMIV_KF938901.1_00151, Chlor_AMIV_KF938901.1_00127, Chlor_AMIV_KF938901.1_00135	Chlor_IIV22_HF920633.1_00059, Chlor_IIV22_HF920633.1_00119, Chlor_IIV22_HF920633.1_00081																																											
N42.HOG0000033	OG0000133	n0	Chlor_AMIV_KF938901.1_00007	Chlor_IIV22_HF920633.1_00064																																											
N42.HOG0000034	OG0000134	n0	Chlor_AMIV_KF938901.1_00086	Chlor_IIV22_HF920633.1_00135																																											
N42.HOG0000035	OG0000135	n0		Chlor_IIV22_HF920633.1_00004																																											
N42.HOG0000036	OG0000137	n0	Chlor_AMIV_KF938901.1_00048	Chlor_IIV22_HF920633.1_00132																																											
N42.HOG0000037	OG0000138	n0	Chlor_AMIV_KF938901.1_00065	Chlor_IIV22_HF920633.1_00053																																											
N42.HOG0000038	OG0000139	n0	Chlor_AMIV_KF938901.1_00108	Chlor_IIV22_HF920633.1_00156																																											
N42.HOG0000039	OG0000148	n0	Chlor_AMIV_KF938901.1_00069	Chlor_IIV22_HF920633.1_00026																																											
N42.HOG0000040	OG0000149	n1		Chlor_IIV22_HF920633.1_00104																																											
N42.HOG0000041	OG0000149	n3		Chlor_IIV22_HF920633.1_00092, Chlor_IIV22_HF920633.1_00153, Chlor_IIV22_HF920633.1_00014, Chlor_IIV22_HF920633.1_00027																																											
N42.HOG0000042	OG0000152	n0	Chlor_AMIV_KF938901.1_00027	Chlor_IIV22_HF920633.1_00024																																											
N42.HOG0000043	OG0000153	n1	Chlor_AMIV_KF938901.1_00153	Chlor_IIV22_HF920633.1_00096																																											
N42.HOG0000044	OG0000153	n2	Chlor_AMIV_KF938901.1_00066	Chlor_IIV22_HF920633.1_00114																																											
N42.HOG0000045	OG0000154	n0	Chlor_AMIV_KF938901.1_00106	Chlor_IIV22_HF920633.1_00036																																											
N42.HOG0000046	OG0000155	n0	Chlor_AMIV_KF938901.1_00112	Chlor_IIV22_HF920633.1_00088																																											
N42.HOG0000047	OG0000156	n0	Chlor_AMIV_KF938901.1_00118	Chlor_IIV22_HF920633.1_00106																																											
N42.HOG0000048	OG0000157	n0		Chlor_IIV22_HF920633.1_00129, Chlor_IIV22_HF920633.1_00099, Chlor_IIV22_HF920633.1_00019, Chlor_IIV22_HF920633.1_00100																																											
N42.HOG0000049	OG0000164	n3	Chlor_AMIV_KF938901.1_00105	Chlor_IIV22_HF920633.1_00031																																											
N42.HOG0000050	OG0000164	n4	Chlor_AMIV_KF938901.1_00006	Chlor_IIV22_HF920633.1_00161																																											
N42.HOG0000051	OG0000165	n0	Chlor_AMIV_KF938901.1_00009	Chlor_IIV22_HF920633.1_00034																																											
N42.HOG0000052	OG0000166	n0	Chlor_AMIV_KF938901.1_00017	Chlor_IIV22_HF920633.1_00171																																											
N42.HOG0000053	OG0000167	n0	Chlor_AMIV_KF938901.1_00075	Chlor_IIV22_HF920633.1_00039																																											
N42.HOG0000054	OG0000168	n0	Chlor_AMIV_KF938901.1_00101	Chlor_IIV22_HF920633.1_00144																																											
N42.HOG0000055	OG0000169	n0	Chlor_AMIV_KF938901.1_00102	Chlor_IIV22_HF920633.1_00134																																											
N42.HOG0000056	OG0000170	n0	Chlor_AMIV_KF938901.1_00103	Chlor_IIV22_HF920633.1_00082																																											
N42.HOG0000057	OG0000171	n0	Chlor_AMIV_KF938901.1_00117	Chlor_IIV22_HF920633.1_00105																																											
N42.HOG0000058	OG0000172	n0	Chlor_AMIV_KF938901.1_00121	Chlor_IIV22_HF920633.1_00177																																											
N42.HOG0000059	OG0000173	n0	Chlor_AMIV_KF938901.1_00128	Chlor_IIV22_HF920633.1_00169																																											
N42.HOG0000060	OG0000174	n0	Chlor_AMIV_KF938901.1_00150	Chlor_IIV22_HF920633.1_00046																																											
N42.HOG0000061	OG0000175	n0		Chlor_IIV22_HF920633.1_00030																																											
N42.HOG0000062	OG0000184	n0	Chlor_AMIV_KF938901.1_00008	Chlor_IIV22_HF920633.1_00029																																											
N42.HOG0000063	OG0000185	n0	Chlor_AMIV_KF938901.1_00010	Chlor_IIV22_HF920633.1_00035																																											
N42.HOG0000064	OG0000186	n0	Chlor_AMIV_KF938901.1_00014	Chlor_IIV22_HF920633.1_00165																																											
N42.HOG0000065	OG0000187	n0	Chlor_AMIV_KF938901.1_00063	Chlor_IIV22_HF920633.1_00131																																											
N42.HOG0000066	OG0000188	n0	Chlor_AMIV_KF938901.1_00070	Chlor_IIV22_HF920633.1_00056																																											
N42.HOG0000067	OG0000189	n0	Chlor_AMIV_KF938901.1_00073	Chlor_IIV22_HF920633.1_00032																																											
N42.HOG0000068	OG0000190	n0	Chlor_AMIV_KF938901.1_00077	Chlor_IIV22_HF920633.1_00050																																											
N42.HOG0000069	OG0000191	n0	Chlor_AMIV_KF938901.1_00079	Chlor_IIV22_HF920633.1_00098																																											
N42.HOG0000070	OG0000192	n0	Chlor_AMIV_KF938901.1_00099	Chlor_IIV22_HF920633.1_00020, Chlor_IIV22_HF920633.1_00021																																											
N42.HOG0000071	OG0000193	n0	Chlor_AMIV_KF938901.1_00100	Chlor_IIV22_HF920633.1_00103																																											
N42.HOG0000072	OG0000194	n0	Chlor_AMIV_KF938901.1_00113	Chlor_IIV22_HF920633.1_00121																																											
N42.HOG0000073	OG0000195	n0	Chlor_AMIV_KF938901.1_00116	Chlor_IIV22_HF920633.1_00128																																											
N42.HOG0000074	OG0000196	n0	Chlor_AMIV_KF938901.1_00133	Chlor_IIV22_HF920633.1_00110																																											
N42.HOG0000075	OG0000197	n0	Chlor_AMIV_KF938901.1_00134	Chlor_IIV22_HF920633.1_00120																																											
N42.HOG0000076	OG0000198	n0	Chlor_AMIV_KF938901.1_00137	Chlor_IIV22_HF920633.1_00139																																											
N42.HOG0000077	OG0000199	n0	Chlor_AMIV_KF938901.1_00139	Chlor_IIV22_HF920633.1_00146																																											
N42.HOG0000078	OG0000200	n0	Chlor_AMIV_KF938901.1_00141	Chlor_IIV22_HF920633.1_00149																																											
N42.HOG0000079	OG0000201	n0	Chlor_AMIV_KF938901.1_00146	Chlor_IIV22_HF920633.1_00123																																											
N42.HOG0000080	OG0000202	n0	Chlor_AMIV_KF938901.1_00148	Chlor_IIV22_HF920633.1_00125																																											
N42.HOG0000081	OG0000203	n0	Chlor_AMIV_KF938901.1_00152	Chlor_IIV22_HF920633.1_00022																																											
N42.HOG0000082	OG0000214	n0	Chlor_AMIV_KF938901.1_00029	Chlor_IIV22_HF920633.1_00018																																											
N42.HOG0000083	OG0000215	n0	Chlor_AMIV_KF938901.1_00035	Chlor_IIV22_HF920633.1_00013																																											
N42.HOG0000084	OG0000216	n0	Chlor_AMIV_KF938901.1_00045	Chlor_IIV22_HF920633.1_00074																																											
N42.HOG0000085	OG0000217	n0	Chlor_AMIV_KF938901.1_00057	Chlor_IIV22_HF920633.1_00063																																											
N42.HOG0000086	OG0000218	n0	Chlor_AMIV_KF938901.1_00062	Chlor_IIV22_HF920633.1_00113																																											
N42.HOG0000087	OG0000219	n0	Chlor_AMIV_KF938901.1_00082	Chlor_IIV22_HF920633.1_00160																																											
N42.HOG0000088	OG0000220	n0	Chlor_AMIV_KF938901.1_00090	Chlor_IIV22_HF920633.1_00087																																											
N42.HOG0000089	OG0000221	n0	Chlor_AMIV_KF938901.1_00098	Chlor_IIV22_HF920633.1_00023																																											
N42.HOG0000090	OG0000222	n0	Chlor_AMIV_KF938901.1_00107	Chlor_IIV22_HF920633.1_00037																																											
N42.HOG0000091	OG0000223	n0	Chlor_AMIV_KF938901.1_00109	Chlor_IIV22_HF920633.1_00061																																											
N42.HOG0000092	OG0000224	n0	Chlor_AMIV_KF938901.1_00130	Chlor_IIV22_HF920633.1_00008																																											
N42.HOG0000093	OG0000225	n0	Chlor_AMIV_KF938901.1_00136	Chlor_IIV22_HF920633.1_00102																																											
N42.HOG0000094	OG0000226	n0	Chlor_AMIV_KF938901.1_00154	Chlor_IIV22_HF920633.1_00155																																											
N42.HOG0000095	OG0000227	n0	Chlor_AMIV_KF938901.1_00155	Chlor_IIV22_HF920633.1_00041																																											
N42.HOG0000096	OG0000228	n0		Chlor_IIV22_HF920633.1_00101																																											
N42.HOG0000097	OG0000285	-	Chlor_AMIV_KF938901.1_00032, Chlor_AMIV_KF938901.1_00034	Chlor_IIV22_HF920633.1_00012																																											
N42.HOG0000098	OG0000310	-	Chlor_AMIV_KF938901.1_00002	Chlor_IIV22_HF920633.1_00095																																											
N42.HOG0000099	OG0000311	-	Chlor_AMIV_KF938901.1_00003	Chlor_IIV22_HF920633.1_00151																																											
N42.HOG0000100	OG0000312	-	Chlor_AMIV_KF938901.1_00004	Chlor_IIV22_HF920633.1_00049																																											
N42.HOG0000101	OG0000313	-	Chlor_AMIV_KF938901.1_00011	Chlor_IIV22_HF920633.1_00052																																											
N42.HOG0000102	OG0000314	-	Chlor_AMIV_KF938901.1_00026	Chlor_IIV22_HF920633.1_00005																																											
N42.HOG0000103	OG0000315	-	Chlor_AMIV_KF938901.1_00028	Chlor_IIV22_HF920633.1_00006																																											
N42.HOG0000104	OG0000316	-	Chlor_AMIV_KF938901.1_00037	Chlor_IIV22_HF920633.1_00015																																											
N42.HOG0000105	OG0000317	-	Chlor_AMIV_KF938901.1_00041	Chlor_IIV22_HF920633.1_00045																																											
N42.HOG0000106	OG0000318	-	Chlor_AMIV_KF938901.1_00042	Chlor_IIV22_HF920633.1_00078																																											
N42.HOG0000107	OG0000319	-	Chlor_AMIV_KF938901.1_00051	Chlor_IIV22_HF920633.1_00090																																											
N42.HOG0000108	OG0000320	-	Chlor_AMIV_KF938901.1_00059	Chlor_IIV22_HF920633.1_00066																																											
N42.HOG0000109	OG0000321	-	Chlor_AMIV_KF938901.1_00061	Chlor_IIV22_HF920633.1_00141																																											
N42.HOG0000110	OG0000322	-	Chlor_AMIV_KF938901.1_00068	Chlor_IIV22_HF920633.1_00048																																											
N42.HOG0000111	OG0000323	-	Chlor_AMIV_KF938901.1_00071	Chlor_IIV22_HF920633.1_00142																																											
N42.HOG0000112	OG0000324	-	Chlor_AMIV_KF938901.1_00078	Chlor_IIV22_HF920633.1_00051																																											
N42.HOG0000113	OG0000325	-	Chlor_AMIV_KF938901.1_00087	Chlor_IIV22_HF920633.1_00136																																											
N42.HOG0000114	OG0000326	-	Chlor_AMIV_KF938901.1_00088	Chlor_IIV22_HF920633.1_00162																																											
N42.HOG0000115	OG0000327	-	Chlor_AMIV_KF938901.1_00096	Chlor_IIV22_HF920633.1_00089																																											
N42.HOG0000116	OG0000328	-	Chlor_AMIV_KF938901.1_00110	Chlor_IIV22_HF920633.1_00042																																											
N42.HOG0000117	OG0000329	-	Chlor_AMIV_KF938901.1_00129	Chlor_IIV22_HF920633.1_00157																																											
N42.HOG0000118	OG0000330	-	Chlor_AMIV_KF938901.1_00132	Chlor_IIV22_HF920633.1_00111																																											
N42.HOG0000119	OG0000331	-	Chlor_AMIV_KF938901.1_00144	Chlor_IIV22_HF920633.1_00115																																											
N42.HOG0000120	OG0000332	-	Chlor_AMIV_KF938901.1_00149	Chlor_IIV22_HF920633.1_00033																																											
