HOG	OG	Gene Tree Parent Clade	23043610003	23043610005	AB104413	AF303741	AF371960	AP017456	AY521625	AY894343	BD143114	GQ273492	HF920633	HF920637	KC244182	KF938901	KT781098	KT804738	KX643370	LS484712	MF599468	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MN562489	MN803438	MT128666	MT128667	MT521409	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	NC_005946	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	PQ335173_PQ335174
N69.HOG0000075	OG0000189	n0											HF920633.1_00123 hypothetical protein			KF938901.1_00146 hypothetical protein																																																										
N69.HOG0000076	OG0000190	n0											HF920633.1_00050 hypothetical protein			KF938901.1_00077 hypothetical protein																																																										
N69.HOG0000077	OG0000191	n0											HF920633.1_00098 hypothetical protein			KF938901.1_00079 hypothetical protein																																																										
N69.HOG0000078	OG0000193	n0											HF920633.1_00035 hypothetical protein			KF938901.1_00010 hypothetical protein																																																										
N69.HOG0000079	OG0000194	n0											HF920633.1_00029 hypothetical protein			KF938901.1_00008 hypothetical protein																																																										
N69.HOG0000080	OG0000195	n0											HF920633.1_00121 hypothetical protein			KF938901.1_00113 hypothetical protein																																																										
N69.HOG0000081	OG0000196	n0											HF920633.1_00125 hypothetical protein			KF938901.1_00148 hypothetical protein																																																										
N69.HOG0000082	OG0000200	n0											HF920633.1_00139 hypothetical protein			KF938901.1_00137 hypothetical protein																																																										
N69.HOG0000083	OG0000202	n0											HF920633.1_00101 hypothetical protein																																																													
N69.HOG0000084	OG0000204	n0											HF920633.1_00008 hypothetical protein			KF938901.1_00130 hypothetical protein																																																										
N69.HOG0000085	OG0000206	n0											HF920633.1_00063 hypothetical protein			KF938901.1_00057 hypothetical protein																																																										
N69.HOG0000086	OG0000207	n0											HF920633.1_00160 hypothetical protein			KF938901.1_00082 hypothetical protein																																																										
N69.HOG0000087	OG0000208	n0											HF920633.1_00061 hypothetical protein			KF938901.1_00109 hypothetical protein																																																										
N69.HOG0000088	OG0000209	n0											HF920633.1_00018 hypothetical protein			KF938901.1_00029 hypothetical protein																																																										
N69.HOG0000089	OG0000210	n0											HF920633.1_00023 hypothetical protein			KF938901.1_00098 hypothetical protein																																																										
N69.HOG0000090	OG0000211	n0											HF920633.1_00102 hypothetical protein			KF938901.1_00136 hypothetical protein																																																										
N69.HOG0000091	OG0000212	n0											HF920633.1_00074 hypothetical protein			KF938901.1_00045 hypothetical protein																																																										
N69.HOG0000092	OG0000213	n0											HF920633.1_00087 hypothetical protein			KF938901.1_00090 hypothetical protein																																																										
N69.HOG0000093	OG0000214	n0											HF920633.1_00041 hypothetical protein			KF938901.1_00155 hypothetical protein																																																										
N69.HOG0000094	OG0000215	n0											HF920633.1_00013 hypothetical protein			KF938901.1_00035 hypothetical protein																																																										
N69.HOG0000095	OG0000216	n0											HF920633.1_00113 hypothetical protein			KF938901.1_00062 hypothetical protein																																																										
N69.HOG0000096	OG0000217	n0											HF920633.1_00037 hypothetical protein			KF938901.1_00107 hypothetical protein																																																										
N69.HOG0000097	OG0000218	n0											HF920633.1_00155 hypothetical protein			KF938901.1_00154 hypothetical protein																																																										
N69.HOG0000098	OG0000247	-											HF920633.1_00012 hypothetical protein			KF938901.1_00034 hypothetical protein, KF938901.1_00032 hypothetical protein																																																										
N69.HOG0000099	OG0000366	-											HF920633.1_00005 hypothetical protein			KF938901.1_00026 hypothetical protein																																																										
N69.HOG0000100	OG0000367	-											HF920633.1_00006 hypothetical protein			KF938901.1_00028 hypothetical protein																																																										
N69.HOG0000101	OG0000368	-											HF920633.1_00015 hypothetical protein			KF938901.1_00037 hypothetical protein																																																										
N69.HOG0000102	OG0000369	-											HF920633.1_00033 hypothetical protein			KF938901.1_00149 hypothetical protein																																																										
N69.HOG0000103	OG0000370	-											HF920633.1_00042 hypothetical protein			KF938901.1_00110 hypothetical protein																																																										
N69.HOG0000104	OG0000371	-											HF920633.1_00045 hypothetical protein			KF938901.1_00041 hypothetical protein																																																										
N69.HOG0000105	OG0000372	-											HF920633.1_00048 hypothetical protein			KF938901.1_00068 hypothetical protein																																																										
N69.HOG0000106	OG0000373	-											HF920633.1_00049 hypothetical protein			KF938901.1_00004 hypothetical protein																																																										
N69.HOG0000107	OG0000374	-											HF920633.1_00051 hypothetical protein			KF938901.1_00078 hypothetical protein																																																										
N69.HOG0000108	OG0000375	-											HF920633.1_00052 hypothetical protein			KF938901.1_00011 hypothetical protein																																																										
N69.HOG0000109	OG0000376	-											HF920633.1_00066 hypothetical protein			KF938901.1_00059 hypothetical protein																																																										
N69.HOG0000110	OG0000377	-											HF920633.1_00078 hypothetical protein			KF938901.1_00042 hypothetical protein																																																										
N69.HOG0000111	OG0000378	-											HF920633.1_00089 hypothetical protein			KF938901.1_00096 hypothetical protein																																																										
N69.HOG0000112	OG0000379	-											HF920633.1_00090 hypothetical protein			KF938901.1_00051 hypothetical protein																																																										
N69.HOG0000113	OG0000380	-											HF920633.1_00095 hypothetical protein			KF938901.1_00002 hypothetical protein																																																										
N69.HOG0000114	OG0000381	-											HF920633.1_00111 hypothetical protein			KF938901.1_00132 hypothetical protein																																																										
N69.HOG0000115	OG0000383	-											HF920633.1_00115 hypothetical protein			KF938901.1_00144 hypothetical protein																																																										
N69.HOG0000116	OG0000384	-											HF920633.1_00136 mRNA-decapping protein D10			KF938901.1_00087 hypothetical protein																																																										
N69.HOG0000117	OG0000386	-											HF920633.1_00141 hypothetical protein			KF938901.1_00061 hypothetical protein																																																										
N69.HOG0000118	OG0000387	-											HF920633.1_00142 hypothetical protein			KF938901.1_00071 hypothetical protein																																																										
N69.HOG0000119	OG0000388	-											HF920633.1_00151 hypothetical protein			KF938901.1_00003 hypothetical protein																																																										
N69.HOG0000120	OG0000389	-											HF920633.1_00157 hypothetical protein			KF938901.1_00129 hypothetical protein																																																										
N69.HOG0000121	OG0000390	-											HF920633.1_00162 hypothetical protein			KF938901.1_00088 hypothetical protein																																																										
