HOG	OG	Gene Tree Parent Clade	23043610003	23043610005	AB104413	AF303741	AF371960	AP017456	AY521625	AY894343	BD143114	GQ273492	HF920633	HF920637	KC244182	KF938901	KT781098	KT804738	KX643370	LS484712	MF599468	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MN562489	MN803438	MT128666	MT128667	MT521409	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	NC_005946	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	PQ335173_PQ335174
N44.HOG0000010	OG0000010	n0				AF303741.1_00023 hypothetical protein			AY521625.1_00048 AY521625.1 - hypothetical protein translation				HF920633.1_00067 hypothetical protein	HF920637.1_00017 HF920637.1 - hypothetical protein translation		KF938901.1_00060 hypothetical protein			Lymph_LDV3_KX643370_00044 hypothetical protein	LS484712.1_00143 hypothetical protein	MF599468.1_00033 MF599468.1 - hypothetical protein translation									OM037668.1_00098 hypothetical protein	MN803438.1_00007 hypothetical protein			OM037668.1_00098 hypothetical protein																				NC_005946.1_00022 hypothetical protein						OM037668.1_00098 hypothetical protein														
N44.HOG0000011	OG0000011	n0				AF303741.1_00006 hypothetical protein			AY521625.1_00053 AY521625.1 - hypothetical protein translation				HF920633.1_00118 hypothetical protein	HF920637.1_00217 HF920637.1 - hypothetical protein translation		KF938901.1_00092 hypothetical protein			Lymph_LDV3_KX643370_00094 hypothetical protein	LS484712.1_00203 hypothetical protein	MF599468.1_00149 MF599468.1 - hypothetical protein translation									OM037668.1_00009 hypothetical protein	MN803438.1_00049 hypothetical protein			OM037668.1_00009 hypothetical protein																				NC_005946.1_00011 hypothetical protein						OM037668.1_00009 hypothetical protein														
N44.HOG0000012	OG0000012	n0				AF303741.1_00137 hypothetical protein			AY521625.1_00086 AY521625.1 - hypothetical protein translation				HF920633.1_00163 hypothetical protein	HF920637.1_00197 HF920637.1 - hypothetical protein translation		KF938901.1_00012 hypothetical protein			Lymph_LDV3_KX643370_00075 hypothetical protein	LS484712.1_00192 hypothetical protein	MF599468.1_00106 MF599468.1 - hypothetical protein translation									OM037668.1_00090 hypothetical protein	MN803438.1_00097 hypothetical protein			OM037668.1_00090 hypothetical protein																				NC_005946.1_00094 hypothetical protein						OM037668.1_00090 hypothetical protein														
N44.HOG0000013	OG0000013	n0				AF303741.1_00149 hypothetical protein			AY521625.1_00016 AY521625.1 - hypothetical protein translation				HF920633.1_00091 hypothetical protein	HF920637.1_00172 HF920637.1 - hypothetical protein translation		KF938901.1_00053 hypothetical protein			Lymph_LDV3_KX643370_00061 hypothetical protein	LS484712.1_00050 hypothetical protein	MF599468.1_00174 MF599468.1 - hypothetical protein translation									OM037668.1_00084 hypothetical protein	MN803438.1_00027 hypothetical protein			OM037668.1_00084 hypothetical protein																				NC_005946.1_00002 hypothetical protein						OM037668.1_00084 hypothetical protein														
N44.HOG0000014	OG0000014	n0				AF303741.1_00081 hypothetical protein			AY521625.1_00047 AY521625.1 - hypothetical protein translation				HF920633.1_00003 hypothetical protein	HF920637.1_00111 HF920637.1 - hypothetical protein translation		KF938901.1_00025 hypothetical protein			Lymph_LDV3_KX643370_00095 hypothetical protein	LS484712.1_00053 hypothetical protein	MF599468.1_00117 MF599468.1 - hypothetical protein translation									OM037668.1_00073 hypothetical protein	MN803438.1_00051 hypothetical protein			OM037668.1_00073 hypothetical protein																				NC_005946.1_00023 hypothetical protein						OM037668.1_00073 hypothetical protein														
N44.HOG0000015	OG0000015	n0				AF303741.1_00026 hypothetical protein			AY521625.1_00115 AY521625.1 - hypothetical protein translation				HF920633.1_00138 hypothetical protein	HF920637.1_00108 HF920637.1 - hypothetical protein translation		KF938901.1_00074 hypothetical protein			Lymph_LDV3_KX643370_00056 hypothetical protein	LS484712.1_00202 hypothetical protein	MF599468.1_00122 MF599468.1 - hypothetical protein translation									OM037668.1_00078 hypothetical protein	MN803438.1_00070 hypothetical protein			OM037668.1_00078 hypothetical protein																				NC_005946.1_00016 hypothetical protein						OM037668.1_00078 hypothetical protein														
N44.HOG0000016	OG0000016	n0				AF303741.1_00046 hypothetical protein			AY521625.1_00035 AY521625.1 - hypothetical protein translation				HF920633.1_00058 hypothetical protein	HF920637.1_00152 HF920637.1 - hypothetical protein translation		KF938901.1_00095 hypothetical protein			Lymph_LDV3_KX643370_00091 hypothetical protein	LS484712.1_00135 hypothetical protein	MF599468.1_00009 MF599468.1 - hypothetical protein translation									OM037668.1_00004 hypothetical protein	MN803438.1_00046 hypothetical protein			OM037668.1_00004 hypothetical protein																				NC_005946.1_00021 hypothetical protein						OM037668.1_00004 hypothetical protein														
N44.HOG0000017	OG0000017	n0				AF303741.1_00168 Ribonucleoside-diphosphate reductase small chain			AY521625.1_00042 AY521625.1 - hypothetical protein translation				HF920633.1_00062 Ribonucleoside-diphosphate reductase small chain	HF920637.1_00061 HF920637.1 - Ribonucleoside-diphosphate reductase small chain translation		KF938901.1_00094 Ribonucleoside-diphosphate reductase small chain			Lymph_LDV3_KX643370_00052 Ribonucleoside-diphosphate reductase small chain	LS484712.1_00149 Ribonucleoside-diphosphate reductase small chain										OM037668.1_00064 Ribonucleoside-diphosphate reductase small chain	MN803438.1_00024 hypothetical protein			OM037668.1_00064 Ribonucleoside-diphosphate reductase small chain																				NC_005946.1_00067 hypothetical protein						OM037668.1_00064 Ribonucleoside-diphosphate reductase small chain														
N44.HOG0000018	OG0000018	n0				AF303741.1_00132 hypothetical protein			AY521625.1_00051 AY521625.1 - hypothetical protein translation				HF920633.1_00025 hypothetical protein	HF920637.1_00121 HF920637.1 - hypothetical protein translation		KF938901.1_00072 hypothetical protein			Lymph_LDV3_KX643370_00004 hypothetical protein	LS484712.1_00040 hypothetical protein	MF599468.1_00010 MF599468.1 - hypothetical protein translation									OM037668.1_00021 hypothetical protein	MN803438.1_00142 hypothetical protein			OM037668.1_00021 hypothetical protein																				NC_005946.1_00042 hypothetical protein						OM037668.1_00021 hypothetical protein														
N44.HOG0000019	OG0000019	n0				AF303741.1_00062 hypothetical protein			AY521625.1_00073 AY521625.1 - hypothetical protein translation				HF920633.1_00094 hypothetical protein	HF920637.1_00079 HF920637.1 - hypothetical protein translation		KF938901.1_00046 hypothetical protein			Lymph_LDV3_KX643370_00126 hypothetical protein		MF599468.1_00046 MF599468.1 - hypothetical protein translation									OM037668.1_00089 hypothetical protein	MN803438.1_00122 hypothetical protein			OM037668.1_00089 hypothetical protein																				NC_005946.1_00082 hypothetical protein						OM037668.1_00089 hypothetical protein														
N44.HOG0000020	OG0000020	n0				AF303741.1_00129 hypothetical protein			AY521625.1_00100 AY521625.1 - hypothetical protein translation				HF920633.1_00085 hypothetical protein	HF920637.1_00221 HF920637.1 - hypothetical protein translation		KF938901.1_00125 hypothetical protein			Lymph_LDV3_KX643370_00055 hypothetical protein		MF599468.1_00154 MF599468.1 - hypothetical protein translation									OM037668.1_00080 hypothetical protein	MN803438.1_00071 hypothetical protein			OM037668.1_00080 hypothetical protein																				NC_005946.1_00014 hypothetical protein						OM037668.1_00080 hypothetical protein														
N44.HOG0000021	OG0000021	n0				AF303741.1_00080 hypothetical protein			AY521625.1_00069 AY521625.1 - hypothetical protein translation				HF920633.1_00079 hypothetical protein	HF920637.1_00025 HF920637.1 - hypothetical protein translation		KF938901.1_00043 hypothetical protein			Lymph_LDV3_KX643370_00135 hypothetical protein		MF599468.1_00092 MF599468.1 - hypothetical protein translation									OM037668.1_00076 hypothetical protein	MN803438.1_00104 hypothetical protein			OM037668.1_00076 hypothetical protein																				NC_005946.1_00028 hypothetical protein						OM037668.1_00076 hypothetical protein														
N44.HOG0000022	OG0000022	n0				AF303741.1_00154 FAD-linked sulfhydryl oxidase			AY521625.1_00062 AY521625.1 - hypothetical protein translation				HF920633.1_00017 hypothetical protein	HF920637.1_00033 HF920637.1 - FAD-linked sulfhydryl oxidase translation					Lymph_LDV3_KX643370_00089 hypothetical protein	LS484712.1_00117 hypothetical protein										OM037668.1_00113 hypothetical protein	MN803438.1_00077 hypothetical protein			OM037668.1_00113 hypothetical protein																				NC_005946.1_00089 hypothetical protein						OM037668.1_00113 hypothetical protein														
N44.HOG0000023	OG0000023	n0				AF303741.1_00176 hypothetical protein							HF920633.1_00122 hypothetical protein	HF920637.1_00153 HF920637.1 - hypothetical protein translation		KF938901.1_00114 hypothetical protein			Lymph_LDV3_KX643370_00107 hypothetical protein	LS484712.1_00130 hypothetical protein	MF599468.1_00075 MF599468.1 - hypothetical protein translation									OM037668.1_00077 hypothetical protein	MN803438.1_00109 hypothetical protein			OM037668.1_00077 hypothetical protein																										OM037668.1_00077 hypothetical protein														
N44.HOG0000024	OG0000024	n0				AF303741.1_00051 Dual specificity protein phosphatase H1							HF920633.1_00047 hypothetical protein	HF920637.1_00156 HF920637.1 - hypothetical protein translation		KF938901.1_00093 hypothetical protein														OM037668.1_00024 hypothetical protein				OM037668.1_00024 hypothetical protein																										OM037668.1_00024 hypothetical protein														
N44.HOG0000025	OG0000025	n0							AY521625.1_00022 AY521625.1 - hypothetical protein translation										Lymph_LDV3_KX643370_00015 hypothetical protein											OM037668.1_00087 hypothetical protein	MN803438.1_00037 hypothetical protein			OM037668.1_00087 hypothetical protein																				NC_005946.1_00049 hypothetical protein						OM037668.1_00087 hypothetical protein														
N44.HOG0000026	OG0000026	n0							AY521625.1_00060 AY521625.1 - hypothetical protein translation										Lymph_LDV3_KX643370_00119 hypothetical protein											OM037668.1_00074 hypothetical protein	MN803438.1_00126 hypothetical protein			OM037668.1_00074 hypothetical protein																				NC_005946.1_00086 hypothetical protein						OM037668.1_00074 hypothetical protein														
N44.HOG0000027	OG0000027	n0																	Lymph_LDV3_KX643370_00096 hypothetical protein											OM037668.1_00110 hypothetical protein	MN803438.1_00054 hypothetical protein			OM037668.1_00110 hypothetical protein																				NC_005946.1_00085 hypothetical protein						OM037668.1_00110 hypothetical protein														
N44.HOG0000028	OG0000028	n0																	Lymph_LDV3_KX643370_00001 hypothetical protein											SDDV_ORF011 Tripartite motif-containing protein	MN803438.1_00145 hypothetical protein			SDDV_ORF011 Tripartite motif-containing protein																										SDDV_ORF011 Tripartite motif-containing protein														
N44.HOG0000029	OG0000029	n0																			MF599468.1_00013 MF599468.1 - hypothetical protein translation									OM037668.1_00097 hypothetical protein				OM037668.1_00097 hypothetical protein																										OM037668.1_00097 hypothetical protein														
N44.HOG0000030	OG0000030	n0							AY521625.1_00004 AY521625.1 - hypothetical protein translation																					OM037668.1_00030 hypothetical protein				OM037668.1_00030 hypothetical protein																										OM037668.1_00030 hypothetical protein														
N44.HOG0000031	OG0000031	n0																												OM037668.1_00031 hypothetical protein				OM037668.1_00031 hypothetical protein																										OM037668.1_00031 hypothetical protein														
N44.HOG0000032	OG0000032	n0																												OM037668.1_00005 hypothetical protein				OM037668.1_00005 hypothetical protein																										OM037668.1_00005 hypothetical protein														
N44.HOG0000033	OG0000033	n0																												OM037668.1_00047 hypothetical protein				OM037668.1_00047 hypothetical protein																										OM037668.1_00047 hypothetical protein														
N44.HOG0000034	OG0000034	n0																												OM037668.1_00046 hypothetical protein				OM037668.1_00046 hypothetical protein																										OM037668.1_00046 hypothetical protein														
N44.HOG0000035	OG0000035	n0																												OM037668.1_00045 hypothetical protein				OM037668.1_00045 hypothetical protein																										OM037668.1_00045 hypothetical protein														
N44.HOG0000036	OG0000036	n0																												OM037668.1_00040 hypothetical protein				OM037668.1_00040 hypothetical protein																										OM037668.1_00040 hypothetical protein														
N44.HOG0000037	OG0000037	n0																												OM037668.1_00106 hypothetical protein				OM037668.1_00106 hypothetical protein																										OM037668.1_00106 hypothetical protein														
N44.HOG0000038	OG0000038	n0																												OM037668.1_00105 hypothetical protein				OM037668.1_00105 hypothetical protein																										OM037668.1_00105 hypothetical protein														
N44.HOG0000039	OG0000039	n0																												OM037668.1_00100 hypothetical protein				OM037668.1_00100 hypothetical protein																										OM037668.1_00100 hypothetical protein														
N44.HOG0000040	OG0000040	n0																												OM037668.1_00099 hypothetical protein				OM037668.1_00099 hypothetical protein																										OM037668.1_00099 hypothetical protein														
N44.HOG0000041	OG0000041	n0																												OM037668.1_00096 hypothetical protein				OM037668.1_00096 hypothetical protein																										OM037668.1_00096 hypothetical protein														
N44.HOG0000042	OG0000042	n0																												OM037668.1_00020 hypothetical protein				OM037668.1_00020 hypothetical protein																										OM037668.1_00020 hypothetical protein														
N44.HOG0000043	OG0000043	n0																												OM037668.1_00019 hypothetical protein				OM037668.1_00019 hypothetical protein																										OM037668.1_00019 hypothetical protein														
N44.HOG0000044	OG0000044	n0																												OM037668.1_00018 hypothetical protein				OM037668.1_00018 hypothetical protein																										OM037668.1_00018 hypothetical protein														
N44.HOG0000045	OG0000045	n0																												OM037668.1_00130 hypothetical protein				OM037668.1_00130 hypothetical protein																										OM037668.1_00130 hypothetical protein														
N44.HOG0000046	OG0000046	n0																												OM037668.1_00086 hypothetical protein				OM037668.1_00086 hypothetical protein																										OM037668.1_00086 hypothetical protein														
N44.HOG0000047	OG0000047	n0																												OM037668.1_00081 hypothetical protein				OM037668.1_00081 hypothetical protein																										OM037668.1_00081 hypothetical protein														
N44.HOG0000048	OG0000048	n0																												OM037668.1_00032 hypothetical protein				OM037668.1_00032 hypothetical protein																										OM037668.1_00032 hypothetical protein														
N44.HOG0000049	OG0000049	n0																												OM037668.1_00033 hypothetical protein				OM037668.1_00033 hypothetical protein																										OM037668.1_00033 hypothetical protein														
N44.HOG0000050	OG0000050	n0																												OM037668.1_00075 hypothetical protein				OM037668.1_00075 hypothetical protein																										OM037668.1_00075 hypothetical protein														
N44.HOG0000051	OG0000051	n0																												OM037668.1_00079 hypothetical protein				OM037668.1_00079 hypothetical protein																										OM037668.1_00079 hypothetical protein														
N44.HOG0000052	OG0000052	n0																												OM037668.1_00091 hypothetical protein				OM037668.1_00091 hypothetical protein																										OM037668.1_00091 hypothetical protein														
N44.HOG0000053	OG0000053	n0																												OM037668.1_00051 hypothetical protein				OM037668.1_00051 hypothetical protein																										OM037668.1_00051 hypothetical protein														
N44.HOG0000054	OG0000054	n0																												OM037668.1_00048 hypothetical protein				OM037668.1_00048 hypothetical protein																										OM037668.1_00048 hypothetical protein														
N44.HOG0000055	OG0000055	n0																												OM037668.1_00122 hypothetical protein				OM037668.1_00122 hypothetical protein																																								
N44.HOG0000056	OG0000056	n0																												OM037668.1_00083 hypothetical protein				OM037668.1_00083 hypothetical protein																										OM037668.1_00083 hypothetical protein														
N44.HOG0000057	OG0000057	n0																												OM037668.1_00082 hypothetical protein				OM037668.1_00082 hypothetical protein																										OM037668.1_00082 hypothetical protein														
N44.HOG0000058	OG0000058	n0																												SDDV_ORF050 RING E3 ubiquitin ligase				SDDV_ORF050 RING E3 ubiquitin ligase																										SDDV_ORF050 RING E3 ubiquitin ligase														
N44.HOG0000059	OG0000059	n0																												OM037668.1_00134 hypothetical protein				OM037668.1_00134 hypothetical protein																										OM037668.1_00134 hypothetical protein														
N44.HOG0000060	OG0000060	n0																												OM037668.1_00028 hypothetical protein				OM037668.1_00028 hypothetical protein																										OM037668.1_00028 hypothetical protein														
N44.HOG0000061	OG0000061	n0																												OM037668.1_00054 hypothetical protein				OM037668.1_00054 hypothetical protein																										OM037668.1_00054 hypothetical protein														
N44.HOG0000062	OG0000062	n0																												OM037668.1_00003 hypothetical protein				OM037668.1_00003 hypothetical protein																										OM037668.1_00003 hypothetical protein														
N44.HOG0000063	OG0000063	n0																			MF599468.1_00131 MF599468.1 - hypothetical protein translation																																																					
N44.HOG0000064	OG0000064	n0																		LS484712.1_00002 hypothetical protein																																																						
N44.HOG0000065	OG0000085	n0																												OM037668.1_00042 hypothetical protein				OM037668.1_00042 hypothetical protein																										OM037668.1_00042 hypothetical protein														
N44.HOG0000066	OG0000109	n0																												OM037668.1_00095 hypothetical protein				OM037668.1_00095 hypothetical protein																										OM037668.1_00095 hypothetical protein														
N44.HOG0000067	OG0000114	n0																												OM037668.1_00085 hypothetical protein				OM037668.1_00085 hypothetical protein																										OM037668.1_00085 hypothetical protein														
N44.HOG0000068	OG0000116	n0																												OM037668.1_00053 hypothetical protein				OM037668.1_00053 hypothetical protein																										OM037668.1_00053 hypothetical protein														
N44.HOG0000069	OG0000117	n0																												OM037668.1_00101 hypothetical protein				OM037668.1_00101 hypothetical protein																										OM037668.1_00101 hypothetical protein														
N44.HOG0000070	OG0000119	n0																	Lymph_LDV3_KX643370_00009 hypothetical protein, Lymph_LDV3_KX643370_00017 hypothetical protein											OM037668.1_00062 hypothetical protein	MN803438.1_00082 hypothetical protein			OM037668.1_00062 hypothetical protein																										OM037668.1_00062 hypothetical protein														
N44.HOG0000071	OG0000120	n0																																																				NC_005946.1_00006 hypothetical protein																				
N44.HOG0000072	OG0000121	n0				AF303741.1_00065 hypothetical protein, AF303741.1_00005 hypothetical protein, AF303741.1_00173 hypothetical protein, AF303741.1_00095 hypothetical protein, AF303741.1_00066 hypothetical protein, AF303741.1_00007 hypothetical protein, AF303741.1_00094 hypothetical protein, AF303741.1_00109 hypothetical protein							HF920633.1_00040 hypothetical protein, HF920633.1_00117 hypothetical protein, HF920633.1_00143 hypothetical protein, HF920633.1_00057 hypothetical protein, HF920633.1_00107 hypothetical protein, HF920633.1_00172 hypothetical protein, HF920633.1_00170 hypothetical protein	HF920637.1_00158 HF920637.1 - hypothetical protein translation, HF920637.1_00208 HF920637.1 - hypothetical protein translation, HF920637.1_00130 HF920637.1 - hypothetical protein translation, HF920637.1_00102 HF920637.1 - hypothetical protein translation, HF920637.1_00206 HF920637.1 - hypothetical protein translation, HF920637.1_00184 HF920637.1 - hypothetical protein translation, HF920637.1_00034 HF920637.1 - hypothetical protein translation, HF920637.1_00096 HF920637.1 - hypothetical protein translation		KF938901.1_00085 hypothetical protein, KF938901.1_00140 hypothetical protein					MF599468.1_00102 MF599468.1 - hypothetical protein translation, MF599468.1_00100 MF599468.1 - hypothetical protein translation, MF599468.1_00099 MF599468.1 - hypothetical protein translation, MF599468.1_00114 MF599468.1 - hypothetical protein translation																																																					
N44.HOG0000073	OG0000126	n0				AF303741.1_00170 hypothetical protein			AY521625.1_00036 AY521625.1 - hypothetical protein translation				HF920633.1_00086 hypothetical protein	HF920637.1_00138 HF920637.1 - hypothetical protein translation					Lymph_LDV3_KX643370_00132 hypothetical protein, Lymph_LDV3_KX643370_00076 hypothetical protein, Lymph_LDV3_KX643370_00108 hypothetical protein, Lymph_LDV3_KX643370_00133 hypothetical protein, Lymph_LDV3_KX643370_00125 hypothetical protein, Lymph_LDV3_KX643370_00048 hypothetical protein, Lymph_LDV3_KX643370_00079 hypothetical protein		MF599468.1_00096 MF599468.1 - hypothetical protein translation, MF599468.1_00036 MF599468.1 - hypothetical protein translation										MN803438.1_00125 hypothetical protein, MN803438.1_00094 hypothetical protein, MN803438.1_00107 hypothetical protein, MN803438.1_00112 hypothetical protein, MN803438.1_00120 hypothetical protein, MN803438.1_00012 hypothetical protein, MN803438.1_00021 hypothetical protein																							NC_005946.1_00020 hypothetical protein																				
N44.HOG0000074	OG0000127	n0				AF303741.1_00178 hypothetical protein, AF303741.1_00121 hypothetical protein, AF303741.1_00195 hypothetical protein							HF920633.1_00147 hypothetical protein, HF920633.1_00130 hypothetical protein, HF920633.1_00174 hypothetical protein, HF920633.1_00007 hypothetical protein	HF920637.1_00198 HF920637.1 - hypothetical protein translation, HF920637.1_00147 HF920637.1 - hypothetical protein translation, HF920637.1_00218 HF920637.1 - hypothetical protein translation, HF920637.1_00029 HF920637.1 - hypothetical protein translation		KF938901.1_00020 hypothetical protein, KF938901.1_00049 hypothetical protein, KF938901.1_00115 hypothetical protein, KF938901.1_00091 hypothetical protein				LS484712.1_00198 hypothetical protein																																																						
