	23043610003	23043610005	AB104413	AF371960	AP017456	AY894343	BD143114	GQ273492	KC244182	KT781098	KT804738	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MT128666	MT128667	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	OK042108	OK042109	OL774653	OL774654	OL774655	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677
KT804738	115.0	113.0	120.0	115.0	120.0	115.0	120.0	111.0	118.0	116.0	0.0	114.0	115.0	120.0	120.0	120.0	117.0	119.0	114.0	114.0	113.0	115.0	116.0	116.0	119.0	115.0	116.0	115.0	114.0	115.0	115.0	115.0	119.0	116.0	115.0	115.0	114.0	115.0	115.0	116.0	120.0	120.0	117.0	119.0	119.0	120.0	115.0	120.0	117.0	117.0	115.0	113.0	112.0	115.0	113.0	115.0	115.0	113.0
MG570131	114.0	113.0	115.0	115.0	115.0	110.0	115.0	110.0	112.0	115.0	114.0	0.0	117.0	114.0	115.0	114.0	115.0	113.0	114.0	113.0	112.0	111.0	114.0	114.0	113.0	114.0	115.0	114.0	113.0	114.0	114.0	114.0	113.0	115.0	114.0	114.0	113.0	114.0	114.0	115.0	115.0	114.0	111.0	113.0	113.0	114.0	114.0	114.0	111.0	115.0	114.0	113.0	111.0	114.0	112.0	114.0	114.0	112.0
MG570132	115.0	114.0	116.0	115.0	116.0	111.0	116.0	110.0	113.0	116.0	115.0	117.0	0.0	115.0	116.0	115.0	116.0	114.0	114.0	114.0	113.0	112.0	115.0	115.0	114.0	115.0	116.0	115.0	114.0	115.0	115.0	115.0	114.0	116.0	115.0	115.0	114.0	115.0	115.0	116.0	116.0	115.0	112.0	114.0	114.0	115.0	115.0	115.0	112.0	116.0	115.0	114.0	112.0	115.0	113.0	115.0	115.0	113.0
MK098185	115.0	113.0	120.0	115.0	120.0	115.0	120.0	111.0	118.0	116.0	120.0	114.0	115.0	0.0	120.0	120.0	117.0	119.0	114.0	114.0	113.0	115.0	116.0	116.0	119.0	115.0	116.0	115.0	114.0	115.0	115.0	115.0	119.0	116.0	115.0	115.0	114.0	115.0	115.0	116.0	120.0	120.0	117.0	119.0	119.0	120.0	115.0	120.0	117.0	117.0	115.0	113.0	112.0	115.0	113.0	115.0	115.0	113.0
MK098186	116.0	114.0	121.0	116.0	121.0	115.0	121.0	112.0	118.0	117.0	120.0	115.0	116.0	120.0	0.0	120.0	118.0	119.0	115.0	115.0	114.0	116.0	117.0	117.0	119.0	116.0	117.0	116.0	115.0	116.0	116.0	116.0	119.0	117.0	116.0	116.0	115.0	116.0	116.0	117.0	121.0	120.0	117.0	119.0	119.0	120.0	116.0	120.0	117.0	118.0	116.0	114.0	113.0	116.0	114.0	116.0	116.0	114.0
MK098187	115.0	113.0	120.0	115.0	120.0	115.0	120.0	111.0	118.0	116.0	120.0	114.0	115.0	120.0	120.0	0.0	117.0	119.0	114.0	114.0	113.0	115.0	116.0	116.0	119.0	115.0	116.0	115.0	114.0	115.0	115.0	115.0	119.0	116.0	115.0	115.0	114.0	115.0	115.0	116.0	120.0	120.0	117.0	119.0	119.0	120.0	115.0	120.0	117.0	117.0	115.0	113.0	112.0	115.0	113.0	115.0	115.0	113.0
MK689685	119.0	117.0	118.0	120.0	118.0	113.0	118.0	111.0	115.0	121.0	117.0	115.0	116.0	117.0	118.0	117.0	0.0	116.0	117.0	119.0	118.0	116.0	121.0	119.0	116.0	119.0	121.0	120.0	118.0	118.0	120.0	120.0	116.0	121.0	120.0	120.0	119.0	120.0	120.0	121.0	118.0	118.0	114.0	116.0	116.0	117.0	120.0	117.0	114.0	120.0	120.0	113.0	117.0	120.0	117.0	119.0	119.0	117.0
MK689686	114.0	112.0	119.0	114.0	119.0	114.0	119.0	110.0	117.0	115.0	119.0	113.0	114.0	119.0	119.0	119.0	116.0	0.0	113.0	113.0	112.0	114.0	115.0	115.0	118.0	114.0	115.0	114.0	113.0	114.0	114.0	114.0	119.0	115.0	114.0	114.0	113.0	114.0	114.0	115.0	119.0	119.0	116.0	118.0	118.0	119.0	114.0	119.0	116.0	116.0	114.0	112.0	111.0	114.0	112.0	114.0	114.0	112.0
MN432490	116.0	114.0	115.0	117.0	115.0	111.0	115.0	108.0	112.0	117.0	114.0	114.0	114.0	114.0	115.0	114.0	117.0	113.0	0.0	115.0	114.0	114.0	116.0	117.0	114.0	116.0	117.0	117.0	116.0	118.0	117.0	117.0	114.0	117.0	117.0	117.0	116.0	116.0	117.0	117.0	115.0	114.0	111.0	114.0	113.0	114.0	117.0	114.0	112.0	118.0	116.0	113.0	113.0	116.0	113.0	116.0	117.0	116.0
MT128666	118.0	116.0	115.0	118.0	115.0	110.0	115.0	108.0	112.0	119.0	114.0	113.0	114.0	114.0	115.0	114.0	119.0	113.0	115.0	0.0	118.0	113.0	118.0	116.0	113.0	117.0	119.0	118.0	117.0	116.0	118.0	118.0	113.0	119.0	118.0	118.0	118.0	118.0	118.0	119.0	115.0	115.0	111.0	113.0	113.0	114.0	118.0	114.0	111.0	117.0	119.0	111.0	115.0	119.0	117.0	117.0	118.0	115.0
MT128667	117.0	115.0	114.0	117.0	114.0	110.0	114.0	107.0	111.0	118.0	113.0	112.0	113.0	113.0	114.0	113.0	118.0	112.0	114.0	118.0	0.0	112.0	118.0	115.0	112.0	116.0	118.0	117.0	116.0	115.0	117.0	117.0	112.0	118.0	117.0	117.0	117.0	117.0	117.0	118.0	114.0	114.0	110.0	112.0	112.0	113.0	117.0	113.0	110.0	116.0	118.0	110.0	114.0	118.0	117.0	116.0	117.0	114.0
MT798582	114.0	112.0	116.0	114.0	116.0	111.0	116.0	108.0	113.0	115.0	115.0	111.0	112.0	115.0	116.0	115.0	116.0	114.0	114.0	113.0	112.0	0.0	115.0	115.0	115.0	115.0	115.0	115.0	114.0	115.0	115.0	115.0	115.0	115.0	115.0	115.0	114.0	114.0	115.0	115.0	116.0	115.0	112.0	115.0	114.0	115.0	115.0	115.0	113.0	116.0	114.0	110.0	111.0	114.0	112.0	115.0	114.0	113.0
MT926123	118.0	116.0	117.0	119.0	117.0	113.0	117.0	110.0	114.0	120.0	116.0	114.0	115.0	116.0	117.0	116.0	121.0	115.0	116.0	118.0	118.0	115.0	0.0	118.0	115.0	118.0	120.0	119.0	117.0	117.0	119.0	119.0	115.0	120.0	119.0	119.0	118.0	119.0	119.0	120.0	117.0	117.0	113.0	115.0	115.0	116.0	119.0	116.0	113.0	119.0	119.0	112.0	116.0	119.0	117.0	118.0	118.0	116.0
MT986830	117.0	115.0	117.0	117.0	117.0	112.0	117.0	109.0	114.0	118.0	116.0	114.0	115.0	116.0	117.0	116.0	119.0	115.0	117.0	116.0	115.0	115.0	118.0	0.0	116.0	117.0	118.0	118.0	117.0	118.0	118.0	118.0	116.0	118.0	118.0	118.0	117.0	117.0	118.0	118.0	117.0	116.0	113.0	116.0	115.0	116.0	118.0	116.0	114.0	119.0	117.0	113.0	114.0	117.0	114.0	117.0	117.0	116.0
MW139932	114.0	112.0	119.0	114.0	119.0	114.0	119.0	110.0	117.0	115.0	119.0	113.0	114.0	119.0	119.0	119.0	116.0	118.0	114.0	113.0	112.0	115.0	115.0	116.0	0.0	115.0	115.0	115.0	114.0	115.0	115.0	115.0	119.0	115.0	115.0	115.0	114.0	114.0	115.0	115.0	119.0	119.0	116.0	119.0	118.0	119.0	115.0	119.0	117.0	116.0	114.0	113.0	111.0	114.0	112.0	115.0	114.0	113.0
MW273353	117.0	115.0	116.0	118.0	116.0	111.0	116.0	109.0	113.0	119.0	115.0	114.0	115.0	115.0	116.0	115.0	119.0	114.0	116.0	117.0	116.0	115.0	118.0	117.0	115.0	0.0	119.0	119.0	117.0	117.0	119.0	119.0	115.0	119.0	119.0	119.0	118.0	118.0	119.0	119.0	116.0	116.0	112.0	115.0	114.0	115.0	119.0	115.0	113.0	117.0	118.0	113.0	115.0	118.0	116.0	119.0	117.0	116.0
MW273354	119.0	117.0	117.0	120.0	117.0	112.0	117.0	110.0	114.0	121.0	116.0	115.0	116.0	116.0	117.0	116.0	121.0	115.0	117.0	119.0	118.0	115.0	120.0	118.0	115.0	119.0	0.0	120.0	118.0	118.0	120.0	120.0	115.0	121.0	120.0	120.0	119.0	120.0	120.0	121.0	117.0	117.0	113.0	115.0	115.0	116.0	120.0	116.0	113.0	119.0	120.0	113.0	117.0	120.0	117.0	119.0	119.0	117.0
MW883593	118.0	116.0	116.0	119.0	116.0	111.0	116.0	109.0	113.0	120.0	115.0	114.0	115.0	115.0	116.0	115.0	120.0	114.0	117.0	118.0	117.0	115.0	119.0	118.0	115.0	119.0	120.0	0.0	118.0	118.0	120.0	120.0	115.0	120.0	120.0	120.0	119.0	119.0	120.0	120.0	116.0	116.0	112.0	115.0	114.0	115.0	120.0	115.0	113.0	118.0	119.0	113.0	116.0	119.0	116.0	119.0	118.0	117.0
MW883594	118.0	116.0	115.0	117.0	115.0	110.0	115.0	107.0	112.0	118.0	114.0	113.0	114.0	114.0	115.0	114.0	118.0	113.0	116.0	117.0	116.0	114.0	117.0	117.0	114.0	117.0	118.0	118.0	0.0	117.0	118.0	118.0	114.0	118.0	118.0	118.0	118.0	117.0	118.0	118.0	115.0	114.0	111.0	114.0	113.0	114.0	118.0	114.0	112.0	117.0	118.0	112.0	114.0	118.0	115.0	117.0	117.0	115.0
MW883595	117.0	115.0	116.0	117.0	116.0	112.0	116.0	108.0	113.0	118.0	115.0	114.0	115.0	115.0	116.0	115.0	118.0	114.0	118.0	116.0	115.0	115.0	117.0	118.0	115.0	117.0	118.0	118.0	117.0	0.0	118.0	118.0	115.0	118.0	118.0	118.0	117.0	117.0	118.0	118.0	116.0	115.0	112.0	115.0	114.0	115.0	118.0	115.0	113.0	119.0	117.0	113.0	114.0	117.0	114.0	117.0	118.0	117.0
MW883596	118.0	116.0	116.0	119.0	116.0	111.0	116.0	109.0	113.0	120.0	115.0	114.0	115.0	115.0	116.0	115.0	120.0	114.0	117.0	118.0	117.0	115.0	119.0	118.0	115.0	119.0	120.0	120.0	118.0	118.0	0.0	120.0	115.0	120.0	120.0	120.0	119.0	119.0	120.0	120.0	116.0	116.0	112.0	115.0	114.0	115.0	120.0	115.0	113.0	118.0	119.0	113.0	116.0	119.0	116.0	119.0	118.0	117.0
MW883597	118.0	116.0	116.0	119.0	116.0	111.0	116.0	109.0	113.0	120.0	115.0	114.0	115.0	115.0	116.0	115.0	120.0	114.0	117.0	118.0	117.0	115.0	119.0	118.0	115.0	119.0	120.0	120.0	118.0	118.0	120.0	0.0	115.0	120.0	120.0	120.0	119.0	119.0	120.0	120.0	116.0	116.0	112.0	115.0	114.0	115.0	120.0	115.0	113.0	118.0	119.0	113.0	116.0	119.0	116.0	119.0	118.0	117.0
MW883598	114.0	112.0	119.0	114.0	119.0	114.0	119.0	110.0	117.0	115.0	119.0	113.0	114.0	119.0	119.0	119.0	116.0	119.0	114.0	113.0	112.0	115.0	115.0	116.0	119.0	115.0	115.0	115.0	114.0	115.0	115.0	115.0	0.0	115.0	115.0	115.0	114.0	114.0	115.0	115.0	119.0	119.0	116.0	119.0	118.0	119.0	115.0	119.0	117.0	116.0	114.0	113.0	111.0	114.0	112.0	115.0	114.0	113.0
MW883599	119.0	117.0	117.0	120.0	117.0	112.0	117.0	110.0	114.0	121.0	116.0	115.0	116.0	116.0	117.0	116.0	121.0	115.0	117.0	119.0	118.0	115.0	120.0	118.0	115.0	119.0	121.0	120.0	118.0	118.0	120.0	120.0	115.0	0.0	120.0	120.0	119.0	120.0	120.0	121.0	117.0	117.0	113.0	115.0	115.0	116.0	120.0	116.0	113.0	119.0	120.0	113.0	117.0	120.0	117.0	119.0	119.0	117.0
MW883600	118.0	116.0	116.0	119.0	116.0	111.0	116.0	109.0	113.0	120.0	115.0	114.0	115.0	115.0	116.0	115.0	120.0	114.0	117.0	118.0	117.0	115.0	119.0	118.0	115.0	119.0	120.0	120.0	118.0	118.0	120.0	120.0	115.0	120.0	0.0	120.0	119.0	119.0	120.0	120.0	116.0	116.0	112.0	115.0	114.0	115.0	120.0	115.0	113.0	118.0	119.0	113.0	116.0	119.0	116.0	119.0	118.0	117.0
MW883601	118.0	116.0	116.0	119.0	116.0	111.0	116.0	109.0	113.0	120.0	115.0	114.0	115.0	115.0	116.0	115.0	120.0	114.0	117.0	118.0	117.0	115.0	119.0	118.0	115.0	119.0	120.0	120.0	118.0	118.0	120.0	120.0	115.0	120.0	120.0	0.0	119.0	119.0	120.0	120.0	116.0	116.0	112.0	115.0	114.0	115.0	120.0	115.0	113.0	118.0	119.0	113.0	116.0	119.0	116.0	119.0	118.0	117.0
MW883602	118.0	116.0	115.0	118.0	115.0	110.0	115.0	108.0	112.0	119.0	114.0	113.0	114.0	114.0	115.0	114.0	119.0	113.0	116.0	118.0	117.0	114.0	118.0	117.0	114.0	118.0	119.0	119.0	118.0	117.0	119.0	119.0	114.0	119.0	119.0	119.0	0.0	118.0	119.0	119.0	115.0	115.0	111.0	114.0	113.0	114.0	119.0	114.0	112.0	117.0	119.0	112.0	115.0	119.0	116.0	118.0	118.0	116.0
MW883603	118.0	116.0	116.0	119.0	116.0	111.0	116.0	109.0	113.0	120.0	115.0	114.0	115.0	115.0	116.0	115.0	120.0	114.0	116.0	118.0	117.0	114.0	119.0	117.0	114.0	118.0	120.0	119.0	117.0	117.0	119.0	119.0	114.0	120.0	119.0	119.0	118.0	0.0	119.0	120.0	116.0	116.0	112.0	114.0	114.0	115.0	119.0	115.0	112.0	118.0	119.0	112.0	116.0	119.0	116.0	118.0	118.0	116.0
MW883606	118.0	116.0	116.0	119.0	116.0	111.0	116.0	109.0	113.0	120.0	115.0	114.0	115.0	115.0	116.0	115.0	120.0	114.0	117.0	118.0	117.0	115.0	119.0	118.0	115.0	119.0	120.0	120.0	118.0	118.0	120.0	120.0	115.0	120.0	120.0	120.0	119.0	119.0	0.0	120.0	116.0	116.0	112.0	115.0	114.0	115.0	120.0	115.0	113.0	118.0	119.0	113.0	116.0	119.0	116.0	119.0	118.0	117.0
NC_003494	119.0	117.0	117.0	121.0	117.0	112.0	117.0	110.0	114.0	121.0	116.0	115.0	116.0	116.0	117.0	116.0	121.0	115.0	117.0	119.0	118.0	115.0	120.0	118.0	115.0	119.0	121.0	120.0	118.0	118.0	120.0	120.0	115.0	121.0	120.0	120.0	119.0	120.0	120.0	0.0	117.0	117.0	113.0	115.0	115.0	116.0	120.0	116.0	113.0	119.0	120.0	113.0	118.0	120.0	117.0	120.0	119.0	117.0
OK042108	116.0	114.0	121.0	116.0	121.0	115.0	121.0	112.0	118.0	117.0	120.0	115.0	116.0	120.0	121.0	120.0	118.0	119.0	115.0	115.0	114.0	116.0	117.0	117.0	119.0	116.0	117.0	116.0	115.0	116.0	116.0	116.0	119.0	117.0	116.0	116.0	115.0	116.0	116.0	117.0	0.0	120.0	117.0	119.0	119.0	120.0	116.0	120.0	117.0	118.0	116.0	114.0	113.0	116.0	114.0	116.0	116.0	114.0
OK042109	115.0	113.0	120.0	117.0	120.0	115.0	120.0	113.0	118.0	118.0	120.0	114.0	115.0	120.0	120.0	120.0	119.0	119.0	114.0	116.0	115.0	115.0	118.0	116.0	119.0	117.0	118.0	117.0	114.0	115.0	117.0	117.0	119.0	118.0	117.0	117.0	116.0	117.0	117.0	118.0	120.0	0.0	117.0	119.0	119.0	120.0	117.0	120.0	117.0	117.0	117.0	113.0	114.0	117.0	115.0	117.0	117.0	115.0
OL774653	112.0	110.0	117.0	112.0	117.0	112.0	117.0	108.0	115.0	113.0	117.0	111.0	112.0	117.0	117.0	117.0	114.0	116.0	111.0	111.0	110.0	112.0	113.0	113.0	116.0	112.0	113.0	112.0	111.0	112.0	112.0	112.0	116.0	113.0	112.0	112.0	111.0	112.0	112.0	113.0	117.0	117.0	0.0	116.0	116.0	117.0	112.0	117.0	114.0	114.0	112.0	110.0	109.0	112.0	110.0	112.0	112.0	110.0
OL774654	114.0	112.0	119.0	114.0	119.0	114.0	119.0	110.0	117.0	115.0	119.0	113.0	114.0	119.0	119.0	119.0	116.0	118.0	114.0	113.0	112.0	115.0	115.0	116.0	119.0	115.0	115.0	115.0	114.0	115.0	115.0	115.0	119.0	115.0	115.0	115.0	114.0	114.0	115.0	115.0	119.0	119.0	116.0	0.0	118.0	119.0	115.0	119.0	117.0	116.0	114.0	113.0	111.0	114.0	112.0	115.0	114.0	113.0
OL774655	114.0	112.0	119.0	114.0	119.0	114.0	119.0	110.0	117.0	115.0	119.0	113.0	114.0	119.0	119.0	119.0	116.0	118.0	113.0	113.0	112.0	114.0	115.0	115.0	118.0	114.0	115.0	114.0	113.0	114.0	114.0	114.0	118.0	115.0	114.0	114.0	113.0	114.0	114.0	115.0	119.0	119.0	116.0	118.0	0.0	119.0	114.0	119.0	116.0	116.0	114.0	112.0	111.0	114.0	112.0	114.0	114.0	112.0
ON075463	115.0	113.0	120.0	115.0	120.0	115.0	120.0	111.0	118.0	116.0	120.0	114.0	115.0	120.0	120.0	120.0	117.0	119.0	114.0	114.0	113.0	115.0	116.0	116.0	119.0	115.0	116.0	115.0	114.0	115.0	115.0	115.0	119.0	116.0	115.0	115.0	114.0	115.0	115.0	116.0	120.0	120.0	117.0	119.0	119.0	0.0	115.0	120.0	117.0	117.0	115.0	113.0	112.0	115.0	113.0	115.0	115.0	113.0
ON212400	118.0	116.0	116.0	119.0	116.0	111.0	116.0	109.0	113.0	120.0	115.0	114.0	115.0	115.0	116.0	115.0	120.0	114.0	117.0	118.0	117.0	115.0	119.0	118.0	115.0	119.0	120.0	120.0	118.0	118.0	120.0	120.0	115.0	120.0	120.0	120.0	119.0	119.0	120.0	120.0	116.0	116.0	112.0	115.0	114.0	115.0	0.0	115.0	113.0	118.0	119.0	113.0	116.0	119.0	116.0	119.0	118.0	117.0
ON740976	115.0	113.0	120.0	115.0	120.0	115.0	120.0	111.0	118.0	116.0	120.0	114.0	115.0	120.0	120.0	120.0	117.0	119.0	114.0	114.0	113.0	115.0	116.0	116.0	119.0	115.0	116.0	115.0	114.0	115.0	115.0	115.0	119.0	116.0	115.0	115.0	114.0	115.0	115.0	116.0	120.0	120.0	117.0	119.0	119.0	120.0	115.0	0.0	117.0	117.0	115.0	113.0	112.0	115.0	113.0	115.0	115.0	113.0
ON743042	112.0	110.0	117.0	112.0	117.0	112.0	117.0	108.0	116.0	113.0	117.0	111.0	112.0	117.0	117.0	117.0	114.0	116.0	112.0	111.0	110.0	113.0	113.0	114.0	117.0	113.0	113.0	113.0	112.0	113.0	113.0	113.0	117.0	113.0	113.0	113.0	112.0	112.0	113.0	113.0	117.0	117.0	114.0	117.0	116.0	117.0	113.0	117.0	0.0	114.0	112.0	111.0	109.0	112.0	110.0	113.0	112.0	112.0
OP009387	118.0	116.0	118.0	118.0	118.0	114.0	118.0	110.0	115.0	119.0	117.0	115.0	116.0	117.0	118.0	117.0	120.0	116.0	118.0	117.0	116.0	116.0	119.0	119.0	116.0	117.0	119.0	118.0	117.0	119.0	118.0	118.0	116.0	119.0	118.0	118.0	117.0	118.0	118.0	119.0	118.0	117.0	114.0	116.0	116.0	117.0	118.0	117.0	114.0	0.0	118.0	113.0	115.0	118.0	115.0	117.0	119.0	117.0
OP896201	119.0	117.0	116.0	119.0	116.0	111.0	116.0	109.0	113.0	120.0	115.0	114.0	115.0	115.0	116.0	115.0	120.0	114.0	116.0	119.0	118.0	114.0	119.0	117.0	114.0	118.0	120.0	119.0	118.0	117.0	119.0	119.0	114.0	120.0	119.0	119.0	119.0	119.0	119.0	120.0	116.0	116.0	112.0	114.0	114.0	115.0	119.0	115.0	112.0	118.0	0.0	112.0	116.0	120.0	117.0	118.0	119.0	116.0
OQ475017	112.0	110.0	114.0	113.0	114.0	109.0	114.0	107.0	111.0	113.0	113.0	113.0	114.0	113.0	114.0	113.0	113.0	112.0	113.0	111.0	110.0	110.0	112.0	113.0	113.0	113.0	113.0	113.0	112.0	113.0	113.0	113.0	113.0	113.0	113.0	113.0	112.0	112.0	113.0	113.0	114.0	113.0	110.0	113.0	112.0	113.0	113.0	113.0	111.0	113.0	112.0	0.0	109.0	112.0	110.0	113.0	112.0	111.0
OQ513807	115.0	113.0	113.0	117.0	113.0	108.0	113.0	106.0	110.0	117.0	112.0	111.0	112.0	112.0	113.0	112.0	117.0	111.0	113.0	115.0	114.0	111.0	116.0	114.0	111.0	115.0	117.0	116.0	114.0	114.0	116.0	116.0	111.0	117.0	116.0	116.0	115.0	116.0	116.0	118.0	113.0	113.0	109.0	111.0	111.0	112.0	116.0	112.0	109.0	115.0	116.0	109.0	0.0	116.0	113.0	116.0	115.0	113.0
OR356116	119.0	117.0	116.0	119.0	116.0	111.0	116.0	109.0	113.0	120.0	115.0	114.0	115.0	115.0	116.0	115.0	120.0	114.0	116.0	119.0	118.0	114.0	119.0	117.0	114.0	118.0	120.0	119.0	118.0	117.0	119.0	119.0	114.0	120.0	119.0	119.0	119.0	119.0	119.0	120.0	116.0	116.0	112.0	114.0	114.0	115.0	119.0	115.0	112.0	118.0	120.0	112.0	116.0	0.0	117.0	118.0	119.0	116.0
OR536350	116.0	114.0	114.0	116.0	114.0	110.0	114.0	107.0	111.0	117.0	113.0	112.0	113.0	113.0	114.0	113.0	117.0	112.0	113.0	117.0	117.0	112.0	117.0	114.0	112.0	116.0	117.0	116.0	115.0	114.0	116.0	116.0	112.0	117.0	116.0	116.0	116.0	116.0	116.0	117.0	114.0	114.0	110.0	112.0	112.0	113.0	116.0	113.0	110.0	115.0	117.0	110.0	113.0	117.0	0.0	116.0	116.0	113.0
OR670976	117.0	115.0	116.0	119.0	116.0	111.0	116.0	109.0	113.0	119.0	115.0	114.0	115.0	115.0	116.0	115.0	119.0	114.0	116.0	117.0	116.0	115.0	118.0	117.0	115.0	119.0	119.0	119.0	117.0	117.0	119.0	119.0	115.0	119.0	119.0	119.0	118.0	118.0	119.0	120.0	116.0	116.0	112.0	115.0	114.0	115.0	119.0	115.0	113.0	117.0	118.0	113.0	116.0	118.0	116.0	0.0	117.0	116.0
