Orthogroup	OQ475017.1	MT986830.1
OG0000068	OQ475017.1_00065	MT986830.1_00069
OG0000069	OQ475017.1_00096	MT986830.1_00103
OG0000070	OQ475017.1_00098	MT986830.1_00105
OG0000071	OQ475017.1_00113	MT986830.1_00118
OG0000072	OQ475017.1_00009	MT986830.1_00009
OG0000073	OQ475017.1_00012	MT986830.1_00012
OG0000074	OQ475017.1_00016	MT986830.1_00016
OG0000075	OQ475017.1_00034	MT986830.1_00037
OG0000076	OQ475017.1_00037	MT986830.1_00040
OG0000077	OQ475017.1_00040	MT986830.1_00042
OG0000078	OQ475017.1_00041	MT986830.1_00043
OG0000079	OQ475017.1_00045	MT986830.1_00047
OG0000080	OQ475017.1_00050	MT986830.1_00053
OG0000081	OQ475017.1_00051	MT986830.1_00054
OG0000082	OQ475017.1_00052	MT986830.1_00055
OG0000083	OQ475017.1_00061	MT986830.1_00064
OG0000084	OQ475017.1_00064	MT986830.1_00067
OG0000085	OQ475017.1_00066	MT986830.1_00071
OG0000086	OQ475017.1_00067	MT986830.1_00072
OG0000087	OQ475017.1_00071	MT986830.1_00077
OG0000088	OQ475017.1_00072	MT986830.1_00078
OG0000089	OQ475017.1_00081	MT986830.1_00088
OG0000090	OQ475017.1_00082	MT986830.1_00089
OG0000091	OQ475017.1_00095	MT986830.1_00102
OG0000092	OQ475017.1_00099	MT986830.1_00106
OG0000093	OQ475017.1_00103	MT986830.1_00109
OG0000094	OQ475017.1_00106	MT986830.1_00112
OG0000095	OQ475017.1_00107	MT986830.1_00113
OG0000096	OQ475017.1_00118	MT986830.1_00123
OG0000097	OQ475017.1_00003	MT986830.1_00003
OG0000098	OQ475017.1_00004	MT986830.1_00004
OG0000100	OQ475017.1_00043	MT986830.1_00045
OG0000101	OQ475017.1_00068	MT986830.1_00073
OG0000102	OQ475017.1_00076	MT986830.1_00083
OG0000103	OQ475017.1_00100	MT986830.1_00107
OG0000104	OQ475017.1_00104	MT986830.1_00110
OG0000105	OQ475017.1_00115	MT986830.1_00120
OG0000107	OQ475017.1_00101	MT986830.1_00108
OG0000108	OQ475017.1_00119	MT986830.1_00124
OG0000109	OQ475017.1_00069	MT986830.1_00074
OG0000110	OQ475017.1_00117	MT986830.1_00122
OG0000111	OQ475017.1_00091	MT986830.1_00098
OG0000112	OQ475017.1_00077	MT986830.1_00084
OG0000113	OQ475017.1_00021	MT986830.1_00021
OG0000114	OQ475017.1_00011	MT986830.1_00011
OG0000115	OQ475017.1_00053	MT986830.1_00056
OG0000123	OQ475017.1_00026	MT986830.1_00028
OG0000131	OQ475017.1_00089	MT986830.1_00096
OG0000164	OQ475017.1_00090	MT986830.1_00097
