Orthogroup	OQ475017.1	OL310752.1
OG0000040	OQ475017.1_00032	OL310752.1_00115
OG0000041	OQ475017.1_00036	OL310752.1_00082
OG0000042	OQ475017.1_00048	OL310752.1_00088
OG0000043	OQ475017.1_00049	OL310752.1_00089
OG0000044	OQ475017.1_00054	OL310752.1_00094
OG0000045	OQ475017.1_00055	OL310752.1_00095
OG0000046	OQ475017.1_00057	OL310752.1_00022
OG0000047	OQ475017.1_00058	OL310752.1_00023
OG0000048	OQ475017.1_00059	OL310752.1_00024
OG0000049	OQ475017.1_00075	OL310752.1_00121
OG0000050	OQ475017.1_00079	OL310752.1_00123
OG0000051	OQ475017.1_00080	OL310752.1_00049
OG0000052	OQ475017.1_00092	OL310752.1_00037
OG0000053	OQ475017.1_00094	OL310752.1_00035
OG0000054	OQ475017.1_00097	OL310752.1_00112
OG0000055	OQ475017.1_00109	OL310752.1_00061
OG0000056	OQ475017.1_00114	OL310752.1_00119
OG0000057	OQ475017.1_00116	OL310752.1_00067
OG0000058	OQ475017.1_00002	OL310752.1_00075
OG0000059	OQ475017.1_00010	OL310752.1_00016
OG0000060	OQ475017.1_00018	OL310752.1_00008
OG0000061	OQ475017.1_00088	OL310752.1_00041
OG0000062	OQ475017.1_00027	OL310752.1_00104
OG0000063	OQ475017.1_00070	OL310752.1_00081
OG0000064	OQ475017.1_00017	OL310752.1_00010
OG0000065	OQ475017.1_00038	OL310752.1_00058
OG0000066	OQ475017.1_00042	OL310752.1_00054
OG0000067	OQ475017.1_00046	OL310752.1_00050, OL310752.1_00086
OG0000068	OQ475017.1_00065	OL310752.1_00031
OG0000069	OQ475017.1_00096	OL310752.1_00033
OG0000070	OQ475017.1_00098	OL310752.1_00111
OG0000071	OQ475017.1_00113	OL310752.1_00117
OG0000072	OQ475017.1_00009	OL310752.1_00017
OG0000073	OQ475017.1_00012	OL310752.1_00015
OG0000074	OQ475017.1_00016	OL310752.1_00011
OG0000075	OQ475017.1_00034	OL310752.1_00084
OG0000076	OQ475017.1_00037	OL310752.1_00059
OG0000077	OQ475017.1_00040	OL310752.1_00056
OG0000078	OQ475017.1_00041	OL310752.1_00055
OG0000079	OQ475017.1_00045	OL310752.1_00051
OG0000080	OQ475017.1_00050	OL310752.1_00090
OG0000081	OQ475017.1_00051	OL310752.1_00091
OG0000082	OQ475017.1_00052	OL310752.1_00092
OG0000083	OQ475017.1_00061	OL310752.1_00026
OG0000084	OQ475017.1_00064	OL310752.1_00029
OG0000085	OQ475017.1_00066	OL310752.1_00099
OG0000086	OQ475017.1_00067	OL310752.1_00100
OG0000087	OQ475017.1_00071	OL310752.1_00080
OG0000088	OQ475017.1_00072	OL310752.1_00079
OG0000089	OQ475017.1_00081	OL310752.1_00048
OG0000090	OQ475017.1_00082	OL310752.1_00047
OG0000091	OQ475017.1_00095	OL310752.1_00034
OG0000092	OQ475017.1_00099	OL310752.1_00110
OG0000093	OQ475017.1_00103	OL310752.1_00098
OG0000094	OQ475017.1_00106	OL310752.1_00064
OG0000095	OQ475017.1_00107	OL310752.1_00063
OG0000096	OQ475017.1_00118	OL310752.1_00069
OG0000097	OQ475017.1_00003	OL310752.1_00076
OG0000099	OQ475017.1_00039	OL310752.1_00057
OG0000100	OQ475017.1_00043	OL310752.1_00053
OG0000101	OQ475017.1_00068	OL310752.1_00101
OG0000102	OQ475017.1_00076	OL310752.1_00122
OG0000103	OQ475017.1_00100	OL310752.1_00109
OG0000104	OQ475017.1_00104	OL310752.1_00066
OG0000108	OQ475017.1_00119	OL310752.1_00070
OG0000109	OQ475017.1_00069	OL310752.1_00102
OG0000110	OQ475017.1_00117	OL310752.1_00068
OG0000111	OQ475017.1_00091	OL310752.1_00038
OG0000113	OQ475017.1_00021	OL310752.1_00005
OG0000118	OQ475017.1_00102	OL310752.1_00097
OG0000124	OQ475017.1_00028	OL310752.1_00105
OG0000131	OQ475017.1_00089	OL310752.1_00040
OG0000164	OQ475017.1_00090	OL310752.1_00039
