Orthogroup	MT986830.1	OL310752.1
OG0000077	MT986830.1_00042	OL310752.1_00056
OG0000078	MT986830.1_00043	OL310752.1_00055
OG0000079	MT986830.1_00047	OL310752.1_00051
OG0000080	MT986830.1_00053	OL310752.1_00090
OG0000081	MT986830.1_00054	OL310752.1_00091
OG0000082	MT986830.1_00055	OL310752.1_00092
OG0000083	MT986830.1_00064	OL310752.1_00026
OG0000084	MT986830.1_00067	OL310752.1_00029
OG0000085	MT986830.1_00071	OL310752.1_00099
OG0000086	MT986830.1_00072	OL310752.1_00100
OG0000087	MT986830.1_00077	OL310752.1_00080
OG0000088	MT986830.1_00078	OL310752.1_00079
OG0000089	MT986830.1_00088	OL310752.1_00048
OG0000090	MT986830.1_00089	OL310752.1_00047
OG0000091	MT986830.1_00102	OL310752.1_00034
OG0000092	MT986830.1_00106	OL310752.1_00110
OG0000093	MT986830.1_00109	OL310752.1_00098
OG0000094	MT986830.1_00112	OL310752.1_00064
OG0000095	MT986830.1_00113	OL310752.1_00063
OG0000096	MT986830.1_00123	OL310752.1_00069
OG0000097	MT986830.1_00003	OL310752.1_00076
OG0000100	MT986830.1_00045	OL310752.1_00053
OG0000101	MT986830.1_00073	OL310752.1_00101
OG0000102	MT986830.1_00083	OL310752.1_00122
OG0000103	MT986830.1_00107	OL310752.1_00109
OG0000104	MT986830.1_00110	OL310752.1_00066
OG0000106	MT986830.1_00031	OL310752.1_00106
OG0000108	MT986830.1_00124	OL310752.1_00070
OG0000109	MT986830.1_00074	OL310752.1_00102
OG0000110	MT986830.1_00122	OL310752.1_00068
OG0000111	MT986830.1_00098	OL310752.1_00038
OG0000113	MT986830.1_00021	OL310752.1_00005
OG0000116	MT986830.1_00068	OL310752.1_00030
OG0000131	MT986830.1_00096	OL310752.1_00040
OG0000164	MT986830.1_00097	OL310752.1_00039
