Orthogroup	MT986830.1	MG570131.1
OG0000086	MT986830.1_00072	MG570131.1_00068
OG0000087	MT986830.1_00077	MG570131.1_00071
OG0000088	MT986830.1_00078	MG570131.1_00072
OG0000089	MT986830.1_00088	MG570131.1_00081
OG0000090	MT986830.1_00089	MG570131.1_00082
OG0000091	MT986830.1_00102	MG570131.1_00094
OG0000092	MT986830.1_00106	MG570131.1_00098
OG0000093	MT986830.1_00109	MG570131.1_00101
OG0000094	MT986830.1_00112	MG570131.1_00104
OG0000095	MT986830.1_00113	MG570131.1_00105
OG0000096	MT986830.1_00123	MG570131.1_00116
OG0000097	MT986830.1_00003	MG570131.1_00003
OG0000098	MT986830.1_00004	MG570131.1_00004
OG0000100	MT986830.1_00045	MG570131.1_00044
OG0000101	MT986830.1_00073	MG570131.1_00069
OG0000102	MT986830.1_00083	MG570131.1_00076
OG0000103	MT986830.1_00107	MG570131.1_00099
OG0000104	MT986830.1_00110	MG570131.1_00102
OG0000105	MT986830.1_00120	MG570131.1_00113
OG0000106	MT986830.1_00031	MG570131.1_00029
OG0000107	MT986830.1_00108	MG570131.1_00100
OG0000108	MT986830.1_00124	MG570131.1_00117
OG0000110	MT986830.1_00122	MG570131.1_00115
OG0000111	MT986830.1_00098	MG570131.1_00090
OG0000112	MT986830.1_00084	MG570131.1_00077
OG0000114	MT986830.1_00011	MG570131.1_00012
OG0000115	MT986830.1_00056	MG570131.1_00054
