Orthogroup	AF303741	HF920633
OG0000145	AF303741.1_00145 hypothetical protein, AF303741.1_00090 hypothetical protein	HF920633.1_00088 hypothetical protein
OG0000146	AF303741.1_00183 hypothetical protein	HF920633.1_00036 hypothetical protein
OG0000147	AF303741.1_00192 hypothetical protein	HF920633.1_00106 hypothetical protein
OG0000155	AF303741.1_00147 hypothetical protein, AF303741.1_00049 hypothetical protein, AF303741.1_00078 hypothetical protein, AF303741.1_00083 hypothetical protein	HF920633.1_00030 hypothetical protein
OG0000156	AF303741.1_00056 hypothetical protein	HF920633.1_00134 hypothetical protein
OG0000157	AF303741.1_00068 hypothetical protein, AF303741.1_00067 hypothetical protein	HF920633.1_00039 hypothetical protein
OG0000158	AF303741.1_00076 hypothetical protein	HF920633.1_00105 hypothetical protein
OG0000159	AF303741.1_00087 hypothetical protein	HF920633.1_00082 hypothetical protein
OG0000160	AF303741.1_00091 DNA ligase	HF920633.1_00169 DNA ligase
OG0000161	AF303741.1_00096 hypothetical protein	HF920633.1_00177 hypothetical protein
OG0000162	AF303741.1_00105 hypothetical protein	HF920633.1_00144 hypothetical protein
OG0000163	AF303741.1_00169 hypothetical protein	HF920633.1_00145 hypothetical protein
OG0000164	AF303741.1_00179 hypothetical protein	HF920633.1_00046 hypothetical protein
OG0000165	AF303741.1_00181 hypothetical protein	HF920633.1_00161 hypothetical protein, HF920633.1_00031 hypothetical protein
OG0000166	AF303741.1_00182 hypothetical protein	HF920633.1_00096 hypothetical protein
OG0000173	AF303741.1_00003 hypothetical protein	HF920633.1_00128 hypothetical protein
OG0000174	AF303741.1_00004 hypothetical protein	HF920633.1_00110 hypothetical protein
OG0000176	AF303741.1_00015 DNA topoisomerase 2	HF920633.1_00149 DNA topoisomerase 2
OG0000177	AF303741.1_00017 hypothetical protein	HF920633.1_00165 hypothetical protein
OG0000178	AF303741.1_00085 hypothetical protein	HF920633.1_00103 hypothetical protein
OG0000179	AF303741.1_00086 hypothetical protein	HF920633.1_00020 hypothetical protein, HF920633.1_00021 hypothetical protein
OG0000180	AF303741.1_00104 hypothetical protein	HF920633.1_00032 hypothetical protein
OG0000181	AF303741.1_00112 hypothetical protein	HF920633.1_00022 hypothetical protein
OG0000183	AF303741.1_00122 hypothetical protein	HF920633.1_00131 hypothetical protein
OG0000184	AF303741.1_00136 hypothetical protein	HF920633.1_00120 hypothetical protein
OG0000185	AF303741.1_00146 hypothetical protein	HF920633.1_00146 hypothetical protein
OG0000186	AF303741.1_00148 hypothetical protein	HF920633.1_00056 hypothetical protein
OG0000187	AF303741.1_00150 hypothetical protein	HF920633.1_00123 hypothetical protein
OG0000188	AF303741.1_00151 hypothetical protein	HF920633.1_00050 hypothetical protein
OG0000189	AF303741.1_00161 hypothetical protein	HF920633.1_00098 hypothetical protein
OG0000191	AF303741.1_00177 hypothetical protein	HF920633.1_00035 hypothetical protein
OG0000192	AF303741.1_00184 hypothetical protein	HF920633.1_00029 hypothetical protein
OG0000193	AF303741.1_00193 hypothetical protein	HF920633.1_00121 hypothetical protein
OG0000194	AF303741.1_00197 hypothetical protein	HF920633.1_00125 hypothetical protein
OG0000200	AF303741.1_00008 hypothetical protein	HF920633.1_00101 hypothetical protein
OG0000202	AF303741.1_00018 hypothetical protein	HF920633.1_00008 hypothetical protein
OG0000204	AF303741.1_00042 hypothetical protein	HF920633.1_00063 hypothetical protein
OG0000205	AF303741.1_00044 hypothetical protein	HF920633.1_00160 hypothetical protein
OG0000206	AF303741.1_00064 hypothetical protein	HF920633.1_00061 hypothetical protein
OG0000207	AF303741.1_00074 hypothetical protein	HF920633.1_00018 hypothetical protein
OG0000208	AF303741.1_00107 hypothetical protein	HF920633.1_00023 hypothetical protein
OG0000209	AF303741.1_00120 hypothetical protein	HF920633.1_00102 hypothetical protein
OG0000210	AF303741.1_00124 hypothetical protein	HF920633.1_00074 hypothetical protein
OG0000211	AF303741.1_00135 hypothetical protein	HF920633.1_00087 hypothetical protein
OG0000212	AF303741.1_00159 hypothetical protein	HF920633.1_00041 hypothetical protein
OG0000213	AF303741.1_00160 hypothetical protein	HF920633.1_00013 hypothetical protein
OG0000214	AF303741.1_00175 hypothetical protein	HF920633.1_00113 hypothetical protein
OG0000215	AF303741.1_00203 hypothetical protein	HF920633.1_00037 hypothetical protein
OG0000216	AF303741.1_00204 hypothetical protein	HF920633.1_00155 hypothetical protein
OG0000232	AF303741.1_00028 hypothetical protein	HF920633.1_00016 hypothetical protein
OG0000236	AF303741.1_00115 hypothetical protein	HF920633.1_00070 hypothetical protein
OG0000237	AF303741.1_00116 hypothetical protein	HF920633.1_00167 hypothetical protein
OG0000295	AF303741.1_00002 hypothetical protein	HF920633.1_00075 hypothetical protein
OG0000298	AF303741.1_00016 hypothetical protein	HF920633.1_00002 hypothetical protein
OG0000304	AF303741.1_00043 hypothetical protein	HF920633.1_00178 hypothetical protein
OG0000306	AF303741.1_00048 hypothetical protein	HF920633.1_00166 hypothetical protein
OG0000312	AF303741.1_00069 hypothetical protein	HF920633.1_00065 hypothetical protein
OG0000317	AF303741.1_00111 hypothetical protein	HF920633.1_00140 hypothetical protein
OG0000330	AF303741.1_00180 hypothetical protein	HF920633.1_00176 hypothetical protein
OG0000331	AF303741.1_00186 hypothetical protein	HF920633.1_00055 hypothetical protein
