Orthogroup	PQ335173_PQ335174	OQ475017
OG0000017	PQ335173_PQ335174_00095 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00044 OQ475017.1 - hypothetical protein translation
OG0000018	PQ335173_PQ335174_00092 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00047 OQ475017.1 - hypothetical protein translation
OG0000019	PQ335173_PQ335174_00091 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00048 OQ475017.1 - hypothetical protein translation
OG0000020	PQ335173_PQ335174_00090 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00049 OQ475017.1 - hypothetical protein translation
OG0000021	PQ335173_PQ335174_00086 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00054 OQ475017.1 - hypothetical protein translation
OG0000022	PQ335173_PQ335174_00085 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00055 OQ475017.1 - hypothetical protein translation
OG0000023	PQ335173_PQ335174_00084 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00056 OQ475017.1 - hypothetical protein translation
OG0000024	PQ335173_PQ335174_00083 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00057 OQ475017.1 - hypothetical protein translation
OG0000025	PQ335173_PQ335174_00081 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00059 OQ475017.1 - hypothetical protein translation
OG0000026	PQ335173_PQ335174_00078 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00062 OQ475017.1 - hypothetical protein translation
OG0000027	PQ335173_PQ335174_00075 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00063 OQ475017.1 - hypothetical protein translation
OG0000028	PQ335173_PQ335174_00066 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00075 OQ475017.1 - hypothetical protein translation
OG0000029	PQ335173_PQ335174_00065 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00078 OQ475017.1 - hypothetical protein translation
OG0000030	PQ335173_PQ335174_00064 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00079 OQ475017.1 - hypothetical protein translation
OG0000031	PQ335173_PQ335174_00063 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00080 OQ475017.1 - hypothetical protein translation
OG0000032	PQ335173_PQ335174_00060 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00083 OQ475017.1 - hypothetical protein translation
OG0000033	PQ335173_PQ335174_00059 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00084 OQ475017.1 - hypothetical protein translation
OG0000034	PQ335173_PQ335174_00058 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00085 OQ475017.1 - hypothetical protein translation
OG0000035	PQ335173_PQ335174_00057 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00086 OQ475017.1 - hypothetical protein translation
OG0000036	PQ335173_PQ335174_00056 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00087 OQ475017.1 - hypothetical protein translation
OG0000037	PQ335173_PQ335174_00051 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00092 OQ475017.1 - hypothetical protein translation
OG0000038	PQ335173_PQ335174_00050 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00093 OQ475017.1 - hypothetical protein translation
OG0000039	PQ335173_PQ335174_00049 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00094 OQ475017.1 - hypothetical protein translation
OG0000040	PQ335173_PQ335174_00035 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00097 OQ475017.1 - hypothetical protein translation
OG0000041	PQ335173_PQ335174_00039 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00105 OQ475017.1 - hypothetical protein translation
OG0000042	PQ335173_PQ335174_00041 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00108 OQ475017.1 - hypothetical protein translation
OG0000043	PQ335173_PQ335174_00042 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00109 OQ475017.1 - hypothetical protein translation
OG0000044	PQ335173_PQ335174_00043 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00110 OQ475017.1 - hypothetical protein translation
OG0000045	PQ335173_PQ335174_00044 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00112 OQ475017.1 - hypothetical protein translation
OG0000046	PQ335173_PQ335174_00046 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00114 OQ475017.1 - hypothetical protein translation
OG0000047	PQ335173_PQ335174_00031 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00118 OQ475017.1 - hypothetical protein translation
OG0000048	PQ335173_PQ335174_00028 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00120 OQ475017.1 - hypothetical protein translation
OG0000049	PQ335173_PQ335174_00027 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00121 OQ475017.1 - hypothetical protein translation
OG0000050	PQ335173_PQ335174_00025 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1 - 00001 translation OQ475017.1 - 00001 translation
OG0000052	PQ335173_PQ335174_00001 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00024 OQ475017.1 - hypothetical protein translation
OG0000053	PQ335173_PQ335174_00109 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00033 OQ475017.1 - hypothetical protein translation
OG0000054	PQ335173_PQ335174_00110 PQ335173_PQ335174 - DNA-directed RNA polymerase subunit 2 translation	OQ475017.1_00035 OQ475017.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000055	PQ335173_PQ335174_00068 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00073 OQ475017.1 - hypothetical protein translation
OG0000058	PQ335173_PQ335174_00026 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00122 OQ475017.1 - hypothetical protein translation
OG0000062	PQ335173_PQ335174_00015 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00010 OQ475017.1 - hypothetical protein translation
OG0000063	PQ335173_PQ335174_00067 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00074 OQ475017.1 - hypothetical protein translation
OG0000065	PQ335173_PQ335174_00016 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00009 OQ475017.1 - hypothetical protein translation
OG0000066	PQ335173_PQ335174_00013 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00012 OQ475017.1 - hypothetical protein translation
OG0000067	PQ335173_PQ335174_00008 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00017 OQ475017.1 - hypothetical protein translation
OG0000068	PQ335173_PQ335174_00099 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00040 OQ475017.1 - hypothetical protein translation
OG0000069	PQ335173_PQ335174_00098 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00041 OQ475017.1 - hypothetical protein translation
OG0000070	PQ335173_PQ335174_00096 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00043 OQ475017.1 - hypothetical protein translation
OG0000071	PQ335173_PQ335174_00094 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00045 OQ475017.1 - hypothetical protein translation
OG0000072	PQ335173_PQ335174_00093 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00046 OQ475017.1 - hypothetical protein translation
OG0000073	PQ335173_PQ335174_00089 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00050 OQ475017.1 - hypothetical protein translation
OG0000074	PQ335173_PQ335174_00088 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00051 OQ475017.1 - hypothetical protein translation
OG0000075	PQ335173_PQ335174_00079 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00061 OQ475017.1 - hypothetical protein translation
OG0000076	PQ335173_PQ335174_00073 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00066 OQ475017.1 - hypothetical protein translation
OG0000077	PQ335173_PQ335174_00062 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00081 OQ475017.1 - hypothetical protein translation
OG0000078	TSIV_ORF50 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00082 OQ475017.1 - hypothetical protein translation
OG0000079	PQ335173_PQ335174_00034 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00096 OQ475017.1 - hypothetical protein translation
OG0000080	PQ335173_PQ335174_00036 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00098 OQ475017.1 - hypothetical protein translation
OG0000081	PQ335173_PQ335174_00037 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00100 OQ475017.1 - hypothetical protein translation
OG0000082	PQ335173_PQ335174_00032 PQ335173_PQ335174 - hypothetical protein translation, PQ335173_PQ335174_00033 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00117 OQ475017.1 - hypothetical protein translation
OG0000084	PQ335173_PQ335174_00074 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00065 OQ475017.1 - hypothetical protein translation
OG0000087	PQ335173_PQ335174_00102 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00037 OQ475017.1 - hypothetical protein translation
OG0000088	PQ335173_PQ335174_00097 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00042 OQ475017.1 - hypothetical protein translation
OG0000090	PQ335173_PQ335174_00072 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00067 OQ475017.1 - hypothetical protein translation
OG0000091	PQ335173_PQ335174_00070 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00070 OQ475017.1 - hypothetical protein translation
OG0000098	PQ335173_PQ335174_00040 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00107 OQ475017.1 - hypothetical protein translation
OG0000106	PQ335173_PQ335174_00101 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00038 OQ475017.1 - hypothetical protein translation
OG0000107	PQ335173_PQ335174_00080 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00060 OQ475017.1 - hypothetical protein translation
OG0000109	PQ335173_PQ335174_00029 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00119 OQ475017.1 - hypothetical protein translation
OG0000111	TSIV_ORF39 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00113 OQ475017.1 - hypothetical protein translation
OG0000114	PQ335173_PQ335174_00082 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00058 OQ475017.1 - hypothetical protein translation
OG0000115	PQ335173_PQ335174_00009 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00016 OQ475017.1 - hypothetical protein translation
OG0000116	PQ335173_PQ335174_00014 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00011 OQ475017.1 - hypothetical protein translation
OG0000117	PQ335173_PQ335174_00087 PQ335173_PQ335174 - hypothetical protein translation	OQ475017.1_00053 OQ475017.1 - hypothetical protein translation
