Orthogroup	KT804738.1	MT926123.1
OG0000080	KT804738.1_00049	MT926123.1_00052
OG0000081	KT804738.1_00050	MT926123.1_00053
OG0000082	KT804738.1_00051	MT926123.1_00054
OG0000083	KT804738.1_00059	MT926123.1_00064
OG0000084	KT804738.1_00062	MT926123.1_00067
OG0000085	KT804738.1_00065	MT926123.1_00070
OG0000086	KT804738.1_00066	MT926123.1_00071
OG0000087	KT804738.1_00070	MT926123.1_00076
OG0000088	KT804738.1_00071	MT926123.1_00077
OG0000089	KT804738.1_00080	MT926123.1_00087
OG0000090	KT804738.1_00081	MT926123.1_00088
OG0000091	KT804738.1_00094	MT926123.1_00098
OG0000092	KT804738.1_00098	MT926123.1_00102
OG0000093	KT804738.1_00102	MT926123.1_00105
OG0000094	KT804738.1_00105	MT926123.1_00108
OG0000095	KT804738.1_00106	MT926123.1_00109
OG0000096	KT804738.1_00117	MT926123.1_00118
OG0000097	KT804738.1_00003	MT926123.1_00003
OG0000098	KT804738.1_00004	MT926123.1_00004
OG0000099	KT804738.1_00038	MT926123.1_00041
OG0000100	KT804738.1_00042	MT926123.1_00045
OG0000101	KT804738.1_00067	MT926123.1_00072
OG0000102	KT804738.1_00075	MT926123.1_00082
OG0000103	KT804738.1_00099	MT926123.1_00103
OG0000104	KT804738.1_00103	MT926123.1_00106
OG0000105	KT804738.1_00114	MT926123.1_00116
OG0000106	KT804738.1_00027	MT926123.1_00030
OG0000107	KT804738.1_00100	MT926123.1_00104
OG0000108	KT804738.1_00118	MT926123.1_00119
OG0000109	KT804738.1_00068	MT926123.1_00073
OG0000116	KT804738.1_00052	MT926123.1_00055
OG0000117	KT804738.1_00063	MT926123.1_00068
