Orthogroup	KT804738.1	MK689686.1
OG0000077	KT804738.1_00039	MK689686.1_00039
OG0000078	KT804738.1_00040	MK689686.1_00040
OG0000079	KT804738.1_00044	MK689686.1_00044
OG0000080	KT804738.1_00049	MK689686.1_00050
OG0000081	KT804738.1_00050	MK689686.1_00051
OG0000082	KT804738.1_00051	MK689686.1_00052
OG0000083	KT804738.1_00059	MK689686.1_00061
OG0000084	KT804738.1_00062	MK689686.1_00064
OG0000085	KT804738.1_00065	MK689686.1_00067
OG0000086	KT804738.1_00066	MK689686.1_00068
OG0000087	KT804738.1_00070	MK689686.1_00072
OG0000088	KT804738.1_00071	MK689686.1_00073
OG0000089	KT804738.1_00080	MK689686.1_00082
OG0000090	KT804738.1_00081	MK689686.1_00083
OG0000091	KT804738.1_00094	MK689686.1_00095
OG0000092	KT804738.1_00098	MK689686.1_00099
OG0000093	KT804738.1_00102	MK689686.1_00103
OG0000094	KT804738.1_00105	MK689686.1_00106
OG0000095	KT804738.1_00106	MK689686.1_00107
OG0000096	KT804738.1_00117	MK689686.1_00118
OG0000097	KT804738.1_00003	MK689686.1_00003
OG0000098	KT804738.1_00004	MK689686.1_00004
OG0000099	KT804738.1_00038	MK689686.1_00038
OG0000100	KT804738.1_00042	MK689686.1_00042
OG0000101	KT804738.1_00067	MK689686.1_00069
OG0000102	KT804738.1_00075	MK689686.1_00077
OG0000103	KT804738.1_00099	MK689686.1_00100
OG0000104	KT804738.1_00103	MK689686.1_00104
OG0000105	KT804738.1_00114	MK689686.1_00115
OG0000106	KT804738.1_00027	MK689686.1_00027
OG0000107	KT804738.1_00100	MK689686.1_00101
OG0000108	KT804738.1_00118	MK689686.1_00119
OG0000109	KT804738.1_00068	MK689686.1_00070
OG0000110	KT804738.1_00116	MK689686.1_00117
OG0000111	KT804738.1_00090	MK689686.1_00091
OG0000112	KT804738.1_00076	MK689686.1_00078
OG0000116	KT804738.1_00052	MK689686.1_00053
OG0000117	KT804738.1_00063	MK689686.1_00065
OG0000120	KT804738.1_00101	MK689686.1_00102
OG0000121	KT804738.1_00110	MK689686.1_00111
OG0000131	KT804738.1_00088	MK689686.1_00090
OG0000179	KT804738.1_00026	MK689686.1_00026
OG0000209	KT804738.1_00024	MK689686.1_00024
