Orthogroup	AF371960.1	AY521625.1	AY532606.1	AY779031.1	AY894343.1	BD143114.1	GQ273492.1	HF920633.1	HF920637.1	KC244182.1	KF938901.1	KT804738.1	L63545.1	LS484712.1	MF599468.1	MG570131.1	MG570132.1	MK098185.1	MK098186.1	MK098187.1	MK689685.1	MK689686.1	MN432490.1	MN562489.1	MN803438.1	MT521409.1	MT798582.1	MT926123.1	MT986830.1	MW139932.1	NC_005946.1	NC_027778.1	OK042108.1	OK042109.1	OL310752.1	OL774653.1	OL774654.1	OL774655.1	OM037668.1	ON075463.1	ON740976.1	ON743042.1	OP009387.1	OQ475017.1
OG0000514								HF920633.1_00166																																				
OG0000515								HF920633.1_00168																																				
OG0000516								HF920633.1_00173																																				
OG0000517								HF920633.1_00178																																				
OG0000518									HF920637.1_00003																																			
OG0000519									HF920637.1_00004																																			
OG0000520									HF920637.1_00006																																			
OG0000521									HF920637.1_00007																																			
OG0000522									HF920637.1_00010																																			
OG0000523									HF920637.1_00015																																			
OG0000524									HF920637.1_00016																																			
OG0000525									HF920637.1_00022																																			
OG0000526									HF920637.1_00023																																			
OG0000527									HF920637.1_00026																																			
OG0000528									HF920637.1_00028																																			
OG0000529									HF920637.1_00030																																			
OG0000530									HF920637.1_00032																																			
OG0000531									HF920637.1_00042																																			
OG0000532									HF920637.1_00044																																			
OG0000533									HF920637.1_00046																																			
OG0000534									HF920637.1_00050																																			
OG0000535									HF920637.1_00052																																			
OG0000536									HF920637.1_00054																																			
OG0000537									HF920637.1_00055																																			
OG0000538									HF920637.1_00068																																			
OG0000539									HF920637.1_00074																																			
OG0000540									HF920637.1_00075																																			
OG0000541									HF920637.1_00076																																			
OG0000542									HF920637.1_00080																																			
OG0000543									HF920637.1_00081																																			
OG0000544									HF920637.1_00082																																			
OG0000545									HF920637.1_00086																																			
OG0000546									HF920637.1_00087																																			
OG0000547									HF920637.1_00088																																			
OG0000548									HF920637.1_00089																																			
OG0000549									HF920637.1_00091																																			
OG0000550									HF920637.1_00092																																			
OG0000551									HF920637.1_00097																																			
OG0000552									HF920637.1_00098																																			
OG0000553									HF920637.1_00099																																			
OG0000554									HF920637.1_00101																																			
OG0000555									HF920637.1_00103																																			
OG0000556									HF920637.1_00104																																			
OG0000557									HF920637.1_00106																																			
OG0000558									HF920637.1_00107																																			
OG0000559									HF920637.1_00109																																			
OG0000560									HF920637.1_00110																																			
OG0000561									HF920637.1_00112																																			
OG0000562									HF920637.1_00114																																			
OG0000563									HF920637.1_00116																																			
OG0000564									HF920637.1_00117																																			
OG0000565									HF920637.1_00118																																			
OG0000566									HF920637.1_00119																																			
OG0000567									HF920637.1_00125																																			
OG0000568									HF920637.1_00126																																			
OG0000569									HF920637.1_00128																																			
OG0000570									HF920637.1_00131																																			
OG0000571									HF920637.1_00132																																			
OG0000572									HF920637.1_00134																																			
OG0000573									HF920637.1_00135																																			
OG0000574									HF920637.1_00137																																			
OG0000575									HF920637.1_00141																																			
OG0000576									HF920637.1_00145																																			
OG0000577									HF920637.1_00146																																			
OG0000578									HF920637.1_00154																																			
OG0000579									HF920637.1_00155																																			
OG0000580									HF920637.1_00161																																			
OG0000581									HF920637.1_00163																																			
OG0000582									HF920637.1_00165																																			
OG0000583									HF920637.1_00166																																			
OG0000584									HF920637.1_00169																																			
OG0000585									HF920637.1_00171																																			
OG0000586									HF920637.1_00173																																			
OG0000587									HF920637.1_00179																																			
OG0000588									HF920637.1_00182																																			
OG0000589									HF920637.1_00185																																			
OG0000590									HF920637.1_00186																																			
OG0000591									HF920637.1_00188																																			
OG0000592									HF920637.1_00189																																			
OG0000593									HF920637.1_00190																																			
OG0000594									HF920637.1_00191																																			
OG0000595									HF920637.1_00196																																			
OG0000596									HF920637.1_00202																																			
OG0000597									HF920637.1_00205																																			
OG0000598									HF920637.1_00207																																			
OG0000599									HF920637.1_00210																																			
OG0000600									HF920637.1_00214																																			
OG0000601									HF920637.1_00220																																			
OG0000602											KF938901.1_00019																																	
OG0000603											KF938901.1_00021																																	
OG0000604											KF938901.1_00022																																	
OG0000605											KF938901.1_00024																																	
OG0000606											KF938901.1_00033																																	
OG0000607											KF938901.1_00036																																	
OG0000608											KF938901.1_00039																																	
OG0000609											KF938901.1_00052																																	
OG0000610											KF938901.1_00055																																	
OG0000611											KF938901.1_00056																																	
OG0000612											KF938901.1_00058																																	
OG0000613											KF938901.1_00064																																	
OG0000614											KF938901.1_00076																																	
OG0000615											KF938901.1_00081																																	
OG0000616											KF938901.1_00089																																	
OG0000617											KF938901.1_00097																																	
OG0000618											KF938901.1_00111																																	
OG0000619											KF938901.1_00120																																	
OG0000620											KF938901.1_00131																																	
OG0000621											KF938901.1_00138																																	
OG0000622											KF938901.1_00142																																	
OG0000623											KF938901.1_00143																																	
OG0000624											KF938901.1_00145																																	
OG0000625											KF938901.1_00147																																	
OG0000626											KF938901.1_00156																																	
OG0000627													L63545.1_00011																															
OG0000628													L63545.1_00027																															
OG0000629													L63545.1_00029																															
OG0000630													L63545.1_00033																															
OG0000631													L63545.1_00040																															
OG0000632													L63545.1_00063																															
OG0000633													L63545.1_00064																															
OG0000634													L63545.1_00081																															
OG0000635													L63545.1_00083																															
OG0000636														LS484712.1_00001																														
OG0000637														LS484712.1_00003																														
OG0000638														LS484712.1_00004																														
OG0000639														LS484712.1_00005																														
OG0000640														LS484712.1_00007																														
OG0000641														LS484712.1_00011																														
OG0000642														LS484712.1_00012																														
OG0000643														LS484712.1_00013																														
OG0000644														LS484712.1_00014																														
OG0000645														LS484712.1_00015																														
OG0000646														LS484712.1_00016																														
OG0000647														LS484712.1_00017																														
OG0000648														LS484712.1_00018																														
OG0000649														LS484712.1_00019																														
OG0000650														LS484712.1_00020																														
OG0000651														LS484712.1_00021																														
OG0000652														LS484712.1_00022																														
OG0000653														LS484712.1_00023																														
OG0000654														LS484712.1_00029																														
OG0000655														LS484712.1_00033																														
OG0000656														LS484712.1_00035																														
OG0000657														LS484712.1_00036																														
OG0000658														LS484712.1_00037																														
OG0000659														LS484712.1_00038																														
OG0000660														LS484712.1_00039																														
OG0000661														LS484712.1_00041																														
OG0000662														LS484712.1_00043																														
OG0000663														LS484712.1_00044																														
OG0000664														LS484712.1_00045																														
OG0000665														LS484712.1_00046																														
OG0000666														LS484712.1_00047																														
OG0000667														LS484712.1_00049																														
OG0000668														LS484712.1_00051																														
OG0000669														LS484712.1_00054																														
OG0000670														LS484712.1_00055																														
OG0000671														LS484712.1_00058																														
OG0000672														LS484712.1_00059																														
OG0000673														LS484712.1_00061																														
OG0000674														LS484712.1_00062																														
OG0000675														LS484712.1_00066																														
OG0000676														LS484712.1_00067																														
OG0000677														LS484712.1_00071																														
OG0000678														LS484712.1_00073																														
OG0000679														LS484712.1_00074																														
OG0000680														LS484712.1_00075																														
OG0000681														LS484712.1_00076																														
OG0000682														LS484712.1_00077																														
OG0000683														LS484712.1_00078																														
OG0000684														LS484712.1_00079																														
OG0000685														LS484712.1_00080																														
OG0000686														LS484712.1_00081																														
OG0000687														LS484712.1_00091																														
OG0000688														LS484712.1_00092																														
OG0000689														LS484712.1_00093																														
OG0000690														LS484712.1_00094																														
OG0000691														LS484712.1_00097																														
OG0000692														LS484712.1_00098																														
OG0000693														LS484712.1_00101																														
OG0000694														LS484712.1_00102																														
OG0000695														LS484712.1_00103																														
OG0000696														LS484712.1_00104																														
OG0000697														LS484712.1_00105																														
OG0000698														LS484712.1_00107																														
OG0000699														LS484712.1_00108																														
OG0000700														LS484712.1_00109																														
OG0000701														LS484712.1_00110																														
OG0000702														LS484712.1_00111																														
OG0000703														LS484712.1_00115																														
OG0000704														LS484712.1_00118																														
OG0000705														LS484712.1_00119																														
OG0000706														LS484712.1_00121																														
OG0000707														LS484712.1_00122																														
OG0000708														LS484712.1_00123																														
OG0000709														LS484712.1_00124																														
OG0000710														LS484712.1_00126																														
OG0000711														LS484712.1_00128																														
OG0000712														LS484712.1_00129																														
OG0000713														LS484712.1_00131																														
OG0000714														LS484712.1_00132																														
OG0000715														LS484712.1_00134																														
OG0000716														LS484712.1_00136																														
OG0000717														LS484712.1_00137																														
OG0000718														LS484712.1_00138																														
OG0000719														LS484712.1_00139																														
OG0000720														LS484712.1_00141																														
OG0000721														LS484712.1_00144																														
OG0000722														LS484712.1_00145																														
OG0000723														LS484712.1_00146																														
OG0000724														LS484712.1_00147																														
OG0000725														LS484712.1_00148																														
OG0000726														LS484712.1_00150																														
OG0000727														LS484712.1_00151																														
OG0000728														LS484712.1_00152																														
OG0000729														LS484712.1_00153																														
OG0000730														LS484712.1_00159																														
OG0000731														LS484712.1_00162																														
OG0000732														LS484712.1_00164																														
OG0000733														LS484712.1_00165																														
OG0000734														LS484712.1_00166																														
OG0000735														LS484712.1_00167																														
OG0000736														LS484712.1_00168																														
OG0000737														LS484712.1_00169																														
OG0000738														LS484712.1_00172																														
OG0000739														LS484712.1_00173																														
OG0000740														LS484712.1_00174																														
OG0000741														LS484712.1_00175																														
OG0000742														LS484712.1_00176																														
OG0000743														LS484712.1_00177																														
OG0000744														LS484712.1_00178																														
OG0000745														LS484712.1_00179																														
OG0000746														LS484712.1_00180																														
OG0000747														LS484712.1_00181																														
OG0000748														LS484712.1_00182																														
OG0000749														LS484712.1_00183																														
OG0000750														LS484712.1_00185																														
OG0000751														LS484712.1_00186																														
OG0000752														LS484712.1_00189																														
OG0000753														LS484712.1_00190																														
OG0000754														LS484712.1_00191																														
OG0000755														LS484712.1_00193																														
OG0000756														LS484712.1_00199																														
OG0000757														LS484712.1_00204																														
OG0000758														LS484712.1_00205																														
OG0000759														LS484712.1_00208																														
OG0000760														LS484712.1_00209																														
OG0000761														LS484712.1_00210																														
OG0000762														LS484712.1_00217																														
OG0000763														LS484712.1_00218																														
OG0000764														LS484712.1_00219																														
OG0000765														LS484712.1_00220																														
OG0000766														LS484712.1_00221																														
OG0000767														LS484712.1_00222																														
OG0000768														LS484712.1_00223																														
OG0000769														LS484712.1_00226																														
OG0000770														LS484712.1_00233																														
OG0000771														LS484712.1_00235																														
OG0000772														LS484712.1_00236																														
OG0000773														LS484712.1_00237																														
OG0000774														LS484712.1_00239																														
OG0000775														LS484712.1_00241																														
OG0000776														LS484712.1_00242																														
OG0000777														LS484712.1_00243																														
OG0000778														LS484712.1_00244																														
OG0000779														LS484712.1_00246																														
OG0000780														LS484712.1_00247																														
OG0000781														LS484712.1_00250																														
OG0000782														LS484712.1_00257																														
OG0000783														LS484712.1_00258																														
OG0000784														LS484712.1_00259																														
OG0000785														LS484712.1_00260																														
OG0000786														LS484712.1_00261																														
OG0000787														LS484712.1_00262																														
OG0000788														LS484712.1_00266																														
OG0000789														LS484712.1_00267																														
OG0000790														LS484712.1_00274																														
OG0000791														LS484712.1_00275																														
OG0000792														LS484712.1_00276																														
OG0000793														LS484712.1_00278																														
OG0000794														LS484712.1_00280																														
OG0000795														LS484712.1_00281																														
OG0000796															MF599468.1_00001																													
OG0000797															MF599468.1_00003																													
OG0000798															MF599468.1_00005																													
OG0000799															MF599468.1_00007																													
OG0000800															MF599468.1_00008																													
OG0000801															MF599468.1_00012																													
OG0000802															MF599468.1_00014																													
OG0000803															MF599468.1_00017																													
OG0000804															MF599468.1_00018																													
OG0000805															MF599468.1_00019																													
OG0000806															MF599468.1_00020																													
OG0000807															MF599468.1_00021																													
OG0000808															MF599468.1_00026																													
OG0000809															MF599468.1_00028																													
OG0000810															MF599468.1_00034																													
OG0000811															MF599468.1_00040																													
OG0000812															MF599468.1_00041																													
OG0000813															MF599468.1_00042																													
OG0000814															MF599468.1_00048																													
OG0000815															MF599468.1_00050																													
OG0000816															MF599468.1_00053																													
OG0000817															MF599468.1_00058																													
OG0000818															MF599468.1_00059																													
OG0000819															MF599468.1_00063																													
OG0000820															MF599468.1_00064																													
OG0000821															MF599468.1_00073																													
OG0000822															MF599468.1_00080																													
OG0000823															MF599468.1_00082																													
OG0000824															MF599468.1_00083																													
OG0000825															MF599468.1_00084																													
OG0000826															MF599468.1_00085																													
OG0000827															MF599468.1_00086																													
OG0000828															MF599468.1_00087																													
OG0000829															MF599468.1_00088																													
OG0000830															MF599468.1_00093																													
OG0000831															MF599468.1_00095																													
OG0000832															MF599468.1_00097																													
OG0000833															MF599468.1_00113																													
OG0000834															MF599468.1_00115																													
OG0000835															MF599468.1_00120																													
OG0000836															MF599468.1_00121																													
OG0000837															MF599468.1_00123																													
OG0000838															MF599468.1_00124																													
OG0000839															MF599468.1_00126																													
OG0000840															MF599468.1_00127																													
OG0000841															MF599468.1_00130																													
OG0000842															MF599468.1_00132																													
OG0000843															MF599468.1_00133																													
OG0000844															MF599468.1_00135																													
OG0000845															MF599468.1_00139																													
OG0000846															MF599468.1_00140																													
OG0000847															MF599468.1_00146																													
OG0000848															MF599468.1_00147																													
OG0000849															MF599468.1_00148																													
OG0000850															MF599468.1_00150																													
OG0000851															MF599468.1_00151																													
OG0000852															MF599468.1_00153																													
OG0000853															MF599468.1_00160																													
OG0000854															MF599468.1_00164																													
OG0000855															MF599468.1_00165																													
OG0000856															MF599468.1_00166																													
OG0000857															MF599468.1_00167																													
OG0000858															MF599468.1_00168																													
OG0000859															MF599468.1_00170																													
OG0000860															MF599468.1_00173																													
OG0000861															MF599468.1_00175																													
OG0000862																MG570131.1_00022																												
OG0000863																MG570131.1_00028																												
OG0000864																									MN803438.1_00009																			
OG0000865																									MN803438.1_00014																			
OG0000866																									MN803438.1_00018																			
OG0000867																									MN803438.1_00020																			
OG0000868																									MN803438.1_00029																			
OG0000869																									MN803438.1_00036																			
OG0000870																									MN803438.1_00041																			
OG0000871																									MN803438.1_00048																			
OG0000872																									MN803438.1_00052																			
OG0000873																									MN803438.1_00055																			
OG0000874																									MN803438.1_00065																			
OG0000875																									MN803438.1_00066																			
OG0000876																									MN803438.1_00069																			
OG0000877																									MN803438.1_00080																			
OG0000878																									MN803438.1_00084																			
OG0000879																									MN803438.1_00093																			
OG0000880																									MN803438.1_00098																			
OG0000881																									MN803438.1_00100																			
OG0000882																									MN803438.1_00108																			
OG0000883																									MN803438.1_00111																			
OG0000884																									MN803438.1_00116																			
OG0000885																									MN803438.1_00117																			
OG0000886																									MN803438.1_00118																			
OG0000887																									MN803438.1_00123																			
OG0000888																									MN803438.1_00127																			
OG0000889																									MN803438.1_00138																			
OG0000890																									MN803438.1_00143																			
OG0000891																										MT521409.1_00021																		
OG0000892																											MT798582.1_00001																	
OG0000893																													MT986830.1_00026															
OG0000894																															NC_005946.1_00008													
OG0000895																															NC_005946.1_00009													
OG0000896																															NC_005946.1_00019													
OG0000897																															NC_005946.1_00027													
OG0000898																															NC_005946.1_00030													
OG0000899																															NC_005946.1_00031													
OG0000900																															NC_005946.1_00032													
OG0000901																															NC_005946.1_00036													
OG0000902																															NC_005946.1_00037													
OG0000903																															NC_005946.1_00040													
OG0000904																															NC_005946.1_00041													
OG0000905																															NC_005946.1_00043													
OG0000906																															NC_005946.1_00045													
OG0000907																															NC_005946.1_00046													
OG0000908																															NC_005946.1_00048													
OG0000909																															NC_005946.1_00050													
OG0000910																															NC_005946.1_00055													
OG0000911																															NC_005946.1_00065													
OG0000912																															NC_005946.1_00066													
OG0000913																															NC_005946.1_00068													
OG0000914																															NC_005946.1_00070													
OG0000915																															NC_005946.1_00071													
OG0000916																															NC_005946.1_00074													
OG0000917																															NC_005946.1_00078													
OG0000918																															NC_005946.1_00093													
OG0000919																															NC_005946.1_00097													
OG0000920																																NC_027778.1_00051												
OG0000921																																NC_027778.1_00110												
OG0000922																																			OL310752.1_00009									
OG0000923																																			OL310752.1_00032									
OG0000924																																											OP009387.1_00059	
