Orthogroup	OK042109.1	MW139932.1
OG0000058	OK042109.1_00074	MW139932.1_00002
OG0000059	OK042109.1_00066	MW139932.1_00010
OG0000060	OK042109.1_00058	MW139932.1_00018
OG0000061	OK042109.1_00109	MW139932.1_00092
OG0000062	OK042109.1_00051	MW139932.1_00029
OG0000063	OK042109.1_00005	MW139932.1_00074
OG0000064	OK042109.1_00059	MW139932.1_00017
OG0000065	OK042109.1_00039	MW139932.1_00041
OG0000066	OK042109.1_00035	MW139932.1_00045
OG0000067	OK042109.1_00031	MW139932.1_00049
OG0000068	OK042109.1_00010	MW139932.1_00069
OG0000069	OK042109.1_00102	MW139932.1_00099
OG0000070	OK042109.1_00100	MW139932.1_00101
OG0000071	OK042109.1_00085	MW139932.1_00116
OG0000072	OK042109.1_00067	MW139932.1_00009
OG0000073	OK042109.1_00064	MW139932.1_00012
OG0000074	OK042109.1_00060	MW139932.1_00016
OG0000075	OK042109.1_00043	MW139932.1_00037
OG0000076	OK042109.1_00040	MW139932.1_00040
OG0000077	OK042109.1_00037	MW139932.1_00043
OG0000078	OK042109.1_00036	MW139932.1_00044
OG0000079	OK042109.1_00032	MW139932.1_00048
OG0000080	OK042109.1_00026	MW139932.1_00053
OG0000081	OK042109.1_00025	MW139932.1_00054
OG0000082	OK042109.1_00024	MW139932.1_00055
OG0000083	OK042109.1_00014	MW139932.1_00064
OG0000084	OK042109.1_00012	MW139932.1_00067
OG0000085	OK042109.1_00009	MW139932.1_00070
OG0000086	OK042109.1_00008	MW139932.1_00071
OG0000087	OK042109.1_00004	MW139932.1_00075
OG0000088	OK042109.1_00003	MW139932.1_00076
OG0000089	OK042109.1_00116	MW139932.1_00085
OG0000090	OK042109.1_00115	MW139932.1_00086
OG0000091	OK042109.1_00103	MW139932.1_00098
OG0000092	OK042109.1_00099	MW139932.1_00102
OG0000093	OK042109.1_00095	MW139932.1_00106
OG0000094	OK042109.1_00092	MW139932.1_00109
OG0000095	OK042109.1_00091	MW139932.1_00110
OG0000096	OK042109.1_00080	MW139932.1_00121
OG0000097	OK042109.1_00073	MW139932.1_00003
OG0000098	OK042109.1_00072	MW139932.1_00004
OG0000099	OK042109.1_00038	MW139932.1_00042
OG0000100	OK042109.1_00034	MW139932.1_00046
OG0000101	OK042109.1_00007	MW139932.1_00072
OG0000102	OK042109.1_00121	MW139932.1_00080
OG0000103	OK042109.1_00098	MW139932.1_00103
OG0000104	OK042109.1_00094	MW139932.1_00107
OG0000105	OK042109.1_00083	MW139932.1_00118
OG0000106	OK042109.1_00049	MW139932.1_00031
OG0000107	OK042109.1_00097	MW139932.1_00104
OG0000108	OK042109.1_00079	MW139932.1_00122
OG0000109	OK042109.1_00006	MW139932.1_00073
OG0000110	OK042109.1_00081	MW139932.1_00120
OG0000111	OK042109.1_00107	MW139932.1_00094
OG0000112	OK042109.1_00120	MW139932.1_00081
OG0000113	OK042109.1_00055	MW139932.1_00022
OG0000114	OK042109.1_00065	MW139932.1_00011
OG0000116	OK042109.1_00011	MW139932.1_00068
OG0000117	OK042109.1_00108	MW139932.1_00093
OG0000118	OK042109.1_00096	MW139932.1_00105
OG0000119	OK042109.1_00087	MW139932.1_00114
