Orthogroup	MT521409	PQ335173_PQ335174
OG0000049	OM037668.1_00004 hypothetical protein	PQ335173_PQ335174_00027 PQ335173_PQ335174 - hypothetical protein translation
OG0000050	OM037668.1_00030 hypothetical protein	PQ335173_PQ335174_00025 PQ335173_PQ335174 - hypothetical protein translation
OG0000052	OM037668.1_00048 hypothetical protein	PQ335173_PQ335174_00001 PQ335173_PQ335174 - hypothetical protein translation
OG0000053	OM037668.1_00124 hypothetical protein	PQ335173_PQ335174_00109 PQ335173_PQ335174 - hypothetical protein translation
OG0000054	OM037668.1_00127 DNA-directed RNA polymerase subunit 2	PQ335173_PQ335174_00110 PQ335173_PQ335174 - DNA-directed RNA polymerase subunit 2 translation
OG0000055	OM037668.1_00021 hypothetical protein	PQ335173_PQ335174_00068 PQ335173_PQ335174 - hypothetical protein translation
OG0000056	OM037668.1_00082 hypothetical protein	PQ335173_PQ335174_00054 PQ335173_PQ335174 - hypothetical protein translation
OG0000058	OM037668.1_00028 hypothetical protein	PQ335173_PQ335174_00026 PQ335173_PQ335174 - hypothetical protein translation
OG0000060	OM037668.1_00083 hypothetical protein	PQ335173_PQ335174_00055 PQ335173_PQ335174 - hypothetical protein translation
OG0000062	OM037668.1_00054 hypothetical protein	PQ335173_PQ335174_00015 PQ335173_PQ335174 - hypothetical protein translation
OG0000107	OM037668.1_00095 hypothetical protein	PQ335173_PQ335174_00080 PQ335173_PQ335174 - hypothetical protein translation
OG0000114	OM037668.1_00085 hypothetical protein	PQ335173_PQ335174_00082 PQ335173_PQ335174 - hypothetical protein translation
OG0000116	OM037668.1_00053 hypothetical protein	PQ335173_PQ335174_00014 PQ335173_PQ335174 - hypothetical protein translation
OG0000117	OM037668.1_00101 hypothetical protein	PQ335173_PQ335174_00087 PQ335173_PQ335174 - hypothetical protein translation
OG0000148	OM037668.1_00008 hypothetical protein	PQ335173_PQ335174_00077 PQ335173_PQ335174 - hypothetical protein translation
