Orthogroup	MT926123.1	OP009387.1
OG0000063	MT926123.1_00074	OP009387.1_00072
OG0000064	MT926123.1_00017	OP009387.1_00017
OG0000065	MT926123.1_00040	OP009387.1_00038
OG0000066	MT926123.1_00044	OP009387.1_00042
OG0000067	MT926123.1_00048	OP009387.1_00046
OG0000068	MT926123.1_00069	OP009387.1_00067
OG0000069	MT926123.1_00099	OP009387.1_00098
OG0000070	MT926123.1_00101	OP009387.1_00100
OG0000071	MT926123.1_00114	OP009387.1_00114
OG0000072	MT926123.1_00009	OP009387.1_00009
OG0000073	MT926123.1_00012	OP009387.1_00012
OG0000074	MT926123.1_00016	OP009387.1_00016
OG0000075	MT926123.1_00036	OP009387.1_00034
OG0000076	MT926123.1_00039	OP009387.1_00037
OG0000077	MT926123.1_00042	OP009387.1_00040
OG0000078	MT926123.1_00043	OP009387.1_00041
OG0000079	MT926123.1_00047	OP009387.1_00045
OG0000080	MT926123.1_00052	OP009387.1_00051
OG0000081	MT926123.1_00053	OP009387.1_00052
OG0000082	MT926123.1_00054	OP009387.1_00053
OG0000083	MT926123.1_00064	OP009387.1_00063
OG0000084	MT926123.1_00067	OP009387.1_00066
OG0000085	MT926123.1_00070	OP009387.1_00068
OG0000086	MT926123.1_00071	OP009387.1_00069
OG0000087	MT926123.1_00076	OP009387.1_00074
OG0000088	MT926123.1_00077	OP009387.1_00075
OG0000089	MT926123.1_00087	OP009387.1_00085
OG0000090	MT926123.1_00088	OP009387.1_00086
OG0000091	MT926123.1_00098	OP009387.1_00097
OG0000092	MT926123.1_00102	OP009387.1_00101
OG0000093	MT926123.1_00105	OP009387.1_00105
OG0000094	MT926123.1_00108	OP009387.1_00108
OG0000095	MT926123.1_00109	OP009387.1_00109
OG0000096	MT926123.1_00118	OP009387.1_00119
OG0000097	MT926123.1_00003	OP009387.1_00003
OG0000098	MT926123.1_00004	OP009387.1_00004
OG0000099	MT926123.1_00041	OP009387.1_00039
OG0000100	MT926123.1_00045	OP009387.1_00043
OG0000101	MT926123.1_00072	OP009387.1_00070
OG0000102	MT926123.1_00082	OP009387.1_00080
OG0000103	MT926123.1_00103	OP009387.1_00102
OG0000104	MT926123.1_00106	OP009387.1_00106
OG0000105	MT926123.1_00116	OP009387.1_00116
OG0000106	MT926123.1_00030	OP009387.1_00028
OG0000107	MT926123.1_00104	OP009387.1_00103
OG0000108	MT926123.1_00119	OP009387.1_00120
OG0000109	MT926123.1_00073	OP009387.1_00071
OG0000114	MT926123.1_00021	OP009387.1_00022
OG0000115	MT926123.1_00011	OP009387.1_00011
OG0000116	MT926123.1_00055	OP009387.1_00054
OG0000118	MT926123.1_00094	OP009387.1_00093
OG0000129	MT926123.1_00075	OP009387.1_00073
OG0000140	MT926123.1_00078	OP009387.1_00076
