Orthogroup	OL774654.1	MW139932.1
OG0000039	OL774654.1_00023	MW139932.1_00024
OG0000040	OL774654.1_00024	MW139932.1_00025
OG0000041	OL774654.1_00033	MW139932.1_00035
OG0000042	OL774654.1_00037	MW139932.1_00039
OG0000043	OL774654.1_00049	MW139932.1_00051
OG0000044	OL774654.1_00050	MW139932.1_00052
OG0000045	OL774654.1_00055	MW139932.1_00057
OG0000046	OL774654.1_00056	MW139932.1_00058
OG0000047	OL774654.1_00058	MW139932.1_00060
OG0000048	OL774654.1_00059	MW139932.1_00061
OG0000049	OL774654.1_00060	MW139932.1_00062
OG0000050	OL774654.1_00077	MW139932.1_00079
OG0000051	OL774654.1_00081	MW139932.1_00083
OG0000052	OL774654.1_00082	MW139932.1_00084
OG0000053	OL774654.1_00093	MW139932.1_00095
OG0000054	OL774654.1_00095	MW139932.1_00097
OG0000055	OL774654.1_00098	MW139932.1_00100
OG0000056	OL774654.1_00110	MW139932.1_00112
OG0000057	OL774654.1_00115	MW139932.1_00117
OG0000058	OL774654.1_00117	MW139932.1_00119
OG0000059	OL774654.1_00002	MW139932.1_00002
OG0000060	OL774654.1_00010	MW139932.1_00010
OG0000061	OL774654.1_00018	MW139932.1_00018
OG0000062	OL774654.1_00090	MW139932.1_00092
OG0000063	OL774654.1_00072	MW139932.1_00074
OG0000064	OL774654.1_00017	MW139932.1_00017
OG0000065	OL774654.1_00039	MW139932.1_00041
OG0000066	OL774654.1_00043	MW139932.1_00045
OG0000067	OL774654.1_00047	MW139932.1_00049
OG0000068	OL774654.1_00067	MW139932.1_00069
OG0000069	OL774654.1_00097	MW139932.1_00099
OG0000070	OL774654.1_00099	MW139932.1_00101
OG0000071	OL774654.1_00114	MW139932.1_00116
OG0000072	OL774654.1_00009	MW139932.1_00009
OG0000073	OL774654.1_00012	MW139932.1_00012
OG0000074	OL774654.1_00016	MW139932.1_00016
OG0000075	OL774654.1_00035	MW139932.1_00037
OG0000076	OL774654.1_00038	MW139932.1_00040
OG0000077	OL774654.1_00041	MW139932.1_00043
OG0000078	OL774654.1_00042	MW139932.1_00044
OG0000079	OL774654.1_00046	MW139932.1_00048
OG0000080	OL774654.1_00051	MW139932.1_00053
OG0000081	OL774654.1_00052	MW139932.1_00054
OG0000082	OL774654.1_00053	MW139932.1_00055
OG0000083	OL774654.1_00062	MW139932.1_00064
OG0000084	OL774654.1_00065	MW139932.1_00067
OG0000085	OL774654.1_00068	MW139932.1_00070
OG0000086	OL774654.1_00069	MW139932.1_00071
OG0000087	OL774654.1_00073	MW139932.1_00075
OG0000088	OL774654.1_00074	MW139932.1_00076
OG0000089	OL774654.1_00083	MW139932.1_00085
OG0000090	OL774654.1_00084	MW139932.1_00086
OG0000091	OL774654.1_00096	MW139932.1_00098
OG0000092	OL774654.1_00100	MW139932.1_00102
OG0000093	OL774654.1_00104	MW139932.1_00106
OG0000094	OL774654.1_00107	MW139932.1_00109
OG0000095	OL774654.1_00108	MW139932.1_00110
OG0000096	OL774654.1_00119	MW139932.1_00121
OG0000097	OL774654.1_00003	MW139932.1_00003
OG0000098	OL774654.1_00004	MW139932.1_00004
OG0000099	OL774654.1_00040	MW139932.1_00042
OG0000100	OL774654.1_00044	MW139932.1_00046
OG0000101	OL774654.1_00070	MW139932.1_00072
OG0000102	OL774654.1_00078	MW139932.1_00080
OG0000103	OL774654.1_00101	MW139932.1_00103
OG0000104	OL774654.1_00105	MW139932.1_00107
OG0000105	OL774654.1_00116	MW139932.1_00118
OG0000106	OL774654.1_00029	MW139932.1_00031
OG0000107	OL774654.1_00102	MW139932.1_00104
OG0000108	OL774654.1_00120	MW139932.1_00122
OG0000109	OL774654.1_00071	MW139932.1_00073
OG0000110	OL774654.1_00118	MW139932.1_00120
OG0000111	OL774654.1_00092	MW139932.1_00094
OG0000112	OL774654.1_00079	MW139932.1_00081
OG0000114	OL774654.1_00021	MW139932.1_00022
OG0000115	OL774654.1_00011	MW139932.1_00011
OG0000117	OL774654.1_00066	MW139932.1_00068
OG0000120	OL774654.1_00103	MW139932.1_00105
OG0000121	OL774654.1_00112	MW139932.1_00114
OG0000125	OL774654.1_00028	MW139932.1_00030
OG0000127	OL774654.1_00025	MW139932.1_00027
OG0000142	OL774654.1_00026	MW139932.1_00028
OG0000208	OL774654.1_00054	MW139932.1_00056
