HOG	OG	Gene Tree Parent Clade	23043610003	23043610005	AB104413	AF371960	AP017456	AY894343	BD143114	GQ273492	KC244182	KT781098	KT804738	MG570131	MG570132	MK098185	MK098186	MK098187	MK637631	MK689685	MK689686	MN432490	MN562489	MT128666	MT128667	MT521409	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	PQ335173_PQ335174
N34.HOG0000015	OG0000015	n0								GQ273492.1_00031 hypothetical protein				MG570131.1_00032 hypothetical protein	MG570132.1_00032 hypothetical protein				MK637631_00043 hypothetical protein				OM037668.1_00123 hypothetical protein			OM037668.1_00123 hypothetical protein																									OM037668.1_00123 hypothetical protein														PQ335173_PQ335174_00108 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000016	OG0000016	n0								GQ273492.1_00036 hypothetical protein				MG570131.1_00037 hypothetical protein	MG570132.1_00037 hypothetical protein				MK637631_00042 hypothetical protein				OM037668.1_00122 hypothetical protein			OM037668.1_00122 hypothetical protein																									OM037668.1_00122 hypothetical protein														PQ335173_PQ335174_00111 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000017	OG0000017	n0								GQ273492.1_00044 hypothetical protein				MG570131.1_00045 hypothetical protein	MG570132.1_00045 hypothetical protein				MK637631_00074 hypothetical protein				OM037668.1_00113 hypothetical protein			OM037668.1_00113 hypothetical protein																									OM037668.1_00113 hypothetical protein														PQ335173_PQ335174_00095 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000018	OG0000018	n0								GQ273492.1_00047 hypothetical protein				MG570131.1_00048 hypothetical protein	MG570132.1_00048 hypothetical protein				MK637631_00077 hypothetical protein				OM037668.1_00110 hypothetical protein			OM037668.1_00110 hypothetical protein																									OM037668.1_00110 hypothetical protein														PQ335173_PQ335174_00092 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000019	OG0000019	n0								GQ273492.1_00048 hypothetical protein				MG570131.1_00049 hypothetical protein	MG570132.1_00049 hypothetical protein				MK637631_00079 hypothetical protein				OM037668.1_00106 hypothetical protein			OM037668.1_00106 hypothetical protein																									OM037668.1_00106 hypothetical protein														PQ335173_PQ335174_00091 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000020	OG0000020	n0								GQ273492.1_00049 hypothetical protein				MG570131.1_00050 hypothetical protein	MG570132.1_00050 hypothetical protein				MK637631_00080 hypothetical protein				OM037668.1_00105 hypothetical protein			OM037668.1_00105 hypothetical protein																									OM037668.1_00105 hypothetical protein														PQ335173_PQ335174_00090 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000021	OG0000021	n0								GQ273492.1_00054 hypothetical protein				MG570131.1_00055 hypothetical protein	MG570132.1_00055 hypothetical protein				MK637631_00084 hypothetical protein				OM037668.1_00100 hypothetical protein			OM037668.1_00100 hypothetical protein																									OM037668.1_00100 hypothetical protein														PQ335173_PQ335174_00086 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000022	OG0000022	n0								GQ273492.1_00055 hypothetical protein				MG570131.1_00056 hypothetical protein	MG570132.1_00056 hypothetical protein				MK637631_00085 hypothetical protein				OM037668.1_00099 hypothetical protein			OM037668.1_00099 hypothetical protein																									OM037668.1_00099 hypothetical protein														PQ335173_PQ335174_00085 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000023	OG0000023	n0								GQ273492.1_00056 hypothetical protein				MG570131.1_00057 hypothetical protein	MG570132.1_00057 hypothetical protein				MK637631_00086 hypothetical protein				OM037668.1_00098 hypothetical protein			OM037668.1_00098 hypothetical protein																									OM037668.1_00098 hypothetical protein														PQ335173_PQ335174_00084 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000024	OG0000024	n0								GQ273492.1_00057 hypothetical protein				MG570131.1_00058 hypothetical protein	MG570132.1_00058 hypothetical protein				MK637631_00087 hypothetical protein				OM037668.1_00097 hypothetical protein			OM037668.1_00097 hypothetical protein																									OM037668.1_00097 hypothetical protein														PQ335173_PQ335174_00083 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000025	OG0000025	n0								GQ273492.1_00060 hypothetical protein				MG570131.1_00060 hypothetical protein	MG570132.1_00060 hypothetical protein				MK637631_00088 hypothetical protein				OM037668.1_00096 hypothetical protein			OM037668.1_00096 hypothetical protein																									OM037668.1_00096 hypothetical protein														PQ335173_PQ335174_00081 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000026	OG0000026	n0								GQ273492.1_00063 hypothetical protein				MG570131.1_00063 hypothetical protein	MG570132.1_00063 hypothetical protein				MK637631_00066 hypothetical protein				OM037668.1_00009 hypothetical protein			OM037668.1_00009 hypothetical protein																									OM037668.1_00009 hypothetical protein														PQ335173_PQ335174_00078 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000027	OG0000027	n0								GQ273492.1_00064 hypothetical protein				MG570131.1_00064 hypothetical protein	MG570132.1_00064 hypothetical protein				MK637631_00006 hypothetical protein				OM037668.1_00024 hypothetical protein			OM037668.1_00024 hypothetical protein																									OM037668.1_00024 hypothetical protein														PQ335173_PQ335174_00075 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000028	OG0000028	n0								GQ273492.1_00075 hypothetical protein				MG570131.1_00075 hypothetical protein	MG570132.1_00075 hypothetical protein				MK637631_00095 hypothetical protein				OM037668.1_00020 hypothetical protein			OM037668.1_00020 hypothetical protein																									OM037668.1_00020 hypothetical protein														PQ335173_PQ335174_00066 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000029	OG0000029	n0								GQ273492.1_00078 hypothetical protein				MG570131.1_00078 hypothetical protein	MG570132.1_00078 hypothetical protein				MK637631_00096 hypothetical protein				OM037668.1_00019 hypothetical protein			OM037668.1_00019 hypothetical protein																									OM037668.1_00019 hypothetical protein														PQ335173_PQ335174_00065 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000030	OG0000030	n0								GQ273492.1_00079 hypothetical protein				MG570131.1_00079 hypothetical protein	MG570132.1_00079 hypothetical protein				MK637631_00097 hypothetical protein				OM037668.1_00018 hypothetical protein			OM037668.1_00018 hypothetical protein																									OM037668.1_00018 hypothetical protein														PQ335173_PQ335174_00064 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000031	OG0000031	n0								GQ273492.1_00080 hypothetical protein				MG570131.1_00080 hypothetical protein	MG570132.1_00080 hypothetical protein				MK637631_00022 hypothetical protein				OM037668.1_00130 hypothetical protein			OM037668.1_00130 hypothetical protein																									OM037668.1_00130 hypothetical protein														PQ335173_PQ335174_00063 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000032	OG0000032	n0								GQ273492.1_00083 hypothetical protein				MG570131.1_00083 hypothetical protein	MG570132.1_00083 hypothetical protein				MK637631_00011 hypothetical protein				OM037668.1_00090 hypothetical protein			OM037668.1_00090 hypothetical protein																									OM037668.1_00090 hypothetical protein														PQ335173_PQ335174_00060 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000033	OG0000033	n0								GQ273492.1_00084 hypothetical protein				MG570131.1_00084 hypothetical protein	MG570132.1_00084 hypothetical protein				MK637631_00010 hypothetical protein				OM037668.1_00089 hypothetical protein			OM037668.1_00089 hypothetical protein																									OM037668.1_00089 hypothetical protein														PQ335173_PQ335174_00059 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000034	OG0000034	n0								GQ273492.1_00085 hypothetical protein				MG570131.1_00085 hypothetical protein	MG570132.1_00085 hypothetical protein				MK637631_00037 hypothetical protein				OM037668.1_00087 hypothetical protein			OM037668.1_00087 hypothetical protein																									OM037668.1_00087 hypothetical protein														PQ335173_PQ335174_00058 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000035	OG0000035	n0								GQ273492.1_00086 hypothetical protein				MG570131.1_00086 hypothetical protein	MG570132.1_00086 hypothetical protein				MK637631_00039 hypothetical protein				OM037668.1_00086 hypothetical protein			OM037668.1_00086 hypothetical protein																									OM037668.1_00086 hypothetical protein														PQ335173_PQ335174_00057 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000036	OG0000036	n0								GQ273492.1_00087 hypothetical protein				MG570131.1_00087 hypothetical protein	MG570132.1_00087 hypothetical protein				MK637631_00056 hypothetical protein				OM037668.1_00084 hypothetical protein			OM037668.1_00084 hypothetical protein																									OM037668.1_00084 hypothetical protein														PQ335173_PQ335174_00056 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000037	OG0000037	n0								GQ273492.1_00091 hypothetical protein				MG570131.1_00091 hypothetical protein	MG570132.1_00091 hypothetical protein				MK637631_00111 hypothetical protein				OM037668.1_00081 hypothetical protein			OM037668.1_00081 hypothetical protein																									OM037668.1_00081 hypothetical protein														PQ335173_PQ335174_00051 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000038	OG0000038	n0								GQ273492.1_00092 hypothetical protein				MG570131.1_00092 hypothetical protein	MG570132.1_00092 hypothetical protein				MK637631_00110 hypothetical protein				OM037668.1_00080 hypothetical protein			OM037668.1_00080 hypothetical protein																									OM037668.1_00080 hypothetical protein														PQ335173_PQ335174_00050 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000039	OG0000039	n0								GQ273492.1_00093 hypothetical protein				MG570131.1_00093 hypothetical protein	MG570132.1_00093 hypothetical protein				MK637631_00118 hypothetical protein				OM037668.1_00032 hypothetical protein			OM037668.1_00032 hypothetical protein																									OM037668.1_00032 hypothetical protein														PQ335173_PQ335174_00049 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000040	OG0000040	n0								GQ273492.1_00096 hypothetical protein				MG570131.1_00096 hypothetical protein	MG570132.1_00096 hypothetical protein				MK637631_00117 hypothetical protein				OM037668.1_00033 hypothetical protein			OM037668.1_00033 hypothetical protein																									OM037668.1_00033 hypothetical protein														PQ335173_PQ335174_00035 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000041	OG0000041	n0								GQ273492.1_00103 hypothetical protein				MG570131.1_00103 hypothetical protein	MG570132.1_00103 hypothetical protein				MK637631_00100 hypothetical protein				OM037668.1_00073 hypothetical protein			OM037668.1_00073 hypothetical protein																									OM037668.1_00073 hypothetical protein														PQ335173_PQ335174_00039 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000042	OG0000042	n0								GQ273492.1_00106 hypothetical protein				MG570131.1_00106 hypothetical protein	MG570132.1_00106 hypothetical protein				MK637631_00101 hypothetical protein				OM037668.1_00074 hypothetical protein			OM037668.1_00074 hypothetical protein																									OM037668.1_00074 hypothetical protein														PQ335173_PQ335174_00041 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000043	OG0000043	n0								GQ273492.1_00107 hypothetical protein				MG570131.1_00107 hypothetical protein	MG570132.1_00107 hypothetical protein				MK637631_00103 hypothetical protein				OM037668.1_00075 hypothetical protein			OM037668.1_00075 hypothetical protein																									OM037668.1_00075 hypothetical protein														PQ335173_PQ335174_00042 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000044	OG0000044	n0								GQ273492.1_00108 hypothetical protein				MG570131.1_00108 hypothetical protein	MG570132.1_00108 hypothetical protein				MK637631_00104 hypothetical protein				OM037668.1_00076 hypothetical protein			OM037668.1_00076 hypothetical protein																									OM037668.1_00076 hypothetical protein														PQ335173_PQ335174_00043 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000045	OG0000045	n0								GQ273492.1_00110 hypothetical protein				MG570131.1_00110 hypothetical protein	MG570132.1_00110 hypothetical protein				MK637631_00105 hypothetical protein				OM037668.1_00077 hypothetical protein			OM037668.1_00077 hypothetical protein																									OM037668.1_00077 hypothetical protein														PQ335173_PQ335174_00044 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000046	OG0000046	n0								GQ273492.1_00112 hypothetical protein				MG570131.1_00112 hypothetical protein	MG570132.1_00112 hypothetical protein				MK637631_00108 hypothetical protein				OM037668.1_00079 hypothetical protein			OM037668.1_00079 hypothetical protein																									OM037668.1_00079 hypothetical protein														PQ335173_PQ335174_00046 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000047	OG0000047	n0								GQ273492.1_00116 hypothetical protein				MG570131.1_00116 hypothetical protein	MG570132.1_00116 hypothetical protein				MK637631_00012 hypothetical protein				OM037668.1_00091 hypothetical protein			OM037668.1_00091 hypothetical protein																									OM037668.1_00091 hypothetical protein														PQ335173_PQ335174_00031 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000048	OG0000048	n0								GQ273492.1_00118 hypothetical protein				MG570131.1_00118 hypothetical protein	MG570132.1_00118 hypothetical protein				MK637631_00106 hypothetical protein				OM037668.1_00078 hypothetical protein			OM037668.1_00078 hypothetical protein																									OM037668.1_00078 hypothetical protein														PQ335173_PQ335174_00028 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000049	OG0000049	n0								GQ273492.1_00119 hypothetical protein				MG570131.1_00119 hypothetical protein	MG570132.1_00119 hypothetical protein				MK637631_00046 hypothetical protein				OM037668.1_00004 hypothetical protein			OM037668.1_00004 hypothetical protein																									OM037668.1_00004 hypothetical protein														PQ335173_PQ335174_00027 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000050	OG0000050	n0								GQ273492.1_00001 hypothetical protein				MG570131.1_00001 hypothetical protein	MG570132.1_00001 hypothetical protein				MK637631_00001 hypothetical protein				OM037668.1_00030 hypothetical protein			OM037668.1_00030 hypothetical protein																									OM037668.1_00030 hypothetical protein														PQ335173_PQ335174_00025 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000051	OG0000051	n0								GQ273492.1_00013 hypothetical protein				MG570131.1_00014 hypothetical protein	MG570132.1_00014 hypothetical protein				MK637631_00029 hypothetical protein				OM037668.1_00051 hypothetical protein			OM037668.1_00051 hypothetical protein																									OM037668.1_00051 hypothetical protein														
N34.HOG0000052	OG0000052	n0								GQ273492.1_00024 hypothetical protein				MG570131.1_00025 hypothetical protein	MG570132.1_00025 hypothetical protein				MK637631_00032 hypothetical protein				OM037668.1_00048 hypothetical protein			OM037668.1_00048 hypothetical protein																									OM037668.1_00048 hypothetical protein														PQ335173_PQ335174_00001 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000053	OG0000053	n0								deoxyribonucleoside kinase_refgen deoxyribonucleoside kinase				MG570131.1_00034 hypothetical protein	MG570132.1_00034 hypothetical protein								OM037668.1_00124 hypothetical protein			OM037668.1_00124 hypothetical protein																									OM037668.1_00124 hypothetical protein														PQ335173_PQ335174_00109 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000054	OG0000054	n0								DNA-directed RNA polymerase II second largest subunit-like protein_refgen DNA-directed RNA polymerase II second largest subunit-like protein				MG570131.1_00036 DNA-directed RNA polymerase subunit 2	MG570132.1_00036 DNA-directed RNA polymerase subunit 2				MK637631_00024 DNA-directed RNA polymerase subunit 2				OM037668.1_00127 DNA-directed RNA polymerase subunit 2			OM037668.1_00127 DNA-directed RNA polymerase subunit 2																									OM037668.1_00127 DNA-directed RNA polymerase subunit 2														PQ335173_PQ335174_00110 PQ335173_PQ335174 - DNA-directed RNA polymerase subunit 2 translation
N34.HOG0000055	OG0000055	n0								GQ273492.1_00073 hypothetical protein				MG570131.1_00073 hypothetical protein	MG570132.1_00073 hypothetical protein				MK637631_00094 hypothetical protein				OM037668.1_00021 hypothetical protein			OM037668.1_00021 hypothetical protein																									OM037668.1_00021 hypothetical protein														PQ335173_PQ335174_00068 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000056	OG0000056	n0								GQ273492.1_00089 hypothetical protein				MG570131.1_00089 hypothetical protein	MG570132.1_00089 hypothetical protein				MK637631_00055 hypothetical protein				OM037668.1_00082 hypothetical protein			OM037668.1_00082 hypothetical protein																									OM037668.1_00082 hypothetical protein														PQ335173_PQ335174_00054 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000057	OG0000057	n0								GQ273492.1_00114 hypothetical protein				MG570131.1_00114 hypothetical protein	MG570132.1_00114 hypothetical protein				MK637631_00048 hypothetical protein				OM037668.1_00134 hypothetical protein			OM037668.1_00134 hypothetical protein																									OM037668.1_00134 hypothetical protein														
N34.HOG0000058	OG0000058	n0								GQ273492.1_00120 hypothetical protein				MG570131.1_00120 hypothetical protein	MG570132.1_00120 hypothetical protein				MK637631_00004 hypothetical protein				OM037668.1_00028 hypothetical protein			OM037668.1_00028 hypothetical protein																									OM037668.1_00028 hypothetical protein														PQ335173_PQ335174_00026 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000059	OG0000059	n0								GQ273492.1_00032 hypothetical protein				MG570131.1_00033 hypothetical protein	MG570132.1_00033 hypothetical protein				MK637631_00049 hypothetical protein				OM037668.1_00003 hypothetical protein			OM037668.1_00003 hypothetical protein																									OM037668.1_00003 hypothetical protein														
N34.HOG0000060	OG0000060	n0								GQ273492.1_00088 hypothetical protein				MG570131.1_00088 hypothetical protein	MG570132.1_00088 hypothetical protein								OM037668.1_00083 hypothetical protein			OM037668.1_00083 hypothetical protein																									OM037668.1_00083 hypothetical protein														PQ335173_PQ335174_00055 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000061	OG0000061	n0								GQ273492.1_00094 hypothetical protein				MG570131.1_00094 hypothetical protein	MG570132.1_00094 hypothetical protein								SDDV_ORF050 RING E3 ubiquitin ligase			SDDV_ORF050 RING E3 ubiquitin ligase																									SDDV_ORF050 RING E3 ubiquitin ligase														
N34.HOG0000062	OG0000062	n0												MG570131.1_00011 hypothetical protein	MG570132.1_00011 hypothetical protein								OM037668.1_00054 hypothetical protein			OM037668.1_00054 hypothetical protein																									OM037668.1_00054 hypothetical protein														PQ335173_PQ335174_00015 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000063	OG0000063	n0								GQ273492.1_00074 hypothetical protein				MG570131.1_00074 hypothetical protein	MG570132.1_00074 hypothetical protein				MK637631_00102 hypothetical protein																																														PQ335173_PQ335174_00067 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000064	OG0000064	n0								GQ273492.1_00021 hypothetical protein									MK637631_00018 hypothetical protein				OM037668.1_00042 hypothetical protein			OM037668.1_00042 hypothetical protein																									OM037668.1_00042 hypothetical protein														
N34.HOG0000065	OG0000065	n0								GQ273492.1_00009 hypothetical protein				MG570131.1_00010 hypothetical protein	MG570132.1_00010 hypothetical protein																																																		PQ335173_PQ335174_00016 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000066	OG0000066	n0								GQ273492.1_00012 hypothetical protein				MG570131.1_00013 hypothetical protein	MG570132.1_00013 hypothetical protein																																																		PQ335173_PQ335174_00013 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000067	OG0000067	n0								ORF14R_refgen ORF14R				MG570131.1_00018 hypothetical protein	MG570132.1_00018 hypothetical protein																																																		PQ335173_PQ335174_00008 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000068	OG0000068	n0								GQ273492.1_00040 hypothetical protein				MG570131.1_00041 hypothetical protein	MG570132.1_00041 hypothetical protein																																																		PQ335173_PQ335174_00099 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000069	OG0000069	n0								GQ273492.1_00041 hypothetical protein				MG570131.1_00042 hypothetical protein	MG570132.1_00042 hypothetical protein																																																		PQ335173_PQ335174_00098 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000070	OG0000070	n0								GQ273492.1_00043 hypothetical protein				MG570131.1_00044 hypothetical protein	MG570132.1_00044 hypothetical protein																																																		PQ335173_PQ335174_00096 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000071	OG0000071	n0								GQ273492.1_00045 hypothetical protein				MG570131.1_00046 hypothetical protein	MG570132.1_00046 hypothetical protein																																																		PQ335173_PQ335174_00094 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000072	OG0000072	n0								GQ273492.1_00046 hypothetical protein				MG570131.1_00047 hypothetical protein	MG570132.1_00047 hypothetical protein																																																		PQ335173_PQ335174_00093 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000073	OG0000073	n0								GQ273492.1_00050 hypothetical protein				MG570131.1_00051 hypothetical protein	MG570132.1_00051 hypothetical protein																																																		PQ335173_PQ335174_00089 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000074	OG0000074	n0								GQ273492.1_00051 hypothetical protein				MG570131.1_00052 hypothetical protein	MG570132.1_00052 hypothetical protein																																																		PQ335173_PQ335174_00088 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000075	OG0000075	n0								GQ273492.1_00062 hypothetical protein				MG570131.1_00062 hypothetical protein	MG570132.1_00062 hypothetical protein																																																		PQ335173_PQ335174_00079 PQ335173_PQ335174 - hypothetical protein translation
N34.HOG0000076	OG0000076	n0								GQ273492.1_00067 hypothetical protein				MG570131.1_00067 hypothetical protein	MG570132.1_00067 hypothetical protein																																																		PQ335173_PQ335174_00073 PQ335173_PQ335174 - hypothetical protein translation
