HOG	OG	Gene Tree Parent Clade	23043610003	23043610005	AB104413	AF371960	AP017456	AY894343	BD143114	GQ273492	KC244182	KT781098	KT804738	MG570131	MG570132	MK098185	MK098186	MK098187	MK637631	MK689685	MK689686	MN432490	MN562489	MT128666	MT128667	MT521409	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	PQ335173_PQ335174
N44.HOG0000015	OG0000014	n0																					OM037668.1_00035 hypothetical protein			OM037668.1_00035 hypothetical protein																									OM037668.1_00035 hypothetical protein														
N44.HOG0000016	OG0000015	n0																					OM037668.1_00123 hypothetical protein			OM037668.1_00123 hypothetical protein																									OM037668.1_00123 hypothetical protein														
N44.HOG0000017	OG0000016	n0																					OM037668.1_00122 hypothetical protein			OM037668.1_00122 hypothetical protein																									OM037668.1_00122 hypothetical protein														
N44.HOG0000018	OG0000017	n0																					OM037668.1_00113 hypothetical protein			OM037668.1_00113 hypothetical protein																									OM037668.1_00113 hypothetical protein														
N44.HOG0000019	OG0000018	n0																					OM037668.1_00110 hypothetical protein			OM037668.1_00110 hypothetical protein																									OM037668.1_00110 hypothetical protein														
N44.HOG0000020	OG0000019	n0																					OM037668.1_00106 hypothetical protein			OM037668.1_00106 hypothetical protein																									OM037668.1_00106 hypothetical protein														
N44.HOG0000021	OG0000020	n0																					OM037668.1_00105 hypothetical protein			OM037668.1_00105 hypothetical protein																									OM037668.1_00105 hypothetical protein														
N44.HOG0000022	OG0000021	n0																					OM037668.1_00100 hypothetical protein			OM037668.1_00100 hypothetical protein																									OM037668.1_00100 hypothetical protein														
N44.HOG0000023	OG0000022	n0																					OM037668.1_00099 hypothetical protein			OM037668.1_00099 hypothetical protein																									OM037668.1_00099 hypothetical protein														
N44.HOG0000024	OG0000023	n0																					OM037668.1_00098 hypothetical protein			OM037668.1_00098 hypothetical protein																									OM037668.1_00098 hypothetical protein														
N44.HOG0000025	OG0000024	n0																					OM037668.1_00097 hypothetical protein			OM037668.1_00097 hypothetical protein																									OM037668.1_00097 hypothetical protein														
N44.HOG0000026	OG0000025	n0																					OM037668.1_00096 hypothetical protein			OM037668.1_00096 hypothetical protein																									OM037668.1_00096 hypothetical protein														
N44.HOG0000027	OG0000026	n0																					OM037668.1_00009 hypothetical protein			OM037668.1_00009 hypothetical protein																									OM037668.1_00009 hypothetical protein														
N44.HOG0000028	OG0000027	n0																					OM037668.1_00024 hypothetical protein			OM037668.1_00024 hypothetical protein																									OM037668.1_00024 hypothetical protein														
N44.HOG0000029	OG0000028	n0																					OM037668.1_00020 hypothetical protein			OM037668.1_00020 hypothetical protein																									OM037668.1_00020 hypothetical protein														
N44.HOG0000030	OG0000029	n0																					OM037668.1_00019 hypothetical protein			OM037668.1_00019 hypothetical protein																									OM037668.1_00019 hypothetical protein														
N44.HOG0000031	OG0000030	n0																					OM037668.1_00018 hypothetical protein			OM037668.1_00018 hypothetical protein																									OM037668.1_00018 hypothetical protein														
N44.HOG0000032	OG0000031	n0																					OM037668.1_00130 hypothetical protein			OM037668.1_00130 hypothetical protein																									OM037668.1_00130 hypothetical protein														
N44.HOG0000033	OG0000032	n0																					OM037668.1_00090 hypothetical protein			OM037668.1_00090 hypothetical protein																									OM037668.1_00090 hypothetical protein														
N44.HOG0000034	OG0000033	n0																					OM037668.1_00089 hypothetical protein			OM037668.1_00089 hypothetical protein																									OM037668.1_00089 hypothetical protein														
N44.HOG0000035	OG0000034	n0																					OM037668.1_00087 hypothetical protein			OM037668.1_00087 hypothetical protein																									OM037668.1_00087 hypothetical protein														
N44.HOG0000036	OG0000035	n0																					OM037668.1_00086 hypothetical protein			OM037668.1_00086 hypothetical protein																									OM037668.1_00086 hypothetical protein														
N44.HOG0000037	OG0000036	n0																					OM037668.1_00084 hypothetical protein			OM037668.1_00084 hypothetical protein																									OM037668.1_00084 hypothetical protein														
N44.HOG0000038	OG0000037	n0																					OM037668.1_00081 hypothetical protein			OM037668.1_00081 hypothetical protein																									OM037668.1_00081 hypothetical protein														
N44.HOG0000039	OG0000038	n0																					OM037668.1_00080 hypothetical protein			OM037668.1_00080 hypothetical protein																									OM037668.1_00080 hypothetical protein														
N44.HOG0000040	OG0000039	n0																					OM037668.1_00032 hypothetical protein			OM037668.1_00032 hypothetical protein																									OM037668.1_00032 hypothetical protein														
N44.HOG0000041	OG0000040	n0																					OM037668.1_00033 hypothetical protein			OM037668.1_00033 hypothetical protein																									OM037668.1_00033 hypothetical protein														
N44.HOG0000042	OG0000041	n0																					OM037668.1_00073 hypothetical protein			OM037668.1_00073 hypothetical protein																									OM037668.1_00073 hypothetical protein														
N44.HOG0000043	OG0000042	n0																					OM037668.1_00074 hypothetical protein			OM037668.1_00074 hypothetical protein																									OM037668.1_00074 hypothetical protein														
N44.HOG0000044	OG0000043	n0																					OM037668.1_00075 hypothetical protein			OM037668.1_00075 hypothetical protein																									OM037668.1_00075 hypothetical protein														
N44.HOG0000045	OG0000044	n0																					OM037668.1_00076 hypothetical protein			OM037668.1_00076 hypothetical protein																									OM037668.1_00076 hypothetical protein														
N44.HOG0000046	OG0000045	n0																					OM037668.1_00077 hypothetical protein			OM037668.1_00077 hypothetical protein																									OM037668.1_00077 hypothetical protein														
N44.HOG0000047	OG0000046	n0																					OM037668.1_00079 hypothetical protein			OM037668.1_00079 hypothetical protein																									OM037668.1_00079 hypothetical protein														
N44.HOG0000048	OG0000047	n0																					OM037668.1_00091 hypothetical protein			OM037668.1_00091 hypothetical protein																									OM037668.1_00091 hypothetical protein														
N44.HOG0000049	OG0000048	n0																					OM037668.1_00078 hypothetical protein			OM037668.1_00078 hypothetical protein																									OM037668.1_00078 hypothetical protein														
N44.HOG0000050	OG0000049	n0																					OM037668.1_00004 hypothetical protein			OM037668.1_00004 hypothetical protein																									OM037668.1_00004 hypothetical protein														
N44.HOG0000051	OG0000050	n0																					OM037668.1_00030 hypothetical protein			OM037668.1_00030 hypothetical protein																									OM037668.1_00030 hypothetical protein														
N44.HOG0000052	OG0000051	n0																					OM037668.1_00051 hypothetical protein			OM037668.1_00051 hypothetical protein																									OM037668.1_00051 hypothetical protein														
N44.HOG0000053	OG0000052	n0																					OM037668.1_00048 hypothetical protein			OM037668.1_00048 hypothetical protein																									OM037668.1_00048 hypothetical protein														
N44.HOG0000054	OG0000053	n0																					OM037668.1_00124 hypothetical protein			OM037668.1_00124 hypothetical protein																									OM037668.1_00124 hypothetical protein														
N44.HOG0000055	OG0000054	n0																					OM037668.1_00127 DNA-directed RNA polymerase subunit 2			OM037668.1_00127 DNA-directed RNA polymerase subunit 2																									OM037668.1_00127 DNA-directed RNA polymerase subunit 2														
N44.HOG0000056	OG0000055	n0																					OM037668.1_00021 hypothetical protein			OM037668.1_00021 hypothetical protein																									OM037668.1_00021 hypothetical protein														
N44.HOG0000057	OG0000056	n0																					OM037668.1_00082 hypothetical protein			OM037668.1_00082 hypothetical protein																									OM037668.1_00082 hypothetical protein														
N44.HOG0000058	OG0000057	n0																					OM037668.1_00134 hypothetical protein			OM037668.1_00134 hypothetical protein																									OM037668.1_00134 hypothetical protein														
N44.HOG0000059	OG0000058	n0																					OM037668.1_00028 hypothetical protein			OM037668.1_00028 hypothetical protein																									OM037668.1_00028 hypothetical protein														
N44.HOG0000060	OG0000059	n0																					OM037668.1_00003 hypothetical protein			OM037668.1_00003 hypothetical protein																									OM037668.1_00003 hypothetical protein														
N44.HOG0000061	OG0000060	n0																					OM037668.1_00083 hypothetical protein			OM037668.1_00083 hypothetical protein																									OM037668.1_00083 hypothetical protein														
N44.HOG0000062	OG0000061	n0																					SDDV_ORF050 RING E3 ubiquitin ligase			SDDV_ORF050 RING E3 ubiquitin ligase																									SDDV_ORF050 RING E3 ubiquitin ligase														
N44.HOG0000063	OG0000062	n0																					OM037668.1_00054 hypothetical protein			OM037668.1_00054 hypothetical protein																									OM037668.1_00054 hypothetical protein														
N44.HOG0000064	OG0000064	n0																					OM037668.1_00042 hypothetical protein			OM037668.1_00042 hypothetical protein																									OM037668.1_00042 hypothetical protein														
N44.HOG0000065	OG0000107	n0																					OM037668.1_00095 hypothetical protein			OM037668.1_00095 hypothetical protein																									OM037668.1_00095 hypothetical protein														
N44.HOG0000066	OG0000114	n0																					OM037668.1_00085 hypothetical protein			OM037668.1_00085 hypothetical protein																									OM037668.1_00085 hypothetical protein														
N44.HOG0000067	OG0000116	n0																					OM037668.1_00053 hypothetical protein			OM037668.1_00053 hypothetical protein																									OM037668.1_00053 hypothetical protein														
N44.HOG0000068	OG0000117	n0																					OM037668.1_00101 hypothetical protein			OM037668.1_00101 hypothetical protein																									OM037668.1_00101 hypothetical protein														
N44.HOG0000069	OG0000119	n0																					OM037668.1_00062 hypothetical protein			OM037668.1_00062 hypothetical protein																									OM037668.1_00062 hypothetical protein														
N44.HOG0000070	OG0000125	n1																					OM037668.1_00002 hypothetical protein			OM037668.1_00002 hypothetical protein																									OM037668.1_00002 hypothetical protein														
N44.HOG0000071	OG0000125	n3																					OM037668.1_00006 hypothetical protein			OM037668.1_00006 hypothetical protein																									OM037668.1_00006 hypothetical protein														
N44.HOG0000072	OG0000125	n4																					OM037668.1_00125 hypothetical protein			OM037668.1_00125 hypothetical protein																									OM037668.1_00125 hypothetical protein														
N44.HOG0000073	OG0000126	n1																					OM037668.1_00066 hypothetical protein			OM037668.1_00066 hypothetical protein																									OM037668.1_00066 hypothetical protein														
N44.HOG0000074	OG0000126	n3																					OM037668.1_00131 hypothetical protein			OM037668.1_00131 hypothetical protein																									OM037668.1_00131 hypothetical protein														
N44.HOG0000075	OG0000126	n4																					OM037668.1_00132 hypothetical protein			OM037668.1_00132 hypothetical protein																									OM037668.1_00132 hypothetical protein														
N44.HOG0000076	OG0000127	n1																					OM037668.1_00071 Serine proteinase inhibitor 2			OM037668.1_00071 Serine proteinase inhibitor 2																									OM037668.1_00071 Serine proteinase inhibitor 2														
N44.HOG0000077	OG0000127	n3																					OM037668.1_00015 Serine proteinase inhibitor 1			OM037668.1_00015 Serine proteinase inhibitor 1																									OM037668.1_00015 Serine proteinase inhibitor 1														
N44.HOG0000078	OG0000128	n2																					OM037668.1_00092 hypothetical protein			OM037668.1_00092 hypothetical protein																									OM037668.1_00092 hypothetical protein														
N44.HOG0000079	OG0000128	n3																					OM037668.1_00093 hypothetical protein			OM037668.1_00093 hypothetical protein																									OM037668.1_00093 hypothetical protein														
N44.HOG0000080	OG0000129	n2																					OM037668.1_00128 hypothetical protein			OM037668.1_00128 hypothetical protein																									OM037668.1_00128 hypothetical protein														
N44.HOG0000081	OG0000129	n4																					OM037668.1_00121 hypothetical protein			OM037668.1_00121 hypothetical protein																									OM037668.1_00121 hypothetical protein														
N44.HOG0000082	OG0000130	n0																					OM037668.1_00133 hypothetical protein			OM037668.1_00133 hypothetical protein																									OM037668.1_00133 hypothetical protein														
N44.HOG0000083	OG0000131	n1																					OM037668.1_00067 hypothetical protein			OM037668.1_00067 hypothetical protein																									OM037668.1_00067 hypothetical protein														
N44.HOG0000084	OG0000131	n2																					OM037668.1_00126 hypothetical protein			OM037668.1_00126 hypothetical protein																									OM037668.1_00126 hypothetical protein														
N44.HOG0000085	OG0000132	n0																					OM037668.1_00094 hypothetical protein			OM037668.1_00094 hypothetical protein																									OM037668.1_00094 hypothetical protein														
N44.HOG0000086	OG0000134	n0																					OM037668.1_00029 hypothetical protein			OM037668.1_00029 hypothetical protein																									OM037668.1_00029 hypothetical protein														
N44.HOG0000087	OG0000135	n0																					OM037668.1_00025 hypothetical protein			OM037668.1_00025 hypothetical protein																									OM037668.1_00025 hypothetical protein														
N44.HOG0000088	OG0000136	n0																					OM037668.1_00023 hypothetical protein			OM037668.1_00023 hypothetical protein																									OM037668.1_00023 hypothetical protein														
N44.HOG0000089	OG0000137	n0																					OM037668.1_00039 hypothetical protein			OM037668.1_00039 hypothetical protein																									OM037668.1_00039 hypothetical protein														
N44.HOG0000090	OG0000138	n0																					OM037668.1_00044 hypothetical protein			OM037668.1_00044 hypothetical protein																									OM037668.1_00044 hypothetical protein														
N44.HOG0000091	OG0000139	n0																					OM037668.1_00055 hypothetical protein			OM037668.1_00055 hypothetical protein																									OM037668.1_00055 hypothetical protein														
N44.HOG0000092	OG0000140	n0																					OM037668.1_00052 hypothetical protein			OM037668.1_00052 hypothetical protein																									OM037668.1_00052 hypothetical protein														
N44.HOG0000093	OG0000141	n0																					OM037668.1_00049 hypothetical protein			OM037668.1_00049 hypothetical protein																									OM037668.1_00049 hypothetical protein														
N44.HOG0000094	OG0000142	n0																					OM037668.1_00036 hypothetical protein			OM037668.1_00036 hypothetical protein																									OM037668.1_00036 hypothetical protein														
N44.HOG0000095	OG0000143	n0																					OM037668.1_00022 hypothetical protein			OM037668.1_00022 hypothetical protein																									OM037668.1_00022 hypothetical protein														
N44.HOG0000096	OG0000144	n0																					OM037668.1_00063 hypothetical protein			OM037668.1_00063 hypothetical protein																									OM037668.1_00063 hypothetical protein														
N44.HOG0000097	OG0000145	n0																					OM037668.1_00007 hypothetical protein			OM037668.1_00007 hypothetical protein																									OM037668.1_00007 hypothetical protein														
N44.HOG0000098	OG0000146	n0																					OM037668.1_00069 hypothetical protein			OM037668.1_00069 hypothetical protein																									OM037668.1_00069 hypothetical protein														
N44.HOG0000099	OG0000147	n0																					OM037668.1_00026 hypothetical protein			OM037668.1_00026 hypothetical protein																									OM037668.1_00026 hypothetical protein														
N44.HOG0000100	OG0000148	n0																								OM037668.1_00008 hypothetical protein																									OM037668.1_00008 hypothetical protein														
N44.HOG0000101	OG0000149	n0																					OM037668.1_00012 hypothetical protein			OM037668.1_00012 hypothetical protein																									OM037668.1_00012 hypothetical protein														
N44.HOG0000102	OG0000150	n0																					OM037668.1_00114 hypothetical protein			OM037668.1_00114 hypothetical protein																									OM037668.1_00114 hypothetical protein														
N44.HOG0000103	OG0000151	n0																					OM037668.1_00112 hypothetical protein			OM037668.1_00112 hypothetical protein																									OM037668.1_00112 hypothetical protein														
N44.HOG0000104	OG0000152	n0																					OM037668.1_00111 hypothetical protein			OM037668.1_00111 hypothetical protein																									OM037668.1_00111 hypothetical protein														
N44.HOG0000105	OG0000153	n0																					OM037668.1_00103 hypothetical protein			OM037668.1_00103 hypothetical protein																									OM037668.1_00103 hypothetical protein														
N44.HOG0000106	OG0000154	n0																					OM037668.1_00102 hypothetical protein			OM037668.1_00102 hypothetical protein																									OM037668.1_00102 hypothetical protein														
N44.HOG0000107	OG0000155	n0																					OM037668.1_00058 hypothetical protein			OM037668.1_00058 hypothetical protein																									OM037668.1_00058 hypothetical protein														
N44.HOG0000108	OG0000156	n0																					OM037668.1_00072 hypothetical protein			OM037668.1_00072 hypothetical protein																									OM037668.1_00072 hypothetical protein														
N44.HOG0000109	OG0000157	n0																					OM037668.1_00034 hypothetical protein			OM037668.1_00034 hypothetical protein																									OM037668.1_00034 hypothetical protein														
N44.HOG0000110	OG0000159	-																					OM037668.1_00001 hypothetical protein			OM037668.1_00001 hypothetical protein																									OM037668.1_00001 hypothetical protein														
N44.HOG0000111	OG0000160	-																					OM037668.1_00014 hypothetical protein			OM037668.1_00014 hypothetical protein																									OM037668.1_00014 hypothetical protein														
N44.HOG0000112	OG0000161	-																					OM037668.1_00017 Golgi anti-apoptotic protein			OM037668.1_00017 Golgi anti-apoptotic protein																									OM037668.1_00017 Golgi anti-apoptotic protein														
N44.HOG0000113	OG0000162	-																					OM037668.1_00027 hypothetical protein			OM037668.1_00027 hypothetical protein																									OM037668.1_00027 hypothetical protein														
N44.HOG0000114	OG0000163	-																					OM037668.1_00037 hypothetical protein			OM037668.1_00037 hypothetical protein																									OM037668.1_00037 hypothetical protein														
N44.HOG0000115	OG0000164	-																					OM037668.1_00060 hypothetical protein			OM037668.1_00060 hypothetical protein																									OM037668.1_00060 hypothetical protein														
N44.HOG0000116	OG0000165	-																					OM037668.1_00061 hypothetical protein			OM037668.1_00061 hypothetical protein																									OM037668.1_00061 hypothetical protein														
N44.HOG0000117	OG0000166	-																					OM037668.1_00065 hypothetical protein			OM037668.1_00065 hypothetical protein																									OM037668.1_00065 hypothetical protein														
N44.HOG0000118	OG0000167	-																					OM037668.1_00068 Thymidylate synthase			OM037668.1_00068 Thymidylate synthase																									OM037668.1_00068 Thymidylate synthase														
N44.HOG0000119	OG0000168	-																					OM037668.1_00070 hypothetical protein			OM037668.1_00070 hypothetical protein																									OM037668.1_00070 hypothetical protein														
N44.HOG0000120	OG0000169	-																					OM037668.1_00088 hypothetical protein			OM037668.1_00088 hypothetical protein																									OM037668.1_00088 hypothetical protein														
N44.HOG0000121	OG0000170	-																					OM037668.1_00104 hypothetical protein			OM037668.1_00104 hypothetical protein																									OM037668.1_00104 hypothetical protein														
N44.HOG0000122	OG0000171	-																					OM037668.1_00107 hypothetical protein			OM037668.1_00107 hypothetical protein																									OM037668.1_00107 hypothetical protein														
N44.HOG0000123	OG0000172	-																					OM037668.1_00108 hypothetical protein			OM037668.1_00108 hypothetical protein																									OM037668.1_00108 hypothetical protein														
N44.HOG0000124	OG0000173	-																					OM037668.1_00109 hypothetical protein			OM037668.1_00109 hypothetical protein																									OM037668.1_00109 hypothetical protein														
N44.HOG0000125	OG0000174	-																					OM037668.1_00116 hypothetical protein			OM037668.1_00116 hypothetical protein																									OM037668.1_00116 hypothetical protein														
N44.HOG0000126	OG0000175	-																					OM037668.1_00117 hypothetical protein			OM037668.1_00117 hypothetical protein																									OM037668.1_00117 hypothetical protein														
N44.HOG0000127	OG0000176	-																					OM037668.1_00118 hypothetical protein			OM037668.1_00118 hypothetical protein																									OM037668.1_00118 hypothetical protein														
N44.HOG0000128	OG0000177	-																					OM037668.1_00119 hypothetical protein			OM037668.1_00119 hypothetical protein																									OM037668.1_00119 hypothetical protein														
N44.HOG0000129	OG0000178	-																					OM037668.1_00120 hypothetical protein			OM037668.1_00120 hypothetical protein																									OM037668.1_00120 hypothetical protein														
N44.HOG0000130	OG0000179	-																					OM037668.1_00129 hypothetical protein			OM037668.1_00129 hypothetical protein																									OM037668.1_00129 hypothetical protein														
N44.HOG0000131	OG0000180	-																					SDDV_ORF016 mRNA decay activator protein			SDDV_ORF016 mRNA decay activator protein																									SDDV_ORF016 mRNA decay activator protein														
