Orthogroup	GQ273492	OQ475017
OG0000068	GQ273492.1_00040 hypothetical protein	OQ475017.1_00040 OQ475017.1 - hypothetical protein translation
OG0000069	GQ273492.1_00041 hypothetical protein	OQ475017.1_00041 OQ475017.1 - hypothetical protein translation
OG0000070	GQ273492.1_00043 hypothetical protein	OQ475017.1_00043 OQ475017.1 - hypothetical protein translation
OG0000071	GQ273492.1_00045 hypothetical protein	OQ475017.1_00045 OQ475017.1 - hypothetical protein translation
OG0000072	GQ273492.1_00046 hypothetical protein	OQ475017.1_00046 OQ475017.1 - hypothetical protein translation
OG0000073	GQ273492.1_00050 hypothetical protein	OQ475017.1_00050 OQ475017.1 - hypothetical protein translation
OG0000074	GQ273492.1_00051 hypothetical protein	OQ475017.1_00051 OQ475017.1 - hypothetical protein translation
OG0000075	GQ273492.1_00062 hypothetical protein	OQ475017.1_00061 OQ475017.1 - hypothetical protein translation
OG0000076	GQ273492.1_00067 hypothetical protein	OQ475017.1_00066 OQ475017.1 - hypothetical protein translation
OG0000077	GQ273492.1_00074 hypothetical protein	OQ475017.1_00074 OQ475017.1 - hypothetical protein translation
OG0000078	GQ273492.1_00081 hypothetical protein	OQ475017.1_00081 OQ475017.1 - hypothetical protein translation
OG0000079	ORF78R_refgen ORF78R	OQ475017.1_00082 OQ475017.1 - hypothetical protein translation
OG0000080	GQ273492.1_00097 hypothetical protein	OQ475017.1_00098 OQ475017.1 - hypothetical protein translation
OG0000081	GQ273492.1_00099 hypothetical protein	OQ475017.1_00100 OQ475017.1 - hypothetical protein translation
OG0000083	GQ273492.1_00090 hypothetical protein	OQ475017.1_00091 OQ475017.1 - hypothetical protein translation
OG0000084	RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase	OQ475017.1_00064 OQ475017.1 - hypothetical protein translation
OG0000085	GQ273492.1_00021 hypothetical protein	OQ475017.1_00021 OQ475017.1 - hypothetical protein translation
OG0000086	GQ273492.1_00003 hypothetical protein	OQ475017.1_00003 OQ475017.1 - hypothetical protein translation
OG0000087	GQ273492.1_00037 hypothetical protein	OQ475017.1_00037 OQ475017.1 - hypothetical protein translation
OG0000089	GQ273492.1_00052 hypothetical protein	OQ475017.1_00052 OQ475017.1 - hypothetical protein translation
OG0000090	GQ273492.1_00068 hypothetical protein	OQ475017.1_00067 OQ475017.1 - hypothetical protein translation
OG0000091	GQ273492.1_00070 hypothetical protein	OQ475017.1_00070 OQ475017.1 - hypothetical protein translation
OG0000092	GQ273492.1_00071 hypothetical protein	OQ475017.1_00071 OQ475017.1 - hypothetical protein translation
OG0000093	GQ273492.1_00072 hypothetical protein	OQ475017.1_00072 OQ475017.1 - hypothetical protein translation
OG0000094	GQ273492.1_00076 hypothetical protein	OQ475017.1_00076 OQ475017.1 - hypothetical protein translation
OG0000095	GQ273492.1_00098 hypothetical protein	OQ475017.1_00099 OQ475017.1 - hypothetical protein translation
OG0000096	GQ273492.1_00100 hypothetical protein	OQ475017.1_00101 OQ475017.1 - hypothetical protein translation
OG0000097	ORF100R_refgen ORF100R	OQ475017.1_00106 OQ475017.1 - hypothetical protein translation
OG0000098	GQ273492.1_00105 hypothetical protein	OQ475017.1_00107 OQ475017.1 - hypothetical protein translation
OG0000099	GQ273492.1_00113 hypothetical protein	OQ475017.1_00115 OQ475017.1 - hypothetical protein translation
OG0000100	GQ273492.1_00101 hypothetical protein	OQ475017.1_00103 OQ475017.1 - hypothetical protein translation
OG0000101	GQ273492.1_00004 hypothetical protein	OQ475017.1_00004 OQ475017.1 - hypothetical protein translation
OG0000103	GQ273492.1_00034 hypothetical protein	OQ475017.1_00034 OQ475017.1 - hypothetical protein translation
OG0000104	GQ273492.1_00039 hypothetical protein	OQ475017.1_00039 OQ475017.1 - hypothetical protein translation
OG0000105	GQ273492.1_00102 hypothetical protein	OQ475017.1_00104 OQ475017.1 - hypothetical protein translation
OG0000106	GQ273492.1_00038 hypothetical protein	OQ475017.1_00038 OQ475017.1 - hypothetical protein translation
OG0000108	GQ273492.1_00117 hypothetical protein	OQ475017.1_00119 OQ475017.1 - hypothetical protein translation
OG0000109	GQ273492.1_00061 hypothetical protein	OQ475017.1_00060 OQ475017.1 - hypothetical protein translation
OG0000111	GQ273492.1_00111 hypothetical protein	OQ475017.1_00113 OQ475017.1 - hypothetical protein translation
OG0000114	GQ273492.1_00059 hypothetical protein	OQ475017.1_00058 OQ475017.1 - hypothetical protein translation
OG0000115	GQ273492.1_00016 hypothetical protein	OQ475017.1_00016 OQ475017.1 - hypothetical protein translation
OG0000120	GQ273492.1_00077 hypothetical protein	OQ475017.1_00077 OQ475017.1 - hypothetical protein translation
OG0000124	GQ273492.1_00109 hypothetical protein	OQ475017.1_00111 OQ475017.1 - hypothetical protein translation
